Выгляд лямпачкі|мін'ён
Выгляд лёгкай атлетыкі; фільм Алова; п'еса М. Булгакава|бег
Выгляд лёгкай атлетыкі|бег
Выгляд лёгкай кавалерыі ў калон. войсках Францыі 19–20 стст.|спаги
Выгляд лёгкай кавалерыі ў французскіх каланіяльных войсках|спаги
Выгляд лёгкай лодкі|гічка
Выгляд лёгкай п'есы-камедыі, звычайна заснаванай на анекдатычным сюжэце і суправаджанай спевам куплетаў?|вадэвіль
Выгляд лекавых прэпаратаў?|антыбіётык
Выгляд лясной ляшчыны|ляшчына
Выгляд кажана|кажан
Выгляд лісцянага лесу|асіннік
Выгляд ліяны|энтада
Выгляд лінейкі|кутнік
Выгляд твару ці прадмета ўзбоч|профіль
Выгляд твару прама спераду?|анфас
Выгляд твару спераду|фас
Выгляд твару, прадмета прама спераду|анфас
Выгляд лодкі|каяк
Выгляд лодкі|ялик
Выгляд крышана для прабівання палонак|пешня
Выгляд лыжнага спорту|слалам
Выгляд матэрыі, то, з чаго складаецца фізічнае цела|рэчыва
Выгляд мясцовасці, пейзаж і яго малюнак (жывапіс, фота)|ландшафт
Выгляд футравага абутку ў народаў Поўначы|тарбасы
Выгляд мэблі|тумбачка
Выгляд меліярацыі|абрашэнне
Выгляд меліярацыі|асушванне
Выгляд манеўру войскаў пры наступе|ахоп
Выгляд алейнай фарбы|бялілы
Выгляд матраца|пярына
Выгляд мэблі|крэсла
Выгляд міжнароднай дамовы|пакт
Выгляд мясцовай пластычнай дэфармацыі|смятие
Выгляд металаапрацоўкі, які ўжываецца пры злучэнні радыёдэталяў|паянне
Выгляд меха|бабёр
Выгляд міндаля|катаппа
Выгляд манумента – вертыкальна стаячая каменная пліта?|стэла
Выгляд марозіва|эскімо
Выгляд магутнай агнястрэльнай зброі|прылада
Выгляд мужчынскай прычоскі|вожык
Выгляд мяккай казінай скуры|шаўро
Выгляд мясной стравы|азу
Выгляд падатку|мыта
Выгляд узнагароды|медаль
Выгляд узнагароды|прэмія
Выгляд падатку|акцыз
Выгляд нар. творчасці|лубок
Выгляд спадчыннай змены клетак арганізма|анеуплоидия
Выгляд насценных гадзін|ходзікі
Выгляд змешчаных насамрэч дзесьці далёка аазіса ці азёры ў пустэльні, выспаў на моры, злучаны з рэфракцыяй|міраж
Выгляд няўстойкі|пяня
Выгляд нафтапрадукта|гудрон
Выгляд зману|аблік
Выгляд фальбоны на жаночай адзежы|валан
Выгляд абароны (аббрев.)|ппа
Выгляд абраду, ист. слож. форма складанага знак. паводзін|рытуал
Выгляд абутку для волкага надвор'я|ботики
Выгляд абутку; аповяд А. Чэхава|боты
Выгляд абутку|бот
Выгляд абутку|туфлі
Выгляд зносін людзей|сувязь
Выгляд грамадскага транспарта|мятро
Выгляд аб'ектыва|анастыгмат
Выгляд аб'ектыва|анахрамат
Выгляд агароднага лука|порей
Выгляд адзежы, напрананай на ногі|панчоха
Выгляд адзежы|бялізна
Выгляд адзежы|фрак
Выгляд аконных запавес|жалюзі
Выгляд акопа ў 17–19 стст.|шанец
Выгляд аленя, які разводзіцца для атрымання пантаў|брудзіў
Выгляд арнаменту.; адзін з зубчыкаў па краі фіранкі|фестон
Выгляд арнаменту|овы
Выгляд арнаменту|фестон
Выгляд зброі|аўтамат
Выгляд зброі|лук
Выгляд ападкаў у Ю. Амерыцы|гаруа
Выгляд ападкаў?|град
Выгляд ападкаў|дождж
Выгляд ападкаў|крупы
Выгляд ападкаў|імжа
Выгляд ападкаў|раса
Выгляд ападкаў|снег
Выгляд палявання|аблава
Выгляд помніка|абеліск
Выгляд падрыўной дзейнасці ў тыле суперніка|дыверсія
Выгляд ганьбавалага пакарання; (таврение) адзін са спосабаў мечання жывёл|таўраванне
Выгляд глебы|суглінак
Выгляд паштовага адпраўлення|паштоўка
Выгляд паштовай сувязі|авіяпошта
Выгляд правапарушэння|сабатаж
Выгляд просьбы|петыцыя
Выгляд харчовых тавараў|бакалея
Выгляд прадзіва|роўніца
Выгляд перніка|пернік
Выгляд павіяна|бабуін
Выгляд пакавання тканіны|штука
Выгляд пакавання (шпулька вялікіх памераў)|навой
Выгляд пакавання; прылада маляра|валік
Выгляд пакавання|валік
Выгляд пакавання|шпуля
Выгляд пальмы|арека
Выгляд пальмы|ротанг
Выгляд папараці|асплениум
Выгляд папараці|арляк
Выгляд парчы|глазет
Выгляд перапляцення нітак у тканінах з дробнымі ўзорамі|армюр
Выгляд друкаванага тэксту|шрыфт
Выгляд печыва з тонкіх лістоў, перакладзеных начыннямі|вафлі
Выгляд печыва|крекер
Выгляд пірожнага|эклер
Выгляд пісьмовага стала?|бюро
Выгляд пладовай плантацыі|ягаднік
Выгляд пластыкі: стварэнне скульптурных твораў з пластычных матэрыялаў|лепка
Выгляд павіннасці сялян|чынш
Выгляд павіннасці сялян|цягло
Выгляд пад'ёмнага крана|дэрык
Выгляд пакрыцця бегавой дарожкі|тартан
Выгляд пакрыцця керамічных вырабаў|ангоб
Выгляд палявога ўмацавання|рэдут
Выгляд чыюка; цар Пилоса; інш.-рус. летапісец|Нестар
Выгляд чыюка|нестар
Выгляд партрэта|аўтапартрэт
Выгляд пасеваў; п'еса Лугавога|азіміна
Выгляд пасеваў|азіміна
Выгляд посуду|чарка
Выгляд правапарушэння, кровазмяшанне|инцест
Выгляд правапарушэння?|хабарніцтва
Выгляд правапарушэння|зман
Выгляд правапарушэння|разбой
Выгляд уяўлення на кірмашах|раёк
Выгляд заправы ў індыйскай кухні|чатни
Выгляд прычала; прэзідэнт ЗША; родапачынальнік прагматызму|пірс
Выгляд прычала|пірс
Выгляд прычоскі|карэ
Выгляд праверкавага выпрабавання (у навучальных установах, у спорце), адзнака, якая сведчыць, што выпрабаванні вытрыманы|залік
Выгляд праекцыі|аксанаметрыя
Выгляд проса|тефф
Выгляд процітанкавай загароды|эскарп
Выгляд прадзіва?|мохер
Выгляд прадзіва|вігонь
Выгляд прадзіва|мулінэ
Выгляд псеўданіма, пазначэнне імя аўтара зорачкамі|астроним
Выгляд псеўданіма, пазначэнне імя аўтара якімі-небудзь друкарскімі знакамі|астроним
Выгляд вандраванняў, які здзяйсняецца для адпачынку і з адукацыйнымі мэтамі|турызм
Выгляд вандраванняў, што здзяйсняюцца для адпачынку і самаадукацыі|турызм
Выгляд пшаніцы; травы. расліна|эммед
Выгляд пшаніцы|эммер
Выгляд правапарушэння|рабаванне
Выгляд рагу з мяса|соце
Выгляд рагу|сате
Выгляд забаўкі ў парках|атракцыён
Выгляд раслін, появивш. дзякуючы деят-ти чал-ка|антропофит
Выгляд расліннасці|мох
Выгляд гумовага абутку|боты
Выгляд рэлігійных драматычных уяўленняў у Іспаніі і Партугаліі ў сярэднія вякі|аўта
Выгляд самаробкі|аграмент
Выгляд рускага фальклору|быліна
Выгляд рыбы сямейства карповых|рыбец
Выгляд з твару|фас
Выгляд сайгака|оронго
Выгляд сайгака|чиру
Выгляд санскрыцкай драмы ў Старажытнай Індыі|натака
Выгляд збору падаткаў|водкуп
Выгляд зверху|план
Выгляд свяцільні|бра
Выгляд сувязі|пошта
Выгляд сувязі|радыё
Выгляд угоды, адна з осн. аперацый на валют. біржы, якая прадугледжвае неадкладную пастаўку валюты|спот
Выгляд селядца|івасі
Выгляд селядца|залом
Выгляд сельхозработ, прыпар|уборка
Выгляд завушніцы|кліпса
Выгляд сірэны|равун
Выгляд скаканняў?|дэрбі
Выгляд скульптуры, у якім малюнак з'яўляецца выпуклым ці паглыбленым у адносінах да плоскасці фону|рэльеф
Выгляд скульптуры, у якім постаці выступаюць над плоскасцю фону|рэльеф
Выгляд скульптуры; будынак зямной паверхні|рэльеф
Выгляд скульптуры|бюст
Выгляд скульптуры|рэльеф
Выгляд скульптуры|статуя
Выгляд слана|мамант
Выгляд збору|мітынг
Выгляд збору|пленум
Выгляд збору|сесія
Выгляд збору|форум
Выгляд спаборніцтваў па фрыстайле|могул
Выгляд спаборніцтва (спорт.)|матч
Выгляд пустазельнай травы|свінакроп
Выгляд суквецце, кветкі|пэндзаль
Выгляд суквецця|парасонік
Выгляд суквецця|колас
Выгляд спрэчкі|заклад
Выгляд спрэчкі|спрэчкі
Выгляд спорту – хуткасны спуск з гор па адмысловых ледзяных трасах на санках, які зарадзіўся ў Швейцарыі ў канцы 19 стагоддзі. Уведзены ў праграму зімовых Алімпійскіх гульняў з 1924 г., чэмпіянаты свету з 1924 г.?|бабслей
Выгляд спорту і цыркавога мастацтва, якія патрабуюць бездакорнага валодання целам, сілы і каардынацыі|акрабатыка
Выгляд спорту, дзе патрэбныя мішэні, але не патрэбныя кулі|дартс
Выгляд спорту, што даў назва выгляду кашулі|пола
Выгляд спорту, якім захапляўся Шэрлак Холмс|бокс
Выгляд спорту, моцна які засмуціў у мінулым годзе расійскіх заўзятараў|футбол
