Віхура вектарнага поля|ротар
Віцэ-прэзідэнт ЗША ў 1925–29. Нобелеўская прэмія (1925)|Дауэс
Віцэ-прэзідэнт ПАР з 1994. Прэзідэнт ПАР у 1989–94. Нобелеўская прэмія свету (1993)|Клерк
Вицин па-джентльменовски (киношн.)|гад
Вішнёвы сад|вішняк
Вішнёвы “гарнітур” чэхаўскай Раневской|сад
“Вішнёвы ...” – раман М. Н. Аляксеева|вір
Вішнёвы лікёр|черри
Вішнёвы сад (слуга)|Фирс
Вішня, сталая нацыянальным знакам Японіі|сакура
Вия, латвійская акторка, якая знялася ў фільмах “За лебядзінай зграяй аблокаў”, “Родная кроў”|Артмане
Густы і манеры вышэйшага святла, вытанчанасць і інтэлектуальнасць|снабізм
Унёскі ў замежных слоіках|авуары
Ўнёскі прыватных асоб і арганізацый у слоікі|авуары
Включ-е новы. утрыманні свядомасці ў сістэму имеющ-ся веды|апперципация
Ўключэнне, устаўка|унясенне
Ўшчэнт зношаны абутак|апоркі
Смачны і хуткі (рекламн.)|кнорр
Смачны і хуткі, хоць і аддае хіміяй|кнорр
Смачная “адзежа” для селядца|футра
Смачная рыба, якая пацвярджае прыказку: “Цяжка і рыбку з'есці, і не ўпароцца”|акунь
Смачна, мякка і бела, усім людзям міла|батон
Смакаванне ежы ўпярэмежку са свежым паветрам|пікнік
Уладар пекла|Люцыпар
Уладальнік Кіліманджара|Танзанія
Фальварковец сярэдзіны ХVIII ст., на тэрыторыі якой быў высаджаны першы сад у Маскве|Дземідаў
Уладальнік укладзеных куды-небудзь грошай, каштоўнасцяў|фундатар
Уладальнік грашовых сродкаў, якія захоўваюцца ў слоіку|фундатар
Уладальнік каштоўных папер|акцыянер
Фальваркоўцы Архангельскае з 1810 па 1917 гг.|Юсуповы
Ўладзімір Жырыноўскі па пакліканні|палітык
Уладзімірская вобл. (горад)|Лакинск
Цяга, імкненне да ажыццяўлення чаго-небудзь, уладанню чым-небудзь|жаданне
Ўкладзены ў кнігу дадатковы ліст|укладка
Вільгаць, якая асядае на раслінах|раса
Вільгацелюбівае дрэва сярэдняй паласы|вярба
Ўладальнік Тайваня|Кітай
Уладальнік дзелі ў нейкай справе|пайшчык
Уладальнік дзелі, уноснай ім у агульную справу|пайшчык
Уладальнік заду, што падседжвае прафесара|дацэнт
Уладальнік залатога пісталета Гітлера|Байли
Уладальнік ці арандатар відовішчнага прадпрыемства (тэатра, цырка), які наймае артыстаў|антрэпрэнёр
Уладальнік ці буйны акцыянер банка|банкір
Уладальнік найбуйнай фінансавай, эканамічнай, інфармацыйнай структуры|магнат
Уладальнік плантацыі|гаспадар
Уладальнік сельскагаспадарчага прадпрыемства|фермер
Уладальнік телеказино “Што? Дзе? Калі?”|гульня
Ўладальнік тэлекампаніі СNN; ангел. мастак|Тэрнер
Уладальнік тэлекампаніі СNN|Тэрнер
Уладальнік прыватнага відовішчнага прадпрыемства|антрэпрэнёр
Уладальнік прыватнага гандлёвага прадпрыемства|купец
Уладальнік эрмитажного золата|скіф
Уладальнік, арандатар, гаспадар прыватнага відовішчнага прадпрыемства|антрэпрэнёр
Уладальнік, уласнік; казка А. Н. Талстога|гаспадар
Уладальнік, уласнік|гаспадар
Уладзімір Высоцкі казаў, што ведаў іх усяго чатыры|акорд
Уладзімір Далеч гэта слова растлумачыў так: “па ўсёй азіяцкай мяжы нашай палонны, полоненик, у выглядзе здабычы”. Чачэнцы і цяпер гэтым актыўна зарабляюць|ясыр
Уладзімір Маркин: “Я гатовы цалаваць ... , па якім ты хадзіла” – устаўце слова|пясок
Уладзімірская вобл. (горад)|Киржач
Уладар царства ценяў у старажытных грэкаў?|Аид
