Паветраны абардаж|таран
Паветраны вакзал|аэрапорт
Паветраны дух у западноевр. міфалогіі|сільф
Паветраны змей, які загрымаваўся пад самалёт|планёр
Паветраны шар з адмысловым прыборам для метэаралагічных назіранняў|зонд
Заклік, зварот, лозунг|заклік
Гледжанне, меркаванне, меркаванне|погляд
Гледжанне, што адпрэчвае ўсякія рэлігійныя вераванні|атэізм
Гледжанне, якое ставіць у цэнтр усёй светабудовы індывідуальнае “я” чалавека?|эгацэнтрызм
Гледжанне, што чалавек ёсць цэнтр Сусвету|антрапацэнтрызм
Поруч косткі смачней|мяса
Ўмілаваная Абеляра|Элоиза
Ўмілаваная Геракла|Иола
Ўмілаваная Ленского|Вольга
Ўмілаваная Петрарки?|Лаура
Ўмілаваная Пушкіна, у гонар якой названа алея ў Міхайлаўскім?|Керн
Умілаваная ў рус. фальклоры|ладу
Ўмілаваная з рускіх прыпевак|любка
Ўмілаваны Галатэі|Акид
Умілаваны Джульеты|Ромео
Адплата?|кара
Магчымы на біржы, у горах, у шахце|абвал
Магчымая небяспека|пагроза
Магчымасці, якія выкарыстоўваюцца ў выпадку неабходнасці|рэзерв
Магчымасць узнікнення непрыемных дзеянняў, падзей|пагроза
Магчымасць дзейнічаць|права
Магчымасць немагчымага|казка
Магчымасць небяспекі, няўдачы|рызыка
Магчымасць ахапіць позіркам якая-небудзь прастора|агляд
Магчымасць карыстання чым-небудзь|права
Магчымасць прайсці там, дзе праход забаронены|лаз
Магчымасць пракрасціся куды-небудзь|доступ
Магчымы зыход матчу|перамога
Магчымы зыход футбольнай сустрэчы|нічыё
Пасталелае шчацінне|барада
Пасталелы Бемби|алень
Узнагарода брокеру за ўгоду, якое выплачваецца як прадаўцом, так і пакупніком|куртаж
Узнагарода за паслугі?|ганарар
Узнагарода маклеру за пасродніцтва пры здзяйсненні ўгоды?|куртаж
Узнагарода маклеру пры здзяйсненні біржавой угоды|куртаж
Узнікненне ў рэчыве намагнічанасці пад дзеяннем вонкавага ціску?|пьезомагнетизм
Узнікненне дубля паведамлення|паўтор
Узнікненне сувязі паміж павярхоўнымі пластамі двух разнастайных целаў пры судотыку|адгезія
Вазніца на канях даўней|фурман
Узрост жанчыны, пра які казаў Бэн Бенцианов: “Жанчыну ў ... гадоў не ўгоніш, а з ... не выганіш”|сорак
Узрост, гады|гады
Вознік солі з Крыму на Ўкраіну ў 16–19 ст.|чумак
Вознік солі на горных здабычах|фурщик
Вознік солі, рыбы з Крыму на Ўкраіну|чумак
Возьмем дзве цэлых, сем дзясятых, успомнім два разу, калі нарадзіўся Лёваў Талсты, ды не забудземся пры гэтым пра куты прастакутнага роўнабаковага трыкутніка. Што ж мы атрымаем у выніку?|лік е
Вазьму пыльна, зраблю вадка, кіну ў пламень – будзе як камень (загадка)|пірог
Ваяр Старажытнай Русі ХIII ст.|лучнік
Ваяр у латах?|латнік
Ваяр у апалчэнні Старажытнай Русі|ратнік
Ваяр у сярэднявечным войску|лучнік
Ваяр запасу ў царскай Расіі|ратнік
Ваяр княжай лютвы?|ратнік
Ваяр лёгкай конніцы, узброены пікай|улан
Ваяр на службе феадала ў Манголіі, Ср. Азіі; пазней слова набыло значэнне “слуга”|нукер
