Восьмиэлектродная электронная лямпа|октод
Восьмы месяц каляндарнага года|жнівень
Восьмы месяц мусульманскага месяцовага года|шабан
“Вось ... струменьчыкам шараватай // На паліц сыплецца. // Зубчасты, // Надзейна ўшрубаваны крамень // Узведзены яшчэ.” (А. Пушкін, “Яўген Онегин”)?|порах
Вось і ... у змроку запаліліся|вокны
“Вось і першае заданне: у 3.15, поруч лазні // Можа раней, можа пазней спыніцца ... , // Трэба сесці, звязаць шафёра” – прапушчанае слова з песні В. Высоцкага|таксі
Вось якая рада дае эстрадная зорка Лёваў Лещенко, калі яго пытаюць пра тое, як схуднець: “Зачыніце ...”|рот
Вось сапраўдныя прозвішчы вядомых рэжысёраў, якія працуюць пад псеўданімам “браты Васільевы”, але братамі не што з'яўляюцца – ... ?|Васільевы
Вось срэбны лужок, не відаць баранчыка, не мукае на ім бычок, не квітнее рамонак. Наш лужок узімку добры, а вясною не знойдзеш|коўзанка
Вось радкі са старой песні пра галоўны: “Ты пра што спяваеш, залатая ...”|жыта
Вось адгадай яму мелодыю, хоць трэсні|Пельш
Вось гэту бабу б нам у прэзідэнты|Тэтчер
Вотчына Бени Крыку|Адэса
Вотчына Саддама Хусейна?|Ірак
Вош у зародку, і падла ў росквіце сіл?|гніда
Западзіна на вяршыні вулкана|кальдера
Ўпершыню надзетая шмотка|абноўка
Западзіна на сярэдзіне жывата|пупок
Западзіна, нізіна|яма
Запаласць, увагнутае месца|угінанне
Ўпершыню вы маглі б назіраць гэта ў ХII павеку. Класік ХIХ стагоддзя лічыў, што гэта гук. Сёння вы можаце ўбачыць гэта, калі паедзеце ў штат Айдаха. Што гэта?|Масква
Ўпершыню яны з'явіліся ў Нюрнберзе каля 1500 г. Іх звалі нюрнбергскія яйкі. Пра што ідзе гаворка?|гадзіны
Ўпершыню гэта легенда з'явілася ў дацкага летапісца Саксона Граматыка, але нам вядомая ад аднаго ангельца. Што гэта за легенда?|Гамлет
Упершыню гэта ўвялі на Старажытным Усходзе і атаясамлялі з 7 планетамі. Як гэта завём мы, калі самі гэтым карыстаемся?|тыдзень
Упершыню гэты герой з'явіўся ў Шарля Перро. Ён быў рыцарам, і ведаем мы яго не па імі, а па некаторай дэталі яго знешнасці, якая адрознівае яго ад іншых мужчын. Хто ён?|Сіняя барада
Ўражанне, прапушчанае праз арыфмометр|адзнака
Цалкам годная зброя для гогалеўскага Тараса Бульбы|шабля
Цалкам падыходнае імя да амерыканскага тэнісіста Агасі?|Андрэ
Цалкам ядомая яшчарка, якая адкладвае деликатесные яйкі|ігуана
Ўпырскванне?|ін'екцыя
Вораг Вільгельма Телля ў п'есе І. Ф. Шылера|Геслер
Вораг Жеглова і Шарапава|Фокс
Вораг закаханых і сябар жанатых|святло
Вораг карася|шчупак
Вораг прагрэсу, цемрашал?|рэакцыянер
Вораг рэлігіі?|забабоны
Вораг таксістаў у барацьбе за іх правую справу|лявак
Вораг|вораг
Варожы павеў ветра (з рэвалюцыйнай песні)|віхура
Варожы выступ, недабразычлівая выхадка|выбрык
Варожасць|злосць
Варожыя адносіны на глебе дробных інтрыг|звада
Хлус|ілгун
Хлусня|брахня
Брамавая пальчатка|блін
Лекар (разг.)|доктар
Лекар (устар.); афіцыйная назва лекараў у дорев. Расіі?|лекар
Лекар па-іншаму|доктар
Лекар розуму?|вера
Лекар, Герай Савецкага Звяза (1944, пасмяротна). Удзельнік студзеньскага паўстання 1918 у Кіеве супраць Цэнтральнай рады. У 1942–43 у антыфашысцкім падполлі, кіраўнік санітарнай часткі партызанскага злучэння. Патрапіў у палон, спалены жыўцом|Буйко
Лекар, які не пра доктарскую ступень думае, а на доктарскую каўбасу лячэннем зарабляе?|лекар
Лекар, асабліва які настойвае на тым, што чысціня – заклад здароўя?|гігіеніст
Лекар, які праходзіць інтэрнатуру|інтэрн
Лекар, адмысловец па суставах|артролог
Лекар, што стажыруецца пасля дыплома ў клініцы ці лякарні|інтэрн
Лекар, які праводзіць анестэзію|анастэзіёлаг
Лекар-негомеопат|алапат
Лекар-філантроп, празваны ў народзе “святым доктарам”|Гааз
Лекар: –Якое ў вашага мужа ...? Яна чырванее: –Не ведаю. Напэўна, сантыметраў 15. – Якое слова прамовіў лекар?|хобі
Медычны “шмон”|абыход
Лекары яго прадпісваюць, палітыкі навязваюць, начальнік патрабуе выконваць|рэжым
Лекары завуць яго “якое закаркоўвае соннае апноэ”, “сіндромам Пиквика”, у ЗША гэта завуць “курчамі шыі”. Што гэта такое?|храп
Круцельная ўсталёўка для прылад і кулямётаў на самалётах|турэль
Круцельная частка ў машынах|ротар
Круцельная частка механізму ў выглядзе невялікага цыліндру|ролік
Круцельная частка электрычнай машыны|ротар
Круцельная частка электрарухавіка|ротар
Круцельная частка электрамашыны зменнага току, у абмотках якой індукуецца электродвижущая сіла|ротар
Круцельная частка электрамашыны сталага току, у абмотках якой індукуецца электродвижущая сіла|якар
Круцельныя арэлі|лопинг
Круцельны цыліндр, вал|рол
Шкода, прычынены рабаваннем|шкода
Шкода?|зло
Шкоднік (травы. расліна)|тырса
Шкодная крайнасць ці нерэальны аповяд|загін
Шкодная летняя казурка|камар
Шкоднае злучэнне азоту|нітрат
Шкоднае злучэнне бялковай прыроды, якім можна атруціцца|таксін
Шкоднае членістаногае|клешч
Шкодны грызун|пацук
Шкодны хатні грызун|мыш
Шкодны дарадца, хоць і пісьменнік|остер
Часавая жылая пабудова|барак
Часавы прыпынак дыхання|апноэ
Часавы прыпынак дыхальных рухаў з прычыны збяднення крыві вуглякіслым газам (услед за побач узмоцненых удыхаў)|апноэ
Часавая стаянка войскаў?|лагер
Часавая сума амінакіслот|бялок
Часавае драўлянае жыллё|барак
Часавае жыллё на Поўначы – хатка на санках|бэлек
Часавае жыллё на Поўначы|бэлек
Часавае жыллё на полозьях у паўночнікаў|бэлек
Часавае месца зняволення вільгаці, якая пакутуе ад гарачкі|тэрмас
Часавае вызваленне ад працы для адпачынку|адпачынак
Часавы аплатны сродак, што замяняе грошы|купон
Часавае спыненне ваенных дзеянняў?|перамір'е
Часавы прыстанак тавараў|склад
Часовае збудаванне са стоек, дошак ці металічных трубак у сцен будынкаў для будаўнічых ці рамонтных прац|лясы
Часовае збудаванне на будоўлі|цяпляк
Часовае збудаванне пры будуе. працах|лясы
Часавы стан жывёлы ці расліны, пры якім амаль цалкам спыняецца абмен рэчываў, і адсутнічаюць бачныя праявы жыцця|анабіёз
Часавы стан арганізмаў, пры якім змяншаецца абмен рэчываў і адсутнічаюць бачныя праявы жыцця?|анабіёз
Часавы будынак на будоўлі|цяпляк
Часавы перыяд, якім вымяраюць геалагічную гісторыю Землі|эра
Часовы начальнік гарэма ў фільме “Белае сонца пустэльні”|Сухов
Часовы кіраўнік манархічнай дзяржавы|рэгент
Час – лепшы доктар, але дрэнны... Хто?|касметолаг
Час Вялікага паста|вясна
Час вампіраў|ноч
Пара года, калі адбылося вяселле Блохина|восень
Пара года, адлюстраванае ў карціне В. Поленова “Маскоўскі панадворак”|лета
Пара года, па якім лічаць не куранятаў, а пакінутыя ад іх костачкі|вясна
Пара года, зручнае для рахунку куранятаў|восень
Пара года; карціна С. Герасімава; горад у Іркуцкай вобл.|зіма
Пара года; верш. : М. Лермантава; А. Пушкіна|восень
Пара года|вясна
Пара года|зіма
Пара года|восень
Час закладкі ў глебу насення|сяўба
