Ўсявышні|бог
Заўсёды ў кашулі народзіцца|карта
Ўсяго іх 26. З'яўляліся яны з 1791 па 1971 год. 18-я і 21-я ўзаемна блакуюць адзін аднаго. Як завуцца першыя дзесяць?|біль пра правы
Сусвет бясконцых магчымасцяў дыяметрам у 13 метраў|манеж
Сусвет, светабудова|свет
Сусвет, свет|космас
Усім вядомы заклік хадзіць канём. Паэт Іллін таксама пайшоў вядомым канём, ахвяраваўшы пры гэтым паэзіяй, і напісаў кнігу вершаў на шахматную тэму. Як яна завецца?|гамбіт Пегаса
Ўсім вядомая ў Диканьке ведзьма|Солоха
Ўсім вядома, што праўда нараджаецца ў спрэчках. А што адбываецца з ёй, калі кіпіць запал?|выпараецца
Ўсім вядомыя хваробы, якія атрымалі назва ад жывёл: жаба, рак. Назавіце заразнае захворванне, у якім прысутнічае старажытнаславянская назва пацука|яшчур
Усімі каханы сав. спявак і кінаакцёр, рук. і саліст першага ў Расіі джазавага аркестра|Уцёсаў
Сусветная шахматная Федэрацыя|фідэ
Сусветна знакамітая касметычная фірма|ревлон
Сусветна вядомая швецкая вакальная група (чацвёрка)|абба
Сусветна вядомы атэіст|Ленін
Сусветна вядомы аўкцыён|крысці
Сусветна вядомы часопіс мод|бурда
Сусветна вядомы салдат першай сусветнай вайны|Швейк
Сусветна вядомы тэнісіст Іван Лендл па паходжанні|чэх
Сусветна-гістарычны бабах “Аўроры”|залп
Сусветная паводка?|патоп
Усяму галава|хлеб
Усесаюзнае грамадства; дореволюц. альманах|веды
Ўсесаюзнае грамадства|веды
Ўсесаюзны піянерскі лагер|артэк
Усяедная птушка з сера-чорным ці чорным апярэннем|крумкача
Ўсяедная птушка, чорная, шэрая з чорным, але часцей шэрая|крумкача
Ўсяедная трапічная казурка, падобнае на мурашку|тэрміт
Неўзабаве пасля акупацыі фашыстамі Даніі ў Швецыю бег Нильс Бор. Самым каштоўным прадметам яго багажу была піўная бутэлька, якую ён ахоўваў як зрэнку вока. Што было ў гэтай бутэльцы?|цяжкая вада
Выкрыццё замкнёных дзвярэй|узлом
Выкрыццё якой-небудзь касцяной паражніны?|трэпанацыя
Выкрыццё трупа для ўсталявання чыннікаў смерці|аутопсия
Ўзаранае поле|ралля
Воплеск вады, якая адкочваецца пасля ўдару|отплеск
Воплеск духоўнасці ў пасудзіне з цела|каханне
Ўспомніце, калі ласка, які нацыянальны герой быў пакараны за свой подзвіг, дасканалы ў форме здрады|Сусанін
Успомніце Аляксея Талстога і назавіце каханы ласунак дзяцей|Касач
Успомніце выбітнасці Пецярбурга і скажыце, як завецца праходзілы там конкурс мадэльераў?|адміралцейская іголка
Дапаможная шкала вымяральнага прыбора|нониус
Дапаможны сродак кіравання канём|дубец
Дапаможныя матэрыялы, якія ўжываюцца ў некаторых выглядах вытворчасці?|фурнітура
Дапаможнае прыладдзе (футарал фотаапарата, скрынка для дыскет і т. п.), дэталі адзежы (паясок, сумачка і т. п.), дробныя прадметы сцэнічнага становішча|аксэсуары
Дапаможны склад, выканаўцы бязмоўнага дзейства ў спектаклі|миманс
Дапаможны якар на судне, выкарыстоўваны пры сцягванні судна з мелізны|верп
Запальчывы па дробязях чалавек|псіх
Выбліск у атмасферы; назва судна на падводных крылах|метэор
Выбліск невялікага нябеснага цела, які ўлятае ў атмасферу з космасу|метэор
Устаўка ўнутр кораня слова|інфікс
Устаўны шып для злучэння частак вырабаў з драўніны|шкант
Устаўце прапушчаныя словы ў чатырохрадкоўе Сяргея Смірнова: “Не высіліўся ў нейкай меры // Жывой сугучнасці прыклад. // Быў, скажам, ... // Ёсць Маргарыта Алигер”.|Дантэ Алигьери
Устаць, ... ідзе|суд
Сустрэча частак дзяржаў, урадаў|саміт
Сустрэча пакуты з вадкасцю ў кулінарных мэтах|замес
Сустрэча на вышэйшым узроўні|саміт
Сустрэча па футболе|матч
Сустрэча здзяйсняльнага свой шлях свяціла з перпендыкулярным яму поглядам?|зеніт
Сустраканае ў літаратуры назва В'етнама|Ганнам
Уступіўшы ў Берлін, казакі паілі канёў вадой з Одара, у Парыжы – з Сены. А чым паілі канёў казакі, увойдучы ў 1814 г. у Рэймс?|шампанскім
Уступная песня хору ў старажытнагрэцкім тэатры|парод
Уступная частка літаратурнага, тэатральнага ці музычнага твора|пралог
Уступная частка песні, зачын|запеў
Уступная частка разгорнутага па-дэ-дэ ў балеце|антрэ
Ўступ усяго аркестра, хору|тутти
Уступ, пачатак чаго-небудзь|пралог
Уступ; кінастужка Е. Дзигана|пралог
Уступ|пралог
Уся з сябе такая важная|фря
Ўся частка слова да канчатка|аснова
Ўсякая смачніна?|ежа
Ўсё ўсялякая ўперамешку|сумесь
