Выдадзеныя грошы, тавар|выдача
Выдача жаданага за сапраўднае|блеф
Выбітная і каханая кінаактрыса, лепшыя фільмы “Вясёлыя дзеці”, “Цырк”|Арлова
Выбітная оперная спявачка, лаўрэат Ленінскай прэміі|Архипова
Выбітная руская акторка, адна з арганізатараў і старшыня Рускага тэатральнага грамадства|Савина
Выбітная франц. эстрадная спявачка|Пиаф
Выбітная частка скалы|уступ
Выбітныя прыроджаныя якасці, адмысловыя прыродныя здольнасці|талент
Выбітны ангел. астролаг 17 стагоддзі|Лилли
Выбітны баксёр царскай Расіі; майстар размалёўкі кундаль|Алімаў
Выбітны баксёр царскай Расіі|Алімаў
Выбітны вертолетостроитель КА|Камов
Выбітны дзяржаўны і ваенны дзеяч|Фрунзе
Выбітны дзеяч мастацтва ці навукі, настаўнік|мэтр
Выбітны дзеяч, чалавек вылучнага маштабу|тытан
Выбітны драматычны артыст, імем якога названа адно з тэатральных вучэльняў у Маскве|Шчукін
Выбітны італьянскі спявак, лірычны тэнар|Скіпа
Выбітны італьянскі спявак, майстар бельканто|Карузо
Выбітны італьянскі спявак-тэнар|Скіпа
Выбітны аратар (агульнае)|трыбун
Выбітны айчынны футбаліст і хакеіст па імі Ўсевалад|Баброў
Выбітны піяніст савецкага перыяду|Рыхтар
Выбітны польскі кампазітар і піяніст?|Шопен
Выбітны расійскі футбаліст, брамнік|Яшин
Выбітны расійскі футбаліст і хакеіст?|Баброў
Выбітны рускі жывапісец-марыніст, аўтар “Заходу на моры”, “Дзявяты вал”|Айвазоўскі
Выбітны рускі навуковец, заснавальнік металазнаўства і тэорыі тэрмічнай апрацоўкі сталі|Шорин
Выбітны рускі навуковец-аграном|Стебут
Выбітны расійскі скрыпач сучаснасці, лаўрэат Ленінскай прэміі|Коган
Выбітны савецкі географ, антраполаг, этнограф і археолаг|Анучин
Выбітны савецкі даследнік фізічнай прыроды камет|Арлоў
Выбітны савецкі вайскавод|Жукаў
Выбітны савецкі фізіёлаг; біёлаг, батанік|Орбели
Выбітны сучасны кампазітар, наш суайчыннік|Шнитке
Выбітны тэрапеўт, акадэмік, Герай Сацыялістычнай Працы|Чазов
Высоўвальнае для тлумачэння з'яў навуковая здагадка|гіпотэза
Высоўны кіль на малых ветразных судах|шверт
Высоўны кіль на ветразніку|шверт
Высоўны кіль-плаўнік, які стварае патрабаванае для лавировки супраціў зносу пад вецер на швертботах, виндсерферах, многокорпус. ветразь. суднах|шверт
Высоўны плоскі кіль|шверт
Выштукаваная скура маладой казы|шаўро
Выштукаваная ласіная скура|лосина
Выштукаваная мяккая і тонкая ворсовая скура з аксаміцістай паверхняй|замш
Выштукаваная шкура жывёлы з захаваным валасяным полагам|мех
Выштукаваная шкура жывёлы|скура
Выштукаваная шкура цяля|опоек
Вылучэнне грашовай сумы культурным, навуковым і іншым падобным установам|грант
Вылучэнне вызначаных грашовых сродкаў на які-небудзь выдатак|асігнаванне
Вылучэнне з мочой альбумінаў|альбуминурия
Вылучэнне склада з дапамогай фанетычных сродкаў?|націск
Вылучаная дзель, частка, норма чаго-небудзь, пай, адсотак|квота
