Гафт вузкай палоскай|мярэжка
Гафт на ніткаватай сетцы|паляндвіца
Гафт па ніткаватай сетцы|паляндвіца
Вышыты ручнік|ручнік
Вышыты лямцавы зімовы халат заможнага афганца|косай
Вышка для прылад на судне, танку|вежа
Вышка, надбудова над хатай ці невялікая пабудова на ўзнёслым месцы?|бельведэр
Выскубанне адмерлай поўсці ў сабак|тримминг
Высвятленне адносін паміж групоўкамі ўсярэдзіне мафіі|разборка
Выяўленне шлюбу таваразнаўцам пры аглядзе тавараў|бракераж
Высвятленне грамадскай думкі|апытанне
Высвятленне адносін з дапамогай кулакоў|бойка
В'етнам (горад у Азіі)|Надминь
В'етнам, порт (горад у Азіі)|Хошимин
Вьетн. шчыпкоў. муз. прылада|чан
В'етнам, порт (горад у Азіі)|Дананг
В'етнам. клавішны муз. прылада, орган|кхен
В'етнамская капейка|хао
В'етнамскі “дзядуля”?|хо
В'етнамскі горад|нгиало
В'етнамскі касманаўт|туан
Віхура з нізавым ветрам|замець
Вьюрковая птушка, якая сілкуецца насеннем іглічных дрэў|крыжадзюб
Клуначная жывёла|асёл
Вьющ. расліна сцежак. Амерыкі сем. ароидных|монстера
Павойная расліна сямейства гарбузовых|пярэступ
Павойная дэкаратыўная расліна|гліцынія
Павойная травяністая дэкаратыўная расліна|гліцынія
Павойная ці завітая і якая звісае пасма валасоў|пасма
Павойная ці завітая частка валасоў|пасма
Павойная трава сямейства вьюнковых|іпамея
Павойная дэкаратыўная расліна|плюшч
Павойная расліна ў трапічных лясах|ліяна
Павойная расліна сямейства тутавых, насенне некаторых культурных выглядаў якога ўжываюцца ў піваварстве, у кандытарскай вытворчасці|хмель
Павойная расліна, плады якога выкарыстоўваюцца ў піваварстве|хмель
Павойнае, дэкаратыўнае травы. расліна|хмель
Павойныя валасы|кучары
Павойны хмызняк, распаўсюджаны ў лясах Далёкага Ўсходу|актынідыя
Звязальнае рэчыва, якое здабываецца з кары раслін, што ўжываецца ў медыцыне, тэхніцы|танін
Звязальны матэрыял, які атрымліваецца з чырвонага багавіння|агар
Вязаная рукавіца|рукавіца
Вязаная верхняя адзежа на гузіках|кардиган
Вязаная кофта, фуфайка без каўняра і без зашпілек, напрананая праз галаву|джэмпер
Вязаныя панчохі ад сцягна да шчыкалаткі|гамашы
Глейкая густоватая вадкасць|жыжка
Глейкая зямля з дна вадаёмаў|глей
Глейкая ліпкая гаручая сумесь для бомбаў і агнямётаў|напалм
Глейкая разнавіднасць каменнага вугля, вырабны камень|гагат
Глейкая чорная смалістая маса, пакінутая пасля перагонкі нафты|гудрон
Глейкі бітум|мулета
Вязский уляганняў з мінеральных ці арганічных рэчываў на дне вадаёма|глей
Вяленае казінае мяса ў болг. кухні|пастарма
Млявасць, апатыя, заняпад духу|бяссілле
Вяленая на сонца вэнджаная рыба ў народаў Вост. Сібіры і Сяўба. Амерыкі|юкола
Вяленая рыба на Поўначы і Далёкім Усходзе|юкола
Вяленае мяса рыбы|балык
Млявасць, апатыя|лянота
Млявасць, абыякавасць|апатыя
Млявы, безыніцыятыўны чалавек, няўклюда|капялюш
Вятка-...-Вятка|Кіраў
Г. у Кітаі, религ. цэнтр ламаізму|Лхаса
Г. Мінводы ў Краснадарскім варыянце|Адлер
Г. Уэллс, В. Бяляеў, С. Лем?|фантаст
Г. у Чаркаскай вобл. дзе нах-ся магіла-помнік Т. Шаўчэнка|Канев
Гарманічная асоба|баяніст
Гарманічны прыгук, дадатковы тон|абертон
Габарытнае стаўленне копіі да арыгінала|маштаб
Варажбітка, вядзьмарка|варажэя
Варажба, прадраканне|мантика
Гадкі ўчынак з мэтай нашкодзіць камусьці|поскудзь
Гадзюка|кірпаносая
Газ, які ўваходзіць у склад паветра|кісларод
Газета французскіх камуністаў|юманітэ
Газета, што выдаецца ў Маскве з 1918 гады|весткі
Газетны ці часопісны артыкул на надзённую тэму, якая выкарыстоўвае гумарыстычныя і сатырычныя прыёмы выкладу|фельетон
Газетная прафесія|рэпарцёр
Газаразрадны прыбор, у якім напруга на сетцы кіруе запальваннем разраду|тыратрон
Гайка з вушкамі для зручнага заворачивания рукой|двухвушнік
Галактычная газа-пылавая адукацыя|глобула
Гангстар, вымагальнік|рэкецір
Географ і геолаг, акадэмік|Обручев
Географич. вобласць у Беларусі|Палессе
Географич. прыродны пояс з гарачым кліматам, размешчаны прыкладна паміж гэтымі шыротамі|тропікі
Географич. тэрмін|даўгата
Геодез. прылада|мензула
Геадэзічны угломерный прылада для вымярэнняў на мясцовасці|тэадаліт
Геадэзічны і астранамічны угломерный прылада|тэадаліт
Геадэзічная прылада|бусоль
Геом. цела, утворанае кручэннем прастакутніка каля аднаго боку|цыліндр
Геометрич. цела|ікасаэдр
Геометрич. постаць, чатырохкутнік, які мае 2 паралельныя бакі|трапецыя
Геометрическ. месца канцоў вектар-функцыі|гадограф
Геаметрычная крывая|парабала
Геаметрычная фігура, якую нагадваюць некаторыя фасоны адзежы|трапецыя
Геаметрычная фігура, чатырохкутнік|тэтрагон
Геаметрычная фігура|квадрат
