Горад у Індыі|Сринагар
Горад у Італіі, дзе таксісты з'яўляюцца ў сутнасці веслярамі|Венецыя
Горад у Італіі|Больцано
Горад у Італіі|Верчелли
Горад у Італіі|Виченца
Горад у Італіі|Неапаль
Горад у Італіі|Перуджа
Горад у Італіі|Потенца
Горад у Італіі|Феррара
Горад у Емене|Ходейда
Горад у Латвіі|Кулдига
Горад у Латвіі|Лудза
Горад у Ленингр. і Варонежскай вобл.|Павловск
Горад у Луганскай вобласці|Сватово
Горад у Луганскай вобл.|Горскае
Горад у Луганскай вобл.|Залатое
Горад у Луганскай вобл.|Зоринск
Горад у Луганскай вобл.|Лутугино
Горад у Луганскай вобл.|Ровеньки
Горад у Ліване, у якога знойдзены загадкавыя пабудовы, невыканальныя зямлянамі|Гендель
Горад у Лівіі|Бенгази
Горад у Літве, на рацэ Юрась|Ретавас
Горад у Літве, порт на Балтыйскім моры|Клайпеда
Горад у Літве|Вейсеяй
Горад у Літве|Зарасай
Горад у Літве|Кедайняй
Горад у Літве|Кибартай
Горад у Літве|Мосолов
Горад у Літве|Прекуле
Горад у Літве|Рамигала
Горад у Літве|Рокишкис
Горад у Літве|Ужвентис
Горад у Літве|Укмерге
Горад у Літве|Юрбаркас
Горад у Магаданскай вобл.|Сусуман
Горад у Мексіцы|Тампико
Горад у Мексіцы|Торреон
Горад у Моск. вобласці|Одинцово
Горад у Моск. вобл.|Дедовск
Горад у Маскоўскай вобласці|Дмитров
Горад у Маскоўскай вобласці|Мажайск
Горад у Малдове|Бэндары
Горад у Манголіі ў міжрэчча Селенги і Орхона|Эрдэнэт
Горад у Мурманскай вобласці, у падножжа гары Кукисвумчорр|Кировск
Горад у М'янме (Бірме)|Еу
Горад у Пакістане, у Пенджабе|Сиалкот
Горад у Пакістане|Лаялпур
Горад у Партугаліі|Каімбра
Горад у Партугаліі|Сантарен
Горад у Польшчы|Гливице
Горад у Польшчы|Избицко
Горад у Польшчы|Колобжег
Горад у Польшчы|Олесница
Горад ва Ўругваі|Мэрсэдэс
Горад ва Ўзбекістане|Арматор
Горад ва Ўзбекістане|Вабкент
Горад ва Ўзбекістане|Гиждуван
Горад ва Ўзбекістане|Джамбай
Горад ва Ўзбекістане|Кальвін
Горад ва Ўзбекістане|Кішэні
Горад ва Ўзбекістане|Пахтакор
Горад ва Ўзбекістане|Фергана
Горад ва Ўзбекістане|Хазарасп
Горад ва Ўкраіне, які славіцца галушкамі|Палтава
Горад ва Ўкраіне, за які адбывалася бітва ў 1942, Нямеччына–Расія|Харкаў
Горад ва Ўкраіне|Бережаны
Горад ва Ўкраіне|Бровары
Горад ва Ўкраіне|Горловка
Горад ва Ўкраіне|Джанкой
Горад ва Ўкраіне|Джуисон
Горад ва Ўкраіне|Жмеринка
Горад ва Ўкраіне|Ингулец
Горад ва Ўкраіне|Коломыя
Горад ва Ўкраіне|Конотоп
Горад ва Ўкраіне|Корсунь
Горад ва Ўкраіне|Купянск
Горад ва Ўкраіне|Люботин
Горад ва Ўкраіне|Макеевка
Горад ва Ўкраіне|Мукачево
Горад ва Ўкраіне|Славянск
Горад у Фінляндыі|Тампере
Горад у Дзіцяці|Мао
Горад у Чарнігаўскай вобласці|Прилуки
Горад у Чэха-Славакіі, месца вытворчасці сусветна вядомага гатунку піва|Пльзень
Горад у Чэхаславакіі|Славков
Горад у Чэхіі, дзе праводзяцца тэкстыльныя кірмашы|Либерец
Горад у Чэхіі|Йиглава
Горад у Чэхіі|Оломоуц
Горад у Чэхіі|Хамутоў
Горад у Чэхіі|Яблонец
Горад у Чалябінскай вобл.|Карабаш
Горад у Чалябінскай вобл.|Тургояк
Горад у Шатландыі, радзіма А. Конан-Дойля|Эдынбург
Горад у Шатландыі|Атлантыда
Горад у Швецыі|Варберг
Горад у Швецыі|Карлсборг
Горад у Швецыі|Карлстад
Горад у Швецыі|Сурселе
Горад у Эстоніі|Калласте
Горад у Эстоніі|Раквере
Горад у Эстоніі|Хаапсалу
Горад у Ю. Амерыцы, Калумбія|Медельин
Горад у Ю. Амерыцы, Бразілія|Курытыба
Горад у Ю. Амерыцы, Перу|Трухильо
Горад у Ю. Карэі|Кванджу
Горад у Югаславіі, сталіца ХIV зімовых Алімпійскіх гульняў|Сараево
Горад у Юж. Карэі|Кванджу
Горад у Паўднёвай Карэі|Кванджу
Горад у Паўднёвай Італіі|Салерно
Горад у Яраслаўскай вобл.|Рыбинск
Горад у Японіі на о. Хансю|Такасаки
Горад у Японіі, прыгарад Асака|Ибараки
Горад у Японіі|Кумамото
Горад у Японіі|Хамамацу
Горад у Японіі|Ямагути
Горад ва ўсходняй частцы Турцыі|Эрзурум
Горад у цэнтральнай частцы ЗША|Уичито
Горад у цэнтральнай частцы Перу, размешчаны на вышыні 3260 м|Уанкайо
Горад у цэнтры Ірана|Исфахан
Горад у штаце Кентукки|Луисвилл
Горад у штаце Вірджынія (ЗША)|Рычманд
Горад ва Ўладзімірскай вобл.|Пеўнічкі
Горад у В'етнаме|Наждинь
Горад у Францыі, у якім адбылася першая велагонка|Руан
Горад у Францыі|Безансон
Горад у Францыі|Беллини
Горад у Францыі|Бельфор
Горад у Францыі|Гренобль
Горад у Францыі|Монпелье
Горад зблізку Санкт-Пецярбурга, загарадная рэзідэнцыя рускіх цароў|Павловск
Горад, за які адбывалася бітва ў 1609–1611, Польшча-Расія|Смаленск
Горад, за які адбывалася бітва ў 1812, Францыя–Расія|Смаленск
Горад, за які адбывалася бітва ў 1941, Нямеччына–СССР|Смаленск
Горад, за які адбывалася бітва ў 1943, СССР–Нямеччына|Смаленск
Горад і заліў у Сардзініі|Кальяры
