Вугорскі паэт, рэвалюцыйны дэмакрат|Петефи
Вугорскі паэт. Складанка “Цяжкая зямля”|Ийеш
Вугорскі радиохимик. Нобелеўская прэмія (1943)|Хевеши
Вугорскі рэвалюцыянер-інтэрнацыяналіст|Кун
Вугорскі скульптар, гравёр манетнага двара (1882–1942)|Беран
Вугорскі физикохимик, радиохимик, Нобелеўск. прэмія 1943|Хевеши
Вугорскі хімік (1834–1908), стварыў школу венг. хімікаў|Тан
Вугорскі хімік, чал. Вугорскай АН з 1954|Фрейнд
Вугорскі хімік-аналітык. чал. Вугорскай АН з 1976|Пунгор
Вугорскі хімік-арганік, чал. Вугорскай АН з 1959 г.|Гереч
Вугорскі хімік-тэхнолаг, чал. Вугорскай АН з 1976|Хола
Вугорскі хімік-тэхнолаг|Варта
Вугорскі электратэхнік і вынаходнік|Кандо
Вугорскае віно|такай
Вугорскае спартовае грамадства|гонвед
Вугорац|мадзьяр
Вугоршчына, медье, адм. ц. – Бекешчаба|Бекеш
Вендэта па сваёй сутнасці|помста
Венес. пісьменнік|Бельо
Венесуэла, у вярхоўях р. Чурун (найвысокі на Зямлі вадаспад)|Анхель
Венесуэла, штат на поўначы, адм. ц. – Маракай|Арагуа
Венесуэла, штат на паўночным усходзе, адм. ц. – Барселона|Ансоатеги
Венесуэла, штат на паўднёвым захадзе|Апуре
Венесуэла, штат, адм. ц. – Баркисимето|Лара
Венесуэльскі серыял|Каіна
Вянок персідскага цара|тыяра
Вянок супрацоўніцтва|свет
Вянок, галаўны ўбор з кветак|вянок
Венецыянская залатая манета, пачала чаканіцца ў 13 ст.|цехин
Венецыянская сярэднявечная манета|цехин
Венецыянскія вырабы 15–16 ст.|альдины
Венецыянскі кіраўнік, які вянчаўся з морам, кідаючы ў яго кольца|дож
Венецыянскі праезд|канал
Венецыянскі купец і вандроўца другой паловы 13-го – пачала 14-го стст.|Падлога
Венік без лісця|дзяркач
Вянок з яго ўпрыгожваў Мельпомену – заступніцу старажытнагрэцкай трагедыі|плюшч
Вентылятар (бальн.)|веер
Шлюб па сваёй сутнасці|абрад
Якая вянчае паўсфера|купал
Што вянчае частка калоны ці пілястры?|капітэль
Вяпрук|кабан
Вера ў неўміручасць|атанасизм
Вера ў перадвызначанасць лёсу?|фаталізм
Вера ў існаванне душы|анімізм
Вера неверуещего|атэізм
Вярблюд – гібрыд|нар
Вярблюджая калючка|янтак
Вяроўка для трэніроўкі канёў на бег па крузе|корд
