Выгляд матылька|сатыр
Выгляд банкаўскага рахунку|акрэдытыў
Выгляд банкаўскага рахунку|анколь
Выгляд бегу; эст. пісьменнік; памяшканне на телеф. станцыі|крос
Выгляд бегу|крос
Выгляд белага хлеба|булка
Выгляд биома|сенажаць
Выгляд біржавой угоды|дэпорт
Выгляд баявога мастацтва|айкидо
Выгляд баявых дзеянняў|напад
Выгляд баявых дзеянняў|аблога
Выгляд боепрыпасаў для стральбы з артылерыйскіх гармат|снарад
Выгляд боепрыпасаў?|міна
Выгляд барацьбы|кетч
Выгляд бочкі|кадка
Выгляд штаноў|джынсы
Выгляд бутэрброда на падсмажаным хлебе|канапе
Выгляд побытавага начыння|посуд
Выгляд варэння|павідла
Выгляд вяснова-палявых сельскагаспадарчых прац|засеўкі
Выгляд воднага спорту|серфінг
Выгляд войскаў у мінулым|конніца
Выгляд вакцыны|аўтавакцына
Выгляд вярблюда|арван
Выгляд верхавой язды, высокая рытмічная рысь|пасаж
Выгляд ветра; побытавы электрапрыбор|фен
Выгляд ветра; прадстаўнік асноўнага насельніцтва Афганістана (саманазва – пуштун, патан)|афганец
Выгляд ветра|афганец
Выгляд ветра|пасат
Выгляд хабару|дарунак
Выгляд замежнагандлёвай дамовы па дастаўцы тавара водным шляхам|сиф
Выгляд вадзяной фарбы|гуаш
Выгляд лямца ў народаў Пёр. і Ср. Азіі|кече
Выгляд войскаў|дэсант
Выгляд усходняга адзінаборства|ниндзя
Выгляд усходняга адзінаборства|ушу
Выгляд круцельнага злучэння частак механізму|цапфа
Выгляд сустрэчы|аўдыенцыя
Выгляд выпечкі з выцяжнога цеста|штрудель
Выгляд выпуклага шматкантовіка|изогон
Выгляд вышывання; барабан купала; прыбудова да будынка|тамбур
Выгляд вышывання|тамбур
Выгляд гафту|роўнядзь
Выгляд гафту|макрамэ
Выгляд гафту|мярэжка
Выгляд гафту|рышэлье
Выгляд уюрка|шчур
Выгляд газэлі|джэйран
Выгляд госуд. ці экономич. злачынствы|шпіянаж
Выгляд гарадскога транспарта|трамвай
Выгляд горнага экскаватара|абзетцер
Выгляд горналыжнага спорту|фрыстайл
Выгляд галаваломкі, разнавіднасць крыжаванкі|чайнворд
Выгляд галеры, ваенны карабель 16–17 ст.|галеас
Выгляд галопу каня (400–750 м/мін.)|кентер
Выгляд гіперкінэзу|цік
Выгляд горналыжнага спорту|слалам
Выгляд гарадскога транспарта|мятро
Выгляд гарадскога транспарта|таксі
Выгляд гарадскога, грамадскага, пасажырскага транспарта|аўтобус
Выгляд гарачай апрацоўкі металу|каванне
Выгляд дзяржаўнага грашовага дапаможніка|пенсія
Выгляд гравюры|акватинта
Выгляд гравюры|афорт
Выгляд графікі|плакат
Выгляд грыбкоў, якія выклікаюць закісанне|дрожджы
Выгляд грузавога транспарта|кар
Выгляд дэкаратыўна-прыкладнага мастацтва|набіванка
Выгляд дэльфіна|косатка
Выгляд дарожнага пакрыцця|асфальтабетон
Выгляд жаночага паліто|манто
Выгляд руху каня (крок, рысь, галоп і інш.)|алюр
Выгляд дэбюту ў шахматах ці шашках|гамбіт
Выгляд дэкаратыўна-прыкладнага мастацтва: упрыгожванне прадмета ўрэзанымі ў яго паверхню малюнкамі ці ўзорамі з іншага ці таго ж матэрыялу інш. кветкамі?|інкрустацыя
Выгляд дэкаратыўнай і паркавай скульптуры|герма
Выгляд дэльфіна; гара ў Алтайскім краі|бялуха
Выгляд дэльфіна|бялуха
Выгляд дэльфіна|нарваў
Выгляд дэфармацыі|прагін
Выгляд дзейнасці Інтэрпола|вышук
Выгляд дзейнасці юрыста|адвакатура
Выгляд дзікіх жывёл (агульнае, мн. ч.)|звяры
Выгляд дынамікі ў музыцы|піяна
Выгляд доброкач. пухліны|адэнома
Выгляд дамовы ў замежнагандлёвай куплі-продажу тавараў|каф
Выгляд дамовы пры марской перавозцы|каф
Выгляд дамовы|запар
Выгляд дакумента; вайсковае падраздзяленне|убор
Выгляд дакумента; п'еса Эрдмана|мандат
Выгляд дакумента|акт
Выгляд дакумента|дэкрэт
Выгляд дакумента|мандат
Выгляд дакумента|убор
Выгляд абавязкаў. обязат-у; бум. грошы, вышедш. з ужывання|боны
Выгляд пазыковых абавязанняў|боны
Выгляд прыбытку, не злучаны з прадпрымальніцкай дзейнасцю|рэнта
Выгляд прыбытку, не патрабавальны ад сваіх атрымальнікаў прадпрымальніцкай дзейнасці|рэнта
Выгляд прыбытку|рэнта
Выгляд прыбыткаў службоўцаў у Расіі ў 18 ст.|акцыдэнцыі
Выгляд старажытнагрэцкай літаратуры – апісанне марскіх плаванняў уздоўж берагоў|перипл
Выгляд старажытнарускага спеву|распеў
Выгляд жабо|каўнер
Выгляд жывапісу|гризайль
Выгляд жывапісу|пастэль
Выгляд маляўнічага твора|тэмпера
Выгляд жывёл (адказ у мн. ч.)|сумчатые
Выгляд жывапісу|гуаш
Выгляд жывёл (адказ у мн. ч.)|губкі
Выгляд жыццёвай формы раслін (расліна, якое насяляе ў вадзе)|гидрафіт
Выгляд жыццёвай формы раслін (расліна, у якіх ныркі аднаўлення знаходзяцца ў глебе)|геафіт
Выгляд зарада снарада|шрапнэль
Выгляд зарада патрона|карцеч
Выгляд нарыхтаванай для працяглага захоўвання ялавічыны|саланіна
Выгляд задачы-галаваломкі|чайнворд
Выгляд закладу|іпатэка
Выгляд загадкі, галаваломкі|шарада
Выгляд загадкі|рэбус
Выгляд зайца, што мае ўзімку белая афарбоўка|бяляк
Выгляд зайца|русак
Выгляд заклёпвання; клапан у духавым муз. прыладзе|пістон
Выгляд заклёпвання|пистон
Выгляд закона, які выдаваўся імператарамі ў сярэднія вякі|эдыкт
Выгляд запрэжкі канёў сябар за сябрам|цуг
Выгляд зароку больш не піць|зарок
Выгляд зарада паляўнічага патрона|дроб
Выгляд ахоўнага галаўнога ўбору, распаўсюджаны на Русі ў ХII–ХIV стст.|шышак
Выгляд зебры?|грэві
Выгляд зямельнага валодання ў сяр. стагоддзі|феод
Выгляд зямельнай уласнасці ў германскіх плямёнаў|аллод
Выгляд зімовага дваяборства|біятлон
Выгляд зімовага шматбор'я|біятлон
Выгляд злокач. пухліны|аденакарцінома
Выгляд зуба|ікол
Выгляд исскуства|аперэта
Выгляд мастацтва, які ўключае малыя формы драматургіі, спевы, музыкі, харэаграфіі, цырка і інш.|эстрада
Выгляд мастацтва|жывапіс
Выгляд штучнай скуры з тканіны з нитроцеллюлозным пакрыццём|дермацін
Выгляд выканальніцкага мастацтва|эстрада
Выгляд вярбы|вярба
Выгляд гульні ў рускім прэферансе|распасы
Выгляд ідэалогіі|расізм
Выгляд намалюе. мастацтвы|гравюра
Выгляд выяўленчага мастацтва|плакат
Выгляд інкрустацыі на мэблі і іншых драўляных прадметах|інтарсія
Выгляд мастацтва, арганічна злучаны з музыкай|танец
Выгляд мастацтва, які ўславіў Майю Плисецкую|балет
Выгляд мастацтва; раман С. Моэма|тэатр
Выгляд мастацтва; сав. кінастужка|цырк
Выгляд мастацтва; фільм|кіно
Выгляд мастацтва?|кіно
Выгляд мастацтва|тэатр
Выгляд мастацтва|цырк
Выгляд шпулькі (портняж.)|шпулька
Выгляд кафтана|охабень
Выгляд керамікі|маёліка
Выгляд скуры|вырастак
Выгляд скуры|шчыгрын
Выгляд койкі|ляжанка
Выгляд коннага спорту|аб'езджванне
Выгляд фарбаў|акварэль
Выгляд крэдытных грошай|банкнота
Выгляд кузава легкавога аўтамабіля|родстар
Выгляд кулінарнай апрацоўкі прадуктаў|жарение
Выгляд кандэлябра, ад якога больш за ўсё ў мінулым стагоддзі пакутавалі галовы картачных шулераў|шандал
Выгляд картачнай гульні, асоба папулярнай у Расіі|дурань
Выгляд катапульты, кідальная зброя ў інш. Грэцыі|анагр
Выгляд шпулькі|бабіна
Выгляд шпулькі|навой
Выгляд кафтана на Русі|ферязь
Выгляд керамікі, пігмент, які надае перламутравы водбліск|люстраў
Выгляд керамікі, свінцовая глазура|глёт
Выгляд кінжала?|штылет
Выгляд клетак жывёл і чалавека|фагацыт
Выгляд клавесіна|аркичембало
Выгляд таўра|таўро
