Дзівасіл|инула
Дедалиона|Хиона
Дзедаўскія метады|руціна
Дзядуля без сякеры мост будуе|мароз
Дзяжурны вартаўнік ва ўстанове|вахцёр
Якая дэзінфікуе вадкасць, антысептык|лізол
Деисус – тры, складзеныя разам абразы, дзве з якіх малююць Выратавальніка і Богамаці. Хто маляваўся на трэцяй?|папярэднік
Дзейсная ўвага?|клопат
Дзейсныя чыннікі, якія ўплываюць на становішча сённяшняга дня|рэаліі
Дзеянне блёкату на арганізм відаць па тым, як яна пашырае ...|зрэнкі
Дзеянне ў адплату за прычыненае зло|помста
Дзеянне ці сістэма дзеянняў, якія ўжываюцца пры выкананні якой-небудзь працы|спосаб
Дзеянне любога экалагічнага фактару характарызуецца максімальным і мінімальным пераноснымі значэннямі фактару, кропкамі, за межамі якіх знаходзіцца... Што?|смерць
Дзеянне, якое ўводзіць у памылку?|блеф
Дзеянне, якое мае мэтай знайсці штосьці|пошук
Дзеянне, накіраванае на ўсталяванне, змена ці спыненне праваадносін юрыдычных і фізічных асоб|угода
Дзеянне, учынак|акт
Дзеянне, што служыць узорам для пераймання?|прыклад
Дзеянне, якое прыносіць карысць, дапамога іншаму|паслуга
Дзеянне, вынік чаго-небудзь|эфект
Рэчаісны лік, не змянялае суму|нуль
Сапраўдная, рэальная падзея, з'ява|факт
Рэчаіснасць, рэальнасць|факт
Рэчаіснасць?|рэальнасць
Незалежны стан|актыў
Дзеянні па выяўленні чаго-небудзь|пошук
Дзеянні таго, хто не адступіць, пакуль не даможацца свайго|хватка
Дзеянні, злучаныя са служэннем бажаству, абрады|культ
Действущее твар камічнай оперы В. Моцарта “Вяселле Фігаро”|Альмавіва
Действующ. твар оперы М. Мусаргскага “Сорочинская кірмаш”|Парася
Дзейсны чыннік, якая выклікае тыя ці іншыя з'явы ў прыродзе, арганізме і т. д.|агент
Дзейсны твар балета “Бахчысарайскі фантан”|Нурали
Дзейсны твар балета Ч. Пуньи “Эсмеральда”|Фролло
Дзейсны твар у п'есе А. Чэхава “Вішнёвы сад”|Фирс
Дзейсны твар у п'есе А. Чэхава “Дзядзька Янка”|Астров
Дзейсны твар аперэты І. Дунаевского “Вольны вецер”|Стелла
Дзейсны твар аперэты І. Дунаевского “Вольны вецер”|Янко
Дзейсны твар аперэты І. Штраўса “Кажана”|Адель
Дзейсны твар оперы А. Рубинштейна “Дэман”|Наташа
Дзейсны твар оперы Д. Верди “Трубадур”|Азучена
Дзейсны твар оперы М. Глінкі “Руслан і Людміла”?|Ратмір
Дзейсны твар оперы М. Глінкі “Іван Сусанін”|Антаніда
Дзейсны твар оперы Н. А. Рымскага-Корсакова “Садко”|Любава
Дзейсны твар оперы П. Чайковского “Яўген Онегин”|Гремин
Дзейсны твар оперы П. І. Чайковского “Яўген Онегин”|Гремин
Дзейсны твар оперы П. Чайковского “Віновая дама”|Паліна
Дзейсны твар оперы Ф. Амирова “Севиль”|Абдулалибек
Дзейсны твар пародыі А. П. Чэхава “Вэрхал у Рыме”|Гессе
Дзейсны твар п'есы Л. Н. Талстога “Ўлада цемры”|Акім
Дзейсны твар п'есы Н. В. Гогаля “Рэвізор”|Хлопов
Дзейсны твар п'есы-казкі М. Метерлинка “Сіняя птушка”|агонь
Дзейсны твар трагедыі В. Шэкспіра “Кароль Лір”|Регана
Дзейсная адтуліна аптычнага прыбора, вызначанае памерамі лінзаў ці дыяфрагмамі|апертура
Дзейсны вулкан у Камеруне|Фако
Дзейсны вулкан у Мексіцы|Колима
Дзейсны вулкан у Японіі, на выспе Хансю|Асама
Дзейсны вулкан на Канарскіх выспах|Тейде
Дзейсны вулкан на выспе Парамушир|Эбеко
Дзейсны вулкан на выспе Сіцылія|Этна
Дзейсны вулкан на выспе Хансю|Бандай
Дзейсны вулкан на выспе Ява|Семеру
Дзейсны вулкан, найболей высокая вяршыня Каскадных гор у ЗША|Рейнир
Дзекабрыст, капітан-лейтэнант, удзельнік вайны 1812 г.|Торсон
Дзекабрыст, лицейский сябар А. С. Пушкіна|Пущин
Дзекабрыст, чалец Паўночнага грамадства|Кавуноў
Дзекабрыст|Андрэевіч
Дзекабрыст|Лорер
Дзекабрыст|Сутгор
Дэкалітр|даў
Дэкарт казаў, што мы не можам сумнявацца ў тым, што ...|сумняваемся
Дэкласаваныя, якія выпалі з жыцця грамадства людзі – валацугі, жабракі, дробныя крымінальнікі і т. п.|люмпен
Дэкласаваны пласт людзей|люмпен
Дэкор. дэталь у выглядзе лісця на гатычным будынку|крабб
Дэкор. і вырабны камень; горная парода|яспіс
Дэкор. і вырабны камень|яспіс
Дэкор. матыў вост. дыванаў – восьмиугольный медальён|гюль
Дэкор. пакрыццё з цветн. гліны, якая наносіцца на кераміку|ангоб
Дэкор. расліна і ягада|актынідыя
Дэкор. расліна роду рададэндран сем. верасовых|азалія
Дэкор. расліна (мясістыя сцеблы і лісце) сім. таўсцянкавых|расходнік
Дэкор. расліна, кветка|фіялка
Дэкаратыўная шпілька, найстаражытнае ўпрыгожванне|фібула
Дэкаратыўная ваза для кветкавага чыгуна|кашпо
Дэкаратыўная гладкокрашеная тканіна са складаным буйным тканым малюнкам для абіўкі мэблі|штоф
Дэкаратыўная дэталь на элементах гатычнага будынка|крабб
Дэкаратыўная форма язя|орфа
Дэкаратыўная расліна; дрэвы і хмызнякі|язмін
Дэкаратыўны малюнак, атрыманае налепваннем ці прышываннем рознакаляровых кавалачкаў матэрыялу (тканіны, паперы)|аплікацыя
Дэкаратыўная пакаёвая травяністая расліна з пахкім лісцем, якое здымае галаўны боль|герань
Дэкаратыўная хмызняковая расліна сямейства верасовых з ружовымі, белымі, жоўтымі ці чырвонымі кветкамі|азалія
Дэкаратыўная лекавая расліна|альяс
Дэкаратыўная шматгадовая травяністая расліна сямейства камнеломковых з дробнымі кветкамі, сабранымі ў буйныя прыгожыя суквецці|астильбе
Дэкаратыўнае пакрыццё ў выглядзе тонкага пласта белай ці каляровай гліны, што наносіцца на паверхню керамічнага выраба да яго абпалу для залицовки няроўнасцяў і наданні адпаведнага выгляду і колеры|ангоб
Дэкаратыўная расліна з пахкімі кветкамі|герань
Дэкаратыўная расліна сямейства аралиевых|аралія
Дэкаратыўная расліна сямейства ароидных|калла
Дэкаратыўная расліна сямейства кипрейных з яркімі, пераважна чырвонымі кветкамі|фуксія
Дэкаратыўная расліна сямейства казяльцовых з буйнымі яркімі кветкамі|півоня
Дэкаратыўная расліна сямейства казяльцовых|аканіт
Дэкаратыўная расліна|мірт
Дэкаратыўная садовая расліна са шматлікімі духмянымі кветкамі, сабранымі ў буйнае суквецце на вяршыні сцябла|флёкс
Дэкаратыўнае травы. расліна|агава
Дэкаратыўнае травы. расліна|акант
Дэкаратыўнае травы. расліна|купальнік
Дэкаратыўнае травы. расліна|асфоделина
Дэкаратыўнае травы. расліна|бадан
Дэкаратыўнае травы. расліна|герань
Дэкаратыўнае травы. расліна|иглица
Дэкаратыўнае травы. расліна|каіна
Дэкаратыўнае травы. расліна|кливия
Дэкаратыўнае травы. расліна|кринум
Дэкаратыўнае травы. расліна|любка
Дэкаратыўнае травы. расліна|смолка
Дэкаратыўнае травы. расліна|шафран
Дэкаратыўная травяністая расліна|герань
Дэкаратыўная травяністая садовая расліна з духмянымі кветкамі|тытунь
Дэкаратыўнае, часта каштоўнае (залатое, срэбнае) апраўленне абраза, кніжнай вокладкі|аклад
Дэкаратыўны хмызняк; дрэвы і хмызнякі|пратокі
Дэкаратыўны хмызняк з духмянымі кветкамі|язмін
Дэкаратыўны хмызняк поўдня еўрапейскай часткі Расіі з серабрыстай лістотай і галінкамі і жаўтлявымі ягадамі|лох
Дэкаратыўны хмызняк?|язмін
Дэкаратыўны асвятляльны прыбор|люстра
Дэкаратыўны садовы выгляд прымулы|аврикула
Дэкаратыўная пасудзіна вытанчанай формы|ваза
Дэкаратыўны элемент|фиал
Дэкаратар “Рускіх сезонаў” Сяргея Дягилева|бакст
Дэкарацыя ў тэатры|куліса
Дэкрэт|указ
Справы добрыя|ажур
Робіць стеганым не толькі коўдра|пуга
Дзяленне на крузе компаса, якое адпавядае 1/32 часці акружнасці гарызонту|румб
Дзяленне на цыферблаце компаса|румб
Дзяленне тэксту Чатырохевангелля|зачало
Далікатны і эмацыйны, паблажлівы і імпульсіўны, выдатны сем'янін будзе што нарадзіўся пад знакам гэтага дрэва ў шэры. чэрвеня/снежня|інжыр
Дэлікатэс для ката Барыса (рекл.)|вискас
Дэлікатэс турыста|галета
Деликатесный “лобстар”|рак
Деликатесный прадукт сілкавання|ікра
Далікатна які ўкараняецца розум|густ
Падзельная частка неубитого мядзведзя|шкура
Справа нажыўное|навык
Справа рук ювеліра|брошка
Справа, якое прачкі баіцца|мыццё
Справа, праца па-замежнаму|бізнэс
Справа; падборка дакументаў пра каго вось ці па вызначаным пытанні?|дасье
Дзелавы парыў|стараннасць
Делон|Ален
Справе вянок|канец
Дэльфін з біўнем|нарваў
Дэльфін, лёгка які паддаецца дрэсіроўцы|афалина
