Дэталь рускай хаты|стаяк
Дэталь рычажного механізму, замацаваная на восі з аднаго боку і апорная паўзун, злучаны з крывашыпом?|куліса
Дэталь радавой навясной сеялкі|лямеш
Дэталь сантэхнікі|кран
Дэталь свяцільні: напаўпразрыстае, рассейвалае святло дэкаратыўны корпус для лямпы|плафон
Дэталь снарада|шклянка
Дэталь пральнай машыны|актыватар
Дэталь струнных муз. прылад, на якой нацягнуты струны|грыф
Дэталь струнных музычных прылад|колак
Дэталь калёс, выкарыстоўваная ў гутарцы для характарыстыкі закона|дышаль
Дэталь такарнага станка|пиноль
Дэталь хадавога механізму гадзін|анкер
Дэталь гадзін; клямар у каменным муры|анкер
Дэталь гадзін|анкер
Дэталь гадзін|якар
Дэталь гадзіннікавага механізму|баланс
Дэталь гадзіннікавага механізму|палета
Дэталь шарыкавай ручкі|шарык
Дэталь шахматных гадзін|сцяжок
Дэталь швейнай машынкі|шпуля
Дэталь, “якая нанялася на працу” ручкай у дзвярэй і куфраў|клямка
Дэталь, без якой і па спраўных гадзінах час не пазнаеш?|цыферблат
Дэталь, дыск з адтулінай, звычайна падкладаецца пад гайку|шайба
Дэталь, за якую можна выцягнуць увесь ланцуг|звяно
Дэталь, якая адрознівае смокінг ад фрака|фалды
Дэталь, насаживаемая на верх шчоглы для ўздыму ліхтара ці сцяга|клотик
Дэталь, якая перадае ток на ротар электрамашыны|шчотка
Дэталь, што злучае профілі драб карабля, збежныя пад кутом|кніца
Дэталь, якая ўтрымлівае баёк запала ручной гранаты|загваздка
Дэталь, што ўсталёўваецца ў пазах дзвюх датыкальных дэталяў і якая прадухіляе іх зрух|шпонка
Дэталь, што злучае профильн. эл-ты карпусы судна|кніца
Дзяцей гэтай багіні Апалон і Артэміда ўразілі стрэламі, адпомсціўшы тым самым за сваю маці|Ниоба
Дэтэктыў (прафесія)|шпік
Дэтэктыў з Джэйн Фондой і Дональдам Сазерлендом|клют
Дэтэктыў, герой твораў Астрид Линдгрен?|Блюмквист
Дэтэктыў, герой твораў фр. пісьменніка Леблана|Люпен
Дэтэктыўны аповяд пра адзін маленькі доказ завецца “Швецкая ...”|запалка
Дэтэктыўны раман Г. Міронава|гюрза
Дзіцяня вожыка|важычаня
Дзіцяня сабакі|шчанюк
Дзяцінец на Русі|крэмль
Стварэнне М. Калашнікава|аўтамат
Дзетазабойства, не праследуемае ў нас законам|аборт
Дзіцсадкоўскі “стукач”|данос
Дзіцячая хвароба – парушэнне развіцця костак з прычыны недахопу ў арганізме вітамінаў|рахіт
Дзіцячая хвароба|коклюш
Дзіцячая загадка: Адгадай, якая кветка // Вырасце цацкай? // Страціць пялёстак – // Стане бразготкай|мак
Дзіцячая здраўніца ў Крыму|Артэк
Дзіцячая гульня|хованкі
Дзіцячая гульня|хованкі
Дзіцячая гульня|квач
Дзіцячая гульня|чыжык
Дзіцячая цацка, турок; лясны жаўрук|ваўчок
Дзіцячая цацка|ваўчок
Дзіцячая картачная гульня|акуліна
Дзіцячая картачная гульня|сто
Дзіцячая пампавалка|калыска
Дзіцячая песенька|усмешка
Дзіцячая пісьменніца|барта
Дзіцячая рухомая гульня|хованкі
Дзіцячая рухомая гульня|хованкі
Дзіцячая рухомая гульня|квач
Дзіцячая прышчэпка|манту
Дзіцячая прысыпка, якая патрэбна і гімнастам, і штангістам|тальк
Дзіцячы атракцыён, маецца амаль на кожнай дзіцячай пляцоўцы|арэлі
Дзіцячы часопіс; складанка вершаў Аляксандраўскага|вогнішча
Дзіцячы часопіс|вогнішча
Дзіцячы і устар. жаночы галаўны ўбор з карункамі, які зачыняе вялікую частку галавы, з завязкамі пад падбародкам|каптур
Дзіцячы курорт на беразе Чорнага мора|Анапа
Дзіцячы пісьменнік|Насоў
Дзіцячы паэт па імі Самуіл|Маршак
Дзіцячы аповяд Мікалая Носова|агуркі
Дзіцячы сатырычны кіначасопіс|ералаш
Дзіцячы тэатр (аббр.)|ТЮЗ
Дзіцячы гумарыстычны кіначасопіс|ералаш
Дзіцячы, а таксама жаночы галаўны ўбор са стужкамі, якія завязваюцца пад падбародкам|каптур
Дзіцячая дашкольная ўстанова|яслі
Дзіцячае захворванне|адзёр
Дзіцячае захворванне|свінка
Дзіцячае пудзіла|мэма
Дзіцячая ўстанова, кармушка для скаціны ці зорная скупнасць|яслі
Дэфект гаворкі з прычыны пераядання|ікаўка
Дэфіцытны пропуск да дэфіцыту|блат
Дэфармацыя правадоў ад уласнага цяжару ці ападкаў|правес
Дэфармаваны стан бруса, што суправаджаецца скрыўленнем яго восі|выгін
Дэфармаванае цвёрдае цела, папярочныя памеры якога прыкметна менш падоўжнага|брус
Дзейсны твар аперэты Ж. Оффенбаха “Выдатная Алена”|Парыс
Танныя балгарскія цыгарэты?|Шипка
Танныя расійскія цыгарэты, названыя так па смуродзе, ад іх выходнай|дымок
Танны адэкалон|шипр
Танны тытунь?|махорка
Дзеяч Вялікай Французскай Рэвалюцыі|Бриссо
Дзеяч Вялікай Французскай Рэвалюцыі|Верньо
Дзеяч Вялікай Французскай Рэвалюцыі|Варле
Дзеяч Вялікай Французскай Рэвалюцыі|Анрио
Дзеяч Вялікай французскай рэвалюцыі, якабінец|Эбер
Дзеяч Украіны, яго імем названа скала ва Ўкраіне|Довбуш
Дзеяч австрал. і междунар. комм-го рухі|Шарки
Дзеяч армянскага вызваленчага руху супраць іранскай і турэцкай няволі, які спрабаваў атрымаць дапамогу ад Пятра Вялікага|Гарлапань
Дзеяч беларускай культуры|Будный
Дзеяч вялікай французскай рэвалюцыі, адзін з заснавальнікаў якабінскага клуба|Сийес
Дзеяч венесуэльскага і межд. комм. рухі|Мачадо
Дзеяч індыйскага і міжнароднага камуністычнага руху|Рао
Дзеяч ирланд. нац. рухі|Батт
Дзеяч мастацтва|артыст
Дзеяч іт. і межд. комм. рухі|Грамши
Дзеяч італьянскага і міжнароднага камуністычнага руху|Лонго
Дзеяч кітайскага і междунар. роў. дв.|Цюбо
Дзеяч мараканскага і міжнароднага камуністычнага руху|Ята
Дзеяч межд. працоўнага руху|Торез
Дзеяч нямы. і межд. комм. рухі|Рейман
Дзеяч освоб. рухі ПАР|Латули
Дзеяч румз. дв. у Расіі, дыпламат|Войков
Дзеяч румз. дв. у Расіі, матрос|Маркин
Дзеяч сірыйскага рэвалюцыйнага руху|Багдаш
Дзеяч французскага і міжнароднага камуністычнага руху|Торез
Дзеяч французскай рэвалюцыі, адзін з кіраўнікоў “Шалёных”|Ру
Дзеяч чехосл. і межд. комм. рухі|Шверма
Дзейная частка калектыва?|актыў
Дзяячка індыйскага нац.-осв. рухі|Безант
Дзейнасць адмысловых органаў па ўсталяванні месцазнаходжання каго-небудзь|вышук
Дзейны чалец калектыва|актывіст
Джозаф Дыксан, друкар і літограф, эксперыментуючы з графітам, які ён спрабаваў выкарыстоўваць для выраба тугаплаўкіх тыгляў, адначасна вынайшаў што?|аловак
Джавахарлал ...|Неру
Джазавы муз. прылада|банджа
Джазавы піяніст, кампазітар і дырыжор|Бриль
Джазавы стыль|бибоп
Джазавы стыль|суинг
Джамбул Джабаев|акын
Джэй Севен|сок
Джэйн, галоўная гераіня рамана англічанкі Шарлоты Бронте|Эйр
Джэк Лондан у адносінах да “Марскога ваўка”|аўтар
Джэнтльменскае месца правядзення вольнага часу|клуб
Джибути (сталіца, цэнтр)|Джибути
Джын, які валодае адмысловай сілай|ифрит
Джон Фитцджеральд Кэнэдзі набыў гэта падчас ваеннай службы, але впоследствие змушаны быў (па патрабаванні жонкі) з гэтым растацца, хоць растанне было вельмі хваравітым. Што ж гэта?|татуяванне
Дыялект нашчадства атожылка Ноева|хамства
Дыялог журналіста з кім-або|інтэрв'ю
Диапозитивное кіно|дыястужка
Диапроектор|диаскоп
Дыск, стужка з гукавым запісам|фанаграма
Дыск, на які запісваецца інфармацыя ў кампутары|дыскета
Дысплей, падлучаны да кампутара|манітор
Дыстанцыя ў лёгкай атлетыцы|марафон
Дысцыпліна, якая вывучае плыні і дэфармацыі асяроддзяў|рэалогія
Дыетычны овощ|артышок
Диопсид ярка-зялёнага колеру, вырабны камень|лавровит
Дырыжор, народны артыст СССР, арганізатар і кіраўнік оперно-сімфанічнага аркестра Ўсесаюзнага радыё|Самасуд
Дырыжор, народная артыстка СССР|Дударова
Дырыжор, народны артыст СССР|Китаенко
Диагоналевая тканіна|цвід
Дыяганальны элемент каркаса будынка|раскос
Дыядэма ў выглядзе кобры, эмблема царскай улады ў Егіпце|урей
Дыялект малайского мовы|акек
Дыялект аднаго з індзейскіх моў|таце
Дыялект вызначанай сацыяльнай групы людзей, ствараны з мэтай моўнага адасаблення|арго
Дыялектная з'ява рус. мовы|оканне
Дыялектная з'ява рускай мовы|аканне
Дыяметр канала ствала агнястрэльнай зброі, куль і снарадаў|калібр
Дыяпазон пеўчага голасу Зураба Соткилавы|тэнар
Дыяпазітыў?|слайд
Канапа без спінкі?|тахта
