Евангельскі здраднік|Юда
Еўнух “авечага” гарэма|баран
Евр. “хваліце бога”|алілуя
Евр. палонны|Сава
Евр. паэт, драматург; сав. акцёр|Галкин
Евр. паэт, драматург|Галкин
Евр. філосаф, пісьменнік|Бубер
Габрэі (старажытная назва)|юдэі
Габрэі, вялікая частка|ашкеназы
Габрэй купляў яйкі, варыў іх і прадаваў па той жа кошту. Што яму заставалася? (анекдот)|навар
Габрэй, да якога ў анекдоце з'явіліся чэкісты рэквізаваць золата, а ён крычыць жонцы: “Сарра, золатка, за табой прыйшлі”|ювелір
Габрэй, які прымудрыўся адразу служыць і ахранцы і партыі эсэраў, з “чарноццем” якога В. Маякоўскі параўноўваў цёмную ноч|Азеф
Габрэй|юдэй
Еврейск. молитвенн. абшчына не меней 10 чалавек|миньян
Еврейск. мова, заснаваны на нямецкім і іўрыце|ідыш
Габрэйская літара|вав
Габрэйская літара|ламед
Габрэйская літара|нун
Габрэйская літара|реш
Габрэйская літара|тав
Габрэйская пачатковая рэлігійная школа|хедар
Габрэйская пачатковая школа асноў юдаізму|хедар
Габрэйская абшчына ў краінах усходняй Еўропы ў ХIII–ХIХ стст.|кагал
Габрэйская школа для навучання хлопчыкаў асновам юдаізму|хедар
Габрэйскі пісьменнік, аўтар раманаў “Псалмопевец”, “Маці”|Аш
Габрэйскі пісьменнік. Нобелеўская прэмія (1978)|Зингер
Габрэйскі пісьменнік|Нистер
Габрэйскі паэт|Фефер
Габрэйскі прэсны хлеб да Вялікдня|маца
Габрэйскі працоўны звяз (1897–1921)|бунд
Габрэйскі хлеб – прэсныя тонкія пшанічныя аладкі, рытуальная ежа ў дні габрэйскага Вялікдня|маца
Еврокосмос (аббр.)|ЕКА
Еўроп. назва султанского палаца і гарэма|сераль
Еўроп. сталіца, дзе ў 1851 г., пабудавалі першае ў свеце будынак са шкла і металу – “Крышталь-паласс”|Лондан
Еўропа ў адносінах да Азіі|захад
Еўрапейскі дзікі конь|тарпан
Еўрапейская ракета-носьбіт|ариан
Еўрапейская сталіца, у якой знаходзяцца эратычныя вар'етэ “Ліда” і “Мулен-Руж”|Парыж
Еўрапейская сталіца, дзе прайшла першая ў свеце ветразная рэгата|Лондан
Еўрапейская краіна|Андора
Еўрапейскі горад, які ў 15 павеку быў незалежнай рэспублікай, а ў 16 цэнтрам Рэфармацыі, “пратэстанцкім Рымам”|Жэнева
Еўрапейскі дваранскі тытул|герцаг
Еўрапейскі ішак|асеў
Еўрапейскі стыль, які ўзнік у напалеонаўскай Францыі|ампір
Еўрапейскае княства, усё насельніцтва якога лёгка змясцуецца на трыбунах футбольнага стадыёна сярэдніх памераў|Андора
Еўрапейская назва будыйскага святара?|бонза
Еўрапейская назва найвысокай горнай вяршыні ў свеце?|Эверэст
Еўрапейская назва гарэма|сераль
Еўрапейская назва служак будыйскага культу ў Японіі|бонза
Еўрапейцы пішуць злева направа, арабы – справа налева. А ў якой маленькай краіне пісалі наўскос ад аднаго кута да іншага? “у ...”|Ліліпутыі
Еўрапеоідная|раса
Егип. біёлаг|Бакр
Егип. бог зямлі|Гебаў
Егип. рэфарматар ісламу|Абдо
Егип. мастак; адна з киноролей С. Мишулина|Саід
Егип. мастак|Саід
Егіпет, мухафаза, адм. ц. – Асуан|Асуан
Егіпет, мухафаза, адм. ц. – Асьют|Асьют
Егіпет, порт на р. Ніл, адм. ц. мухафазы Асьют (горад у Афрыцы)|Асьют
Егіпет. фараон, осн-ці 12-й дынастыі|Аменемхет
Егіпет. фараон, осн-ці 22-й дынастыі|Шешонк
Егіпецкая багіня неба|Мут
Егіпецкая багіня неба|Хатор
Егіпецкая багіня ўрадлівасці|Исида
Егіпецкая багіня, часам якая малявалася ў выглядзе каршуна|Уто
Егіпецкая дынастыя|Мамлюк
Егіпецкая мухафаза|Асьют
Егіпецкая, сірыйская дынастыі|Айюбид
Егіпецкі бог-сокал|Гор
Егіпецкі бог Землі|Гебаў
Егіпецкі бог палявання|Онурис
Егіпецкі бог|Анты
Егіпецкі бог|Атон
Егіпецкі бог|Еў
Егіпецкі прэзідэнт|Насер
Егіпецкі фараон, для якога была пабудавана першая піраміда|Джосер
Егіпецкі фараон, осн-ці 4-й дынастыі|Снофру
Егіпецкі фараон|Рамзес
Егіпецкі фараон|Рамсес
Егіпецкі фараон|Сеткі
Егіпецкі фараон|Хеопс
Егіпецкі фараон|Яхмос
Егіпецкі физикохимик (1902–1971)|Туркі
Егіпецкая мянушка паліцыянта|фараон
Яго “шурпатай мовай” паэт “вылізваў чахоткины пляўкі”|плакат
Яго бессэнсоўна кідаць перад свіннямі|пацеркі
