Адзіны трохкратны Чэмпіён Свету?|Пеле
Адзіны японскі горад, дзе можна выпускаць тавары з маркай “Маdе is USА”?|Юса
Адзінства трох твараў, прадметаў, паняццяў|трыяда
Адзінства, якое ўтвараецца трыма пачаткамі|трыяда
Адзінства, аб'яднанне людзей, згуртаваных агульнымі інтарэсамі|сям'я
Адзінства, цэласнасць прадметаў|сінтэз
Адзінства, што ўтвараецца трыма паасобнымі часткамі|трыяда
Адзіны зборны закон?|кодэкс
З'едлівая іронія|сатыра
З'едлівы раствор|луг
З'едлівы хлорысты раствор зелянява-жоўтага колеру, які выкарыстоўваецца пры бяленні тканін|жавель
З'едлівае хімічнае злучэнне|шчолач
Ядок (састарэлае)|рот
Едохимикат|нітрат
«Ежу, не баюся, што зваротна не вярнуся. Абнімі мяне мацней, хоць на імгненне, але стане лягчэй...» (исполн. песні)|Трубач
Яе даўней кахалі прапісваць|іжыца
Яе галінка – знак Японіі|сакура
Яе ўзрост перавышае перыяд паўраспаду самага ўстойлівага ізатопа тэлура?|Сусвет
Яе рыхтуюць узімку, а санкі – улетку|калёсы
Яе гроздья духмяныя “ноч напралёт нас зводзілі з розуму” (песень.)|акацыя
Яе справа – хаваць штосьці ад чужых вачэй|шырма
Яе павінен цягнуць кожны салдат|шлейка
Яе мае і дуб, і мозг, і Зямля|кара
Яе маюць не толькі спартоўцы і вайскоўцы|форма
Яе шукае шпік|доказ
Яе кахаў напачатку траўня рускі паэт Фёдар Тютчев|навальніца
Яе можна вешаць, ламаць і страціць|галава
Яе можна аддаць, не маючы ці не губляючы|гонар
Яе мы можам убачыць усярэдзіне аўтамабіля і на мяккай мэблі|абіўка
Яе пачынаюць звычайна пасля артпадрыхтоўкі|напад
Яе не маюць міфалагічныя падзеі, затое яна ёсць у гістарычных|дата
Яе не разгінаюць, калі працуюць шмат і цяжка|спіна
Яе носяць носчыкі і гаішнікі|бляха
Яе паглынае памперс|вільгаць
Яе загубіў драўляны конь|Троя
Яе падкаваў тульскі ўмелец|блыха
Яе “праца” – цямніць|запавеса
Яе радзімай па праве лічыцца Фінляндыя. Фіны прыпісваюць ёй гаючыя якасці, і няхітра, што на амаль 5 мільёнаў жыхароў краіны іх больш мільёна. Назавіце яе|сауна
Яе цягне той, хто цягне воз|шлейка
Штогадовая вышэйшая прэмія ў кінамастацтве ў ЗША|оскар
Штогадовая плата залежнага селяніна феадалу прадуктамі ці грашыма (истор.)|чынш
Штогадовая подушная подать у ср.-стагоддзе. Францыі|шеваж
Штогадовы збор грошай ці прадуктаў з прыгонных сялян|чынш
Штогадовы збор абшарнікам грошай і прадуктаў з сялян у Расіі пры прыгонным праве|чынш
Штогадовы збор рускіх ведзьмаў|шабас
Штодзённая газета карэліі (аббр.)|СК
Штодзённая газета, цэнтральны орган Італьянскай кампартыі|унита
Штодзённая пакістанская газета|доон
Штомесячны часопіс|юнацкасць
Ежовник, расліна сем. маревых|анабазис
Ёй падабаецца парадак стройны // Алігархічных гутарак, // І ... гонару спакойнай, // І гэта сумесь чыноў і гадоў. (А. Пушкін, “Яўген Онегин”)|холад
Ёй прысвяціў сваю кнігу “Ў краіне будучыні” нарвежскі исслед. Фритьоф Нансен|Расія
Ёй ужо больш 30 гадоў, але яна па-ранейшаму маладая і какетлівая і кожны год атрымлівае больш 100 новых убораў. Хто яна?|Барби
Екацярынбургская вобл. (Свярдлоўская вобл.), на р. Нейва (горад)|Алапаевск
Екацярынбургская вобл. (горад)?|Туринск
Екацярынбургская вобл. (горад)|Ивдель
Екацярынбургская вобл. (горад)|Кувша
Екацярынбургская вобл. (горад)|Ревда
Екацярынбургская вобл. (горад)|Реж
Екацярынбургская вобл. (горад)|Сяроў
Екацярынбургская вобл. (горад)|Тавда
Екацярынбургская вобл. (горад)|Талица
Елгава, у сярэднявечча сталіца Курляндыі|Митава
Елка, елка ў мяне даўжэй іголкі|хвоя
Яловыя галінкі|ельнік
Елкавая падстава|крыж
Елкавыя ўпрыгожванні з бліскучых нітак, палосак тонка нарэзанага пластыка|мішура
Ельцын у адносінах да Гадунова|цёзка
Емелина тачка|печка
Ёмістасць для варэння варэння|таз
Ёмістасць для варэння кавы з ярка выяўленай “нацыянальнай афарбоўкай”|туркі
Ёмістасць для вады|вядро
Ёмістасць для бруду, якой аблівае нагаворшчык|цэбар
Ёмістасць для вадкасцяў|бітон
Ёмістасць для вадкасцяў|бочка
Ёмістасць для вадкасці?|бак
Ёмістасць для вадкасці|графін
Ёмістасць для смецця|урна
Ёмістасць для захоўвання прадуктаў|слоік
Ёмістасць|бак
Ёмістасць|вядро
Яму часам патрэбен хустка|рот
Яму прыносяць прыбытак яго ж грошы|ранцье
Яму варта дужа трымацца за абаранак|шафёр
Яму слёзамі не дапаможаш|гора
Янот, якога завуць бамбукавым мядзведзем|панда
Еретич. секта ў хрысціянстве|катары
Ярмолка, капялюшык юдэя|стос
Ясенін: “Ты сказала, што ... цалаваў толькі толькі ў грудзі”|Саади
Калі Бог стварыў чалавека з гліны, то якога яна была колеры?|чырвонага
Калі Парыж – сталіца Рыма, тады што ж лічыцца сталіцай самага Парыжа?|Лондан
Калі букет гукаў – гэта акорд, тое што такое букет літар?|азбука
Калі б устала, то да неба дастала|дарога
Калі б ён менш думаў, не патрапіў бы ў суп|індык
Калі б яна і не пабывала ў краіне цудаў, то ўсё адно стала б вядомай як Фрейндлих|Аліса
Калі б гэтага аўстралійскага першабытніка прывезлі на Ўкраіну, яго сталі б клікаць Непейвода. А якая яго арыгінальнае прозвішча?|каала
Калі ў 0 гадзін 1 студзеня адбыўся Вялікі Выбух, а цяпер на гадзінах – 23 гадзіны 59 мінуць 31 снежня, тое што адбылося 31 снежня ў 22.30?|з'явіўся чалавек
Калі ў ХVII ст. ангельскі салдат заслужыў алебарду, то кім ён станавіўся?|сяржантам
Калі ў Кіеве дзядзька, тое што ў гародзе|бузіна
Калі ў яго часта зазіраць, жыццё пойдзе кулём|шклянка
Калі ў танках – 31, то дзе 17? “у ...”|хайку
Калі вам змяняе ... , вы найшчасны з мужоў – што меў на ўвазе Віктар Коняхин?|памяць
Калі верыць Блоку, яна ідзе пасля вуліцы і ліхтара|аптэка
Калі верыць І. Крылову, ён вельмі проста адкрываўся|куфэрак
Калі верыць народнай прыказцы, дарог не сам квас. А што ж у квасу дорага?|разыначка
Калі верыць рускай прыказцы, гэтыя людзі праклятыя ад бога. Тым не менш, В. В. Маякоўскі лічыў іх карыснымі чальцамі грамадства. Хто яны?|столяры і цясляры
Калі верыць тэлевізійнай рэкламе, ён смачны і хуткі|кнорр
Калі верыць тэлерэкламе, гэты маянэз кароціць шлях да сэрца мужчыны|кальве
Калі рэчывы падгрупы фтору – галагены, то падгрупы кіслароду – ...|халькогены
Калі ўзяўся за яго, кажа прыказка, не кажы, што не дюж|гуж
Калі віно варыць са спецыямі, дадаўшы спірту па гусце, тое што атрымаецца?|глінтвейн
Калі ўкласці яе ў яе ж, атрымаецца маляр|пэндзаль
Калі падчас злачынства абвінавачванага бачылі ў іншым месцы – гэта ...?|алібі
Калі цалкам давяраць легендзе, то менавіта шатландская каралева ... Сцюарт упершыню ў Еўропе надзелу белая сукенка да ўласнага вяселля|Марыя
Калі вы возьмеце грошы, асабісты пашпарт, усякія свае паперы, распіскі, рахункі – дзе вы павінны ўсё гэта захоўваць, паводле рускай прыказкі? “у ...”|капялюшу
Калі вы ўспомніце назву нейкай вобласці прамысловасці, то скажаце, без якой лацінскай тканіны Вы не сталі б эрудытам|тэкст
Калі вы жадаеце атрымаць даўжыню аршына, вымераўшы даўжыню пройдзенага шляху і падзяліўшы яе на колькасць крокаў, то якім крокам вам трэба ісці?|мерным
Калі дзяўчына не носіць яе ззаду, яна можа “знайсці на камень”|каса
Калі дзядзька быў спартоўцам, а потым патаўсцеў, тое яго пуза можна назваць так. А яшчэ гэта слова ўжываюць у адносінах да ...|цягніку
Калі ёю хадзіць наперад – сіратой застанешся, як абвяшчае народная прымета|спіна
Калі жанчына|яна
Калі жыццё – кніга, то ... – старонкі, выдраныя на самым цікавым месцы – прапушчанае слова ў афарызме|войска
Калі забыўся зачыніць кран|патоп
Калі злы чалавек чэрніць з задавальненнем, то яна – з карысцю|вакса
Калі ім стукнуць футбольны мяч, тое атрымаецца “пыр”|шкарпэтка
Калі іншароднае цела змясціць унутр малюска, тое можа ўтварыцца ...|жамчужына
Калі замежны шар ды з замежным аршынам, то якая замежная забава атрымаецца?|більярд
Калі да яго дадаць гидрохинон, атрымаецца класны праяўляльнік для фотастужкі|метол
