Ёю трасуць багатыя|мошна
Ж-д станцыя паміж Волховстроем і С.-Пецярбургам|мга
Чыг станцыя пад Масквой|апрелевка
Чыг станцыя пад Масквой|балашиха
Чыг станцыя пад Масквой|барвиха
Чыг станцыя пад Масквой|болшево
Чыг станцыя пад Масквой|голицыно
Чыг станцыя пад Масквой|красково
Чыг станцыя пад Масквой|кратово
Чыг станцыя пад Масквой|крюково
Чыг станцыя пад Масквой|купавна
Чыг станцыя пад Масквой|люберцы
Чыг станцыя пад Масквой|михнево
Чыг станцыя пад Масквой|марозкі
Чыг станцыя пад Масквой|подлипки
Чыг станцыя пад Масквой|реутово
Чыг станцыя пад Масквой|фаустово
Чыг станцыя пад Масквой|фрязево
Чыг станцыя пад Масквой|хрипань
Чыг станцыя пад Масквой|щербинка
Чыг вагон для сыпкіх грузаў|думпкар
Чыг станцыя пад Масквой|акулово
Чыг станцыя пад Масквой|гжель
Чыг станцыя пад Масквой|жилево
Чыг станцыя пад Масквой|икша
Чыг станцыя пад Масквой|кучино
Чыг станцыя пад Масквой|ликино
Чыг станцыя пад Масквой|маліна
Чыг станцыя пад Масквой|монино
Чыг станцыя пад Масквой|панкі
Чыг станцыя пад Масквой|пяскі
Чыг станцыя пад Масквой|усово
Смажаны кавалак ялавічыны|біфштэкс
Гарачатрывалы і цеплатрывалы сплаў|инкаллой
Жаргоннае слова|понт
Жаргонная назва жаночых сцёгнаў|кумпякі
Смажаніна з якая не нарадзілася курыцы|яечня
Гарачае месца на зямным шары|тропікі
Прагнасць, што знайшла, дзе пажывіцца|сквапнасць
Якая джаліць грамадская казурка, што жыве вялікімі асадамі|мурашка
Жан-Жак Русо меркаваў, што для шчасця неабходны тры ўмовы: добры банкаўскі рахунак, добры кухар і добры ...|страўнік
Жанр амерыканскага прыгодніцкага фільма|вестэрн
Жанр амерыканскіх фільмаў 40х – 60х гадоў, якія былі поўнай супрацьлегласцю аптымістычным стужкам Галівуду|нуар
Жанр антычнай лірыкі|дыфірамб
Жанр антычнай паэзіі і літаратуры, які адлюстроўваў мірнае жыццё на ўлонні прыроды, шчаслівае каханне і т. п. прыемнасці|ідылія
Жанр сучаснага фальклору|анекдот
Жанр сярэднявечнага рэлігійнага тэатра|містэрыя
Жанр у літаратуры і мастацтве, які ставіць мэтай аказанне моцнага псіхалагічнага ўздзеяння|трылер
Жанр у літаратуры, кіно|камедыя
Жанр журналістыкі|рэпартаж
Жанр заходнееўрапейскага тэатра 15–16 стагоддзяў – уяўленне павучальнага характару з алегарычнымі персанажамі|маралітэ
Жанр камедыйнай паэзіі: малюнак высокіх тэм нізкім стылем|бурлеск
Жанр народна-паэтычнай творчасці|загадка
Жанр паэзіі|балада
Жанр фантастич. твораў, які імкнецца да міфалогіі, значную ролю ў сюжэце гуляюць звышчалавечыя, магічныя героі і сілы|фэнтэзі
Жанр цыркавога мастацтва|блазнаванне
Жана д’Арк у свету|Чурикова
Жорсткая гусарская гульня|рулетка
Жорсткі зварот у дзяржаве|тыранія
Жорсткі чалавек (першапачаткова – той, хто здзірае скуру з забітых жывёл)|жывадзёр
Цвёрдая вокладка кнігі|вокладка
Цвёрдая дарожная торба|валізка
Цвёрды мужчынскі капялюш з круглявым верхам|кацялок
Жарабё пасля адабрання|отъемыш
Ахвяра ўласнай цікаўнасці (Неизв.)|глядач
Ахвяра калецтва|інвалід
Ахвяра педагагічных досведаў|дзіця
Ахвяра фарынгіту|горла
Жазло з каштоўнымі камянямі і разьбой – знак царскай улады|скіпетр
Жазло апавіты дзвюма змеямі, атрыбут Гермеса|кадуцей
Жазло старажытнагрэцкага бога Меркурыя|кадуцей
Жазло манарха|скіпетр
Залоза ўнутранай сакрэцыі хрыбетных жывёл і чалавека|гіпофіз
Железосодержащий пігмент крыві|гемацін
Жалезістая разнавіднасць грасуляра, ограночный камень|гессонит
Жалезісты кварцыт|таконит
Жалезная руда, якая валодае магнітнымі ўласцівасцямі|пирротин
Чыгунка ў Сярэдняй Азіі, на будаўніцтве якой пабываў Астап Бэндар|турксіб
