Горад у Расіі, Татарстан|Тетюши
Горад у Расіі, Цвярская вобл.|Андреаполь
Горад у Расіі, Цвярская вобл.|Белы
Горад у Расіі, Цвярская вобл.|Зубцоў
Горад у Расіі, Цвярская вобл.|Кимры
Горад у Расіі, Цвярская вобл.|Удомля
Горад у Расіі, Тульская вобл.|Бялеўшы
Горад у Расіі, Тульская вобл.|Венев
Горад у Расіі, Тульская вобл.|Плавск
Горад у Расіі, Тульская вобл.|Щекино
Горад у Расіі, Удмуртыя|Глазов
Горад у Расіі, Удмуртыя|Можга
Горад у Расіі, Ханты-Мансійская акруга|Сургут
Горад у Расіі, Чалябінская вобл.|Касли
Горад у Расіі, Чалябінская вобл.|Кыштым
Горад у Расіі, Чалябінская вобл.|Миньяр
Горад у Расіі, Чалябінская вобл.|Сатка
Горад у Расіі, Чалябінская вобл.|Троицк
Горад у Расіі, Чыцінская вобл.|Шилка
Горад у Расіі, Якутыя|Мірны
Горад у Расіі, Ямала-Ненецкі нац. акруга|Надым
Горад у Расіі, Яраслаўская вобл.|Любім
Горад у Расіі, Яраслаўская вобл.|Тутаев
Горад у Расіі, Яраслаўская вобл.|Угліч
Горад у Расіі, у Цвярской вобл.|Торжок
Горад у Расіі, сталіца Астраханскага ханства з 1459 г.|Астрахань
Горад у Расіі; знакаміты ветразны лінкор (Наварин)|Азоў
Горад у Расіі; персанаж рамана “Вайна і свет”|Растоў
Горад у Расіі; плывучы паплавок агароджы|Буй
Горад у Расіі; прыток Волгі|Самара
Горад у Расіі; рака; марка пральнай машыны|Вятка
Горад у Расіі?|Абакан
Горад у Расіі|Азоў
Горад у Расіі|Бранск
Горад у Расіі|Буй
Горад у Расіі|Выбарг
Горад у Расіі|Вязьма
Горад у Расіі|Вятка
Горад у Расіі|Курган
Горад у Расіі|Курск
Горад у Расіі|Ліпецк
Горад у Расіі|Олекма
Горад у Расіі|Омск
Горад у Расіі|Арол
Горад у Расіі|Пенза
Горад у Расіі|Перм
Горад у Расіі|Пскоў
Горад у Расіі|Растоў
Горад у Расіі|Самара
Горад у Расіі|Сангар
Горад у Расіі|Тамбоў
Горад у Расіі|Цвер
Горад у Расіі|Томмот
Горад у Расіі|Томск
Горад у Расіі|Цюмень
Горад у Расіі|Чыта
Горад у Расіі|Шуя
Горад у Расійскай Федэрацыі, сталіца Башкірыі|Уфа
Горад у Растоўскай вобл.|Аксай
Горад у Румыніі, недалёка ад якога знаходзіцца крэпасць Вилагош, дзе ў 1849 перад царскімі войскамі генерала Паскевіча капітулявалі асноўныя сілы вугорскіх рэвалюцыйных войскаў|Арад
Горад у Румыніі|Бакэу
Горад у Румыніі|Браила
Горад у Румыніі|Брашов
Горад у Румыніі|Брэила
Горад у Румыніі|Бузэу
Горад у Румыніі|Бырлад
Горад у Румыніі|Залэу
Горад у Румыніі|Клуж
Горад у Румыніі|Орадя
Горад у Румыніі|Сибиу
Горад у Румыніі|Сучава
Горад у Румыніі|Яссы
Горад у Разанскай вобласці, заснаваны ў 16 павеку, на гербе якога намаляваны снапы і вулей з пчоламі.|Шацк
Горад у ЗША, адміністрацыйны цэнтр штата Нью-Ёрк|Олбани
Горад у ЗША, у штаце Каларада|Ламар
Горад у ЗША|Алтес
Горад у ЗША|Алтуна
Горад у ЗША|Альбукерке
Горад у ЗША|Амарилло
Горад у ЗША|Бостан
Горад у ЗША|Дэнвер
Горад у ЗША|Инид
Горад у ЗША|Лаббок
Горад у ЗША|Мемфіс
Горад у ЗША|Мабіл
Горад у ЗША|Огдан
Горад у ЗША|Окленд
Горад у ЗША|Амаха
Горад у ЗША|Остин
Горад у ЗША|Сайлем
Горад у ЗША|Сіэтл
Горад у ЗША|Такома
Горад у ЗША|Флинт
Горад у ЗША|Фреско
Горад у ЗША|Фресно
Горад у Савойскіх Альпах, сталіца першых зімовых Алімпійскіх гульняў|Шамони
Горад у Самарскай вобл.|Кинель
Горад у Саратаўскай вобласці, які яшчэ ў 1920 году зваўся Екатериненштадт|Маркс
Горад у Сардзініі|Ольбия
Горад у Саудаўскай Аравіі|Медина
Горад у Саудаўскай Аравіі|Хуфуф
Горад у Сахалінскай вобл.|Оха
Горад у Сахалінскай вобл.|Холмск
Горад у Сахары|Адрар
Горад у Свердл. вобл.|Артемовский
Горад у Свердл. вобл.|Азбест
Горад у Свердл. вобл.|Реж
Горад у Свердл. вобл.|Сяроў
Горад у Свярдлоўскай вобл.|Ивдель
Горад у Свярдлоўскай вобласці|Азбест
Горад у Свярдлоўскай вобласці|Ирбит
Горад у Свярдлоўскай вобласці|Ревда
Горад у Свярдлоўскай вобласці|Тавда
Горад у Паўночнай Індыі|Барели
Горад у Паўночнай Італіі, у якім праходзіў матч-турнір на першынство свету па шахматах паміж Карповым і Каспаравым|Мерано
Горад у Паўночнай Італіі|Аоста
Горад у Паўночнай Італіі|Верона
Горад у Паўночнай Італіі|Новара
Горад у Паўночнай Карэі|Кэсон
Горад у Паўночна-усходнім Кітаі|Ляоян
Горад у Сербіі|Ніш
