Горад ва Ўкраіне|Яремча
Горад ва Ўльянаўскай вобласці|Инза
Горад у ФРГ|Лор
Горад у Фінляндыі, дзе Блохин забіў першы мяч за зборную СССР|Васа
Горад у Фінляндыі, цэнтр зімовага спорту|Лахти
Горад у Фінляндыі|Аска
Горад у Фінляндыі|Ивало
Горад у Фінляндыі|Куопио
Горад у Фінляндыі|Оулу
Горад у Фінляндыі|Эспо
Горад у Хабараўскам краі|Амурск
Горад у Хабараўскам краі|Ахоцк
Мястэчка ў Хабараўскам краі|Хор
Горад у Хакасіі|Теи
Горад у Ханты-Мансійскам авт. акрузе|Урай
Горад у Харкаўскай вобл.|Мерефа
Горад у Харватыі, порт на рацэ Сава|Сисак
Горад у Харватыі|Задар
Горад у Харватыі|Осиек
Горад у Харэзмскай вобласці|Шават
Горад у Целиноградской вобл., Казахстан|Атбасар
Горад у Цэнтральнай Афрыцы|Монгу
Горад у Цэнтральнай Італіі, у Таскане|Лукка
Горад у Цэнтральнай Італіі|Пиза
Горад у Цэнтральнай частцы Ірана|Наін
Горад у Чалябінскай вобл.|Оша
Горад у Чалябінскай вобласці|Миасс
Горад у Чарнігаўскай вобл.|Остер
Горад у Чарнавіцкай вобласці на рацэ Днестр|Хотин
Горад у Чэхіі, цэнтр каменнавугальнага басейна|Кладно
Горад у Чэхіі|Брно
Горад у Чэхіі|Злин
Горад у Чэхіі|Мост
Горад у Чэхіі|Садова
Горад у Чэхіі|Усти
Горад у Чэхаславакіі?|Мост
Горад у Чэхаславакіі|Брно
Горад у Чэхаславакіі|Кладно
Горад у Чэхаславакіі|Тин
Горад у Чыцінскай вобласці на аднайменнай рацэ|Хилок
Горад у Чыцінскай вобласці|Акіма
Горад у Чувашии на рацэ Сура|Ядрин
Горад у Чувашии; левы прыток Суры|Алатырь
Горад у Чувашии|Алатырь
Горад у Чукоцкай аўтаномнай акрузе|Певек
Горад у Швейцарыі, адміністрацыйны цэнтр кантона|Фрибур
Горад у Швейцарыі|Бадэн
Горад у Швейцарыі|Базель
Горад у Швейцарыі|Монтре
Горад у Швецыі|Кируна
Горад у Швецыі|Упсала
Горад у Шатландыі|Данди
Горад у Шри-Ланка|Джафна
Горад у Шри-Ланка|Канди
Горад у Шумеру ў 4–1 тысячагоддзі да н. э.|Эриду
Горад у Элиде (Грэцыя, Пелопоннес), дзе знаходзіцца храм Апалона, выбудаваны Иктином, архітэктарам Парфенона (горад у Еўропе)|Бассы
Горад у Эстоніі з багатым гістарычным мінулым|Нарва
Горад у Эстоніі; рака ў Латвіі|Пярну
Горад у Эстоніі|Валга
Горад у Эстоніі|Выру
Горад у Эстоніі|Кейла
Горад у Эстоніі|Кунда
Горад у Эстоніі|Кярдла
Горад у Эстоніі|Маарду
Горад у Эстоніі|Отепя
Горад у Эстоніі|Пайде
Горад у Эстоніі|Пярну
Горад у Эстоніі|Сіндзі
Горад у Эстоніі|Тапа
Горад у Эстоніі|Тырва
Горад у Эстоніі|Цуры
Горад у Эстоніі|Элва
Горад у Эфіёпіі|Асмара
Горад у Эфіёпіі|Гинир
Горад у Эфіёпіі|Назрет
Горад у Эфіёпіі|Харар
Горад у Ю. Амерыцы, Калумбія|Гартуй
Горад у Ю. Амерыцы, Перу|Арекипа
Горад у Ю. Амерыцы, Эквадор|Куэнка
Горад у Ю. Амерыцы|Оруро
Горад у Ю. Карэі|Вонджу
Горад у Ю. Карэі|Тэгу
Горад у Ю. Карэі|Тэджон
Горад у ПАР|Бенони
Горад у Югаславіі, на рацэ Сава|Крань
Горад у Босніі і Герцагавіне?|Сараево
Горад у Харватыі|Спліт
Горад у Харватыі|Трогир
Горад у Паўднёвай Амерыцы|Куско
Горад у Паўднёвай Карэі, цэнтр правінцыі|Тэгу
Горад у Паўднёвай Радэзіі|Умтали
Горад у Якутыі|Абага
Горад у Якутыі|Ленск
Горад у Якутыі|Томмот
Горад у Ямала-Ненецкай аўтаномнай акрузе|Надым
Горад у Японіі на о-ве Кюсю|Віра
Горад у Японіі на о-ве Сикоку|Коти
Горад у Японіі на о-ве Хансю|Гифу
Горад у Японіі на о-ве Хансю|Кіёта
Горад у Японіі на о-ве Хансю|Сендай
Горад у Японіі на выспе Сикоку|Аки
Горад у Японіі на выспе Хансю?|Окаяма
Горад у Японіі на выспе Хансю|Агео
Горад у Японіі на выспе Хансю|Асикага
Горад у Японіі на выспе Хансю|Исе
Горад у Японіі на выспе Хансю|Итами
Горад у Японіі, у якім праходзілі алімпійскія гульні|Нагана
Горад у Японіі, у прэфектуры Фукуи, о. Хансю|Обама
Горад у Японіі, які даў назва магутнай электратэхнічнай манаполіі|Хитати
Горад у Японіі, на о. Хансю, адм. ц. прэфектуры Яманаси. Тэкст. пром-сть, цэнтр шелководч. р-на. Произ-у крышталя, ювелірных вырабаў|Кофу
Горад у Японіі, на о. Хансю|Цу
Горад у Японіі, на о. Хакайда|Фурано
Горад у Японіі, на выспе Кюсю|Явата
Горад у Японіі, на выспе Хансю|Акита
Горад у Японіі, на выспе Хансю|Иваки
Горад у Японіі, прамысловы прыгарад Асакі|Итами
Горад у Японіі, цэнтр прэфектуры на выспе Хансю|Тояма
Горад у Японіі, цэнтр шаўковай прамысловасці|Фукуи
Горад у Японіі|Асахигава
Горад у Японіі|Кирю
Горад у Японіі|Насе
Горад у Японіі|Ниими
Горад у Японіі|Огака
Горад у Японіі|Огаки
Горад у Японіі|Одате
Горад у Японіі|Ому
Горад у Японіі|Яно
Горад у Японіі|Оцу
Горад у Яраслаўскай вобласці, архітэктурны музей-запаведнік, знакаміты сваім звонавым звонам|Растоў
Горад у африк. рэспубліцы Кот-д’Івуар|Адзопе
Горад у Нямеччыне на р. Дунай|Ульм
Горад у Грузіі|Хашури
Горад у дэльце Волгі|Астрахань
Горад у дэпартаменце Сомма ў Францыі|Ам
Горад у канадскай правінцыі Ньюфаўндленд|Нейн
Горад, у якім грунтуецца Аталанта?|Бергама
Горад, у якім грунтуецца Кьево?|Верона
Горад, у якім грунтуецца Ўдзінэзэ?|Удыне
Горад, у якім грунтуецца Фиорентина?|Фларэнцыя
Горад у Краснаярскам краі|Уяр
Горад у маскоўскай вобласці|Руза
Горад у новай Зеландыі|Опуа
Горад у прыгарадзе Парыжа|Орли
Горад у рамане “Дванаццаць крэслаў”|Арбатов
Горад у паўночнай Італіі, цэнтр П'емонта|Турын
Горад у паўночным Кітаі|Лоян
Горад у паўночна-заходнім Іране|Эрак
Горад у складзе Вялікіх Афін|Пирей
Горад у сярэдняй Азіі, Кыргызтан|Талас
Горад у сярэдняй Азіі, Кыргызтан|Узген
Горад у сярэдняй Азіі, Таджыкістан|Хорог
Горад у сярэдняй Азіі, Туркменістан|Кушка
Горад у сярэдняй Азіі|Мары
Горад у центральн. часці Кітая|Ибинь
Горад у цэнтральнай Індыі|Нагпур
Горад у цэнтры о. Хансю|Ина
Горад у штаце Айдаха|Масква
Горад у штаце Джорджыя ЗША|Огаста
Горад у штаце Махараштра (Індыя)|Амаравати
Горад у штаце Місуры|Ролла
Горад у Японіі на о-ве Хансю|Ота
Горад у В'етнаме|Кантхо
Горад у В'етнаме|Митхо
Горад у В'етнаме|Нячанг
Горад у В'етнаме|Ханам
Горад у Львоўскай вобл.|Брады
Горад у Францыі (каля Парыжа)|Мо
Горад у Францыі на рацэ Ло|Каор
Горад у Францыі на рацэ Рона|Авіньён
Горад у Францыі ў зліцця рэк Сона і Рона|Ліён
Горад у Францыі, у Альпах|Аннеси
Горад у Францыі, дэпартамент Арденны|Нуар
Горад у Францыі, які не здала ангельцам Жана Д’Арк|Арлеан
Горад у Францыі, на рацэ Вьенна|Лимож
Горад у Францыі, на рацэ Рона|Арль
Горад у Францыі, на рацэ Сомма|Абвиль
Горад у Францыі, пабрацім Харкава|Лилль
Горад у Францыі, цэнтр інш-у худы. вырабаў з парцаляну|Севр
Горад у Францыі, цэнтр турызму на Блакітным беразе|Ніца
Горад у Францыі; рака ў Сібіры; сав. гісторык; амер. архит.|Кан
Горад у Францыі; гатунак чырвонага віна|Бардо
Горад у Францыі; фр. карточн. майстар 17 ст.|Труа
Горад у Францыі|Ангулем
Горад у Францыі|Анже
Горад у Францыі|Анжэр
Горад у Францыі|Анмас
Горад у Францыі|Аннап
Горад у Францыі|Арк
Горад у Францыі|Арнаж
Горад у Францыі|Арньи
Горад у Францыі|Без'е
Горад у Францыі|Бардо
Горад у Францыі|Бурж
Горад у Францыі|Верден
Горад у Францыі|Воваў
Горад у Францыі|Гре
Горад у Францыі|Дижон
Горад у Францыі|Кан
Горад у Францыі|Канси
Горад у Францыі|Кастр
