Горад-порт на Ўкраіне|Адэса
Горад-порт на ўсходзе Туніса|Сфакс
Горад-порт на о. Корсіка, радзіма Напалеона I|Аяччо
Горад-порт на выспе Паўночным|Окленд
Горад-порт на рацэ Лена|Якуцк
Горад-порт на рацэ Чулым у Томскай вобл.|Асино
Горад-порт на поўначы Нарвегіі|Тромсе
Горад-порт на поўначы Францыі|Гавр
Горад-порт на поўначы Францыі|Кале
Горад-порт, прэфектура на о. Кюсю ў Японіі|Оита
Горад-порт-курорт у Албаніі|Дуррес
Горад-порт-курорт у Балгарыі|Бургас
Горад-порт-курорт у Балгарыі|Варна
Горад-порт-курорт у Грузіі|Батумі
Горад-порт-курорт у Расіі, Краснадарскі край|Темрюк
Горад-порт-курорт у Расіі, Краснадарскі край|Туапсэ
Горад-порт-курорт у Эстоніі|Пярну
Горад-порт-курорт на Азоўскім узбярэжжы ў Расіі, Краснадарскі край|Ейск
Горад-прыстань на Дзясне|Остер
Горад-прыстань на Паўночнай Дзвіне|Котлас
Горад-прыстань на рацэ Сапры|Луцк
Горад-спадарожнік Токіо|Митака
Горад; раман Айни|Бухара
Гарадзішча – разваліны Самарканда 6 ст. да н. э. – 13 ст. н. э. (Узбекістан) (горад)|Афрасиаб
Гарадзішча 7-го стагоддзі да нашай эры – 9-го стагоддзі нашай эры на выспе Саарэмаа ў Эстоніі|Асва
Гарадзішча пад Псковам|Камно
Гарадзішча тыверцаў|Алчедар
Мястэчка ў Італіі, ці трохі няправільнае напісанне жаночага імя|Ала
Мястэчка, месца дзеяння ў дзвюх аповесцях М. Горкага|Окуров
Городошн. постаць|відэлец
Городошная постаць, вядомая яшчэ пры Пятру I, аматару гэтай гульні|рак
Городошная постаць|серп
Городошная постаць|цір
Гарадская аўтадарога|вуліца
Гарадская чыгунка з коннай цягай|конка
Гарадская назойлівая птушка|голуб
Гарадская электрычная чыгунка|мятро
Гарадское кіраванне, яго будынак|мэрыя
Гарадскі начальнік у дарэвалюцыйнай Расіі|галава
Гарадскі аазіс|парк
Гараджанін у феадальнай Заходняй Еўропе?|бюргер
Герай рамана М. Горкага “Маці”|Уласаў
Гараскоп месцазнаходжання|локал
Гарчычны газ|іпрыт
Гаршковых спраў майстар|ганчар
Чыгуну не таварыш (посл.)|кацёл
Горы ў Амурскай вобласці|Янкан
Горы ў Аргентыне, Балівіі|Анды
Горы ў Вугоршчыне; гатунак віна|такай
Горы ў Вугоршчыне|Матра
Горы ў Вугоршчыне|Такай
Горы ў Грэцыі|Пинд
Горы ў Інданэзіі|Маоке
Горы ў Пакістане|Макран
Горы ў Польшчы|Бещады
Горы ў Польшчы|Пенины
Горы ў Польшчы|Судеты
Горы ў Турцыі|Таўроў
Гары на Балканскім п-ве|Родопы
Горы на захадзе Кітая|Алтынтаг
Горы на паўночным усходзе Францыі|Вогезы
Горы на поўдні Ўсходняй Сібіры|Саяны
Горы на паўднёвым захадзе Балгарыі|Рила
Горы, дзе знаходзіцца Пік Камунізму|Памір
Горы, намаляваныя на вядомай карціне Сурикова|Альпы
Горы, якія перайшоў Сувораў|Альпы
Горы, пераможаныя рускім салдатам|Альпы
Горкая ягада|каліна
Горкія “маршчыны”, якімі пакрываецца зямля падчас вайны|акопы
Горкі бальзам|абботс
Горкі карняплод|рэдзька
Горка-кіслы газаваны напой для развядзення дужых спіртных напояў|тонік
Ялкавая мінеральная вада (з хінінам) для развядзення алкагольных напояў|тонік
Горкае жыццёвае набыццё|досвед
Гаручая вадкасць, прадукт перагонкі вугля, нафты|бензол
Гаручая п'янлівая вадкасць|спірт
Гаручы карысны выкапень?|торф
Гаручы карысны выкапень|вугаль
Гаручы балотны ці рудніковы газ|метан
Гаручы газ, паліва|метан
Гаручы шнур для ўзгарання зарадаў|кнот
Гарачая салодкая страва з фруктовай і хлебнай частак|шарлот
Гарачыя вуглі|жар
Гарачы алкагольны напой?|пунш
Гарачы алкагольны напой|грог
Гарачы вецер Афрыкі|самум
Гарачае паветра|жар
Гарачы і вельмі сухі моцны вецер у пустэльнях Сяўба. Афрыкі і Аравіі|самум
Гарачая крыніца вулканічнага паходжання?|гейзер
Гарачы напой з рому ці каньяку, змяшаных з вадой і цукрам|грог
Гарачы напой на аснове рому ці каньяку|грог
Гарачы напой з мёдам?|збіцень
Гарачы прыхільнік|фанат
Гарачы спіртны напой?|грог
Гарачае, моцна нагрэтае паветра, спёка|спякота
Гарачыць. напой з портвейна, каньяку і ваніліну|старка
Гарачыльны напой, для тых хто кахае послаще?|лікёр
Гарачнасць, гарачыня ў паводзінах, працы|запал
Падпаленая куча дроў, сукоў, галля|вогнішча
Падпаленая смала, якая чакае грэшнікаў у пекле|жупел
Падпаленыя дровы, складзеныя ў кучу|вогнішча
Падпаленыя што свецяцца газы высокай тэмпературы|агонь
Падпалены і які свеціцца распалены газ, агонь|полымя
Дзяржава ў Аўстраліі і Акіяніі|Тувалу
Дзяржава ў Азіі на Аравійскім паўвостраве, “нафтавая манархія”|Катар
Дзяржава ў Акіяніі|Наўру
Дзяржава ў Цэнтр. Амерыцы і яго сталіца|Панама
Дзярж. у Еўропе, Азіі; верш. А. Блока; кніга Барбюса|Расія
Дзярж. у Еўропе, Азіі|Расія
Дзярж. дзеяч Ізраілю?|Даян
Дзярж. дзеяч Францыі, у 1924 г. усталяваў дип. отнош. са СССР|Эррио
Дзярж. казна ў Інш. Рыме|эрарий
Дзярж. орган для рашэння гаспадарчых спрэчак|арбітраж
Дзярж. рэлігія ў Іране|шыізм
Дзярж. рада ў інш.-греч. гарадах-дзяржавах|булю
Спадар па-польску, па-ўкраінску|пан
Спадар, які дагадзіў у Польшчу?|пан
Спадарыня Бовари|Флобер
Спадарыня Маргарэт ...?|Тэтчер
Спадарыня ў Італіі і Партугаліі|донна
Спадарыня па-французску|мадам
Гасціная для прыёмаў|салон
Гасціная шляхетнай дамы для прыёму блізкіх знаёмых|будуар
Гасцініца ў Зарядье|Расія
Гасцініца ў Маскве, Сімферопалі|Масква
Гасцініца ў Маскве; доревол. літ. часопіс; воен. сігнал|світанак
Гасцініца ў Маскве|Алтай
Гасцініца ў Маскве|арэна
Гасцініца ў Маскве|бегі
Гасцініца ў Маскве|усход
Гасцініца ў Маскве|узыход
Гасцініца ў Маскве|світанак
Гасцініца ў Маскве|космас
Гасцініца ў Маскве|свет
Гасцініца ў Маскве|Няптун
Гасцініца ў Маскве|Пекін
Гасцініца ў Маскве|Расія
Гасцініца ў Маскве|савой
Гасцініца ў Маскве|салют
Гасцініца ў Маскве|Саяны
Гасцініца ў Маскве|звяз
Гасцініца ў Маскве|спорт
Гасцініца ў Маскве|турыст
Гасцініца ў Маскве|Урал
Гасцініца ў Маскве|шахцёр
Гасцініца ў Маскве|паўднёвая
Гасцініца ў Маскве|юнацкасць
Гасцініца ў Санкт-Пецярбургу|астория
Гасцініца для аўтатурыстаў|матэль
Гасцініца для неадушаўлёных пастаяльцаў|склад
Гасцініца на Гасцінічнай вуліцы|усход
Гасцініца на аўтамабільнай дарозе|матэль
Гасцініца на аўтамабільнай дарозе|гатэль
Гасцініца на праспекце Свету?|космас
Гасцініца па-замежнаму|гатэль
Гасцінічны ключнік|парцье
Гасцінічны нумар, ніжэй якога дэпутат Думы не апусціцца|люкс
Госуд. (і яго сталіца) у Афрыцы|Туніс
Госуд. у Азіі (Макао)|Аомынь
Госуд. у Азіі (старая назва); верш. І. Буніна|Цэйлон
Госуд. у Азіі; дзелавы цэнтр Ганконга|Сянган
Госуд. у Азіі|Бутан
Госуд. у Азіі|Кіпр
Госуд. у Азіі|Турцыя
Госуд. у Афрыцы|Гамбія
Госуд. у Афрыцы|Замбія
Госуд. у Афрыцы|Руанда
Госуд. у Афрыцы|Уганда
Госуд. у Еўропе|Швецыя
Госуд. у Цэнтр. Амерыцы; горад у Азербайджане|Куба
Госуд. у Цэнтр. Амерыцы|Багамы
