Ідэя|паняцце
Ідал санітарыі і гігіены|чысціня
Ідал на славянскай капальні|балван
Ідучае ўгару ад скроні месца, не пакрытае валасамі|залысіна
Ідучае з даўніны і што жыве ў народзе перакананне, вера ў прымету|павер'е
Ідучыя адно за іншым некалькі судоў|караван
Ідучы ад антычнай літаратуры выява ідэальнай краіны шчаслівага, бестурботнага жыцця|Аркадзя
Ідэал мудраца|Сакрат
Ідэал стану|аса
Ідэаліст адной з казак Салтыкова-Шчадрына|карась
Ідэалістычнае філасофскае вучэнне, якое адмаўляе магчымасць спазнання аб'ектыўнага свету і яго заканамернасцяў|агнастыцызм
Ідэальнае імя для цудоўнай жанчыны, якая заўсёды падпіўшы|Аглая
Ідэальны грамадскі лад будучыні, апісаны ў 16 павеку ангельскім пісьменнікам Т. Морам|утопія
Ідэі ибн Рушда|аверроизм
Ідэі гэтага вучэння атрымалі развіццё ў педагогіцы, мастацтве, медыцыне і інш. (Р. Штейнер)|антрапасофія
Ідэолаг фр. утапічнага “мірнага камунізму”|Кабе
Ідэолаг чэшскай Рэфармацыі, спалены па прысудзе царкоўнага сабора|Гус
Идеологич. ці рэлігійнае становішча, без доказаў і сумневаў прыманае на веру як праўдзівае і асноватворнае|догма
Идеологич. ці рэлігійнае становішча, без доказаў і сумневаў прыманае на веру як праўдзівае і асноватворнае|дагмат
Ідэалагічная плынь, чыім актыўным арганізатарам і правадыром быў прэм'ер-міністр Ізраілю Давыд Бэн-Гурион?|сіянізм
Ідэалогія ваяўнічага шавінізму і расізму|фашызм
Ідэалогія і практыка рухаў і рэжымаў таталітарнага толку. Поўны идеологич. кантроль грамадства|фашызм
Ідэалогія, якая апелюе да першабытнага ў чалавеку?|міф
Ідзе бычок, хістаецца, уздыхае на ходу: – Вось дошчачка канчаецца, цяпер я звалюся! – Аўтар|Барта
Ідэя, задума|план
Ідэя, выява, гэты тэрмін мае шэраг тлумачэнняў (филос.)|эйдас
Ідэя, схіляльная да вынаходлівага ідыятызму|манія
Ідал для абжоры|чэрава
Ідал у манголаў-будыстаў|бурхан
Ідал, аб'ект узвялічвання і |кумір
Ідал; аб'ект глыбокай пашаны|кумір
Ідал|кумір
Ісці, рабіць штосьці несвядома, машынальна (перен.)|аўтапілот
Ідучая ад берага ў бок мора вузкая паласа зямлі|каса
Ідучая ад берага вузкая паласа зямлі, водмель|каса
Ідучы на чале будуючы карабель|лідар
Езуіты лічаць, што для дасягнення мэты любой ... падыходзіць|спосаб
Іерусалімскі ўзгорак|Сион
З сямейства цытрусавых|мандарын
З роду прыматаў|малпа
З павагі да гэтай фізічнай з'явы салдаты ідуць праз мост не ў нагу|рэзананс
З бедных бедныя|галота
З біблейскай міфалогіі|Якаў
З драўніны якога дрэва даўней народныя майстры выразалі не толькі матрошак, але і фальшывыя царскія пячаткі наўзамен медных?|ліпа
З жыхароў гэтага біблейскага горада выратавацца атрымалася толькі праведніку Лоту з сям'ёй?|Гамора
З іх мякаці атрымліваюць прованское масла|алівы
З якога металу ўпершыню адчаканілі талеры|срэбра
З якога дрэва робяць лепшыя скрыпкі і звычайную паперу?|елка
З якога дрэва атрымліваюць натуральны каучук (з ...)?|гевеі
З якога каменя скульптары антычнасці стваралі свае шэдэўры|мармур
З якога матэрыялу выразалі свае лыжкі старажытныя егіпцяне|камень
З якога матэрыялу робяць танныя аднамесныя хаткі, ахвотна пакупаныя амерыканскімі бамжамі|кардон
З якога племя быў Чингачгук Вялікі Змей?|магікане
З якой расліны карэйцы ўмеюць рабіць тварог|соя
З якой пасудзіны піў кароль Артур, седзячы на чале “круглага стала”|кубак
З кары якога дрэва раней атрымлівалі лекі ад малярыі?|хинное дрэва
