Штучнае ўвільгатненне каранёў раслін?|паліванне
Штучнае ўмацаванне, хованка|бункер
Штучны вадаём для плавання|сажалка
Штучны вадаём для гадоўлі водных жывёл і раслін. (Акварий, Віварыюм, Саляры, Денарий)|акварий
Штучны вадаём задавальнення, у якім вада нязменна па шчыкалатку|рызыка
Штучны вадаём?|басейн
Штучны вадаспад|каскад
Штучны каштоўны камень|страз
Штучны камень, найважны будаўнічы матэрыял|бетон
Штучны камень, изготовляемый з крышталя з прымешкай свінцу|страз
Штучная міжнародная мова на аснове эсперанта|идо
Штучны мармур|стукко
Штучны нейрон|адалин
Штучны яр|роў
Штучны рэгістр пеўчага голасу|микст
Штучны спадарожнік Землі ЗША|бикон
Штучны спадарожнік Землі ЗША|инджун
Штучны будаўнічы матэрыял|цэгла
Штучная мова, часткова заснаваны на эсперанта|идо
Мастацтва (блазнаванне, акрабатыка, эквілібрыстыка і інш.)|цырк
Мастацтва выразнага чытання?|дэкламацыя
Мастацтва пэўнасці|навука
Мастацтва ведаць толк у дробных рэчах|густ
Мастацтва змены твару акцёра пры дапамозе адмысловых фарбаў?|грым
Мастацтва па-латыні|арт
Мастацтва ўяўлення драматычных твораў на сцэне|тэатр
Мастацтва падрыхтоўкі ежы?|кулінарыя
Мастацтва прыроды складаць з рэчываў клеткі і тканіны|анабалізм
Мастацтва праектавання і будынкі будынкаў|архітэктура
Мастацтва развіваць пасродкам фізічных практыкаванняў сілу і спрыт?|атлетыка
Мастацтва размалёўкі па тканіне, распаўсюджанае ва ўсходніх краінах|батик
Мастацтва сказаць усё, што патрабуецца, у тым ліку і нічога|такт
Мастацтва ствараць скульптурныя малюнкі|разьбярства
Мастацтва сцэнічнага танца|балет
Мастацтва, якое выяўляецца ў музычна-харэаграфічных выявах|балет
Мастацтва, знаёмае асу?|пілатаж
Мастацтва, якое адлюстроўвае рэчаіснасць у гукавых худож. выявах|музыка
Мастацтва, якое імкнецца забегчы наперад|авангард
Мастацтва, што ўцякло далёка наперад ад большасці знатакоў мастацтва|авангард
Ісламскі народ|арабы
Ісландская нац. барацьба|глима
Исп. акторка|Ксиргу
Исп. архітэктар|Гауди
Исп. генерал і паліты. дзеяч|Заўв
Исп. галоўнай ролі ў фільме “Сыны вялікай мядзведзіцы”|Митич
Исп. горад, дзе знаходзіцца Музей кахання|Тобосо
Исп. доўгі складаны нож|наваха
Исп. драматург (“Сем крыкаў у акіяне”)|Касона
Исп. дух.-рыцарскі ордэн|Алькантара
Исп. изобрет. электрагітары; марка гітары|Леспол
Исп. изобрет. электрагітары|Леспол
Исп. кинореж., “Паляванне”, “Кармэн”, “Крывавае вяселле”|Саура
Исп. кампазітар, піяніст|Альбенис
Исп. кампазітар|Фалья
Исп. канкістадор|Альмагро
Исп. мараплавец, канкістадор|Охеда
Исп. мысляр, лекар 16 ст.|Сервет
Исп. народны танец|Хота
Исп. натураліст|Асарс
Исп. пісьменнік, аўтар рамана “Воля”|Асорин
Исп. пісьменнік, камуніст (“Рака Тахо”)|Арконада
Исп. пісьменнік|Бласко
Исп. пісьменнік|Ларра
Исп. пісьменнік|Села
Исп. ролі Касандры ў венесуэл. серыяле|Торрес
Исп. струнны муз. прылада|рабель
Исп. танец|качуча
Исп. мастак 17 ст., гравёр|Рибера
Исп. мастак; раман Л. Фейхтвангера|Гойя
Исп. мастак|Гойя
Исп. мастак|Грэка
Исп. мастак|Далі
Исп. цыганка|гітана
Испан. архітэктар 16 ст.|Силоэ
Испан. кінарэжысёр, пастаноўшчык фільма “Кветка маёй таямніцы”|Альмодовар
Іспанія (горад у Еўропе)|Амер
Іспанія (горад у Еўропе)|Арече
Іспанія (горад у Еўропе)|Эльче
Іспанія, у Андалусии, у пров. Хаэн (горад у Еўропе)|Байлен
Іспанія, гістарычная правінцыя ў бас. р. Эбро, адм. ц. – Сарагоса|Арагон
