Кавалерыст у некаторых войсках|гусар
Кавалерыст?|кірасір
Кавалерыст|драгун
Каўказ. дуда|тулуми
Каўказец|абазін
Каўказская выбітнасць, куды О. Бэндар пускаў чальцоў прафзвязу за пятак, а не чальцоў – за грыўню|правал
Каўказская локшына з заправамі|хинкал
Каўказская мудрасць абвяшчае: “У сваім двары і ... моцная”|сабака
Каўказская трава, не толькі падвышальная апетыт, але і якое падаўжае жыццё?|эстрагон
Каўказскі барабан|доол
Каўказскі бард|ашуг
Каўказскі баявік, не падпарадкоўвальны яшчэ расійскаму імператару|абрэк
Каўказскі горад на беразе Чорнага мора|Батумі
Каўказская духавая язычковая музычная прылада|дудук
Каўказскі жыхар|горац
Каўказскі народ, які лічыць, што “памерці можна, але здрадзіць Радзіму нельга”|лакцы
Каўказскі народ|абазіны
Каўказскі суп, перапоўнены вастрыні|харчо
Каўказскі хлеб у выглядзе вялікай аладкі|лаваш
Каўказская мясная страва|харчо
Кадзіла ў выглядзе каўша з доўгай дзяржальняй|кацея
Кадка для цеста|дзежка
Кадр, але не кавалак кінастужкі (разг.)|хахаль
Кадравік: – А чаму вы Язэпаўна? Габрэйка, ці што? – А па-вашаму Исаакиевский ___ – сінагога? – Якое слова назвала Язэпаўна?|сабор
Кадушка для цеста|дзежка
Аблямоўка|абадок
Кожная грань дыямента|фасет
Кожная жанчына, якая прыйшла на прыём да домакіраўніка|жыліца
Кожная з 7 дочак Атланта, пераўтвораных у сузор'е (греч. міф.)|плеяда
Кожная з багінь помсты і кары ў греч. міфалогіі|эриния
Кожная з водных меж паміж мацерыкамі|акіян
Кожная з гераінь брадвейскага мюзіклу “Саts” Эндру Веббера|котка
Кожная з птушак, якіх лічыць разявака|крумкача
Кожная з трох багінь помсты і кары ў рымскай міф.|фурыя
Кожная з трох дочак Зеўса і Феміды|мойра
Кожная з чатырох саслоўных груп у Старажытнай Індыі|варна
Кожная манашка ў адносінах да Бога|рабыня
Кожная пара жоранаў на млыне|пастаў
Кожная ўдзельніца самага шумнага ў свеце кірмаша|птушка
Кожная чацвёртая ў картачнай калодзе?|піка
Кожная чацвёртая ў картачнай калодзе|звонка
Кожная чацвёртая ў картачнай калодзе|масць
Кожная чацвёртая ў картачнай калодзе|чырва
Кожнае з выразаў “мае ролю” і “мае значэнне” на мове журналіста|штамп
Кожнае з заахвочвальных дакрананняў да вашага пляча з боку “старэйшага па званні”|бавоўна
Кожнае з перашкод на Дняпры на водным шляху “з вараг у грэкі”|парог
Кожнае са з'яў: Хрыста – народа і царэўны Лебедзі – князю Гвидону|дзіва
Кожнае асобнае звяно ў сеткі, пляценні|вочка
Кожная істота на нашай планеце нададзена ўласнымі сродкамі абароны ад сваіх ворагаў. Паспрабуйце здагадацца, якім спосабам абараняецца рыба колюшка|колецца плаўнікамі
Кожныя тры хвіліны бокса|раўнд
Кожны акцёр марыць пра яе – зорнай|роля
Кожны год 17 сакавіка амерыканцы ірландскага паходжання ўладкоўваюць маляўнічы парад. Якое свята яны адзначаюць у гэты дзень?|Дзень святога Патрыка
Кожны год, у снежні, у Белую хату прыбывае пераможца нацыянальных адборачных спаборніцтваў, якую сустракае асабіста мужа прэзідэнта ЗША. Што гэта за спаборніцтва?|лепшая елка ЗША
Кожны з артыстаў ансамбля Ігара Майсеева|танцор
Кожны з большасці, якое, па ідэі, павінна было б засяляць Абакан|хакас
Кожны з братоў у казцы “Дзікія лебедзі” Ханса Андэрсана|прынц
Кожны з кіроўных “Чердачка Фруттис”|пілот
Кожны з дванаццаці апосталаў у адносінах да Ісуса Хрысту|вучань
Кожны з дзвюх генетычна і фізіялагічна супрацьпастаўленых разрадаў жывых істот|падлога
Кожны з двух срэбных знакаў на самым першым гербе Санкт-Пецярбурга|якар
Кожны з дзвюх, “якія адмяраюць” рост дзіцяці ад чыгуна?|вяршок
Кожны з дзяцей Урана і Геі|тытан
Кожны з хатніх сейфаў у пушкінскага скупога рыцара|куфар
Кожны з заліваў, сталых нацыянальным гонарам Нарвегіі|фіёрд
Кожны з іспанцаў, хто вскладчину паставіў помнік адкрывальніку пеніцыліну – ангельцу Аляксандру Флемингу?|тарэадор
Кожны з лётчыкаў урадавага самалёта|ас
Кожны з нумароў, якія паказваюць па ТБ Д. Каперфільд, І. Кио і А. Акопян|фокус
Кожны з персанажаў перад немаўлём на вядомай карціне А. Дзюрэра|вяшчун
Кожны з песні: “Іркуцк і Варшава, Арол і Каховка”|этап
Кожны з наведвальнікаў Леніна, захаваных на карціне Валянціна Сярова|хадок
Кожны з разбойнікаў, які плавае пад “вясёлым Роджарам”?|пірат
Кожны з разрадаў у дзюдо; адзін з лідараў меншавікоў|дадзены
Кожны з разрадаў у дзюдо|дадзены
Кожны з сямі, якія засцерагалі Беласнежку|гном
Кожны з тых, хто ў часы сярэднявечныя лічыў сябе рахманым і літасцівым?|інквізітар
Кожны з тых, хто арганізуе веды|навуковы
Кожны з трох пасудзін, у якіх выкупаўся Іван у казцы “Канёк-Гарбунок”|кацёл
Кожны з трыццаці выходзільных на бераг з марской бездані (Руслан і Людміла)|віцязь
Кожны з вучняў Ісуса Хрыста|апостал
Кожны з вучняў Хрыста|апостал
Кожны з чальцоў каталіцкага манаскага ордэна|езуіт
Кожны з чальцоў пажарнай каманды, якія прыехалі тушыць казачную Коткіну хату?|грак
Кожны з шахматыстаў|гулец
Кожны з гэтых акцёраў: Табаков, Ефрэмаў, Далеч|Алег
Кожны кастрычнік у тайгу адпраўляюцца здабытчыкі – шукаюць кусцік з чырвонымі ягадкамі. Здабычу выносяць акуратна на насілках. Якую здабычу?|жэньшэнь
Кожны асобны арганізм?|асобіна
Кожны палец старажытнага славяніна|палец
Кожны першакласнік ведае, што яна пачынаецца з малюначка ў яго чытанцы|радзіма
Кожны поўдзень у Санкт-Пецярбургу б'е гармата адным стрэлам. Як вы думаеце, што здаралася ў Пецярбургу, калі людзі чулі 3 гарматных стрэлу з крэпасці?|выкрыццё Нявы
Кожны з задавальненнем садзіцца на свой каханы ... ?|канёк
Кожны які паважае сябе жыхар Старажытнага Ноўгарада насіў на поясе палачкі для чысткі вушэй. Як наўгародцы звалі чалавека, празмеру які захапляўся выкарыстаннем гэтых палачак?|маруда
Кожны чалец сям'і, як спажывец харчовых прадуктаў|ядок
Кожны экспанат у калекцыі конхиофила?|ракавіна
Кожны, хто ідзе ў жыцці ўласным шляхам (па Германе Гессе)|герой
Кожны, у каго ЯГО няма, марыць пра ЯГО, а ўсё, у каго ЁН ёсць, жадаюць ад ЯГО пазбавіцца. Пра гэта вы ўсё, вядома, чулі. Напэўна вы чулі таксама пра тое, што незвычайны асобнік ЯГО набыў... Хто?|тата
Каз. пісьменнік (“Шлях абая”)|Ауэзов
Казах. акцёр і кінарэжысёр, нар. арт. СССР (1959). З 1933 у Казах. т-рэ ім. Ауэзова (Алма-Ата). Адзін з першых рэжысёраў нац. кіно. Ф.: “Мы тут жывём” (1957), “Наш мілы доктар” (1958), “Зямля бацькоў” (1967), “Канец атамана” (1971) і інш. Дзярж. інш. СССР (1952)|Айманов
Казах. балетмайстар|Бапов
Казах. нар. спявак, казачнік (выканавец)|жирши
Казах. пісьменнік, просв-ці, этнограф, фолькл-ст 19 ст.|Алтынсарин
Казах. пісьменнік|Алимжанов
Казах. пісьменнік|Ахтанов
Казах. паэт|Аманжолов
Казах. нац. выгляд коннага спорту, адзінаборства вершнікаў|аударыспак
Казахск. смычков. муз. прылада|кобыз
Казахская каўбаса з каніны, паўфабрыкат мясных страў|шужук
Казахская рака|Уил
Казахскі ВІА, папулярны ў 80-е гады|ялла
Казахскі лямцавы дыван|сырмак
Казахскі і кіргізскі двухструнный шчыпковая музычная прылада грушападобнай формы|домбра
Казахскі кефір|айран
Казахскі дыван, пашыты з кавалкаў рознакаляровага лямца|сырмак
Казахскі народны музыка|анши
Казахскі пісьменнік 20 ст.|Ауэзов
Казахскае племя|адай
Казахстан (горад)|Жалтыр
Казахстан (горад)|Тургай
Казахстан, Акмолинская вобл. Размешчаны на р. Жабай (прыток р. Ишим) (горад)|Атбасар
Казацкі лагер|кош
Казачы атаман, герой народных песень|Ярмак
Казачы атаман, паплечнік А. В. Суворава|Платов
Казачы атаман, паплечнік К. Булавина|Хохлач
Казачы лагер з абозам|табар
Казачы чын Ярмака Цімафеевіча|атаман
Казачы чын; песня з рэпертуара О. Газманава|есаул
Казачы чын|есаул
Казачы эскадрон|сотня
Казачае ці стралецкае баявое падраздзяленне|сотня
Казачы напад – ахоп суперніка ў конным рассыпном ладу|лава
Казачая ваенная гульня|кабахи
Казачы бізун?|бізун
Казачая стрыжка – кругла, уцінкам, не ў дужку|айдар
Казеін у адносінах да тварагу|аснова
Казна Рымскага імператара|фіск
Казна римск. імператара|фіск
Пакаранне смерцю на электрычным крэсле адбываецца ў прысутнасці 40 сведак. Хто пры гэтым уваходзіць першым і выходзіць апошнім?|кат
Пакаранне смерцю спаленнем жыўцом па прысудзе інквізіцыі; спаленне кніг?|аўтадафэ
Пакаранне смерцю спаленнем жыўцом па прысудзе інквізіцыі|аўтадафэ
Пакаранне смерцю?|растрэл
Неспадзяванка ... – фармальная нагода для аб'явы вайны|белі
Кайзер у перакладзе на лацінскі|цэзар
Кайзер Франц?|Беккенбауэр
Аблямоўка на дыване|фрыз
Аблямоўка, бардзюр сцяны, столі, дывана звычайна ўпрыгожаны суцэльным арнаментам|фрыз
Аблямоўка, беражок, апраўленне|бардзюр
Кайф, які, мяркуючы па назве, раней быў тазам|экстаз
Як “глыбокі эканом”, Онегин ведаў, без чаго можа абыйсціся дзяржава, калі яно мае “просты прадукт”. Без чаго менавіта?|золата
Як ... яго быў хуткі і далікатны|позірк
Як ... чорныя да цябе прыйдуць, адаткні шампанскага бутэльку|думкі
Як Маргарыту завуць хаты і ў калектыве|рыта
Як Пушкін заве Гамера – “куміра трыццаці стагоддзяў”|омир
Як Рабінзон Крузо назваў свайго слугу-тубыльца?|пятніца
Як баіцца сівізна мая тваёй пасмы... – імя, злучанае з гэтым рамансам|Рощин
Як у ХIХ павеку звалася пакаёўка на пасажырскім параходзе?|сцюардэса
Як у Англіі раней звалі чальцоў пурытанскіх сект? (адказ у тб. п.)|дысідэнтамі
Як у Старажытнай Грэцыі зваліся апісанні побыту публічных жанчын?|парнаграфія
Як у Старажытнай Грэцыі зваўся раб, якое адводзіць дзіця ў школу?|педагог
Як у Заходняй Еўропе ў сярэднія вякі зваўся вяшчальнік, распарадчык на рыцарскіх турнірах і іншых імпрэзах?|герольд
Як у Італіі 12 ст. зваўся адборны атрад для аховы дзяржаўнага сцяга?|гвардыя
Як у Расіі звалі хаткі без курьих ножак, але з крылцамі?|млыны
Як у Расіі зваўся ў ХVIII–ХIХ ст. малады дваранін, добраахвотна паступілы на ваенную службу?|юнкер
Як у СССР звалі толькі які з'явіўся транзістар?|трыёд
Як у СССР зваўся папярэднік УБЭП?|ОБХСС
Як у ваду апушчаны і з кашай у роце|мямля
Як у Старажытнай Грэцыі звалася развязка трагедыі?|катастрофа
Як у картачных гульнях завецца стаўка, роўная суме, пастаўленай гульцом-банкірам?|па-банку
Як у народзе завуць безквітоўніка на транспарце?|заяц
Як у народзе завуць панэльныя пяціпавярховыя хаты ў велізарнай колькасці якія ўзводзіліся ў 60-е гады?|хрушчобы
Як у некаторых абласцях Расіі завуць бурак|бурак
Як у мінулым стагоддзі ў Тульскай губерні звалі дэзертыраў – салдат, якія ўцяклі на волю?|добраахвотнікі
Як у ранняй Рымскай імперыі звалі службовую асобу з надзвычайнымі паўнамоцтвамі на тэрмін не больш за 6 месяцаў?|дыктатар
Як у свой час ахарактарызавалі дзеянні “гэкачэпистов”?|путч
Як даўней звалі разгляд па грамадзянскай справе|цяжба
Як вы думаеце, які горад мог заснаваць пастух Букур?|Бухарэст
Як вы думаеце, як бы маглі зваць сябе нашы бастуючыя шахцёры, жыві яны ў Італіі?|карбанарыі
Як вы думаеце, што ўкраінцы завуць “порцеляной”?|парцалян
Як вы ведаеце, усе кантыненты Землі заселены. А хто з'яўляецца сталым жыхаром Антарктыды?|пінгвіны
Як казаў Ігар Губерман, у Эстоніі яму больш за ўсё падабаюцца флора і ... Што?|сауна
Як казаў граф Монте-Кристо, у выпадку бясталентнага забойства са страўніка пацярпелага гэта вычэрпваюць лыжкамі. У той час, як прамым яго прызначэннем з'яўляецца знішчэнне грызуноў. Што гэта?|мыш'як
Як кажа МЕТР, усе мы ...?|свінні
Як даўно – ты чуеш? – як даўно я зноў гляджу ў тваё акно... (исполн. песні)|Губин
Як павінен звяртацца ангел. падсудны да ангельскага суддзі?|мілорд
Як старажытныя грэкі звалі кароткую п'есу для ўрачыстых выпадкаў?|фанфара
Як старажытныя грэкі звалі раку, нібы якая абмывае Зямлю?|Акіян
Як думаеце звала бацьку Івана Тургенева маці Івана Тургенева?|Сяржук
Як яшчэ завуць аксід|вокісел
Як за вочы завуць самы кампактны аўтамабіль з сямейства “фольксвагенаў”|жук
Як за мяжой завуць рускі хакей|бенди
“Як гартавалася сталь”, “Месца сустрэчы змяніць нельга” (акцёр)|Конкин
Як клікалі Шарикова?|Паліграф
Як клікалі бельгійскага майстра, які прыдумаў саксафон|Адольф
Як клікалі брата Авеля?|Каін
Як клікалі ў Эладзе чалавека, якога без запрашэння прыводзіў з сабой адзін з госцяў?|паразітам
Як клікалі выбітнага расійскага кампазітара Мурадели?|Вано
Як клікалі вышэйшага саноўніка ў Старажытнай Аравіі (дзе арабы жылі)?|везир
Як клікалі генерала, які ўвёў у якасці новай кавалерыйскай уніформы адмысловыя штаны?|Галіфэ
Як клікалі галоўнакамандуючага амерыканскімі сіламі ў Еўропе ў гады Першай сусветнай вайны, у гонар якога названы клас ракет|Першинг
Як клікалі старажытнагрэцкага героя, які прыдумаў марскі тэлеграф, які нясе, як кажуць цяпер, адзін біт інфармацыі?|Тезей
Як клікалі жонку Адысея?|Пенелопа
Як клікалі жанчыну, якая вырабіла на святло адразу дзесяць негритят?|Агата
