Жаночая тонкасць|стан
Жаночы выкрык|віск
Жаночы галаўны ўбор 19 ст.|каптур
Жаночы галаўны ўбор накшталт хусткі ў сярэднявечча|омюз
Жаночы галаўны ўбор з завязываемыми пад падбародкам стужкамі|каптур
Жаночы галаўны ўбор ва ўдмуртаў|айшон
Жаночы галаўны ўбор, род наміткі|вайник
Жаночы галаўны ўбор|хустка
Жаночы часопіс|яна
Жаночы ці дзіцячы галаўны ўбор, які завязваецца пад падбародкам|каптур
Жаночы гарнітур у класічным балеце|пачак
Жаночы купальнік з вузкіх трусікаў і бюстгальтара?|бікіні
Жаночы купальны гарнітур|бікіні
Жаночы футравы каўнер, які існуе асобна ад паліто?|баа
Жаночы орган размнажэння ў мохообразных, папоротникообразных і голанасенных раслін|архегоний
Жаночы орган кветкі|песцік
Жаночы персанаж рамана Э. Войнич “Авадзень”|бола
Жаночы пікантны купальны гарнітур, тып адзежы|бікіні
Жаночы палавы гармон?|прогестерон
Жаночы палавы орган млекаспажыўцоў|матка
Жаночы палавы орган некотор. грыбоў|архикарп
Жаночы пасавы гарсэт, які падтрымлівае грудзі|грацыя
Жаночая прастакутная хустка з тонкай ваўнянай тканіны з кветкавай аблямоўкай ці арнаментам|шаль
Жаночы тытул у Англіі|лэдзі
Жаночы тытул у царскай Расіі|князёўна
Жаночае бажаство ў старажытнакітайскай міфалогіі|гуйму
Жаночае бажаство прыроды ў інш.-греч. міфалогіі|німфа
Жаночае бажаство, якое жыве ў горах, лясах ці вадаёмах|німфа
Жаночае імя (“Руслан і Людміла”)|Наіна
Жаночае імя нярускага паходжання|Нэлі
Жаночае імя, што прадугледжвае ва ўладальніцы пакорнасць ягня|Агнэса
Жаночае імя, з інш.-габрэйскага – міласцівая, прасвядная|Ганна
Жаночае імя, сталае назвай мястэчка ў Варонежскай вобл.|Ганна
Жаночае імя, сталае сінонімам прастаты|Марыя
Жаночае імя; Рада на Ўкраіне|Радая
Жаночае імя; греч. багіня; тканіна|Майя
Жаночае імя; дзействаў. твар у оперы Т. Хренникова “Доротея”|Інэса
Жаночае імя; дореволюц. альманах; аповяд І. Буніна|Аглая
Жаночае імя; драма Ибсена|нара
Жаночае імя; ед. сілы|дзіна
Жаночае імя; малая планета|Юнона
Жаночае імя; марскі пейзаж; паэма Т. Шаўчэнка|Марына
Жаночае імя; опера Дворжака|Ванда
Жаночае імя; опера Дж. Верди|Аіда
Жаночае імя; перс. п'есы “На дне”; ден. ед. у стары. Індыі|Ганна
Жаночае імя; персанаж балета “Шчаўкунок”|Клара
Жаночае імя; персанаж драмы “Ўлада цемры”|Марфа
Жаночае імя; персанаж драмы “Маскарад” М. Лермантава|Ніна
Жаночае імя; персанаж оперы “Атэла”|Эмілія
Жаночае імя; персанаж п'есы “Варвары”|Каця
Жаночае імя; персанаж п'есы А. Астроўскага|Ларыса
Жаночае імя; персанаж рамана М. Лермантава|Бэла
Жаночае імя; персанаж рамана М. Лермантава|Вера
Жаночае імя; псеўданім В. Брюсова|Нэлі
Жаночае імя; п'еса Бабеля|Марыя
Жаночае імя; аповяд А. Чэхава|Агафія
Жаночае імя; аповяд І. Буніна|Мар'я
Жаночае імя; раман Ж. Санд|Жана
Жаночае імя; раман Ш. Бронте|Эма
Жаночае імя; сад. кветка|Лілея
Жаночае імя; сястра Ісуса Хрыста|Эсфирь
Жаночае імя; гатунак віна|Лідзія
Жаночае імя; верш. М. Лермантава; паэма Балакирева|Тамара
Жаночае імя; сталіца еўроп. дзяржавы|Сафія
Жаночае імя; трагедыя Вальтэра|Ірына
Жаночае імя; цыкл вершаў А. Блока|Мэры
Жаночае імя?|Алена
Жаночае імя?|Ада
Жаночае імя?|Лена
Жаночае імя?|Вольга
Жаночае імя|Аўгуста
Жаночае імя|Аўрора
Жаночае імя|Агата
Жаночае імя|Аглаида
Жаночае імя|Агнэса
Жаночае імя|Агнія
Жаночае імя|Акуліна
Жаночае імя|Аляўціна
Жаночае імя|Аляксандра
Жаночае імя|Аліна
Жаночае імя|Аліса
Жаночае імя|Ала
Жаночае імя|Альбіна
Жаночае імя|Анісся
Жаночае імя|Анісся
Жаночае імя|Апалінарыя
Жаночае імя|Арына
Жаночае імя|Ася
Жаночае імя|Берта
Жаночае імя|Бэла
Жаночае імя|Васа
Жаночае імя|Венера
Жаночае імя|Улада
Жаночае імя|Галіна
Жаночае імя|Дар'я
Жаночае імя|Дыяна
Жаночае імя|Ева
Жаночае імя|Яфіма
Жаночае імя|Ефимья
Жаночае імя|Злата
Жаночае імя|Інга
Жаночае імя|Індзіра
Жаночае імя|Іна
Жаночае імя|Іраіда
Жаночае імя|Ирма
Жаночае імя|Ксенія
Жаночае імя|Ліяна
Жаночае імя|Лізаў
Жаночае імя|Лілея
Жаночае імя|Лія
Жаночае імя|Луіза
Жаночае імя|Маўра
Жаночае імя|Магда
Жаночае імя|Майя
Жаночае імя|Манефа
Жаночае імя|Марта
Жаночае імя|Мар'я
Жаночае імя|Мэры
Жаночае імя|Нэлі
Жаночае імя|Нонна
Жаночае імя|Паўла
Жаночае імя|Паліна
Жаночае імя|Раіса
Жаночае імя|Рэгіна
Жаночае імя|Ружа
Жаночае імя|Сарра
Жаночае імя|Соф'я
Жаночае імя|Стелла
Жаночае імя|Таісія
Жаночае імя|Тэрэза
Жаночае імя|Уліта
Жаночае імя|Ульяна
Жаночае імя|Фаіна
Жаночае імя|Фёдара
Жаночае імя|Фёкла
Жаночае імя|Феона
Жаночае імя|Ганячы
Жаночае імя|Эла
Жаночае імя|Эсфирь
Жаночае імя|Юлія
Жаночае імя|Юнона
Жаночае імя|Ядзвіга
Жаночае імя|Яна
Жаночы пачатак ва ўсходняй філасофіі?|інь
Жаночы пачатак у класічнай кітайскай філасофіі|інь
Жаночае паліто вольнага крою|сак
Жаночая сукенка, якое насілі пачынальна з ХIV ст. Сёння – афіцыйная вячэрняя сукенка|гаун
Жаночае памяшканне ў мусульманскай хаце|гарэм
Жаночае ўпрыгожванне, якое стаіць грошай|калье
Жаночае ўпрыгожванне|брошка
Жаночае ўпрыгожванне|брошка
Жаночае фруктовае імя|Груша
Жаночае шыйнае ўпрыгожванне|кулон
Женщ.-навуковец з Александрыі, ахвяра фанатыкаў у 415 г.|Іпація
Жанчына ў Японіі, прафесіяй якой з'яўляецца забаўка наведвальнікаў чайных хатак|гейша
Жанчына за верацяном|пралля
Жанчына як ...: калі ідзеш за ёй – уцякае, уцякаеш ад яе – ідзе за табой – прапушчанае слова|цень
Жанчына лёгкіх паводзін, якая круціцца ў вышэйшым грамадстве?|куртызанка
Жанчына ў адносінах да бацькі і мацюкай мужа|нявестка
Жанчына ў адносінах да сваіх дзяцей|маці
Жанчына пасля сарака пяці гадоў|ягадка
Жанчына сярод карт|дама
Жанчына, кінутая за борт С. Разінам|князёўна
Жанчына, якая вядзе вольны лад жыцця|гетэра
Жанчына, што выцірае насы дзецям прафесійна|няня
Жанчына, дзейная ў грамадскай працы|актывістка
Жанчына, якая займаецца сыходам за дзецьмі|няня
Жанчына, занимаюющаяся сыходам за дзецьмі|нянька
Жанчына, не што ведала ніводнага сродку перасоўвання|Ева
Жанчына, якая пазіруе мастаку?|натуршчыца
Жанчына, якая атрымоўвала пенсію звыш 97 гадоў|Баркли
Жанчына, што разбіла сэрца Шэрлака Холмса|Адлер
Жанчына, якая стварае такія ўмовы, пры якіх мужчыну застаецца толькі адно: быць джэнтльменам?|лэдзі
Жанчына, якая схавала мужа|удава
Жанчына, што чытае вершы|дэкламатарка
Жанчына, танцуючая ў пары з кавалерам|дама
Жанчына-вершнік?|амазонка
Жанчына-птушка, які гіпнатызуе выдатным спевам што заваблівае маракоў на скалы (греч. міф.)|сірэна
Жанчына-кухарка па тэрміналогіі 15–18 стст.|варея
Жанчыны інтэгральна і з грэбаваннем|бабзно
Жонкі багатага мусульманіна?|гарэм
Жонкі вянок|муж
Жонкі і наложніцы багатага мусульманіна|гарэм
Жэрдка ў куратніку|курасадня
Жэрдка, якой прыдушваюць стог сена|глоба
Жарабё да адабрання|смактун
Жарабец для верхавой язды|скакун
Ахвяра Кастрычніцкага перавароту, але не Часавы ўрад (истор.)|Хрушчоў
Ахвяра ку-клукс-клановцев|негр
Ахвяра ашуканца|лох
Ахвяра нямога Герасіма|Муму
Ахвяра адвагі мангуста|змяя
Ахвяра халатнасці сямі нянек у вядомай прымаўцы|дзіцё
Ахвяра цара Эдипа|сфінкс
Ахвяра шулерской гульні|фофан
Ахвярнае каханне на антычны манер|агапе
Ахвярнік|алтар
Ахвярны “звер” у даміно?|казёл
Ахвярадаўца ўласнай крыві?|донар
Жэст, рух якім сігналізуюць, паведамляюць што-небудзь|знак
