Вадкая каламута|бурда
Вадкая аснова крыві, лімфы (мёд., биол.)|плазма
Вадкая ежа|суп
Вадкая харчовая заправа, рэзкая затаўка|воцат
Вадкая заправа, падліўка да стравы|соус
Вадкая прасяная каша|кулеш
Вадкая частка супу; слота (сінонім)|жыжка
Вадкая частка супу|жыжка
Вадкія атмасферныя ўляганні?|дождж
Вадкія і газападобныя кампаненты магмы, глыбінныя растворы (геол.)|флюід
Вадкі соус, натуральна які ўтвараецца пры жарении|падліўка
Вадкі тлушч|масла
Вадкі метал серабрыста-белага колеру|ртуць
Вадкі прадукт перагонкі нафты, паліва|газалін
Вадкі прадукт|напой
Вадкі цягнік крыві, што развозіць па арганізме неабходныя будматэрыялы|плазма
Вадкі цёмны прадукт тэрмічнай перапрацоўкі цвёрдых паліваў|дзёгаць
Вадкі суцяшальнік у белай шапцы|піва
Вадкаваты адвар з якімі-небудзь напаўняльнікамі, клёцкамі|юшка
Вадкая страва|суп
Вадкае масла для аздобных прац|пакост
Вадкае мінеральнае гаручае рэчыва|нафта
Вадкае змесціва тонкага кішачніка|химус
Вадкая халадцападобная страва|кісель
Вадкае паліва, якое мае вельмі нізкую дэтанацыйную ўстойлівасць|актан
Вадкасць, без якой можна абыйсціся, калі вы жадаеце замарынаваць не агуркі, а справа|воцат
Вадкасць у артэрыі|кроў
Вадкасць з рэзкім густам, што ўжываецца як вострая заправа да ежы, для кансервавання прадуктаў|воцат
Вадкасць з цвёрдымі часціцамі грунта, горнай пароды|пульпа
Вадкасць, якая вынікае з вулкана, ад якой не дапамогуць ніякія пракладкі з крылцамі|магма
Вадкасць, якую ўтрымоўвае садавіна, ягады, расліны|сок
Вадкасць, не замярзальная ў радыятары аўтамашыны|тосол
Вадкасць, неабходная для існавання ўсяго жывога|вада
Вадкасць, атрутнае рэчыва|іпрыт
Вадкасць, што ўжываецца для астуджэння рухавікоў унутранага згарання пры тэмпературах ніжэй нуля|антыфрыз
Вадкасць, якая ўжываецца пры кансерваванні прадуктаў|воцат
Вадкасць, што ўжываецца ў медыцыне для знячулення|эфір
Вадкасць, холодильн. агент у компрессионном халадзільніку|фрэон
Вадкасць, циркул. у жывым арганізме; аповесць Арцыбашева|кроў
Вадкасць, циркул. у жывым арганізме|кроў
Вадкасць, якая выдаткоўваецца скурнымі залозамі|пот
Вадкасць, насычаная што варацца ў ёй прадуктам|навар
Вадкасць, насычаная сокамі засоленых у ёй прадуктаў|расол
Вадкасць, якая ўжываецца як растваральнік шматлікіх арганічных рэчываў|ацэтон
Вадкасць, што змяшчаецца ў клетках, тканінах і паражнінах раслін|сок
Вадкасць|вада
Жыжка|ян
Жыццёвая альтэрнатыва (рабуе.)|кашалёк
Жыццёва важны “орган” Кащея Несмяротнага|іголка
Жыццёвыя акалічнасці, дзель, лёс|доля
Жыццёвае жэрабя|доля
Жыццёвы шлях (стары. і высокі.)|шлях
Жыццёвы шлях, жыццё з яе клопатамі і смуткамі|юдоль
Жыццёвы шлях, шлях развіцця|шлях
Жыццяпіс?|біяграфія
Жыццё ў адсутнасць вольнага кіслароду = аноксибиоз|анаэрабіёз
Жыццё ў адсутнасць вольнага кіслароду|аноксибиоз
Жыццё ўдалечыні ад таго, хто блізкі, дарог|расстанне
“Жыццё трэба пражыць так, каб кожнае дзіця магло сказаць табе: ...” – тое, што павінна сказаць кожнае дзіця ў духу КВЗ|тата
Жыццё плюс жыццё наперадзе|юнацкасць
Жыццё па шаблоне|руціна
Жыццё з аглядкай на гадзіны|рэжым
Жыццё, адпаліраваная фантазіяй да бляску?|міф
Жыццё, існаванне|быццё
Жылая пабудова, вялікая хата|асабняк
Жылое памяшканне на гарышчы пад пахілам высокага даху|мансарда
Жылое памяшканне на гарышчы пад дахам|мансарда
Жылое памяшканне на гарышчы|мансарда
Жылое паддашкавае памяшканне|мансарда
Жилоподобн. адгалінаванне ад магматычнай пароды|апафіза
Жыллё Бабы-Ягі|хатка
Жыллё Бастинды з казкі пра чараўніка Смарагдавага горада|пячора
Жыллё Дыягена|бочка
Жыллё Труса з казак пра Віні-Пуху|нара
Жыллё амерыканскіх індзейцаў|вігвам
Жыллё бедняка|халупа
Жыллё горцаў Каўказа|сакля
Жыллё дваровага сабакі|будка
Жыллё для авечак|кораль
Жыллё для авечак|кошара
Жыллё для рыб|акварыум
Жыллё са снега|іголку
Жыллё індзейцаў Амазонкі|малока
Вялікае супольнае жыллё ў індзейцаў трапічных лясоў Юж. Амерыкі|малока
Жыллё індзейцаў|вігвам
Жыллё індзейцаў|типи
Жыллё канадскіх эскімосаў са снеговых пліт|іголку
Жыллё каралёў, дзе часам пасяляліся і прывядзенні|замак
Жыллё каралёў, шляхты дзе часам пасяляліся і прывядзенні|замак
Жыллё меданоснай пчалы|вулей
Жыллё манаха|келля
Жыллё некаторых жывёл у зямлі|нара
Жыллё нутрыі, бабра|хатка
Жыллё пчол|вулей
Жыллё сям'і важака Акелы|логава
Жылое помещ. для каманды на караблі; амер. кінарэжысёр|кубрык
Жылое помещ. для каманды на караблі|кубрык
Жылое памяшканне ў верхняй частцы хаты ў Старажытнай Русі|церам
Жылое памяшканне для каманды ў корпусе судна|кубрык
Жылое памяшканне для суднавай каманды на караблі|кубрык
Жылое памяшканне на судне|кубрык
Жылое памяшканне на судне|каюта
Жылое памяшканне суднавай каманды на караблі|кубрык
Жылое памяшканне ў латышоў|истаба
Жылая драўляная хата ў Інш. Русі|палац
Жылплошча на курьих ножках|хатка
Жылплошча для нежывых|склеп
Жылплошча, на якой, па меркаванні яе размеркавальнікаў, няма месца граху|келля
Жылыя хаты – 6 мільёнаў, прамысловыя прадпрыемствы – 31850, металарэзныя станкі – 175 тысяч, музеі – 427, коні – 7 мільёнаў, каровы – 17 мільёнаў, козы – 27 мільёнаў. А людзі?|20 мільёнаў
Жыллё вартаўніка|вартоўня
Жыллё збеглых старавераў на Поўначы, у Паволжа, Сібіры|скіт
Жыллё пустэльніка ўдалечыні ад манастыра|скіт
Тлушч у мясной поліўцы|навар
Тлушч, які ўтвараецца ў вадкай страве пры варэнні|навар
Тлушч, цукар і яйкі, дадаваныя ў цеста|заправа
Жырандоль як яна ёсць?|фантан
Жыраф са скарочанай шыяй|акапі
Жырафа са скарочанай шыяй|акапі
Тоўстая рыба, але вельмі плоская|палтус
Тоўстая частка памяранцавага масла, выпераджанага з кветак|аврад
Тоўстая пляма (разг.)|ласина
Тоўсты певень|каплун
Тлушчавая заправа да цеста|заправа
Тлушчавае рэчыва як харчовы прадукт|масла
Тлушчавае рэчыва, прыгатаванае з рэчываў жывёльнага, расліннага ці мінеральнага паходжання|масла
Тлушчавы адклад у целе жывёлы|сала
Тлушчавы адклад у авечкі|курдзюк
Тлушчавы адклад у хваста некаторых парод авечак|курдзюк
Жыхары абласнога цэнтра Расіі|иркутяне
Жыхары дзвюх дыяметральна противоположныж кропак зямнога шара|антыподы
Жыхары дыяметральна процілеглых раёнаў Зямлі|антыподы
Жыхары французскага горада, дзе нарадзіўся Мішэль Плаціні|аральцы
Жыхар Абісініі (Эфіёпіі)|абісінец
Жыхар Аўстрыі|аўстрыец
Жыхар самай маленькай з арабскіх краін|катарец
Жыхар краіны, дзе ў 1789 г. камітэт навуковых мужоў выпрацаваў адзіную метрычную сістэму|француз
Жыхар еўроп. дзяржавы|літовец
Жыхар Кагана (гарады ва Ўзбекістане)|каганец
Жыхар выспы Кіпр|кіпрыёт
Жыхар аднаго з еўрапейскіх дзяржаў|іспанец
Жыхар аднаго з крымскіх гарадоў|ялтинец
Жыхар рэспублікі Фідэля Кастро|кубінец
Жыхар Беларусі|беларус
Жыхар Бельгіі|бельгіец
Жыхар Бразіліі|бразілец
Жыхар Бухары (горад ва Ўзбекістане)|бухарац
Жыхар Бірмы|бірманец
Жыхар Гвинейской Рэспублікі|гвинеец
Жыхар Італіі, Швецыі, але не Анголы ці Лаоса|еўрапеец
Жыхар Емена|йеменец
Жыхар Лівана|ліванец
Жыхар Прагі (Чэхія)|пражанин
Жыхар Фрыгіі, які разам з жонкай Бавкидой упусцілі ў сваю хату перапранутых вандроўцамі Зеўса і Гермеса, і падзялілі з імі тое, што мелі|Филемон
Жыхар Ялты|ялтинец
Жыхар горада, загубленага драўляным канём|траянец
Жыхар дыяметральна процілеглага пункта зямнога шара|антыпод
Жыхарка Абісініі (Эфіёпіі)|абісінка
Жыхарка азіяцкай краіны|індыянка
Жыхарка Афганістана|афганка
Жыхарка Кеніі|кенийка
Жыхарка выспы Куба|кубінка
Жыхарка астраўной еўрапейскай краіны|ісландка
Жыхарка адной з еўрапейскіх краін|іспанка
Жыхарка Рэспублікі Малі|малийка
Жыхарка Баварыі (землі ў Нямеччыне)|баварка
Жыхарка Бухары (горад ва Ўзбекістане)|бухарка
Жыхарка Бірмы|бірманка
Жыхарка Валахии (гістарычная вобласць на поўдні Румыніі)|валашка
Жыхарка Гурыі (гістарычнай вобласці на захадзе Грузіі)|гурийка
Жыхарка Юдэі (рымская правінцыя ў Юж. Палестыне ў 6–395 н. э.)|іудзейка
Жыхарка Емена|йеменка
Жыхарка Лапландыі (прыроднай вобласці на поўначы Швецыі, Нарвегіі, Фінляндыі і РФ)|лапландка
Жыхарка Лівана|ліванка
Жыхарка Малайзіі|малайка
Жыхарка Малороссии|украінка
Жыхарка Прагі (Чэхія)|пражанка
Жыхарка Ўкраіны|украінка
Жыхарка Чувашскай Рэспублікі|чувашка
Жыхарка Эстоніі|эстонка
Жыхарка гарачага поўдня|афрыканка
Жыхары Амерыкі, якія стварылі калісьці вялікую цывілізацыю?|ацтэкі
Жыхары Амерыкі, якія стварылі калісьці вялікую цывілізацыю?|майя
Жыхары Старажытнага Крыта выкарыстоўвалі для гімнастычных практыкаванняў дзікіх быкоў. Чым замянілі быка сучасныя гімнасты?|казлом
Жыхары еўрапейскай краіны, зрабілі вялікія бильярдн. лузы|палякі
Жыхары еўрапейскай краіны|шведы
Жыхары фр. гарады, дзе нарадзіўся Мішэль Плаціні|аральцы
Жыхары паўднёвых штатаў ЗША пазначаюць гэтым словам паўночнікаў, тыя жыхароў Новай Англіі, тыя, у сваю чаргу-жыхароў штата Вермонт. А каго завуць гэтым словам еўрапейцы?|амерыканцаў
Жыхары, грамадзяне краіны, насельніцтва дзяржавы|народ
Жыхар Абхазіі|абхазец
Жыхар Аўстраліі – кантынента, прадстаўленага зялёным кольцам на алімпійскай эмблеме|аўстраліец
Жыхар Аджарыі (Грузія)|аджарац
Жыхар Азербайджана|азербайджанец
Жыхар Алжыра|алжырац
Жыхар Англіі|ангелец
Жыхар Афрыкі|афрыканец
Жыхар Блізкага Ўсходу|араб
Жыхар Гаваяў|гаваец
Жыхар Нямеччыны|немец
Жыхар Грузіі|грузін
Жыхар Егіпту|араб
