Змова, мяцеж (устар.)|крамола
Загагуліна для калупання ў печы|качарга
Загаловак слоўнікавага артыкула|вакабула
Загаловак часткі ў газеце, часопісе|рубрыка
Загаловак у тэксце|рубрыка
Нарыхтоўка для катлоў, рэзервуараў|абечак
Загарода з якія пераплятаюцца дубцоў, правалачы|рашотка
Замежны сваяк Бураціна|Пінокіа
Загрымім мы з табой пад ... , Усцін Акимыч|фанфары
Загалоўнае слова ў слоўніку|вакабула
Які зазірае ў самую сутнасць з'яў|аналітык
Заданне стандартнай формы|тэст
Зададзены перасек чаго-небудзь (на схеме, чарцяжы), напр. рэльефу, ухілаў дарогі ці рэкі|профіль
Задача радара|лакацыя
Задача-галаваломка|чайнворд
Затрымка, прыпыненне чаго-небудзь|перабой
Забіяцка-хвацкія, бесшабашныя паводзіны|хвацкасць
Забіяцкае дзіця, непаседа|гарэза
Задуманы план дзеянняў, дзейнасці, намер|задума
Задумка, ідэя|задума
Задняя частка спіны|карак
Задняя частка чэрапа, галовы|патыліца
Задняя частка шыі, карак|карак
Запальная зброя|агнямёт
Заціск для папер|сашчэпка
Заціск для прымацавання да вяроўкі разважанай бялізны|прышчэпка
Заціск для прымацавання да вяроўкі павешанага на ёй бялізны, адзежы|прышчэпка
Шчарбіна, няроўнасць у выглядзе маленькага паглыблення|шчарбіна
Заір (горад у Афрыцы)|Кананга
Заір, вобласць, адм. ц. – Бандунду|Бандунду
“Заход”, карціна гэтага аўтара напісана ў 70-е г. 19 ст.|Буланаў
Заканадаўца сусветнай моды|Францыя
Скончаная сукупнасць|камплект
Скончаная думка, выяўленая сціснута і ёміста|афарызм
Закраіны, лёд, які настывае на вадзе ўздоўж берагоў у замаразкі|закрайкі
Зачынены абутак, чаравікі|чаравікі
Зачыненае складское памяшканне|пакгауз
Зачыненае памяшканне на ваенных судах для прылад, кулямётаў і асабовага склада|каземат
Закуска, вячэра прыхапкам, не садзячыся за стол|аляфуршет
Закаркаванне пасудзін эмболом, т. е. прынесенай з токам крыві часціцай (які адарваўся тромб, бурбалка паветра і т. д.)|эмбалія
Закладная ўстанова|ламбард
Якое заляпляецца папяровае пакаванне для лістоў, папер|канверт
Загавор, што мае магічную сілу|намова
Загавор|заклён
Зняволенне лекара пра стан хворага пры выпісе са стацыянара|эпикриз
Зняволены пад варту|арыштант
Заключная масавая сцэна спектакля|апафеоз
Заключная частка гісторыі хваробы|эпикриз
Заледзянелая пры сцёку вадкасць|лядзяк
Заклад здароўя|чысціня
Заклад нерухомасці для атрымання пазыкі|іпатэка
Закладнікі (кучерск.)|коні
Заліў у Аўстраліі|Спенсар
Заліў у Азоўскім моры|Таганрогскі
Заліў у С. Ледавітым акіяне, Баранцавае мора|Кольскі
Заліў у С. Ледавітым акіяне|Амундсена
Заліў у С. Ледавітым акіяне|Гудзонов
Заліў у Ціхім акіяне, Охотское мора|Цярпенні
Заліў у Ціхім акіяне, Охотское мора|Шелихова
Заліў у Балтыйскім моры|Куршскі
Заліў у Балтыйскім моры|Нарвский
Заліў у Берынгавым моры|Наварин
Заліў у Бірме|Кипиани
Заліў у Індыйскім акіяне, Аравійскае мора|Адэнскі
Заліў у Індыйскім акіяне, Аравійскае мора|Оманский
Заліў у Індыйскім акіяне, Чырвонае мора|Суэцкі
Заліў у ціхім Акіяне, Японскае мора|Амурскі
Заліў, поруч якога ходзіць Кот Навуковец (Руслан і Людміла)|Лукамор'е
Зальный наглядчык|глядач
Замаскіраваны хакеіст|брамнік
Намеснік старшыні|намстарш
Замярзанне ракі, вадаёма, адукацыя ледзянога полага|ледостав
Замена паштовага голуба|авіяпошта
Замена прамой назвы іншасказальным выразам|перыфраз
Заменнік цукру|сахарын
Заменнік скуры|кожелит
Заменнік пудры для мазгоў|каніфоль
Заменнік чаго-небудзь, які мае горшая якасць|сурагат
Заменнік|сурагат
Заменная прылада для захоўвання выдаткоўванага матэрыялу (напр., фота- і магнітнай плёнкі), дэталяў, бомбаў ці зарадаў сістэмы зброі|касета
Нататка на памяць|напамінак
Заўвага, папраўка|абмоўка
Выдатная руская жанчына канца ХVIII стагоддзі, частка дзвюх Акадэмій|Дашкова
Выдатны рускі кампазітар, што жыве цяпер у Парыжы. (Музыка для да/ф “Масква”, “Каўказскі палонны”, “Дзённік яго жонкі”)|Дзясятнікаў
Замяшанне, стан сарамлівасці|збянтэжанасць
Заморскі дэпартамент Францыі|реюньон
Заморскі зародак|эмбрыён
Заморскі ляднік|глетчар
Прагнаць голад паміж абедам і вячэрай|падвячорак
Замакрэў, палац у мавританск. стиле ў Іспаніі|Луханес
Замешка|запінка
Замкнёная магнітная пастка, прызначаная для стварэння і ўтрыманні высокатэмпературнай плазмы|такамак
