Загарода, перашкода|бар'ер
Загароды ў паветры, якія перашкаджаюць палёту самалётаў суперніка|бараж
Замежны смычковый музычная прылада з адной, дзвюма ці трыма струнамі|ребаб
Загребущая “частка” слана|хобат
Загребущий спортпрыладдзе|вясло
(інш .-егип. блажэнны, прасветлены) У егіпецкай міфалогіі адна з душ-сутнасцяў чалавека, яго замагільнае ўвасабленне|ах
Загрузная прылада|латок
Забруджаны дымамі і пылам паветра, у вільготнае надвор'е са смугой|смог
Заданне для праверкі ведаў, здольнасцяў, высвятленні психич. чорт падыспытнага|тэст
Заданне на выкананне прац|убор
Заданне на хату|урокі
Заданне, даручэнне; дипломатич. прадстаўніцтва|місія
Заданне, даручэнне|місія
Зададзенае камандаваннем узаемнае размяшчэнне караблёў у паходзе ці бою|ордар
Задаць яго азначае ўцячы на ўсю нагу|драпак
Задача N1 для любога арганізма ў сучасным суровым свеце?|выжыванне
Задача рэчаіснасці па Круглову|бог
Задача, якая стаіць перад фенам|сушка
Засаўка, засланка ў комінах завадскіх печаў|шыбер
Заладка насення ў верхнія пласты глебы|пасеў
Затрыманне, мера спынення|арышт
Затрыманне; п'еса Ануя|арышт
Затрыманне|арышт
Затрымка ў руху ад скупнасці рухальных людзей, прадметаў, корак|затор
Задзірака, задзіра|ваяка
Задзірака, дуэлянт|брэцёр
Задзірлівы, прыдзірлівы, з'едлівы чалавек|стрэмка
Задні аддзел стрававальнага канала ў шэрагу хрыбетных жывёл|клоака
Задні план карціны, малюнкі|фон
Задняя шчогла ветразнага судна|бізань
Задні бок тулава|спіна
Задняя частка лятальнага апарата?|хвост
Задняя частка ступні|пятка
Задняя частка судна; юж. сузор'е|кормы
Задняя частка судна?|кормы
Задняя частка сцэны, якая служыць рэзервовым памяшканнем для ўсталёўкі дэкарацый|ар'ерсцэна
Задняя частка цела ў некаторых жывёл|хвост
Задняя частка тулава каня|круп
Задняя частка тулава чалавека|спіна
Задняя частка чаго-небудзь|зад
Задняя, канчатковая частка чаго-небудзь рухомага|хвост
Задаўга да плавання папанинцев у далёкі шлях на крызе пусціліся чалавек, бык, арол і цмок. Пра што ідзе гаворка?|герб Ісландыі
Запазычанасць па вэксалях|облиго
Забіяцкі народны танец|скокі
Задуманая справа, задума|задума
Шчыры сябар Дездемоны|Атэла
Шчырая гутарка|гутарка
