Буйны дэкаратыўны хмызняк|аралія
Буйны дзікі лясны бык|зубр
Буйны дыназаўр з групы зауропод, вядомы пад назвай бронтозавр|апатазаўр
Буйны даўгашэрсны цэнтральна-азіяцкі бык|як
Буйны землеўладальнік ва ўсходніх і цэнтральных правінцыях Прусіі да 2-й сусветныя войны|юнкер
Буйны землеўладальнік у сярэднія вякі|феадал
Буйны землеўладальнік, абшарнік|аграрнік
Буйны землеўладальнік?|аграрнік
Буйная трава з венікавым суквеццем|сорга
Буйны з мушкецёраў|портос
Буйны гістарычны перыяд, карэнным чынам адрозны ад папярэдняга|эра
Буйны гістарычны перыяд|эра
Буйны капіталіст, феадал, багатыр|магнат
Буйная крывяносная пасудзіна, па якім да органаў паступае свежая кроў|артэрыя
Буйны лясны голуб|вяхір
Буйны лясны арэх тыпу фундука ў Італіі|авеллан
Буйны ліст папараці|ліст папараці
Буйная крама ў Маскве|пасаж
Буйны марскі рак|амар
Буйны населены пункт, вялікі горад|цэнтр
Буйны населены пункт|горад
Буйны арол|беркут
Буйная выспа ў Карыбскім моры|Гаіці
Буйны пясок, а таксама дробны друз|жарства
Буйны пясок|жвир
Буйны плён бахчавой культуры, амаль нерэальны на навагоднім стале?|кавун
Буйны пакупнік?|аптавік
Буйны палярны дэльфін|бялуха
Буйны чыюк|ара
Буйны чыюк|какаду
Буйны почырк старажытных славяна-рускіх рукапісаў|статут
Буйная прыродная студня ў Алжыры|изи
Буйны пралік, промах (разг.)|ляпу
Буйны рагаты недомашний скаціна|зебу
Буйная рагатая скаціна, распаўсюджаны ў Азіі і Афрыцы|зебу
Буйны садовы хмызняк сямейства маслиновых з ліловымі, белымі ці ружовымі суквеццямі|бэз
Буйная сямейная гутарка|сцэна
Буйны сібірскі і сярэднеазіяцкі алень з вялікімі рогамі|брудзіў
Буйны сібірскі алень|изюбрь
Буйны сакавіты плён трапічнай расліны|ананас
Буйны будаўнічы камень|бут
Буйны ўдаў?|баа
Буйны феадал у Польшчы і Вугоршчыны (историч.)|магнат
Буйны драпежны пушны звер роду котак|рысь
Буйны хрысціянскі храм|сабор
Буйная кветка, выкарыстоўваны ў афармленні кветнікаў|калл
Буйная паўднёвая трава з венікавым суквеццем, які ўжываецца ў ежу, для корму і для тэхнічных патрэб|сорга
Буйны, найважны праваслаўны манастыр?|лаўра
Стромкая звіліна рэчышча ракі з блізка збежнымі ў пярэсмыка канцамі|лука
Стромкая салодкая каша з разынкамі|кутья
Круці ... , пакуль не далі (совр. фальклор)|педалі
Крутобокая даліна|цясніна
Стромкае многоскатное ці канічнае пакрыццё, якое ўжываецца ў рускай архітэктуры ў ХVI–ХVIII стст.|шацёр
Стромкае падзенне|піцы
Стромкі аўтамабіль|джып
Стромкі амерыканскі аўтамабіль?|кадылак
Стромкі амерыканскі аўтамабіль?|мустанг
Стромкі бераг, які прысутнічае ў назве аднаго з расійскіх касмадромаў|яр
Стромкі беражок|яр
Стромкі залом, лукавіна|зігзаг
Стромкі кіпень|вар
Стромкі адхон па беразе ракі|абрыў
Стромкі адхон па краі яра|абрыў
Стромкі заваротак аўтамабіля|віраж
Стромкі заваротак дарогі, рэкі|залом
Стромкі заваротак каня|вольт
Стромкі ўздым мяча ў гульнях|свечка
Стромкі ўступ (рэльеф)|глинт
Стромкі ўступ плато, размешчанага ўздоўж паўднёвага берага Фінскага заліва да Ладажскага возера|глинт
Стромкі японскі матацыкл|ямаха
Кручаная ці плеценая тонкая вяроўка|шнур
