Карточн. масць, па-старадаўняму “жлуди”|хрысці
Картачная гульня з верша Я. Полонского “Летуценнік”|мушка
Картачная гульня, у якой прынята вынікаць правілу: ходу няма – не вістуй?|прэферанс
Картачная гульня, да якой няроўна дыхаў Мікалай Крывавы|безик
Картачная гульня; ніт з разьбой|шруба
Картачная гульня; мера чыг шляхі|пікет
Картачная гульня|банчок
Картачная гульня|белот
Картачная гульня|бостан
Картачная гульня|брыдж
Картачная гульня|свідры
Картачная гульня|шруба
Картачная гульня|віст
Картачная гульня|макао
Картачная гульня|ачко
Картачная гульня|памфил
Картачная гульня|тапет
Картачная гульня|штосс
Картачная гульня|феерверкавая ракета
Картачная гульня|экарте
Картачная масць|звонкі
Картачная масць|чарвякі
Картачная пара – дама і кароль; компьют. гульня|мар'яж
Картачная пара – дама і кароль|мар'яж
Картачная сямейная гульня|тысяча
Картачныя сэрцайкі?|чарвякі
Картачны камплект|калода
Картачны круг|кон
Картачны хлопчык|валет
Картачны ашуканец|шулер
Картачны пярэварацень|джокер
Картачны прынц|валет
Картачны тэатр аднаго акцёра|блеф
Картачны тэрмін (брыдж)|шлем
Картачны тэрмін (покер)|стрыт
Картачны тэрмін; вадаспад на рацэ Меконг|кон
Картачны тэрмін; ваенная пабудова; прычоска|карэ
Картачны тэрмін; разнавіднасць більярда|фішкі
Картачны тэрмін|балван
Картачны тэрмін|хабар
Картачны тэрмін|група
Картачны тэрмін|импас
Картачны тэрмін|инвинт
Картачны тэрмін|карэ
Картачны тэрмін|козыр
Картачны тэрмін|кон
Картачны тэрмін|крап
Картачны тэрмін|лоўлі
Картачны тэрмін|онеры
Картачны тэрмін|панцёр
Картачны тэрмін|прыкуп
Картачны тэрмін|пуаны
Картачны тэрмін|рэнонс
Картачны тэрмін|репик
Картачны тэрмін|рефет
Картачны тэрмін|ромбус
Картачны тэрмін|сінгл
Картачны тэрмін|сюркуп
Картачны тэрмін|талон
Картачны тэрмін|цёмная
Картачны тэрмін|трикон
Картачны тэрмін|фіт
Картачны тэрмін|фиши
Картачны тэрмін|фішкі
Картачны тэрмін|фуль
Бульбачка Акіяніі|тара
Карусель, арэлі, кола агляду і т. п. збудаванне для прыемнага катання ці атрыманні вострых адчуванняў|атракцыён
Дотык лапаткамі дывана ў спартовай барацьбе|тушэ
Дотык яхтай паваротнага знака|накід
Касоги, старажытнае племя, народ (адказ у мн. ч.)|адыги
Каспійская прамысловая рыба|вобла
Каспійска-аральскі карп?|жэрах
