Ловчая птах|сокал
Ловчая птушка|сапсан
Ловчая птушка|каршак
Лагарыфмічная база?|падстава
Лагарыфмічная адзінка стаўлення дзвюх велічынь|белы
Логіка мітусні|абсурд
Лагічная аперацыя “ЦІ”?|дизъюнкция
Лагічная аперацыя выбару, а таксама рака, якая пачынаецца ў Кітаі і што ўпадае ў возера Балхаш|ці
Лагічны довад, службовец падставай доказу|аргумент
Лагічны набор дадзеных пад спецыфічнай назвай, разгляданы кампутарам як адно цэлае|файл
Логава крымінальнага паскуддзя|маліна
Лодка – знак дастатку|яхта
Лодка Тура Хейердала|тигрис
Лодка Чингачгука|пірога
Лодка дзікуноў|пірога
Лодка ці трохкутная платформа з ветразем, усталяваная на адмысловых каньках, для катання на лёду|буер
Лодка індзейцаў Паўночнай Амерыкі|каноэ
Лодка на Поўначы|карбас
Лодка прыстасаваная для перасоўвання па лёдзе пад ветразямі|буер
Лодка з трывалым шырокім корпусам|шлюпка
Лодка ў індзейцаў|пірога
Лодка эскімоса|каяк
Лодка, затопленая з “Варагам” у Цусимском бітве|карэец
Лодка, ладдзя|човен
Лодка, невялікае парусно-вяслярнае ці водоизмещающее маторнае судна?|бот
Лодка, прыстасаваная для перасоўвання па лёдзе пад ветразямі?|буер
Лодка, якая стаіць даражэй раскошнага аўтамабіля|яхта
Лодка, ветразнае судна|ладдзя
Лодка-кадаўб, душагубка, наогул маленькая лядачая лодчонка|човен
Лагчына ў пойме ракі|пратока
Лагчына на горным схіле|кулуар
Лагчына|делль
Ложа для пасажыра ў чыгуначным вагоне|паліца
Ложа акіяна|абиссаль
Ложа смерці|ложа
Ложа, пазбаўленае волі|нары
Ложа ў тэатры па баках партэра на ўзроўні сцэны ці трохі ніжэй|бенуар
Клаўся на палі смуга, // Гусакоў крыклівых караван // Цягнуўся да поўдня: набліжалася // Даволі сумная пара; // Стаяў ... ужо ў двара. (А. Пушкін, “Яўген Онегин”)|лістапад
Ілжывае абвінавачванне, паклёп?|паклёп
Ілжывае абвінавачванне|паклёп
Ілжывае па істоце выснова, заснаванае на наўмысным парушэнні правіл логікі|сафізм
Ілжывае паведамленне|качка
Лжывыя сведчанні|абгавор
Ілжывы данос, абгавор|паклёп
Ілжывы слых (разг.)|качка
Лжывы слых|качка
Хлусня, изрекаемая бандытамі (па Эрнэсце Хэмінгуэю)|фашызм
Хлусня, ілжывае ўяўленне пра што-небудзь, памылка|зман
Хлусня, не задзірлівая раздражненні ў атачальных?|самападман
Хлусня, няпраўда; аповесць Лиханова|зман
Хлусня, няпраўда|зман
Хлусня, але ў ёй намёк|казка
Хлусня, зман|хлусня
Хлусня, няпраўда|няпраўда
Лозунг, зварот, у лаканічнай форме якое выказвае кіраўнічую палітычную ідэю, патрабаванне|заклік
Лакальная кампутарная сетка?|інтранэт
Лакальная папуляцыя|дем
Лакальнае бажаство ў хеўсураў|капала
Лакатар|радар
Пасма|букля
Валасы|буклі
Ломик, выкарыстоўваны для ўзлому замкаў, запароўшы|крышанчык
Луста (сінонім)|шматок
Луста часу?|год
Лустачка фірмы|акцыя
Лонданская газета, якая адзначыла ў 1985 г. свой двухстагоддзевы юбілей|таймс
Лопасцевай рухавік?|турбіна
Лопасць пароходного колы?|пліца
Лапатка з загнутымі ўгару бакавымі краямі|шуфлік
Лапатка, у якой загнуты краі|шуфлік
Лопушиная зачэпка|дзядоўнік
Ларнет|ачкі
Лапік з таўром|цэтлік
Лапік тканіны|ануча
Лапік, нашитый на худое месца|лапка
Льсняная пляма|ласа
Ласосевая прайдзісветка|кета
Ласосевая рыба з роду сігаў|омуль
Ласосевая рыба, блізкая да стронгі|палья
Ласосевая рыба|голец
Ласосевая рыба|кумжа
Ласосевая рыба|кунджа
Ласосевая рыба|муксун
Ласосевая рыба|нейва
Ласосевая рыба|сырок
Ласосевая рыба|пыжьян
Ласосевая рыба|сима
Ласосевая рыба|тугун
Ласосевая рыба|стронга
Ласось паўночных мораў|голец
Ласось, сёмга пасля нераставання (шуточн., жаргон.)|лох
Ласось, сёмга пасля нераставання?|лох
Лотарингская дынастыя|Гиз
Латарэя з розыгрышам адразу пасля куплі квітка|алегры
Лох-несское пачвара|несси
Балея для палівання раслін|палівачка
Кудлатыя боты|унты
Кудлатая кветка|астра
Конскі “друк”?|таўро
Конская працоўная “адзежа”|збруя
Конскі натоўп|табун
Конская шавялюра|грыва
Конская “прычоска”|грыва
Конская прывязка для гонкі па крузе?|корда
Конскае покрыва|гунька
Конскія гонкі, у якія часам “удараюцца” зэки|бегі
Конскі галоп|сумёт
Конскі дэлікатэс|авёс
Конскі еўнух|конь
Конскі кіраўнік|фурман
Конскі кнор|конь
Конік, якая пазнае сваю радню па размяшчэнні палосак|зебра
Конь “у цяльняшцы”|зебра
Конь – карлік|поні
Конь вост. пароды (стары.)|аргамак
Конь штучна выведзенай нізкарослай пароды|поні
Конь міяцэнавай эпохі|анхитерий
Конь на пенсіі|кляча
Конь, запрэжаная ў брычку|рысак
Конь, якая да старасці – жарабё|поні
Конь, адмыслова прывучаная біць задам, козлить|сотер
Лагчына, лагчына, яр|бэлька
Луб маладой ліпы, выкарыстоўваны сялянамі для выраба хатняга начыння|лыка
Аматар паласавацца саспелым яблычкам яшчэ на галінцы?|чарвяк
Лубяная і алейная травяністая расліна|кенаф
Лубяны ці берасцяны выраб для кладкі ці шкарпэткі чаго-небудзь|кораб
Лубяны куфар|кораб
Лубяныя валокны ліпавай кары|луб
Сенажаць, невялікая роўная прастора сярод лясы|паляна
Лугавая зялёнка|трава
Лугавая расліннасць|трава
Лугавая расліна. Калі яго кветкі раптам зачыняюцца днём, неўзабаве чакай дажджу|павой
Лугавы пласт?|дзёран
Лужок у лесе|паляна
Лужычане, сербы (іншая назва)|венды
Лук, бурак і морква?|гародніна
Лук|батун
Нячысцік, чорт|нячысцік
Нячысцік|хітры
Лукиан, у сувязі з апавяданнем пра заваёву Брытаніі, згадвае краіну, якую рымляне звалі Калядоніяй. Як мы яе завём?|Шатландыя
Цыбульная ліна|цеціва
Цыбуліна над царквой|купал
Цыбуліна часныку|зубок
Цыбульная дэкаратыўная расліна сямейства амарылісавых|кринум
Цыбульная расліна з прамым сцяблом і буйнымі прыгожымі кветкамі ў выглядзе звана|лілея
Цыбульная расліна сямейства лилейных|лілея
Цыбульная расліна, кветка?|крокус
Цыбульная расліна, кветка|лілея
Кош, туес|кораб
Месяц, “упрыгожаная” зямным ценем|месяц
Месяц, Люцина, Геката ці Прозерпина... Назавіце яе адным імем|Дыяна
Месяцовая асоба з творчай спадчыны Людвіга ван Бетховена|саната
Месяцовы бог у западносемитских міфах|аглибол
Месяцовы прадстаўнік у табліцы імя Зміцера Мендзялеева|селен
Лунолет ЗША (пераклад)|арол
Лунолет ЗША|іголак
Прамень святла ў цёмным моры|маяк
Лучына ў канцы тунэля|святло
Прамяністая энергія, якая робіць навакольны свет бачным|святло
Прамяністая энергія|святло
Прамяністы круг з золата, срэбра на тронку|рипида
Лучная струна|цеціва
Лучш. скок. ці рысистая конь у стайні, на скоках|крэк
Лепшая іт. саломка для капялюшоў, кошыкаў, торбаў|бава
Лепшая заправа да ежы|голад
Лепшая траціна жыцця|сон
Лепшая частка зарплаты|аванс
Лепш ... у руцэ, чым журавель у небе|сініца
Лепш адзін раз ... , чым сто разоў убачыць?|пакратаць
Лепш яна, чым журавель|сініца
Лепш палезці ў кішэнь за словам, чым за ... – што меў на ўвазе наш мільярдар Уладзімір Брынцалов?|грошы
Лепш, калі гэтых частак цела дзве|галава
Лепшы час у спектаклі для галодных гледачоў|антракт
Лепшае калена песні канаркі-ролера, разнавіднасць грымоты|глухі
Лепшыя лекі ад бясталентнасці|талент
Лепшае месца для любоўных сустрэч|сад
Лепшае суправаджэнне для салаўінага спеву|цішыня
Лепшы сродак развязаць мову|віно
Лепшыя сябры лейбарыстаў|торы
Лепшыя прадстаўнікі грамадства|эліта
Лепшыя расліны, насенне, жывёльныя, найболей прыдатныя для гадоўлі|эліта
Лепшы Бельгійскі футбаліст апошняга дзесяцігоддзя?|Шифо
Лепшы брамнік у гісторыі канадскага прафесійнага хакея|Плант
Лепшы брамнік свету ў 1988 г.|Дасаев
Лепшы лекар на зямлі, у якога не было няўдалых выпадкаў|смерць
Лепшы лекар?|праца
Лепшы грыб для засолу|рыжак
Лепшы сябар Гекльберри Фіна|Соер
Лепшы сябар гайкі|ніт
Лепшы жывапісец самалюбства?|ліслівасць
Лепшы гулец у гісторыі Перу?|Кубильяс
Лепшы гулец свету 2000 гады|Зидан
Лепшы з брамнікаў Англіі?|Бэнкс
Лепшы з лепшых ангельскіх пілотаў (гэтым.)|азбест
Лепшы имитант дыямента|фианит
Лепшы выканавец партыі містара Ікса|Отс
Лепшы лётчык|ас
Лепшы месяц збору лекавай травы|жнівень
Лепшы нумар гасцініцы|люкс
Лепшы па абсталяванні і абслугоўванню нумар гасцініцы, вагон, салон, каюта|люкс
