Лепшы падарунак|кніга
Лепшы гатунак пергамента з цялячай скуры|велень
Лепшы форвард у гісторыі балгарскага футбола|Аспарухов
Лепшым спартоўцам алімпіяды, якая праходзіла ў Антвэрпэне, быў прызнаны фінскі ... Пааво Нурми|бягун
Лусканае проса|проса
Лущильный гатунак гароху|віёла
Лыжніца, уладальніца залатой і срэбнай медаляў ХI зімовых Алімпійскіх гульняў|Олюнина
Лыжніца, уладальніца пяці залатых медаляў на ЧМ-97|Вяльбе
Лыжныя скокі|слалам
Лыжны марафон яна бегла трэці раз у жыцці, і адразу заваявала золата ў Нагана|Чепалова
Лыжны з'езд|спуск
Ліслівец, які дагаджае перад кім-небудзь дзеля сваіх карыслівых мэт, выгады|падхалім
Ільвоўскі біскуп, супернік брэсцкай уніі|балабан
Ільвіны ... – гэта побытавая назва кветкі антирринум – той уражлівы атрыбут ільва, які скарыстаны ў гэтай назве|зяпа
Львіная зяпа, декоративн. расліна|антириннум
Палёгка ў гульні|фора
Палёгка, якая прадстаўляецца больш слабому гульцу|фора
Палёгкавы дакумент|літар
Крыга ў таросах, што стаіць рабром|рапак
Ільды|спай
Ільняная хустка на шыі каталіцкага святара|гумерал
Ільняная ці канапляная салома|траста
Льняная салома|кастрыца
Льняная салома|траста
Льняная суровая ці беленая тканіна з тоўстага прадзіва|палатно
Льняная тканіна|цік
Ільняное неабчышчанае масла|пакост
Любая ... , якая залежыць ад чалавечай надзейнасці, ненадзейная (закон Джилба)|сістэма
Любая суайчынніца Минтимера Шаймиева|татарка
Любая падробка|імітацыя
Любое збудаванне ці натуральная асаблівасць для падыходу што абложваюць да крэпасці|подступ
Любое месца, дзе льецца пот|апарня
Любое мерапрыемства з колькасцю ўдзельнікаў больш дзвюх (разг.)|тусоўка
Любы лік у нулявой ступені|адзінка
Каханне да жывёл, пераходзячая ўсе межы|заафілія
Любая дзяржава, але з “прысмакам” дзіўнасці, як, напрыклад, Расія|краіна
Любая старажытнагрэцкая ... пачыналася з глыбокай пашаны Дыянісу|драма
Любая ёмістасць, у якую наліваюць, ці з якой выпіваюць|пасудзіна
Любая літоўская народная песня|дайна
Любая, на ваш погляд, падыходная частка года|сезон
Кахалі прапісваць, затым страцілі ў алфавіце|іжыца
Каханая дзяўчына, жанчына, умілаваная|каханка
Каханая жанчына, дзяўчына|любачка
Каханы начны матылёк Сафіі Ратару|матылёк
Каханы лік О. Бэндара да дэнамінацыі|мільён
Улюбёнец высокапастаўленага твару, які атрымлівае выгады і перавагі ад яго заступніка|фаварыт
Каханы ласунак для круцігалоўкі|мурашка
Каханая жонка прарока Мухамеда|Айша
Каханая жанчына Круза (тэлесерыял “Санта-Барбара”)|Иден
Каханая гульня Барыса Ельцына|тэніс
Каханая гульня Ворчыкі Копченог з тэлесерыяла “Месца сустрэчы змяніць нельга”?|більярд
Каханая гульня лідара руху “Айчына” маскоўскага мэра Юрыя Лужкова|футбол
Каханая каша пушкінскага Доўбні|полба
Каханая музыка Леаніда Утесова?|джаз
Каханая народам прынцэса|дыяна
Каханая нашымі гледачамі акторка, “Дзікая архідэя”|Биссет
Каханая нашымі гледачамі акторка, “Напалеон і Жазэфіна”|Биссет
Каханая песня рускіх блатных|мурка
Каханыя скокі Мікіты Хрушчова|гапак
Каханы посуд Віні-Пуху|чыгун
Каханая пушкінскім Доўбнем полба – гэта не што іншае як...?|пшаніца
Каханая рыба японцаў|тунец
Каханая савецкая кінаактрыса для кампазітара і спевака Ігара Мікалаева|Арлова
Каханая спартовая гульня ў прэзідэнцкіх кругах|тэніс
Каханая стрыжка фр. спявачкі М. Мацье|сассон
Каханая яечня акцёра Шырвіндта?|амлет
Каханая яхта амерыканскага пісьменніка Э. Хэмінгуэя|пилар
Улюбёнец Дыяніса, чыю душу ён змясціў сярод сузор'і Панны|Ампел
Улюбёнка Ф. Тютчева напачатку траўня|навальніца
Каханае віно Атоса з рамана А. Дзюма “Тры мушкецёра”|малага
Каханы ўсклік спартовага каментатара Мікалая Озерова|гол
Каханы занятак Робіна Гуда|разбой
Каханы занятак інш.-рымскай багіні Дыяны|паляванне
Каханы занятак, у якім вам няма роўных|канёк
Каханы занятак, захапленне?|хобі
Каханы канадскі ласунак, якое шырока выкарыстоўваюць пры вырабе тартоў, печывы і нават вараць з ім салодкую кашу – гэта салодкі сіроп, изготовляемый з соку дрэва. Якога?|клёну
Каханая страва Дон-Кіхота з мяса з вострымі заправамі|олья
Каханы ласунак малп?|банан
Каханае мужчынскае імя нявесты з чэхаўскага “Вяселля”|Роланд
Каханая яечная страва першага чэмпіёна свету па шахматах – Стейница|амлет
Каханыя цыгарэты пенсіянераў, студэнтаў|прыма
Каханы суп квасных патрыётаў|халаднік
Каханы выгляд спорту ў спартовага аглядальніка канала НТБ Юліі Бордовских|плаванне
Каханы ўсімі герой Стывена Сігала|Ніка
Каханы герой і сын А. Гайдара|Цімур
Каханы галаўны ўбор правадыра пралетарыята|кепка
Каханы гарачыльны напой Шцірліца з народнага тэлесерыяла “17 імгненняў вясны”|каньяк
Каханы дзецьмі і сталымі “казачнік з кінакамерай”, які зняў фільм “Марозка”|Роу
Каханая трава Н. Хрушчова|кукуруза
Каханая трава японцаў|рыс
Каханы камень вялікага антычнага разьбяра Дексамена Хиосского|агат
Каханы заклік савецкіх піянераў “Бяры лыжку, бяры бак” выконваўся на ... ?|горане
Каханы кампазітар А. Гітлера|Вагнер
Каханы крэйсер бальшавікоў|Аўрора
Каханы метал казачных гномаў|золата
Каханы напой Анарэ дэ Бальзака|кава
Каханы напой Пеле|кава
Каханы напой узыходнай эстраднай зоркі Марыны Хлебниковой|кава
Каханы напой киногероини Іны Чуриковой з камедыі “Ширли-Мырли”|гарэлка
Каханы напой піратаў|ром
Каханы напой рускага сялянства ў дарэвалюцыйныя часы|квас
Каханы прыбор Стекляшкина з Кветкавага горада|тэлескоп
Каханы празаічны памер французскай пісьменніцы Жорж Санд?|раман
Каханы фехтавальны прыём д’Артаньяна|терц
Каханы мастак битла Джона Ленана|Яно
Каханая кветка Гялены Великановой|ландыш
Каханая кветка наркаманаў|мак
Кахае, не кахае (кветка)|рамонак
Аматар збіраць грыбы|грыбнік
Аматар свайго краю, краіны|патрыёт
Аматар даўніны|пасеіст
Аматар сцэнічнага исскуства|тэатрал
Аматар раскошы і бяздзейнасці|сібарыт
Аматар хадзіць у кіно|кіношнік
Аматар драматич. мастацтвы|тэатрал
Аматар старажытнасцяў|антыквар
Аматар і калекцыянер музыкі|меламан
Аматар падаглядаць за жанчынамі, спакуснік, цяганіна, спакуснік|лавелас
Аматар прыхлусіць|хвалько
Аматар чытання, кніг|кнігалюб
Аматар|дылетант
Аматары шчыльна паесці часам звяртаюцца да гэтых лекаў|алахол
Аматар гутарыць?|гаварун
Аматар хатніх рыбак|акварыуміст
Аматар дзерціся на двубоі па любой нагодзе|брэцёр
Аматар зімовага купання|морж
Аматар і знаўца дэлікатэсаў|гурман
Аматар і знаўца тонкіх, смачных страў?|гастраном
Аматар гуляць у рызыкоўныя гульні|гулец
Аматар вывучэння падземных хадоў, якія дзейнічаюць і закінутых падземных аб'ектаў і збудаванняў|дзігер
Аматар вытанчанай ежы|гурман
Аматар канёў (мужчынскае імя)|Піліп
Аматар незямных целаў|астраном
Аматар недарэчных падрабязнасцяў|зануда
Аматар пакапацца ў мінулым|археолаг
Аматар папарыцца (устар.)|опарыш
Аматар паспаць да поўдня|сава
Аматар падаглядаць за жанчынамі, спакуснік?|лавелас
Аматар пракаціцца на печы з ветрыкам|Ямеля
Аматар пракаціцца з ветрыкам|зух
Аматар судовых разглядаў?|суцяжнік
Аматар тонкіх і вытанчаных страў|гурман
Аматар тонкіх, вытанчаных страў|гурман
Аматар яйкаў|яйцаед
Аматар, не збрыджаны професиональными навыкамі?|дылетант
Кахаю айчыну я, але  каханнем – верш М. Ю. Лермантава?|радзіма
Любоўная гульня ў коткі-мышкі|флірт
