Механічны сігнальны гудок аўтамабіля|клаксон
Механічны заменнік Віягры з анекдота|дамкрат
Механічны лётчык|аўтапілот
Механічны элемент|агранка
Футравая адзежа на Поўначы|кухлянка
Футравая ці аксамітавая жаночая наплечная накідка, а таксама вялікі шырокі шалік|палантын
Футравы тавар|пушніна
Мэбля, з якой рабілі самагонку па рэцэпце О. Бэндара|зэдлік
Мэблевы гарнітур|спальня
Мёд. адмысловасць|андролаг
Мёд. працаўнік|акушэрка
Мёд. працаўнік|фельчар
Мёд. установа|медпункт
Мёд. мерапрыемствы на хаце|патранаж
Мёд. прафесія|аптэкар
Мёд. прафесія|радыёлаг
Мёд. прафесія|фізіёлаг
Мёд. прафесія|фтызіятр
Мядовы выраб, якое старажытныя грэкі клалі ў труну мерцвяку, каб пры жаданні ён, падобна антычнаму Энею, мог кінуць гэты ласунак сабаку Цэрберу, які ахоўвае выйсце з Аіда, і вярнуцца ў свет жывых|аладка
Мядовае печыва|пернік
Мядовы напой|медавуха
Мядовы пернік|пернік
Медодобытчик|пчаляр
Меданос; травы. расліна|меліса
Меданос; травы. расліна|эспарцэт
Меданосная расліна|меданос
Меданосная расліна|фацэлія
Медуза|аурелия
Мядзведзь, які насяляе ў лясах Паўночнай Амерыкі|барибал
Мядзведзь, што нішчыць авёс на палях|овсяник
Мядзведзь|овсянник
Глухі закутак|бярлог
Мядзведжая кватэра|бярлог
Медыцынская прафесія|санітар
Медыцынская тамаграфія выкарыстоўвае ... звышвысокіх чашчынь|дыяпазон
Медыцынская ўстанова для стацыянарнага лячэння|лякарня
Медыцынскі спосаб прадухілення хваробы|прышчэпка
Медыцынскі стацыянар пры вайсковай частцы|лазарэт
Медыцынскі працаўнік|медсястра
Павольна якое перасоўваецца паўднёваамерыканскае млекопитающее, што жыве на дрэвах|гультай
Павольнае заканчэнне газаў праз малыя адтуліны (физ.)|эфузія
Павольныя, паступовых змены (напр., у жывой прыродзе, грамадстве, поглядах) у адрозненне ад рэвалюцыі (хуткага скоку)|эвалюцыя
Павольны (некалькі хутчэй ларго) музычны тэмп|ленто
Павольны факстрот|слоуфокс
Марудлівасць навыварат|шпаркасць
Марудлівае і млявае выкананне чаго-небудзь, важданіна|корпанне
Медная аркестравая муштуковая духавая музычная прылада|трамбон
Медны духавы сігнальны музычны инструмет, падоўжаная труба без вентыляў|фанфара
Медная духавая прылада|барытон
Медная духавая муштуковая прылада|валторна
Медны прадмет, кавалак медзі|медяшка
Межаванне, правядзенне мяжы, межы зямельных участкаў|межевка
Межреберная частка ялавічыны, а таксама отбивная з яе|антрыкот
Межд. арганізацыя па барацьбе са злачыннасцю|інтэрпол
Междудействие|антракт
Междунар. штучн. спадарожнік|интелсат
Міжнародная паліцыя|інтэрпол
Міжзоркавы карабель (кин-дза-дза)|пепелац
Межтранспортный зазор|інтэрвал
Мексик. шчыпкоў. муз. прылада|бандола
Мексіка (горад у Амерыцы)|Тампико
Мексіка, порт на Ціхім ок. (горад у Амерыцы)|Акапулька
Мексіканскі філосаф, адзін з заснавальнікаў мексіканскага неакантыянства|Ларройо
Меланезия + Мікранэзія + Палінезія|Акіянія
Меладычнае ўпрыгожванне з аднаго ці некалькіх гукаў, папярэдніх асноўнаму гуку і пры выкананні як бы якія зліваюцца з ім|фаршлаг
Меладычны зварот, завяршальны муз. твор|кадэнцыя
Дробязь у кішэні|срэбра
Дробная разменная манета ў Балгарыі|стацінка
Дробная разменная манета ў Венесуэле|сентимо
Дробная разменная манета ў Нямеччыне|пфеніг
Дробная руская манета|веверица
Дробная катлавіна|западзіна
Дробная манета біскупства і гарады Курэй (Швейцарыя) 16 ст.|блутцгер
Дробная падрабязнасць, прыватны бок чаго-небудзь|тонкасць
Дробная пресноводная рыба|верхаводка
Дробная плоская лагчына|лог
Дробная ягада, у сутнасці брусніца, але іншага колеру, пра што і кажа яе назва|чарніца
Мелкосидящая яхта з высоўным кілем|швербот
Дробнае возера ў Наўгародскай вобл.|Ильмень
Дробная ракападобная жывёла|крэветка
Дробнае зярнятка якога-небудзь рэчыва|гранула
Дробнае касмічнае цела, якое ўспыхнула і згарэлае ў верхніх пластах атмасферы|метэор
Дробная казурка, шкоднік культурных раслін|медзяніца
Дробная казурка|казюлька
Дробназярністы будаўнічы гіпс|алебастр
Мелкоплодные гатункі яблыні, атрыманыя ў выніку скрыжавання сібірскай яблыні з еўрапейскімі гатункамі ці кітайскай|ранетки
Дробныя галіны, сушняк для падпалкі печаў|галлё
Дробныя рэчы, пажыткі|манаткі
Дробныя гіры для шаляў|гіра
Дробныя пресноводные весланогія рачкі, што маюць няпарнае лобнае вочка (адгэтуль назва)|цыклопы
Дробныя якія лупяцца часціцы скуры на галаве|перхаць
Дробны скандаліст, што замінае працы|бузацёр
Дробны зладзюжка|круцель
Дробны выраст на насенні, які змяшчае алеістае рэчыва і спрыяльны распаўсюду насення пры дапамозе мурашак|ариллоид
Дробная мурашка, казюлька|мурашка
Дробная правіна дзіцяці|свавольства
Дробны гандляр (устар.)|крамнік
Дробны службовец-хабарнік|рукохап
Дробны, шчыльны камячок якога-небудзь рэчыва|гранула
Драбнюткая часціца рэчыва|малекула
Драбнюткія сухія часціцы, якія носяцца ў паветры і што асядаюць на розных паверхнях|пыл
Драбнюткія кроплі вадкасці (дысперснай фазы), размеркаваныя ў іншай вадкасці (дысперсійнаму асяроддзю)|эмульсія
Драбнюткая крывяносная пасудзіна|капіляр
Драбнюткі элемент малюнка на экране кампутара|піксель
Ментимер Шаймиев па нацыянальнай прыналежнасці|татарын
Меншае кола спалучанай пары зубчастых кольцаў|шасцярня
Кідаў. пласцінка, прикрепл. да капытоў каня|падкова
Кідаў. труба для распаўсюду ЗВЧ радыёхваль|хвалявод
Металический барометр|анероід
Метал групы актыноідаў, радыёактыўны элемент|берклій
Метал групы актыноідаў|амерыцый
Метал групы актыноідаў|нептуній
Метал групы лантаноідаў|гольмій
Метал групы лантаноідаў|еўропій
Метал для легавання|малібдэн
Метал ці сплаў для запаўнення зазораў пры паянні|прыпой
Метал ці сплаў, дадаваны ў сплаў для надання яму патрэбных уласцівасцяў|лігатура
Метал ці інш. выраб вызначанага перасеку, напр. паласа, куток, двутаўр і інш.|профіль
Метал, які валодае бактэрыцыднымі ўласцівасцямі|срэбра
Метал, названы па імі героя грэцкай міфалогіі|тантал
Метал, чый карбанат можна смела назваць асновай яечнай шкарлупіны|кальцый
Металаапрацоўка|вастрэнне
Металіст-валютчык|манетчык
Металлич. частка аброці, якая ўжываецца для стрымлівання пры аб'езджванні каня|муштук
Металічная сетка, даспехі|кальчуга
Металічная рашотка, якую ў песні прывязалі качагару да ног|каласнік
Металічная скрынка з вуглямі для падрыхтоўкі ежы|жароўня
Металічны посуд для варэння ежы|рондаль
Металічная пласцінка са свідравінай для ключа на дзверы, скрыні|ліштва
Металічныя пласты, ізаляваныя паміж сабой у кандэнсатарах|абкладкі
Металічныя сплавы на свінцовай ці алавянай аснове|бабіты
Металічная сігнальная прылада|звон
Металічны злітак|даўбешка
Металічны стрыжань, які закляпаны ці якім заклёпваюць што-небудзь|заклёпванне
