Муз. п'еса 16–17 стст.|канцона
Муз. п'еса з шэрагу папулярных мелодый, пераходзячых сябар у сябра|папуры
Муз. п'еса жартаўлівага характару|гумарэска
Муз. п'еса, невялікая аперэта грубавата-камічнага, парой мудрагелістага характару, блізкая да вадэвіля|бурлеск
Муз. тэрмін|каваціна
Муз. форма|варыяцыі
Муза заступніца музыкі|эвтерпа
Муза, заступніца лірычнай паэзіі і музыкі|Евтерпа
Муза-заступніца эпасу і красамоўства|Каллиопа
Музычны жанр|факстрот
Музей у Санкт-Пецярбургу|эрмітаж
Музей у Ленінградзе|эрмітаж
Музей-сядзіба М. Лермантава ў Пензенскай вобласці|Тарханы
Музей-сядзіба Ф. Тютчева ў Падмаскоўе|Мураново
Музей-запаведнік пад Масквой|Абрамцево
Музычная Мека ў Нью-Ёрку|Брадвей
Музычная п'еса з урыўкаў мелодый|папуры
Музычная п'еса вытанчанага характару з мудрагелістым меладычным малюнкам|арабеска
Музычная п'еса, складзеная з урыўкаў розных матываў|папуры
Музычная шасцёрка|секстэт
Музычна-сцэнічны твор камедыйнага характару|аперэта
Музычны твор вольнай формы|рапсодыя
Музычны твор журботнага, жаласнага характару|ламенто
Музычны твор у вольнай форме|рапсодыя
Музычны твор для аднаго ці некалькіх якія саліруюць прылад і аркестра|канцэрт
Музычны твор для аднаго спевака ці спявачкі|вакаліз
Музычны твор для хору і аркестра|араторыя
Музычны твор для хору і аркестра|папуры
Музычны твор для хору і аркестра|таката
Музычны твор для спевакоў-салістаў, хору і аркестра|араторыя
Музычны твор жалобнага характару|рэквіем
Музычны твор, выкананае смуткі|рэквіем
Музычны эпічны твор|рапсодыя
Музычны рытм лацінаамерыканскага паходжання|босанова
Музычны вінегрэт|папуры
Музычны глушыцель|дэмпфер
Музычны знак|максіма
Музычная і сігнальная прылада, што выкарыстоўваўся Іхтыяндрам|ракавіна
Музычная прылада – род бразготкі|маракас
Музычная прылада ў выглядзе скрыні са струнамі, па якіх удараюць драўлянымі малаточкамі|цымбалы
Музычная прылада, закончанае трыванне гармоніка|акардэон
Музычная прылада, намаляваны на Дзяржаўным гербе Гаіці|барабан
Музычная прылада, на якім пілікаў конік (песень.)|скрыпка
Музычная прылада|хлопаўка
Музычны інтэрвал|секунда
Музычны некралог|рэквіем
Музыка аркестра рускіх народных прылад|баяніст
Музыка кіраўнік аркестрам, палаца|флейтыст
Музыка, кіраўнік аркестрам ці палаца|дырыжор
Музыка, які валодае гульнёй на четырехструнном прыладзе|скрыпач
Музыка, гулец на самай прастуджанай прыладзе аркестра|фагатыст
Музыка, гулец на адным з духавых прылад|флейтыст
Музыка, гулец на сваяку гармоніка|баяніст
Музыка, гулец на барабанах, талерках|ударнік
Музыка, гулец на домры|домрист
Музыка, гулец на зурне (духавая язычковая музычная прылада)|зурнист
Музыка, спявак, апавядальнік, а ўсяго труба ды скрыня|патэфон
Музыка-струннік|гітарыст
Музыка-духовик|фагатыст
Музыка|піяніст
Музыкантка|альтыстка
Пакута, пакута|пакута
Пакута, хлеб з якой спадабаўся б коні|талакно
Мультфільм рэжысёра Р. Качанова|рукавіца
Пакутлівы сумнеў у чыёй-небудзь пэўнасці, каханні|рэўнасць
Мучная падліўка да бліноў у беларусаў|верашчака
Мучны здобны выраб рускай кухні|ватрушка
Мучны выраб з начыннем|варэнік
Мучны выраб у выглядзе тонкіх доўгіх палачак|саломка
Мучны прадукт сілкавання (адказ у мн. ч.)|макароны
Сопкі вуглявод, які здабываецца з раслін|крухмал
Мучныя вырабы, якія часам прадзьмухваюць|макароны
Мангышлак – гэта?|паўвостраў
Мужык, які жыве ў балоце?|вадзяны
Чараўнік і прарок. Дараднік Артура|Мерлин
Чараўнік, чараўнік; раман Бальзака|вядзьмак
Чараўнік, чараўнік|вядзьмак
Чараўнік, які лічыў сябе здольным падпарадкоўваць сваёй волі дзеяння духоў і богаў|тэург
Крама (устар.)|крама
Крама, упершыню адкрыты ў 754 г. у Багдадзе|аптэка
Магічны камень|эўклаз
Магічны знак, якому ўшаноўваў род першабытнага грамадства|татэм
Магматычная горная парода, ліпарыт|риолит
Магматычная горная парода|аляскит
Магматычная горная парода|андэзіт
Магматычная горная парода|апліт
Магматычная горная парода|граніць
Магматычная горная парода|дацит
Магматычная горная парода|дыябаз
Магматычная горная парода|дыярыт
Магматычная горная парода|перліт
Магматычная горная парода|пикрит
Магматычная горная парода|парфір
Магматычная горная парода|сіеніт
Магматычная горная парода|трап
Магматычная горная парода|трахіт
Магнітная стрэлка|компас
Магнітна-мяккі сплаў жалеза з алюмініем|алфер
Магнітны сплаў жалеза з нікелем|інвар
Магнітны сплаў з жалеза, нікеля, алюмінія|ални
Магнитомягкий сплаў|алфер
Магнітафонная прыстаўка?|дэка
