Киноархив?|фільматэка
Киновидеоцентр нацыянальных кінематаграфій на трыўмфальным пляцы|Масква
Киногерой Луі дэ Фюнеса з крымінальнай камедыі “Разява” француза Жэрара Ури|Сароян
Киногерой Юрыя Никулина з кинокомедии “Каўказская палонніца”|балбес
Киногерой, які прамовіў фразу: “А зараз – Гарбаты”|Жеглов
Киножанр|баявік
Кіначасопіс Ханжонкова|Пегас
Кіначасопіс; шнур для падпальвання пораху|кнот
Кіначасопіс|кнот
Кіназорка і па сумяшчальніцтве жонак Наталлі Андрейченко?|Шелл
Кіназорка фільма “Пяты элемент”?|Йовович
Кіназорка, якая згуляла ў “Мілагучнай птушцы юнацкасці”|Тэйлар
Кіназорка, што згуляў госця з поўдня з тэлестужкі “Чарадзеі”|Фарада
Кинокомедия Г. Данелия з В. Кикабидзе|Мимино
Кинокомедия Г. Данелия|Афоня
Кінакампанія Н. Міхалкова|тритэ
Кінастужка невялікага фармату; парцалянавы ізалятар|ролік
Кінастужка невялікага фармату|ролік
Кінарэжысёр, “Бязмежжа”|Гостев
Кінарэжысёр, “Жалезны струмень”|Дзиган
Кінарэжысёр, “Каўказская палонніца”|Гайдай
Кінарэжысёр, “Пегги Флеминг у Савецкім Звязе”|Ваўкоў
Кінарэжысёр, “Падлетак”|Ташков
Кінарэжысёр, “Самагоншчыкі”|Гайдай
Кінарэжысёр, “Супрацоўнік ЧК”|Турок
Кінарэжысёр, “дзядуля трылера”|Хічкок
Кінарэжысёр, аўтар фільма “Гары, гары, мая зорка”|Митта
Кінарэжысёр, аўтар фільма “Дзевяць дзён аднаго года”|Ромм
Кінарэжысёр, документалист|Кармэн
Кінарэжысёр, вядомы нам, напрыклад, па фільме “Тэгеран-43”|Алов
Кінарэжысёр, да/ф “Яны ваявалі за Радзіму”|Эрмлер
Кінарэжысёр, да/ф “Мальцы”|Асанава
Кінарэжысёр, да/ф “Пётр I”|Пятроў
Кінарэжысёр, да/ф “Паядынак”, “Дэпутат Балтыкі”|Хейфиц
Кінарэжысёр, да/ф “Рознапавярховая Амерыка”|Асатиани
Кінарэжысёр, да/фільмы “Цырк”, “Вясна”, “Вясёлыя дзеці”|Аляксандраў
Кінарэжысёр, які паставіў першы савецкі фільм-катастрофу “Экіпаж”|Митта
Кінарэжысёр, які паставіў фільм “Сказ пра тое, як цар Пётр арапа жаніў”|Митта
Кінарэжысёр, нар. артыст СССР|Асатиани
Кінарэжысёр, які паставіў карціны “Вертыкаль”, “Дзень анёла”?|Говорухин
Кінарэжысёр, фільм “Ганна Карэніна”|Зархи
Кінарэжысёр, фільм “Бярог”|Алов
Кінарэжысёр, фільм “Два Байца”|Лукаў
Кінарэжысёр, фільм “Дэпутат Балтыкі”|Зархи
