Медны духавы аркестр|банда
Медны звон на караблях|рында
Медны купарвас па сваёй сутнасці|гідрат
Медная муштуковая духавая музычная прылада|труба
Медная сігнальная духавая музычная прылада|горан
Медны сплаў|копель
Мядовая хвіліна|флірт
Мядовае вочка|сот
Мядовае дрэва|ліпа
Мядовы напой|мядок
Мядовы напой|сыта
Меданос, травы. дэкаратыўная расліна|верас
Меданос (травы. расліна)|віка
Меданос (травы. расліна)|баркун
Меданос, дэкаратыўнае дрэва|аралія
Меданос, дэкаратыўнае травы. расліна|расходнік
Меданос|персік
Меданосная духмяная расліна сямейства бабовых з белымі ці жоўтымі кветкамі|баркун
Меданосная расліна|скрыпень
Меданосная, дубільная фарбавальная расліна|вярба
Медазбор|хабараў
Між імі ўсё нараджала спрэчкі // І да разважання вабіла: // Плямёнаў мінулых дамовы, // Плады навук, дабро і ... (А. Пушкін, “Яўген Онегин”)|зло
Межамериканская рэгіянальная арганізацыя працаўнікоў (аббр.)|орит
Міжвідавы гібрыд з падвоеным лікам храмасом|амфидиплоид
Межд. вспомог. мова, створаны на аснове эсперанта|идо
Выклічнік гідлівасці|фі
Междометное выраз захаплення (адзін з варыянтаў) у маладых людзей|обсад
Паміж Зямлёй і Небам – ... – слова з песні В. Цоя?|вайна
Паміж Зямлёй і Юпітарам|Марс
Паміж градкамі ляжыць гладка (загадка)|агурок
Паміж летам і ўзімку|восень
Паміж імі бывае перапынак|акт
Паміж тэнарам і сапрана|альт
Паміж палатном і фарбай|грунт
Міжнародная арганізацыя, заснаваная ў 1919 году і фармальна распушчаная ў 1946 году, звалася ... нацый|ліга
Міжнародная сетка абаненцкага тэлеграфавання|тэлекс
Міжнародная сістэма адзінак?|сі
Міжнародныя студэнцкія спартовыя спаборніцтвы?|універсіяда
Міжнародны аэрапорт у Парыжы|орли
Міжнародная дамова, дамова|пакт
Міжнародны клас яхт|солинг
Міжнародная палітычная дамова|пакт
Міжнародны звяз|ліга
Міжнародная мова на аснове эсперанта|идо
Межпл. станцыя|вега
Межпл. станцыя|месяц
Міжпланетная, міжзоркавая прастора|космас
Мека болезных і нямоглых|аптэка
Мекс. алкогольн. напой з соку агавы|кульцы
Мекс. горад|Реата
Мекс. пісьменнік|Альтамирано
Мекс. пісьменнік|Арреола
Мекс. мастак-манументаліст|Ривера
Мексіка (горад у Амерыцы)|Пуэбла
Мексіканская гарэлка|текила
Мексіканскі жывапісец, заснавальнік нацыянальнай школы|Ороско
Мексіканскі кававы лікёр|калуа
Мексіканскі пісьменнік ХХ стагоддзі|Асуэла
Мексіканскі пісьменнік. Нобелеўская прэмія (1990)|Пасвіў
Мексіканскі плашч (?)|серапе
Мексіканскі фільм, які пабіў у свой час усе рэкорды наведвальнасці ў нашых кінатэатрах|Ясенія
Мексіканскі штат на поўначы аднайменнага паўвострава|юкатан
Мексіканская расліна, што памірае адразу пасля красавання?|агава
Мексіканская расліна, якое квітнее раз у жыцці|агава
Мелізны, ... , твой тыдзень|Ямеля
Мелк. темн. плямкі на поўсці старых светла-шэрых канёў|грэчка
Дробны балтыйскі селядзец|салака
Дробная грашовая адзінка ў Візантыі|нуммий
Дробная ігральная карта|фоска
Дробная манета Японіі|сен
Дробная манета ў Аўстрыі – 1/100 шылінга|грош
Дробная манета ў Польшчы – 1/100 злотага|грош
Дробная манета ў Расіі да 1838 г. – 2 коп.|грош
Дробная манета ў Расіі да 1927 г. – 1/2 коп.|грош
Дробная манета ў ЗША і некаторых іншых краінах|цэнт
Дробная манета ў Турцыі, Егіпце|піястр
Дробная манета ў шэрагу краін; медная манета ў 2 капейкі|грош
Дробная манета ў шэрагу краін|грош
Дробная манета ў Францыі, Бельгіі, Швейцарыі і некаторых іншых краінах|сантым
Дробная манета, фрызскі пфеніг мяжы 11–12 стст.|шуппен
Дробная марская прамысловая рыба|камса
Дробная прамысловая рыба, кансерваваная ў масле|шпрот
Дробная прамысловая рыба|мойва
Дробная прамысловая рыба|хамса
Дробная прамысловая рыбка сямейства сельдевых, яна ж кілька|шпрот
Дробная сажалкавая трава|ряска
Дробная разменная манета ў Аўстрыі|грош
Дробная разменная манета ў Алжыры|сантым
Дробная разменная манета ў Англіі і некаторых іншых краінах|пені
Дробная разменная манета ў Англіі і некаторых іншых краінах|пенс
Дробная разменная манета ў Вугоршчыне|филлер
Дробная разменная манета ў Ісландыі|эйре
Дробная разменная манета ў Манголіі|мунгу
Дробная разменная манета ў Фінляндыі|пені
Дробная разменная манета ў Чэха-Славакіі|геллер
Дробная разменная манета ў Югаславіі|пары
Дробная разменная манета ў Японіі|сена
Дробная рыбка, часта якая трапляе ў тамат|цюлька
Дробная светлая крапінка|іскра
Дробныя жулікі і хуліганы|шпана
Дробныя кроплі вільгаці, выступоўцы на раслінах, на зямлі пры наступе ранішняй ці вячэрняй прахалоды|раса
Дробныя лятучыя крывасмактальныя казуркі|гнюс
Дробныя коні, выведзеныя на Брытанскіх выспах|поні
Дробная марынаваная гародніна з рэзкімі затаўкамі|пікулі
Дробная марынаваная гародніна, што ўжываюцца як заправа|пікулі
Дробныя манеты|дробязь
Дробныя марскія прамысловыя рыбкі|шпроты
Дробныя паралл. зморшчыны на матэрыі|плісэ
Дробныя пласцінкі, размешчаныя па паверхні цела рыб|луска
Дробныя плады раслін (адказ у мн. ч.)|ягады
Дробныя прадметы|дробязь
Дробныя плямы, пырскі на чым-небудзь|крап
Дробныя плямкі ці прышчыкі, якія з'яўляюцца на целе пры некаторых хваробах|сып
Дробныя рознакаляровыя шкляныя пацеркі з адтулінамі, што ўжываюцца для вышывання і пляценні дэкаратыўных вырабаў?|пацеркі
Дробныя рознакаляровыя шкляныя пацеры?|пацеркі
Дробныя шкляныя каляровыя пацеркі, зярняткі са скразнымі адтулінамі?|пацеркі
Дробныя сухарыкі для ежы з булёнам|грэнкі
Дробныя сухія адкіды|смецце
Дробныя цвёрдыя пласцінкі, размешчаныя на паверхні некаторых жывёл і раслін|луска
Дробныя друкарскія працы|акцыдэнцыя
Дробныя часціцы матэрыялу пры яго апрацоўцы пілой|пілавінне
Дробныя часціцы чаго-небудзь на паверхні ці ў паветры|пыл
Дробныя часціцы, узважаныя ў тоўшчы вады|дэтрыт
Дробныя, цвёрда запрасаваныя паралельныя зморшчыны на матэрыі|плісэ
Дробны арандатар зямлі ў сярэднявечча ў Заходняй Еўропе|калон
Дробны данос, паклёп|данос
Дробны даносчык, нагаворшчык (разг.)?|данос
Дробны жук, які грызе драўніну, шкоднік лясоў|караед
Дробны жук, што грызе кару і драўніну|караед
Дробны лёд перад ледоставом ці падчас крыгаходу|шарош
Дробны павольна падальны дождж|імжа
Дробнае смецце, бруд|смецце
Дробнае смецце|пацяруха
Дробны ашуканец, шулер (разг.)|жухала
Дробны друкарскі шрыфт з вышынёй літар 3 мм|петыт
Дробны ўчастак на вадзе|водмель
Дробны, гладкі, круглявай формы камень|галька
Дробны, нікчэмны чалавек|пігмей
Плыткае месца ў вадаёме|мелізна
Плыткі заліў, часта ў вусце ракі, адлучаны ад мора пяшчанай касой|ліман
Дробная бяскрылая крывасмактальная казурка, паразіт на целе жывёлы, чалавека|вош
Дробнае хваляванне воднай паверхні|рабізна
Дробнае двукрылое казурка паўднёвых краін, якое прычыняе хваравітыя ўкусы|маскіт
Дробнае двукрылое казурка|мошка
Дробны кандытарскі выраб круглявай формы|дражэ
Дробнае канчатковае разгалінаванне артэрый, пераходзячае ў капіляр|артэрыёла
Дробнае месца ракі ці азёры, зручнае для пераходу|брод
Дробнае гандлёвае прадпрыемства|латок
Дробнае членістаногае жывёла атрада павукападобных|клешч
Дробная, нікчэмная акалічнасць|дробязь
Дробназярністая горная парода, што ўжываецца як абразіўны матэрыял|мянташка
Дробназярністая жыльная парода|апліт
Дробнамаянтковы рыцар у феадальнай Іспаніі?|идальго
Мелкопористый, звычайна белы керамічны матэрыял, па складзе які нагадвае парцалян|фаянс
Меллер|касач
Крэйдавы грунт у старажытнай рус. жывапісу|ляўкас
Мелодекламатор?|чытальнік
Мелодекламатор?|рупар
Меладычны зварот, заверш. муз. пабудова|каданс
Меладычнае звукоизвержение|спеў
Мелодыя ці нагода да рэчаіснасці|матыў
Мелодыя, музычная тэма, напеў|матыў
Мелодыя, прызначаная для спеву|напеў
Дробязная сварка, дробная інтрыга, плёткі, сваркі|паклёп
Дробязны данос|паклёп
Дробязь, якая дапаўняе гарнітур, для падборкі якой уладальнікам гарнітураў часта бракуе густу|аксэсуар
Млын, засыпающая ў штыль (разг.)|вятрак
Млынавы каменны круг для расцірання, мліва зерняў у пакуту|жоран
Млынавы каменны круг для мліва зерняў у пакуту|жоран
Мітусня, мітусня (разг.)|валтузня
Мельчайш. неклеточн. часціца, сост. з нуклеінаў. да-ты і вавёрка|вірус
Драбнюткая часціца рэчыва|атам
Драбнюткая часціца падпаленага рэчыва|іскра
Драбнюткая часціца хімічнага элемента?|атам
Драбнюткая часцінка гарачага ці распаленага рэчыва|іскра
Драбнюткая часцінка падпаленага ці распаленага рэчыва|іскра
Драбнюткая электронейтральная, хімічна непадзельная часціца|атам
Драбнюткая адтуліна ў паверхні чаго-небудзь|пара
Драбнюткія металічныя шарыкі, якія ўжываюцца ў ювелірнай тэхніцы, звычайна напойваюцца на метал, ніткі, скани?|зернь
Драбнюткія часціцы ў вадкасці, якія робяць яе непразрыстай|каламута
Драбнюткі доклеточный арганізм, узбуджальнік хваробы|вірус
Драбнюткі мікраарганізм, узбуджальнік заразнай хваробы|вірус
Драбнюткая бурбалка, утвораны лёгачнай тканінай?|альвеола
Драбнюткі структурны элемент музычнага твора|матыў
Драбнюткае сухое смецце|пыл
Мемарыяльная пліта|стэла
Мемарыяльны архітэктурна-скульптурны комплекс пад Менскам, прысвечаны памяці ахвяр гітлераўскай акупацыі|Хатынь
Мент са ЗША|коп
Мяне ты хутка пазабываеш, мастак, што малюе дождж. Іншаму анёлу ты служыш і за сабой не паклічаш (эстрадная зорка)|Варум
Мера аптэкарскай вагі|унцыя
Мера паперы|ступня
Мера вагі ў Латин. Амерыцы|арроба
Мера вагі ў Расіі 16–17 стст., роўная 2,5 фунтам|бязмен
Мера вагі ў старой Расіі|лот
Мера вагі, масы|грам
Мера вагі, падыходная хіба што для дыяментаў|карат
Мера вагі, роўная тром залатнікам|лот
Мера вагі|пуд
Мера вагі|тона
Мера вагі|фунт
