Калекцыянер і аматар кніг?|бібліяфіл
Калекцыянаванне папяровых грашовых знакаў?|бонистика
Калода, падзеленая на арканы|тара
Колодницы?|карты
Звон, які б'е трывогу|звон
Звонавая мелодыя|звон
Звонавая сірэна|звон
Звонавы звон адмысловага ладу, які азначае сігнал трывогі|звон
Звонавы звон частымі ўдарамі, сігнал трывогі|звон
Звонавы звон, хвалюючы людзей больш, чым падзенне рубля|звон
Звонавы звон, якім вернікі апавяшчаюцца пра пачатак набажэнства?|дабравест
Звонавы звон|звон
Звонавы сігнал пра бедства|звон
Званок для носа ў да/камедыі “Кин-дза-дза”|цак
Каланіяльны груз|хіліць
Калона з чыпаў у казіно|стэк
Калона, статуя велічэзнай велічыні|калос
Выбівачка для ўшчыльнення радкоў заплетаемой сценкі пры пляценні з лазы|изер
Каўпачок Бураціна|шкарпэтка
Копцкі кмен (травы. расліна)|айован
Калумбійскі кававы лікёр|колома
Калумбія (горад у Амерыцы)|Гартуй
Калумбія (сталіца, цэнтр)|Богота
Калумбія, дэпартамент, адм. ц. – Арменія|Киндио
Калумбія, дэпартамент, адм. ц. – Барранкилья|Атлантыка
Калчан пасля вынаходства пораху|кабура
Зыбка булата|Сірыя
Зыбка, калыска ў сялянскай хаце|калыска
Калі сажалка заквітнела, выглядвайце гэту траву|ряска
Колцавая гара на паверхні Месяцы і планет|кратар
Колцавая шкала з дзяленнямі|лімб
Колцападобнае селішча ў народаў усходняй Афрыкі|крааль
Кольца ў сценцы набярэжнай для швартоўкі судоў|рым
Кольца з гумовага ці пластыкавага джгута ці стужкі, выкарыстоўванае для перадачы кручэння ў маламагутных механізмах (магнітафонах і т. п.)|пассик
Кольца на палі, якое засцерагае яе ад разбурэння пры забіванні|бугель
Кольца на цяжкім абсталяванні для захопу пад'ёмным механізмам|рым
Кольца наверсе палі|бугель
Кольца з дзяленнямі для адліку кутоў у астраном. прыладах|лімб
Кольца, якое ўчапілася за сабе падобныя?|звяно
Кольчатая нерпа|акиба
Кольчатый чарвяк|аннелид
Кальчугавая кашуля з уплеценым на грудзі і спіне наборам гарызантальных пласцін (ХVI ст.)|юшман
Калючая рыба|ёрш
Колючеголовый чарвяк, паразіт рыб, птушак, млекаспажыўцоў|акантоцефал
Калючае млекопитающее атрада насякомаедных|вожык
Калючае сумчатое, якое адкладвае яйкі|яхідна
Калючыя “лесовички”|вожыкі
Калючы “лесовичок”|вожык
Калючы выраст на коласе|асцюк
Калючы хмызняк|цёрн
Калючка сизалевой акацыі як прылада ў руках амерыканскіх індзейцаў|іголка
Колючая частка органа абароны і напады ў пчол, вос, скарпіёнаў|джала
Колюще-рэжучая зброя|валена
Колюще-смактальны орган казурак?|хабаток
Колючая і якая сячэ зброя са злёгку выгнутым клінком|шашка
Колючая ці кідальная зброя на тронку|дзіда
