Наіўны, дурны чалавек (жарг.)|лох
Найвышэйшая кропка ў развіцці чаго-небудзь, кароткачасовы рэзкі ўздым у якой-небудзь дзейнасці|пік
Найвышэйшая кропка нябеснай сферы|зеніт
Найвышэйшае дасягненне ў спорце|рэкорд
Найвышэйшы адсотак гарантыі|сто
Найлепшы выгляд, элітны ўзор|ідэал
Найменне горада Заграб да 1918 г.|аграм
Найменне адзінкі эквівалентнай дозы выпраменьвання|зиверт
Найменне струнных клавішных прылад|клавир
Найменне цяжкага савецкага танка (“Іосіф Сталін”)|ИС
Найменне цэнтралізаваных каталіцкіх манаскіх аб'яднанняў|ордэн
Найменне юрыдычнай асобы, дзейнік рэгістрацыі і якое з'яўляецца аб'ектам прамысловай уласнасці|фірма
Найменне японца, кіраўніка педикебом. (Сіваграк, Педык, Шпік, Рыкша)|рыкша
Найменшая з суднавых шлюпак|тузик
Найменшая ці найвялікая магчымая велічыня, мяжа праявы чаго-небудзь|парог
Найменшая колькасць святла дадзенай чашчыні|квант
Найменшая колькасць энергіі, якое аддаецца ці поглощаемое фізічнай велічынёй у яе нестацыянарным стане|квант
Знойдзеш у садзе|дрэва
Знайдзіце слова па назвах: “Энергія”, “Таполя”, “Першинг”, “Тамагаўк”|ракета
Найманне якой-небудзь маёмасці ў часавае карыстанне на некаторы тэрмін за опред. плату|арэнда
Наказ цара на Русі|урок
Пакаранне ў хакеі – кідок з ходу ў вароты|буллит
Пакаранне, забароненае Радай Еўропы|пакаранне смерцю
Пакаранне; рака ў Комі|кара
Пакаранне|кара
Накатаныя “калёсы”|данос
Напампоўваная паветрам гумовая абалонка|камера
Напампоўваная абалонка мяча|камера
Накідка без рукавоў вольнай, якая пашыраецца дадолу формы|кап
Накідка на твар|флюр
Накідка на мэблю|чахол
Накидная сетка для лоўлі птушак|сумёт
Накладка на галаве, што імітуе валасы|парык
Накладка на твар; аповяд А. Чэхава; гатунак цукерак|маска
Накладка на твар|маска
Накладкі са скуры на штаны для верхавой язды|леі
Накладное срэбра|апліке
Накладныя валасы, якія прымацоўваюцца на патыліцы|шыньён
Накладныя валасы|парык
Накладныя скураныя халявы; раструбы ў пальчатак|крагі
Налепка на рэчы, тавары з указаннем іх назвы, колькасці|цэтлік
Налепка на тавары з указаннем яго назвы і кошты|цэтлік
Налепка, прывязаны ці пришитый лісток з указаннем назвы, кошты, памеру, артыкула і інш. звестак на тавары|цэтлік
Налепка, што з'яўляецца знакам пацверджанні аплаты якога-небудзь грашовага збору (перасыланні ліста, выплаты акцыза і інш.)|марка
Нахіл набок транспартнага сродку|нахіл
Нахіл кіравальных колаў аўтамабіля|развал
Лад верхняй часткі тулава ў знак прывітання, падзякі, пакоры|паклон
Нахільная плоскасць, якая замяняе ўсходы|пандус
Нахільная пляцоўка для ўезду ў гараж|пандус
Нахільная пляцоўка для ўезду і выезду машын (на склад для погрузо-разгрузных прац)|рампа
Нахільная пляцоўка для астывання коксу|рампа
Нахільная пляцоўка, што замяняе ўсходы ці служэлая для пад'езда да будынка|пандус
Нахільная паверхня гары?|схіл
Нахільная паверхня чаго-небудзь|схіл
Нахільная паверхня, пакаты спуск|пахіл
Нахільны ўезд ва ўваходу ў будынак, на пляцоўку і т. п.|пандус
Нахільны заваротак трэка|віраж
Нахільны пад'езд да склада|рампа
Нахільны друкарскі шрыфт|курсіў
Нахільны ўчастак дарогі|спуск
Нахільны ўчастак зямной паверхні|схіл
Нахільны шрыфт, у якім напісанне шматлікіх літар набліжана да рукапіснага|курсіў
Назапашвальнік на цвёрдых магнітных дысках – гэта ... ?|вінчэстар
Назапашвальнік энергіі, які дапускае шматразовую зарадку і разрадку?|акумулятар
Накопл. у крыві і тканінах отриц. заряженых часціц (аніёнаў)|ацыдоз
Назапашванне, збіранне, засяроджванне|акумуляцыя
Накорміш – жыве, напоіш – памрэ (загадка)|агонь
Накостник у вобл. грыфельнай костцы каня|сплинт
Наладжаны ход|рытм
Наліце мне віны, дашліце ў нумар рахунак, няхай у душы вясна, калі на сэрца лёд. (Исполн. песні)|Буйнов
Налёт даўніны|паціна
Налёт, які з'яўляецца на ўнутранай паверхні імбрычка пры яго працяглым выкарыстанні|шумавінне
Наяўнасць вонкавых дадзеных, спрыяльных для прайгравання на кінаэкране ці фатаграфіі?|фотагенічнасць
Наяўнасць моцнага паху|пахучасць
Наяўнасць у асобіны адной падлогі прыкмет іншай падлогі|андрогиния
Наяўнасць у асобіны прыкмет процілеглай падлогі|андрогиния
Наяўнасць, падбор тавараў і іх гатункаў|асартымент
Падатак гневу супраць таго, што не павінна быць|сорам
Падатак на Русі|даніна
Падатак на Русі|пяціна
Падатак на Русі|тамга
Падатак на гандлёвыя ўгоды ў Іспаніі|алькабала
Падатак на шырспажыў|акцыз
Падатак, апофор у інш. Грэцыі|чынш
Падатак, які спаганяе пераможца з пераможанага народа|даніна
Падаткі|подати
Падаткова-фінансавае ведамства ў мусульманскіх краінах у сярэднія вякі|канапу
Накладуць пры пераломе|гіпс
Накладанне фарбы адрывістым, кароткім рухам пэндзля, а таксама пласт фарбы, накладзены такім рухам|мазок
Нам сніцца|сон
Нам стагоддзі не перашкода, // але жадаю я, каб ізноў // забытым словам ... // сталі мы каханых клікаць|ладу
Намагнічанае цела?|магніт
Намёк на крыніцу|спасылка
Намёк, недамоўка|намёк
Наўмысна створанае, выдуманае становішча, пабудова, не адпаведнае рэчаіснасці|фікцыя
Наўмысна, са злачынным намерам, выкліканы пажар|падпал
Наўмыснае скажэнне праўды, няпраўда, зман|хлусня
Наўмыснае пераменшванне, супрацьлегласць гіпербале|литота
Намеснік у Візантыі|экзарх
