Кірунак нафтаправода|траса
Кірунак развіцця чаго-небудзь (перен.)|вектар
Кірунак сапраўды ўгару над галавой?|зеніт
Кірунак, у котром змяняюцца кошты|трэнд
Кірунак, процілеглае поўдню|поўнач
Кірунак, стыль у мастацтве, модзе|рэтра
Кірункі ў мастацтве пач. 20 ст., якія адпрэчылі спадчына мінулага, што выкарыстоўваюць новыя худож. і дэкаратыўныя рашэнні і эфекты|мадэрн
Скіраванасць да спецыялізацыі|ухіл
Накіраваны адрэзак|вектар
Направленый адрэзак?|вектар
Напруга цягліц|тонус
Напруга сіл|высілак
Напружаная летняя праца ў перыяд уборкі ўраджая|прыпар
Напружаная летняя праца сялян у перыяд уборкі ўраджая|прыпар
Напружаная летняя праца на палях|прыпар
Напружаная нерухомая пастава паляўнічага сабакі, якая выявіла дзічына|стойка
Напружаная пастава подружейной сабакі і што стаілася дзічыны|стойка
Напружаная праца ў перыяд уборкі ўраджая|прыпар
Пажаданне, навучанне|наказ
Напышлівая хатняя птушка|індык
Напышлівы выраз, якое затуляе бедната ці лжывасць утрымання|фраза
Нар. артыст СССР (Беларусь)|Глебаў
Нар. артыст СССР (тэатр Вахтангова)|Астангов
Нар. муз. прылада ў Кыргызтане|комуз
Нар. муз. прылада ў Марый-Эл|кюсле
Нар. спявак у Арменіі|гусан
Нар. спявак у Казахстане|анши
Нар. спявак, паэт і казачнік у Ср. Азіі|бахсы
Нар. паэт Латвіі|Райнис
Нар. паэт Чувашии|Ухсай
Нар. мастак СССР (нацюрморт “Кветкі”)|Свемп
Нар.-поэтич. апавяданне|сказ
Наросхрыст, але не кашуля|душа
Нарошчванне сала|адкорм
Нарды ў арабаў у ранейшыя часы|тавыля
Наразаць разьбу|лерка
Наразная стрэльба ў 16–19 стст., некаторыя совр. паляўнічыя наразныя стрэльбы?|штуцар
Намалюйце, калі ласка, старажытнагрэцкі абедзенны столік у вертыкальным разрэзе (назваць форму)|трапецыя
Намінальны кошт на папяровых грошах і інш. каштоўных паперах|купюра
Намінальнае найменне каханага чалавека (О. Хайям)|аяз
Наркотык (жарг.)|драг
Наркотык для скончанага алкаша|гарэлка
Наркотык для розуму|дур
Наркотык і болесуцішальны сродак, які атрымліваецца з лісця кокі|какаін
Наркотык з індыйскіх канопляў|анаша
Наркотык, што здабываецца з маку|опіум
Наркотык, які здабываецца з маку|опіум
Наркотык, які не змог бы прымаць гогалеўскі маёр Ковалев, што страціў носа|какаін
Наркотык, ад якога “чмурэюць” чупрыны|сала
Наркотык, моцны абязбольвальны сродак|морфій
Наркотык, які ўжываецца таксама як абязбольвальны сродак|какаін
Наркотык?|какаін
Наркотык|гераін
Наркатычны кактус?|лофофора
Наркатычны сіроп, прыгатаваны з сухіх скрыначак маку|кокнар
Наркатычнае і болесуцішальнае рэчыва, якое здабываецца са млечнага соку опіумнага маку|морфій
Народ (у нацыянальным, а не сацыяльным сэнсе), племя, народнасць|этнас
Народ Аўстраліі і Акіяніі (адказ у мн. ч.)|аўстралійцы
Народ Аўстраліі і Акіяніі (адказ у мн. ч.)|канаки
Народ Аўстраліі і Акіяніі|банаба
Народ Аўстраліі і Акіяніі|белау
Народ Аўстраліі і Акіяніі|косраэ
Народ Аўстраліі і Акіяніі|маори
Народ Аўстраліі і Акіяніі|наўру
Народ Аўстраліі і Акіяніі|ниуэ
Народ Аўстраліі і Акіяніі|понапе
Народ Аўстраліі і Акіяніі|ротума
Народ Аўстраліі і Акіяніі|самоа
Народ Аўстраліі і Акіяніі|тонга
Народ Аўстраліі і Акіяніі|трук
Народ Аўстраліі і Акіяніі|тувалу
Народ Аўстраліі і Акіяніі|увеа
Народ Аўстраліі і Акіяніі|улити
