Месца разлома, пералому|залом
Месца распрацоўкі каштоўнага выкапня|капальня
Месца размяшчэння аховы, варты|кардон
Месца размяшчэння кіравання крымінальнай паліцыі ў Парыжы|Орфевр
Месца размяшчэння, стаянка|постаць
Месца рамонту цеплавозаў, паравозаў|дэпо
Месца нараджэння праўды|спрэчка
Месца нараджэння, паходжанні|радзіма
Месца раздробнага гандлю ў гандлёвых шэрагах ці пад голым небам|рынак
Месца раздробнага гандлю пад голым небам ці ў гандлёвых шэрагах|рынак
Месца раздробнага гандлю|кірмаш
Месца збору журавін|балота
Месца згіну друкаванага ліста|фальц
Месца згіну рукі|локаць
Месца скупнасці ці захоўванні вады?|вадаём
Месца збораў карбанарыяў у Францыі|вента
Месца ўтрыманне асуджаных злачынцаў|турма
Месца ўтрымання хатніх с/г жывёльных|хлеў
Месца ўтрымання твараў, пазбаўленых волі|турма
Месца злучэння каўняра і лацканоў|раскеп
Месца злучэння дзвюх рэек?|стык
Месца злучэння дэталяў; хірургічны спосаб злучэння|шво
Месца злучэння дэталяў|шво
Месца злучэння кавалкаў тканіны, скуры, мяккага матэрыялу|шво
Месца злучэння пашытых кавалкаў тканіны|шво
Месца злучэння чаго-небудзь пры дапамозе зваркі, клёпкі, паянні|шво
Месца спектакляў|тэатр
Месца стаянкі і рамонту рухомага састава|парк
Месца стаянкі і рамонту рачных судоў, звычайна абсталяванае ў рачным заліве|затока
Месца стаянкі караблёў|рэйд
Месца стаянкі судоў па-за портам|рэйд
Месца стаянкі судоў?|рэйд
Месца стаянкі турыстаў|лагер
Месца стаянкі, рамонту рухомага састава|дэпо
Месца сыходжання транспартных магістраляў, ліній сувязі|вузел
Месца трэніровак і выступаў веласіпедыста|трэк
Месца ў берага, абсталяванае для стаянкі і абслугоўвання судоў|прычал
Месца ў прыгоннай сцяны на Русі|затин
Месца захоўвання грошай; назва бухг. рахункі|каса
Месца захоўвання грошай|каса
Месца захоўвання любоўных лістоў|камода
Месца захоўвання старых дакументаў?|архіў
Месца цыркавых уяўленняў|арэна
Месца вартавога; рэлігійнае ўстрыманне|пост
Месца вартавога|пост
Месца шыкоўнага аўтамабіля, на якім аддаюць перавагу пазіраваць рэкламныя напаўголыя красуні|капот
Месца, дзе Таццяна выслухвала суровае адпавяданне Онегина|сад
