Неон, метан, крыптон (общ.)|газ
Неопиленная бакавая паверхня бервяна на беражках піламатэрыялаў|обзол
Неопиленная паверхня на беражку дошкі|обзол
Неапісальная радасць любога футбаліста|гол
Неаплачаны картачны абавязак|задок
Неапазнаны лятучы аб'ект|НЛА
Неапраўданая напышлівасць, самаўпэўненасць?|апломб
Неореалистический раман нобелеўскага лаўрэата Сельмы Лагерлеф названы “... Йесте Берлинге”|сага
Недасведчанасць і недасведчанасць|няведанне
Бясспрэчная праўда|аксіёма
Няздзейсная, нязбытная і дзіўная мара|хімера
Неадкладная дапамога братэрскім і краінам у стадыі развіцця (сав.)|танкі
Неадкладная дапамога чалавеку, не дасведчанаму, куды яму дзяваць грошы?|крадзеж
Неад'емная прыналежнасць рускай лазні|венік
Неад'емная якасць вынаходніка|кемнасць
Неад'емная ўласцівасць якога-небудзь прадмета|атрыбут
Неад'емная, неабходная, сталая прыкмета|атрыбут
Неафіцыйная біржа, на якой здзяйсняюцца ўгоды без пасродніцтва афіцыйных біржавых маклераў|куліса
Неафіцыйны таксіст (жаргон)|лявак
Непрывабная, якая апусцілася жанчына-валацуга?|бичевка
Няпарнакапытнае жывёла роды канёў|асёл
Няпарнакапытнае жывёла, падвід кулана|кианг
Няпарнакапытнае млекопитающее трапічных лясоў з выцягнутымі ў хобат носам і верхняй губой|тапір
Неперебродивший адвар крахмалистых і цукрыстых рэчываў, які ўжываецца для падрыхтоўкі піва, квасу|сусла
Неперебродивший адвар, што ўжываецца для падрыхтоўкі піва, квасу?|сусла
Неперыядычнае выданне, фаліянт|кніга
Недрукаваныя выразы?|лаянка
Няпісаны закон, звычай ісламскіх народаў|адат
Неплодное яйка курыцы; трапло, гаварун; опера Паизиелло|балбатун
Неплодное яйка курыцы|балбатун
Неўрадлівая шаравата-белая глеба|подзол
Непераможны і высакародны герой баявікоў Стывена Сігала|Никко
Непадпарадкаванне каня; рус. пісьменнік і перакладнік 19 ст.|нораў
Непадпарадкаванне каня|нораў
Непаваротлівы, няспрытны чалавек|капун
Непаваротлівы, нязграбны і нявыхаваны чалавек|вахлак
Непаўторны, адзіны ў сваім родзе прадмет, чалавек|унікум
Неподвижн. спора водарасці для бясполага размнажэння|апланоспора
Нерухомая частка машыны|статар
Нерухомая частка электрычнай машыны|статар
Нерухомая частка электрарухавіка|статар
Нерухомая шматклеткавая найнізкая марская жывёла|губка
Нерухомасць сустава|анкілоз
Нерухомы лёд, які ўтвараецца ўздоўж берага|прыпай
Нерухомы марскі лёд|прыпай
Нерухомы прыбярэжны лёд|прыпай
Непахісны чалавек, наступны філасофіі Сенеки і што жыве па прынцыпе “Дубасяць нас – а мы мацнеем”|стоік
Неполивные землі ў зоне абрашанага земляробства|багара
Няпоўная рыфма, заснаваная на тоеснасці націскных галосных пры несупадзенні згодных гукаў стиховых канчаткаў|асананс
Няпоўная сіла музычнага гуку|піяна
Непаўнавартасны заменнік, сурагат?|эрзац
Няпоўны параліч|парэз
Няпоўны такт напачатку муз. творы|затакт
Незразумелы набор слоў, бяссэнсіца|абракадабра
Непородистая сабака, звычайна дваровая ці вулічная|шаўка
Бязгрэшны з крыламі|анёл
Непаседа|непаседа
Няўрымслівае дзіця|непаседа
Непасільны падатак, чамусьці які лічыцца ў сучаснай Расіі звычайнай з'явай|пабор
Непаслухмяная пасма валасоў|віхор
Непасрэдныя прадвеснікі эпілептычнага прыпадку|аўра
Непасрэдны начальнік графа Соколова ў гістарычным дэтэктыве В. Лаўровая|Кошко
Непасрэдны кіраўнік прац на будаўніцтве збудавання|прараб
Несправядлівы прыбытак на Русі|лішак
Няправільна ўзяты старт?|фальстарт
Няправільнае становішча внутр. органа ці яго часткі, якая выходзіць праз адтуліну ў паражніны цела без парыву яе абалонак і скуры?|кіла
Няправільнасць у дзеяннях|памылка
Няправільнасць у думках, учынках, разліках|памылка
Неправавое становішча, з якога вельмі зручна забіваць галы ў футболе|афсайд
Неперасягнены дэтэктыў, які разгадаў чыннік згубы племяннога быка ў вядомым творы Рэкса Стаута|вульф
Неперасягнены майстар французскай аперэты ХIХ ст.|лекок
Непрадугледжанае загаранне|пажар
Абавязковая частка інтэр'еру ў азіяцкім жыллі|дыван
Абавязковая частка змесціва добра ўкамплектаванай касметычкі|цяні
Абавязковы атрыбут шлема Гермеса|крылы
Абавязковая прылада аматара подледного лоўлі рыбы|пешня
Непераадольны страх?|паніка
Бесперапынная водная абалонка Землі|акіян
Непривилегированное саслоўе ў феадальнай Арменіі|аназат
Абавязковы кампанент “чизбургера”|сыр
Непрымірымая супярэчнасць?|антаганізм
Непрымірымасць, варожасць поглядаў, адносін|антаганізм
Нязмушана-бесцырымонныя паводзіны, найграная адвага|кураж
Непрыстойная сварка|лаянка
Непрыяцель у часы Кіеўскай Русі|вораг
Непрыяцель, супернік|вораг
Непрыемны партнёр, які ўсё псуе, гуляючы не па правілах|хлюзда
Непрыемнае адчуванне|сверб
Непрыемнае, хваравітае адчуванне пры прастудзе|дрыжыкі
Непрыемнае, няўзгодненае спалучэнне гукаў?|дысананс
Непрыемнасці з неба|уляганні
Непрыемнасць на моладзевым жаргоне|аблом
Непрыемныя моманты марскога вандравання?|гайданка
Непрыемны пах ад прадуктаў|прыпах
Непрыемны чалавек (неўхвальнае)|тып
Непрыемны, тонкі гук|піск
Непразрыстая акварэль|гуаш
Непразрыстая фарба на вадзе|гуаш
Непразрыстасць|каламута
Непразрыстае паветра, насычаны вадзянымі парамі|смуга
Непразрыстае паветра|імга
Непразрысты вырабны камень з пярэстай афарбоўкай|яспіс
Міжвольны рух па плыні, у кірунку ветра|дрэйф
Міжвольнае нервовае паторгванне цягліц твару, галовы, плячэй і т. п.|цік
Міжвольнае паторгванне цягліц твару|цік
Міжвольнае паторгванне?|цік
Міжвольныя рухі з прычыны паразы галаўнога мозгу|атэтоз
Непраходнае балота|багна
Непраходнае месца ў лесе і ў навуцы|нетры
Непраходны лес; далёкі глухі край|нетры
Непраходны лес|нетры
Непрацоўны ход руля аўтамабіля, абумоўлены зазорам паміж спалучанымі паверхнямі частак механізму|люфт
Неравнолистность у адным і тым жа вузле ўцёкаў|анизофиллия
Неравномерн. вынас і пастаноўка ног каня па дыяганалі|шлапак
Нераўнамерны рост частак цела|аллометрия
Блытаніна, сумятня (искаж. назва лонданскай звар'яцелай хаты Веtlеhеm)|вэрхал
Неразвившийся ўцёкі расліны, зародак кветкі, ліста|нырка
Неразвітыя ўцёкі (ботан.)|мякіна
Невырашальная ўвогуле выглядзе геаметрычная задача: ... кута?|трысекцыя
Невырашальная задача: ... круга?|квадратура
Невырашальная праблема, калі бліскучая аргументацыя супярэчыць відавочнасці (“Ахилл ніколі не дагоніць чарапаху”)|апория
Нераспустившаяся нырка кветкі|бутон
Няспрытны чалавек|кіжлай
Нервовая дрыготка ад спалоху і страху|дрыжыкі
Нервовая клетка|нейрон
Нервова-паралитич. яд з раслін, які ўжываўся тубыльцамі Юж. Амерыкі для стрэл?|курарэ
Нервова-психич. захворванне з-за цяжкіх перажыванняў, моцнага стрэсу (неўрастэнія, істэрыя, дакучлівыя страхі)|неўроз
Нервова-псіхічная ўзрушанасць|афект
Нервовы збой|зрыў
Нервовасць, нагнятанне страхаў, істэрычнае становішча|псіхоз
Нерифмованное японскае трохрадкоўе з 17 складоў|хокку
Неродная маці|мачаха
Няруская жанчына, іншародка, самаедка (старадаўняе)|інка
Нярускі прусак|прусак
Неахайнік, мурза (устар.)|самадайка
Несамоходная баржа для внутрипортовых перавозак і разгрузкі глубокосидящих судоў на рэйдзе|ліхтэр
Несамоходное судна|ліхтэр
Несамоходное транспартны сродак, якое рухаецца па рэйках|вагон
Што не спраўдзілася мара Калумба|Індыя
Нязбытная мара, фантазія?|хімера
Нязбытная, няздзейсная мара|утопія
Недасведчаны ў якой-небудзь вобласці чалавек|прафан
Несвертываемость крыві, спадчыннае захворванне?|гемафілія
Няволя|няволя
Няскладная, невыразная гаворка|лопат
Незгаральная сталёвая скрыня|сейф
Незгаральная шафа, скрыня для захоўвання дакументаў, каштоўнасцяў|сейф
Несур'ёзная заўвага|жарт
Несур'ёзнае заляцанне, какетнічанне?|флірт
Несквозная разора дошкі|паза
Некалькі стагоддзяў назад так на Русі звалі нарды|тавлеи
Некалькі гадоў назад была спынена рэклама аўтамабіляў “мэрсэдэс” па ўсім свеце. Што ж прычынілася гэтаму, калі, па словах рэкламных аналітыкаў, гэта рашэнне было правільным?|смерць дыяны
Некалькі аднолькавых прадметаў, складзеных разам|пачак
Некалькі аднастайных прадметаў, складзеных разам|пачак
Некалькі аднастайных прадметаў, складзеных і спакаваных разам|пачак
Некалькі аднастайных прадметаў, злучаных разам|звязак
Некалькі прадметаў ці людзей, жывёл, сабраных разам|група
Некалькі с/г прылад, злучаных разам?|счэп
Некалькі снапоў, пастаўленых у поле для прасушкі стаўма, каласамі ўгару, і пакрытых зверху снапом|мэдлік
Некалькі сабак, сошедшихся разам|зграя
Некалькі злучаных вагонаў|счэп
Некалькі складзеных хлебных снапоў на ржышчы|бабка
Некалькі судоў, якія ідуць на буксіры?|караван
Некалькі футбалістаў станавіліся чэмпіёнамі свету двойчы, а Пеле так наогул тройчы. А хто стаў чэмпіёнам свету па футболе двойчы, адзін раз у якасці гульца, а другі раз як трэнер?|Беккенбауэр
Несмелый|нясмелы
Нягледзячы на ціск Савецкага Звяза, яго 800-годдзе было адзначана як нацыянальнае свята. Хто ж ён, калі яго першым поспехам была перамога над меркитами і вызваленне каханай жонкі?|Чынгісхан
Няўзгодненасць дзеянняў паміж паліцыянтамі-напарнікамі|разлад
Несумнеўная інфармацыя|веды
Някемлівы, бесталковы чалавек|дурань
Неадпаведнасць тону ў спеве, музычным выкананні|фальш
Які не адбыўся стрэл|асечка
Што не адбыўся купальшчык|сякера
Які не адбыўся муж Дюймовочки|крот
Няздольнасць увасобіць у дзеянне лютасць|прыкрасць
Няздольнасць некаторых людзей адрозніваць густ ежы|агейзия
Няздольнасць адрозніваць чырвоны і зялёны, а таксама некаторыя іншыя колеры?|дальтанізм
Нестабільная элементарная часціца|мюон
Бязладны гуд галасоў; гоман|гам
Бязладны крык, шум|гвалт
Нясушка|курыца
Апорная канструкцыя|ферма
Апорная плоскасць лятальнага апарата|крыло
Апорная частка машыны ці механізму|рама
Няісная частка кута, у якую “ставяць” некаторыя праблемы|частка
Апорны эл-т усходы|косоур
Апорны элемент у канструкцыях|рыгель
Якая не сфармавалася булка|цеста
Непадобнасць, адрозненне ў чым-небудзь?|розніца
Няма дажджу, а трава мокрая?|раса
Няма ліста без яго|адрас
Няма, мудрацы зусім не адпрэчваюць жаданняў, вядома, і мудры можа жадаць. Але вось чаго, па меркаванні Хилона, не павінен жадаць мудры?|немагчымага
Недакладная, няпоўная рыфма ў вершаскладанні|асананс
Непрацоўнае ўзбагачэнне|нажыва
Нета ў пакаванні|брута
Непаважлівая назва камерсанта|гандляр
Незад|двойка
Няўдалая жонка казачнага жураўля|чапля
Няўдача рыбалова|зачэп
Няўдача, правал|фіяска
Няўдача?|фіяска
