Няўдалы ўдар у більярдзе|кікс
Нядзіўны стан пасля дзіўнага росту коштаў|шок
Нязручнасць ад шумных суседзяў наверсе|тупат
Неўтаймоўны манах, адзін з заснавальнікаў Кірыла-Белозерского манастыра|Зосіма
Няўлоўны мсцівец, які звязаў Алена Делона з Антоніа Бандэрасам|Зорро
Няўмелае маляванне, дрэнны малюнак, ліст, размалёўка; дрэнная, нядбайная праца, пэцканіна|мазаніна
Празмерны ў ежы чалавек|абжора
Некіраванае плаванне, рух пад дзеяннем вонкавых сіл|дрэйф
Некіраванае зборышча|натоўп
Неўрадлівая частка поля?|мяжа
Няўстойлівая элементарная часціца|мезон
Неухоженность (антонім)|пяшчота
Нефициальное назва рускіх на Ўкраіне|кацап
Нефармальная падатковая арганізацыя|рэкет
Нефармальны даляр|бакс
Нефармальны матацыкліст|байкер
Нафтапрадукт, выгляд паліва|бензін
Нафтапрадукт|бітум
Нафтавае масла для змазкі цыліндраў паравых машын|вапар
Нафтавае радовішча ў Лівіі|Амаль
Нафтавае радовішча ў Нігерыі|Окан
Нецарствующий чалец каралеўскай хаты; тытул владет. князя|прынц
Нецарствующий чалец каралеўскай хаты|прынц
Нячаста сустракаемае мужчынскае імя, якое дае нагода яго гаспадару зваць сябе Божым Стаўленікам|акім
Нечалавечая мова?|кабол
Нечалавечая мова|алгол
Нечалавечая напруга|надрыў
Несумленна атрыманы прыбытак|нажыва
Нячыстая ўгода|гешэфт
Нячыстая вага тавара, якая ўключае вага пакавання|брута
Нячысты прайдзісвет|шэльма
Нешта выбітнае, лепшы ўзор|пэрл
Нешта благое, шкоднае, процілеглае дабру|зло
Нешта забароненае, строгая забарона|табу
Нешта падранае, патрапанае|рызманы
Нешта кватэрнае, што хаваецца за блатным словам “скок”|крадзеж
Нешта маленькае, пры “дзяльбе” якога чалавецтва нажыло сабе вялікія непрыемнасці|атам
Нешта малаважнае|дробязь
Нешта нематэрыяльнае, што зыходзіць ад сімпатычнага чалавека|флюід
Нешта непрывабнае, чаму прысвяціў сваё верш. Уладзімір Маякоўскі|дрэнь
Нешта неразгаданае, яшчэ не спазнанае|таямніца
Нешта несур'ёзнае, крывадушнае, паказное|фарс
Нешта няіснае, уяўнае, ілжывае|фікцыя
Нешта няіснае, уяўнае?|фікцыя
Нешта адбойнае, што трэба шахцёру, каб секчы вугольчык?|малаток
Нешта дзіўнае, здзіўляўчае незвычайнасцю (перен.)|цуд
Нешта павучальнае, з чаго можна зрабіць выснову на будучыню|урок
Нешта якое хаваецца ад іншых, сакрэт|таямніца
Нешта падобнае з іншым|аналог
Нешта цяжкае, жудаснае|кашмар
Нешта цяжкае, цяжкае, цяжар|цяжар
Нешта фантастычнае, нязбытная мара|утопія
Нешта, што апранае ўсіх у чорнае|жалоба
Нешта, якое перавышае звычайны ўзровень ці ўяўленні|гіпер
Нешта, што ўяўляе адпаведнасць іншаму прадмету, з'яве ці паняццю|аналог
Нешта, злучанае з Венерай, што адкрыў Міхась Ламаносаў|атмасфера
Нешта, злучанае з Сонцам (прыстаўка)|гелио
Нешта, якое адпавядае, падобнае ці падобнае іншаму прадмету ці з'яве|аналог
Нешта, што пераконвае страх, агіда; то, чым палохаюць|жупел
Нешырокае месца|узина
Няштатны карэспандэнт з працоўнага асяроддзя (у сав. час)|рабкар
Нез'яўленне на працу, заняткі без паважлівага чынніку|прагул
Неядовитая змяя і папярэднік кола|полоз
Неядовитая змяя, а гэтак жа частка санак|полоз
Неядовитая змяя|ужо
Неядовитое гад|удаў
Ні ў бога, ні ў чорта не верыць|атэіст
Ні вока, ні ўшый, а сляпых водзіць|палка
Ні рыба, ні мяса – так кажуць пра што вось зусім кепскім сярэднім. А пра што гэта руская прыказка была першапачаткова? “о ...”|раках
Нігер. пісьменнік|Ачебе
Нігерыйскі порт|Лагос
Нігерыя (горад у Афрыцы)|Ибадан
Нігерыя (горад у Афрыцы)|Верба
Нігерыя (горад у Афрыцы)|Ифе
Нігерыя, штат|Огун
Нидерл. жывапісец, графік (род. 1886)|Алма
Нидерл. кампазітар|Андриссен
Нидерл. кампазітар|Обрехт
Нідэрландская манета, якая чаканілася з 1601 г.|ахтентвинтиг
Нідэрландскі лекар. Нобелеўская прэмія (1929)|Эйкман
Нідэрландскі дзяржаўны дзеяч і юрыст (доктар права, 1860. Нобелеўская прэмія свету (1911, сумесна з А. Фридом)|Ассер
Нідэрландскі жывапісец па імі Вінцэнт|Гог
Нідэрландскі інжынер. Нобелеўская прэмія (1984, сумесна з К. Руббиа)|мёр
Нідэрландскі матэматык і інжынер|Стевин
Нідэрландскі мараплавец, даследнік Аўстраліі і Акіяніі|Тасман
Нідэрландскі пісьменнік, аўтар рамана “Тры брата”|Каленаў
Нідэрландскі навуковец, лаўрэат Нобелеўскай прэміі па фізіцы|Лорэнц
Нідэрландскі фізік, адкрыў гафній (1889–1950)|Вогнішча
Нідэрландскі фізік. Нобелеўская прэмія (1902, сумесна з П. Зееманом)|Лорэнц
Нідэрландскі фізік. Нобелеўская прэмія (1902, сумесна з Х. Лорэнцам)|Зееман
Нідэрландскі мастак, чалец групы “Кобра”|Аппель
Нідэрланды (горад у Еўропе)|Амерсфорт
Нідэрланды (горад у Еўропе)|Утрехт
Нідэрланды (горад у Еўропе)|Харлем
Нідэрланды, адм. ц. пров. Дренте (горад у Еўропе)|Ассен
Горад у Нідэрландах, каля якога – Каралеўскі летні палац|Апелдорн
Нідэрланды, правінцыя, адм. ц. – Ассен|Дренте
Нідэрланды, правінцыя|Утрехт
Ніжэй сі|ля
Ніжагародскі губернатар у 1994 г.|Нямцоў
Нижн. касы ветразь на бізань-шчогле|бізань
Нижн. частка сцен усярэдзіне будынка; стар. канструкцыя; ходнік|панэль
Нижн. частка сцен усярэдзіне будынка|панэль
Ніжняе пакрыццё ў памяшканні|падлога
Ніжні край жаночай спадніцы, пераўтвораны ў раён горада Кіева|падол
Ніжні край даху; дах у хатах|страха
Ніжні край сукенкі, спадніцы|падол
Ніжні край сукенкі?|падол
Ніжні насціл у памяшканні|падлога
Ніжні ветразь на пярэдняй шчогле|фок
Ніжні прадмет класічнай тройкі?|штаны
Ніжні прамы ветразь на пярэдняй шчогле судна|фок
Ніжні які звісае край даху драўлянай хаты|страха
Ніжні што звісае край даху хаты|страха
Ніжні ярус бочак з херасам у вінных скляпах|солера
Ніжні ярус ложаў у тэатры на ўзроўні партэра ці трохі вышэй яго|бенуар
Ніжні ярус тэатральных ложаў на ўзроўні сцэны ці партэра|бенуар
Ніжні, які звісае край даху драўлянай хаты|страха
Ніжняя задняя частка нагі|пятка
Ніжняя і сярэдняя частка переносья ў жывёл|храп
Ніжняя з гарызантальных бэлек, што ляжаць на капітэлях калон (архит.)|архітраў
Ніжняя канчатковая частка хрыбетніка|хвасцец
Ніжняя адзежа старажытных грэкаў, ільняная ці ваўняная кашуля, гушчару без рукавоў|хітон
Ніжняя адзежа|суколка
Ніжняя апорная частка аркі, збору|пята
Ніжняя паверхня ў печы|пад
Ніжняя паверхню карабля|дно
Ніжняя кропка скрыжавання стромай лініі з нябеснай сферай|надзір
Ніжняя патоўшчаная частка песціка, з котор. утворыцца плён|завязь
Ніжняя патоўшчаная частка калоны|цокаль
Ніжняя частка дрэва (а таксама пяра, рогі)|камель
Ніжняя частка доўгай спадніцы, футры і т. п.|падол
Ніжняя частка задняй канечнасці каня|плюсна
Ніжняя частка корпуса механізмаў (рухавіка, рэдуктара і т. п.), часткова заліваецца маслам?|картар
Ніжняя частка вонкавай сцяны будынка, якая выступае параўнальна з размешчанай вышэй часткай|цокаль
Ніжняя частка апорнай калоны, што служыць для раўнамернага размеркавання ціску на грунт|чаравік
Ніжняя частка песціка ў кветцы, якая ўтварае па апыленні плён|завязь
Ніжняя частка памяшкання|падлога
Ніжняя частка прадмета, пасудзіны|дно
Ніжняя частка што расчыняецца спераду адзежы|падлогі
Ніжняя частка ствала іглічнага дрэва|какора
Ніжняя частка сцяны|цокаль
Ніжняя частка ступні, падэшва|ступня
Ніжняя частка паглыблення|дно
Ніжняя, апорная частка аркі ці збору|пята
Ніз камбінезона?|порткі
Ніз, падстава пасудзіны|дно
Нізенькі народзец|пігмеі
Нізкі “басовы” пошчак песні канаркі-ролера|кнорра
Нізкая і вузкая намывная паласа сушы, адным канцом выступалая ў бок мора|каса
Нізкі абутак у саамаў|каньги
Нізкая тэмпература паветра|мароз
Нізкі шырокі посуд у форме вялікага кубка|каганец
Нізкі бар'ер уздоўж авансцэны, які зачыняе ад гледачоў асвятляльныя прыборы|рампа
Нізкі вечназялёны хмызняк з дробным лісцем і лілова-ружовымі кветкамі|верас
Нізкі вечнозел. хмызняк з ружовымі кветкамі|верас
Нізкі водападзел|валок
Нізкі жаночы голас?|кантральта
Нізкі жаночы голас?|альт
Нізкі мужчынскі голас|бас
Нізкі ўзровень вады ў рацэ, возеры|межань
Нізкая шырокая канапа|сафа
Нізкае і шырокае драўлянае ці металічнае вядзерца з дзвюма ручкамі па баках|хеўра
Нізкае месца, заливаемое падчас паводкі|пойма
Нізкарослая, дэкаратыўная форма “каўказскай пальмы”|буксаў
Нізкарослыя людзі з плямёнаў тропич. Афрыкі|пігмеі
Нізіннае месца (просты.)|нізіна
Нізіна ў вусцевай частцы ракі ўтвораная рачнымі наносамі?|дэльта
Найнізкая разнавіднасць абавязку|абрад
Найнізкая сельская адміністрацыйна-тэрытарыяльная адзінка ў Польшчы|гміна
Найнізкая царкоўна-адміністрацыйная адзінка|прыход
Найнізкая водная хрыбетная жывёла са змеепадобным целам|мінога
Найнізкае з 4 старажытнаіндыйскіх саслоўяў, галоўным чынам неполноправные земляробы і рамеснікі|шудры
Найнізкае лясное бажаство ў інш.-греч. міфалогіі|сатыр
Найнізкая расліна, якое складаецца з грыба і багавінне, што расце на глебе, на камянях, на кары дрэў|лішай
Одзін з тых, якіх да сярэдзіны ХХ стагоддзі адносілі да найнізкіх раслін, а пазней вылучылі ім цэлае царства|грыб
Найнізкае саслоўе старажытнага Рыма|плебс
Найнізкія первичноводные жывёлы|анамнии
Найнізкія первичноводные хрыбетныя жывёлы|анамнии
Найнізкі споравы арганізм, які любіць што пацеюць ногі|грыбок
Ніяк, ні пад якім выглядам (устар.)|зусім не
Ніякага не зрабіў адкрыцці, але яно, несумнеўна, за мной, пра што гэта? (аббревиат.)|нді
Ніколі не араная, а таксама шмат гадоў не якая падвяргалася апрацоўцы зямля|цаліна
Мікалай Іванавіч, што распрацаваў праект лятальнага апарата, знаходзячыся ў турме за замах на імператара Аляксандра 2?|кибальчич
Мікалай-II Аляксандру-II|унук
Ніхто не стукне, не прытрэ не жалься, Жадаеш рухацца наперад – калі ласка. – аб'ект, пра які спявае В. Высоцкі|каляіна
Нікчэмная, непатрэбная рэч, задума (жарг.)|фуфло
Німб, арэол|ззянне
Найменне ўніверсальнага клею|момант
Німфа, закаханая ў Нарцыса да страты голасу?|Рэха
Німфа, якая выгадавала Зеўса|Адрастея
Німфа, што патрапіла на шэдэўр ад Пабла Пікасо|Дрыяда
Німфа, пераўтвораная ў лаўровае дрэва|Дафна
Німфа, пераўтвораная рачным богам у дрэва, лісце з якога ідуць нам у суп|Дафна
Німфа-каза, якая выгадавала сваім малаком нованароджанага Зеўса|Амальтея
Ниндзя з мультсерыяла (жывёла)?|чарапашка
Пасланы Богам выратавальнік у хрысціянстве|месія
Ніткападобныя адукацыі на лісці і сцеблах раслін|вусікі
Ніткападобны атожылак на лісце ці стебле|вусік
Ніткі, якія ідуць уздоўж тканіны|аснова
