Металическая адзежа старажытнага вайна|браня
Металическая палачка з вострым канцом|стыль
Метал стагоддзя|тытан
Метал групы актыноідаў?|плутоній
Метал групы актыноідаў?|фермій
Метал групы актыноідаў?|лаўрэнсій
Метал групы актыноідаў?|нобелій
Метал групы актыноідаў?|каліфорній
Метал групы актыноідаў?|берклій
Метал групы актыноідаў|кюрый
Метал групы актыноідаў|торый
Метал групы актыноідаў|уран
Метал групы лантаноідаў?|праметый
Метал групы лантаноідаў?|дыспрозій
Метал групы лантаноідаў?|ітэрбій
Метал групы лантаноідаў?|неадым
Метал групы лантаноідаў?|эрбій
Метал групы лантаноідаў|тэрбій
Метал групы лантаноідаў|тулий
Метал для паяння|цын
Метал з Кландайка|золата
Метал, прыдатны толькі для перапрацоўкі|крышан
Метал, які абараняе іншыя металы ад карозіі|цын
Метал, з якога быў зроблены ўстойлівы салдацік у казцы Андэрсана|цын
Метал, з якога робяць спіралі для лямпачак|вісмут
Метал, які ў лішку можна здабыць з паверхні кансервавых слоікаў|цын
Метал, над якім “чэзне” цар Кашчэй (Па А. Пушкіну)|золата
Метал, які трапляе ў банкаўскія скляпы|золата
Метал, што ўжываецца ў якасці прыпоя|цын
Метал, існаванне якога прадказаў Д. Мендзялееў|рэній
Метал, чые пары здольныя давесці чалавека да ўтрапёнасці?|ртуць
Металізаваная нітка ў тканіны|люрекс
Металлич. грашовы знак; фільм Алова|манета
Металлич. дужка для ўпора ног вершніка|стрэмя
Металлич. скрынка з падшыпнікам на восі кола вагона|букса
Металлич. нагрудны знак з надпісам ці лічбамі|бляха
Металлич. аклад на абразе, які пакідае навідавоку твар і рукі выявы|рыза
Металлич. пліта для прижимания паперы да формы (типогр.)|тыгель
Металлич. стрыжань для падрыхтоўкі шашлыка|шампур
Металлич. шчыток на дзяржальні шпагі|гарда
Металічная дэталь для змацавання драўляных частак пабудовы|клямка
Металічная дужка для навешвання замка|спробай
Металічная дужка для ўпора ног вершніка пры верхавой яздзе|стрэмя
Металічная нарыхтоўка квадратнага перасеку|блюм
Металічная нарыхтоўка|злітак
Металічная ці драўляная канструкцыя ў судне ў выглядзе рамы, размешчаная пад кутом да кіля і якая з'яўляецца як бы працягам яго ў кармавой частцы судна|ахтэрштэвень
Металічная ці жалезабетонная дугападобна выгнутая пліта, што ўжываецца для воданепранікальнага мацавання шахт, тунэляў|цюбінг
Металічная ці пластмасавая трубачка, з якой змесціва здабываецца выдушваннем|цюбік
Металічная скрынка для стериализации і захоўванні стэрыльных перавязачных матэрыялаў|бікс
Металічная скрынка для стэрылізацыі перевязочн. матэрыялу; выгляд гульні ў більярд|бікс
Металічная скрынка для стэрылізацыі перевязочн. матэрыялу|бікс
Металічная скрынка з падшыпнікам, якія перадаюць ціск вагона на вось кола|букса
Металічная каронка|фікса
Металічная плоская змацавальная частка на канцах труб, валаў|фланец
Металічны дрот, што служыць для перадачы электрычнага току|провад
Металічная рагатка для падхоплівання ў печы чыгуноў, чугунов|вілкі
Металічная рагатка на доўгай дзяржальні для чыгуноў, чугунов|вілкі
Металічная трубка, якая служыць для памяншэння трэння ў месцы апоры вала|утулка
Металічная форма для шматразовай адліўкі вырабаў|какіль
Металічная частка электрычнай лямпы, што служыць для ўкручвання ў патрон|цокаль
Металічныя вырабы вызначанага профіля, вырабленыя шляхам абціскання паміж валамі ў адмысловых постацях|пракат
Металічныя латы, якія апраналіся на спіну і грудзі для абароны ад удараў халоднай зброяй|кіраса
Металічныя абцугі для завіўкі|плойка
Металічныя абцугі, прылада для захопу|абцугі
Металічныя, пасярэбраныя ці пазалочаныя ніткі, што ідуць на выраб галуноў, парчовых тканін|мішура
Металічны “чалавек”|робат
Металічны бак з кранам для пітнай вады|лагун
Металічны брусок з выпуклым малюнкам літары, які ўжываецца пры друкарскім наборы|літара
Металічны галаўны ўбор ваяра Х ст.|шлем
Металічны голас|ляск
Металічны груз вызначанай вагі|гіра
Металічны дыск, у які б'юць выбівачкай|гонг
Металічны значок, які выдаецца ў памяць пра якую-небудзь падзею ці як знак прыналежнасці да якога-небудзь грамадства, арганізацыі|жэтон
Металічная ці пластмасавая пасудзіна цыліндрычнай формы з вечкам|бітон
Металічная ліна|трос
Металічны кружок для таксафона|жэтон
Металічны кружок, значок, што выдаецца ў памяць пра якую-небудзь падзею, службовец умоўным знакам, прызам|жэтон
Металічны вобад, напрананы на чыгуначнае кола|бандаж
Металічны абруч на ножках, службовец падстаўкай для катла, чыгуну пры падрыхтоўцы ежы на агні|трыножка
Металічны прадмет калекцыянавання|манета
Металічны дубец для жарения мяса над агнём|круціў
Металічны злітак|свінка
Металічная пасудзіна для кіпячэння вады?|рондаль
Металічная пасудзіна для кіпячэння вады?|імбрычак
Металічная пасудзіна для курэння пахаў пры набажэнстве|кадзіла
Металічная пасудзіна для малака|бітон
Металічная пасудзіна на ланцужку для курэння ладанам пры набажэнстве|кадзіла
Металічная шклянка, які змяшчае баявы парахавы зарад і сродкі ўзгарання, службовец адначасова сродкам абтурацыі?|гільза
Металічная шклянка, прызначаны для памяшкання кідальнага зарада|гільза
Металічны статут алюмелі?|сплаў
Металічны стрыжань для гарачыя мяса на агні|шампур
Металічны стрыжань са шрубавай разьбой на канцы для змацавання раздымных злучэнняў|ніт
Металічны стрыжань са шрубавай разьбой на канцы для змацавання?|ніт
Металічны стрыжань з выразамі для замыкання і адмыканні замка|ключ
Металічны стрыжань з лапамі, умацаваны на ланцугі і опускаемый на дно для ўтрымання на месцы судна|якар
Металічны стрыжань, які вырабляе звон ударамі пра сценкі звана|мова
Металічны куфар у карабельным памяшканні|скрыня
Металічнае багацце|золата
Металічны выраб, пакрытае тонкім пластом срэбра|апліке
Металічнае кольца на шчогле карабля для мацавання снасцяў|бугель
Металічнае кольца, прызначанае для захопу і перасоўванні машын і дэталяў|рым
Металазнавец, наш суайчыннік|Одинг
Металапракат ці інш. вырабы з Т-вобразным перасекам|таўроў
Металарэзная прылада для нарезания ўнутранай разьбы ў вырабах|метчык
Металарэзная прылада для аздаблення паверхняў|шабер
Металург, акадэмік|Старк
Металург, заснавальнік школы рускіх доменшчыкаў|Курако
Металургічная манаполія ў Нідэрландах і ФРГ, заснаваная ў 1972 году|эстел
Металургічны і машынабудаўнічы канцэрн Нямеччыны|крупп
Металургічны працэс атрымання высакародных металаў высокай чысціні шляхам аддзялення ад іх прымешак|афінаж
Метамарфічная горная парода|мармур
Метамарфічная горная парода|сланец
Кіданне ікры самкамі і адначасовае апладненне яе самцамі|нераст
Кідальная дзіда на кароткім тронку|дроцік
Кідальная зброя ў выглядзе лука|арбалет
Кідальная зброя старажытнасці|прашча
Кідальная зброя іспанцаў|бола
Кідальная зброя|страла
Кідальная зброя|чакра
Кідальная паляўнічая прылада на марскіх жывёл|гарпун
Кідальная халодная зброя?|дзіда
Кідальныя кольцы з рэжучым краем, зброя ў Інш. Індыі|чакра
Кідальны снарад у лёгкай атлетыцы|дыск
Завея?|віхура
Завейны завадатар|вецер
Метэарытнае шкло з высокім утрыманнем крэменязёму|тектит
Метереологические ўмовы, уласцівыя для дадзенай мясцовасці|клімат
Пазначаў, этыл (агульнае)|алкіл
Пазнака, засечка на дрэве ў лесе|зачос
Пазнака, прадмет, якім пазначаецца, выяўляецца што-небудзь|знак
Трапныя французы кажуць: архітэктар – затуляе свае памылкі фасадам, кухар – соусам, а чым паводле тым жа французам затуляе свае памылкі лекар?|зямлёй
Венік для мыйкі палубы|швабра
Венік з лубаў?|швабра
Венік з лубу, вяровак, умайстраваных у калодку|швабра
Венік|памяло
Метад аўтагеннай трэніроўкі|ауторелаксация
Метад барацьбы са шкоднікамі і хваробамі сельскагаспадарчых раслін і жывёл шляхам абкурвання парамі ці газамі атрутных рэчываў?|фумігацыя
Метад бухгалтарскага ўліку запасаў па кошце апошняй паступілай партыі|станіка
Метад вядзення баявых дзеянняў качэўнікаў|набег
Метад аднаўленчай хірургіі (исп. пластмас, металаў)|аллопластика
Метад гульні на гітары|шчыпанняў
Метад вывучэння распаўсюду р/а рэчываў – ізатопаў|аўтарадыёграфія
Метад исследов. крывяносных пасудзін|ангіяграфія
Метад даследаванняў, шлях разваг, які выкарыстоўвае вылучэнне ў аб'екце складовых частак|аналіз
Метад даследавання ўнутраных органаў чалавека і жывёл шляхам выслухвання гукавых з'яў, што ўзнікаюць пры працы гэтых органаў|аўскультацыя
Метад даследавання сэрца шляхам запісу электрычных імпульсаў сардэчнай цягліцы?|электракардыяграфія
Метад колич. вызначэнні вады ў разл. рэчывах|акваметрыя
