Бацька Тиля Уленшпигеля|Клаас
Бацька Хама|Ной
Бацька Юпітара ў інш.-рым. міфалогіі|Сатурн
Бацька ўсіх каталікоў|тата
Бацька габрэяў|Якаў
Бацька жонкі сына|сват
Бацька вынаходства|вольны час
Бацька нацый у Кітаі|Мао
Бацька прапановы|попыт
Бацька рымскай паэзіі|Энний
Бацька сацыялогіі ў ЗША|Уорд
Бацька ў цюрак|ата
Бацька філасофіі|вольны час
Бацька, які спарадзіў сірату Гавроша|Гюго
Бацька, сын і святы дух у адным|сёмуха
Бацька|баця
Бацька|татка
Отеч. физикохимик, акад. АН з 1987|Осико
Айчынная гімнастка, алімпійская чэмпіёнка|Бурда
Айчынная эстрадная група, часта якая змяняе салістаў|брава
Айчынныя цыгарэты, “што вырабляюць” уласная назва|дымок
Айчынны “Мэрсэдэс-2106”|ладу
Айчынны кампазітар, оперы: “Рафаэль”, “Сон на Волзе”|Аренский
Айчынны архітэктар, які ўзначальваў кірунак канструктывізму|Веснин
Айчынны астраном, эканаміст|Струве
Айчынны атамны ледакол|Расія
Айчынны атамны ледакол|Сібір
Айчынны біятланіст|Бяков
Айчынны біёлаг, хімік, фізік, педагог|Флеров
Айчынны ўсходазнавец|Конрад
Айчынны географ, вандроўца, землепраходзец|Дежнев
Айчынны географ, вандроўца, даследнік Арктыкі 18-го стагоддзі|Лаптев
Айчынны географ, вандроўца, даследнік Цэнтральнай Азіі|Спевакоў
Айчынны географ, вандроўца|Анучин
Айчынны географ, вандроўца|Крепс
Айчынны заменнік джыпа?|ніва
Айчынны кінарэжысёр, да/ф “Дзяўчынка шукае бацьку”|Галуб
Айчынны кампазітар, аўтар оперы “Іван Сусанін”|Кавос
Айчынны кампазітар, аўтар оперы “Ілля Муромец”|Кавос
Айчынны кампазітар, опера “Анджело”|Кюи
Айчынны канструктар авиционных і ракетных рухавікоў|Исаев
Айчынны канструктар цяжкіх танкаў|Духоў
Айчынны канструктар, які кіраваў распрацоўкай цеплахода на падводных крылах “Метэор”|Аляксееў
Айчынны касмічны карабель?|Шугавея
Айчынны касманаўт N 2|Цітоў
Айчынны касманаўт|Аляксандраў
Айчынны матэматык і механік|Векуа
Айчынны металург, чалец-карэспандэнт АН СССР|Старк
Айчынны мараплавец, вандроўца і географ, даследнік Арктыкі|Литке
Айчынны выканавец, балалаечнік|Андрэеў
Айчынны палітычны дзеяч|Акчурин
Айчынны паэт, педагог, асветнік мінулага|Герцэн
Айчынны самалёт-знішчальнік|імгненне
Айчынны селекцыянер, адзін з пачынальнікаў селекцыі і сортавыпрабаванні бульбы|Лорх
Айчынны селекцыянер, адзін з заснавальнікаў селекцыі і насенняводства збожжавых культур|Юр'еў
Айчынны скульптар, аўтар помніка Д. М. Карбышеву ў Маутхаузене ў Аўстраліі|Цигаль
Айчынны тэатральны мастак|Симов
Айчынны навуковец, адзін з заснавальнікаў навуковай школы па тэорыі механізмаў?|Ассур
Айчынны навуковец, акадэмік АН БССР|Лыков
Айчынны навуковец-радыётэхнік, які кіраваў стварэннем першых магутных радыёвяшчальных станцый|Минц
Айчынны фізік, прафесар, кіроўны адной з праграм на ОРТ|Капица
Айчынны хімік, заснавальнік аграхіміі|Либих
Айчынны хімік, фармацэўт|Ловиц
Айчынны мастак і графік|Агин
Айчынны эканаміст, міністр фінансаў, граф, “бацька” і заступнік стварэння крэдытна-разліковых учереждений у Расіі ў канцы 19 ст.|Вітэ
Айчынны эканаміст|Конюс
Айчына|радзіма
Адціснуты вінаградны сок|сусла
Адціснуты сок вінаграда|сусла
Водгук, водгук, адлюстраваны гук|рэха
Адмова дзяржавы ад выплаты абавязкаў, дзярж. банкруцтва|дэфолт
Адмова грузаўладальніка ад правоў у карысць страхавальніка|абандон
Адмова ад волі да жыцця|аскетызм
Адкідное вечка якога-небудзь механізму|капот
