Галіна сельскай гаспадаркі?|садоўніцтва
Адрэз тканіны для адзежы, звычайна ў раскроеным выглядзе|купон
Адрэз тканіны|кавалак
Адрэзаны для ежы плоскі кавалак чаго-небудзь|луста
Отрезной талон; адрэз матэрыі на гарнітур|купон
Отрезной талон?|купон
Адрэзак галінкі з ныркамі для пасадкі|парастак
Адрэзак часу ў развіцці якога-небудзь працэсу|этап
Адрэзак часу|год
Адрэзак часу|хвіліна
Адрэзак часу|пара
Адрэзак дыстанцыі ў спартовых спаборніцтвах|этап
Адрэзак жыцця, наступны за малалецтвам|юнацкасць
Адрэзак лініі перадачы, які ўжываецца для налады сверхвысокочастотных прылад?|шлейф
Адрэзак перпендыкуляру, апушчанага з вяршыні геаметрычнай фігуры на яе падставу?|вышыня
Адрэзак прамой лініі вызначанай даўжыні і кірункі?|вектар
Адрэзак прамой лініі, які з'яўляецца часткай мяжы шматкутніка (у матэматыку)|бок
Адрэзак прамы, што ляжыць на скрыжаванні дзвюх граняў шматкутніка|рабро
Адрэзак прамы, які злучае дзве кропкі крывы і не перасякалы яе|хорда
Адрэзак прамы, што злучае цэнтр акружнасці з якой-небудзь кропкай акружнасці|радыус
Адрэзак, які злучае дзве кропкі дугі|хорда
Адрэзак, што злучае дзве кропкі крывой|хорда
Адрэзак, які злучае кропку акружнасці з цэнтрам?|радыус
Адрэзак, які характарызуецца даўжынёй і кірункам у прасторы|вектар
Адрачэнне ад сваёй веры, рэлігіі|вераадступніцтва
Адмаўленне магчымасці разумнага лагічнага спазнання рэчаіснасці?|ірацыяналізм
Адмаўленне логікі як сродкі спазнання, проціпастаўленне ёй інтуіцыі, адкрыцці|алагізм
Адмаўленне|не
Отрицат. зараджаная часціца|аніён
Адмоўная рэакцыя заклічніка на позву з ваенкамата|нез'яўленне
Адмоўна зараджаны іён?|аніён
Адмоўны герой электрычнага поля|аніён
Адмоўны адказ на просьбу|адмова
Адмоўны персанаж “Няўлоўных мсціўцаў”|люты
Адмоўны электрод, канцавоссе крыніцы току|катод
Хлопец, падлетак|юнак
Атожылак генеалагічнага дрэва|галіна
Атожылак нейрона|аксон
