Ветразь (устар.)|ветразь
Ветразь трэцяга знізу калены шчоглы ветразнага судна|брамсель
Парусіна, прасякнутая водатрывалымі ці супрацьгніласнымі складамі|брызент
Ветразная лодка без цяжкага кіля, абсталяваная швертом ці шверцами|швертбот
Ветразнае судна з дзвюма і больш шчогламі з касымі ветразямі|брыг
Ветразнае судна першай рускай кругасветнай экспедыцыі І. Крузенштерна|надзея
Парыжская турма-крэпасць, якая дала назва французскаму нацыянальнаму святу|бастылія
Парк у Варшаве, дзе знаходзіцца помнік Ф. Шопену|Лазенки
Парк пейзажнага стылю|сільвія
Парламент Непала|панчаят
Парламент Нарвегіі|стортынг
Парламент Даніі|фалькетынг
Парламент Ірана, Турцыі, крымскіх татараў|меджліс
Парламент Ліхтэнштэйна|ландтаг
Парламент Манголіі|хурал
Парламент Манголіі|хурултай
Парламент Францыі|канвент
Парламент у Нарвегіі|стортынг
Парламент у Іспаніі|картэсы
Парламент у Іране|меджліс
Парламент у Ізраілі|кнэсет
Парная касцяная западзіна ў асабовай частцы чэрапа|вачніца
Парная костка плечавага пояса чалавека|ключыца
Парная плоская шырокая костка ў верхняй частцы спіны|лапатка
Парнакапытнае роды лам. Жыве ў Перу|викунья
Парнакапытная жуйная жывёла, якое насяляе ў горнай тайзе Азіі|кабарга
Парнакапытная жывёла падатрада жуйных|кабарга
Парнакапытнае полорогое млекопитающее, мускусны бык|аўцабык
Парнакапытнае, бруя якога вельмі шануецца|кабарга
Парны сінтаксічны знак (адказ у мн. ч.)|двукоссі
Парны сінтаксічны знак (ед. ч.)|дужка
Парны бальны танец, блізкі па характары да самбе|босанова
Парны бальны танец|каліпса
Парт. і госуд. дзеяч СССР|Свярдлоў
Партызан, герой СССР|Альясаў
Партызанская вайна ў Іспаніі і краінах лацінскай Амерыкі|герилья
Партызанка, ГСС|Хоружая
Парфянский цар|Митриад
Пахкае эфироносное травяністая расліна з блакітнымі ці сінімі кветкамі|лаванда
Пахкі паўхмызняк з блакітнымі ці цёмна-сінімі кветкамі|лаванда
Павукападобная драпежная жывёла|фаланга
Павукападобная атрутная жывёла|фаланга
Падзенне снарада, кулі бліжэй мэты|недалёт
Падзенне ракі з вышыні|вадаспад
Пайшчык (устар.)|дольшчык
Пакет для ліста|канверт
Пакет|скрутак
Пакт з Рыбентропам|Молатаў
Паломнік ці вандроўца|пілігрым
Палачка з разгалінаваннямі на канцы ці са спіраллю для ўзбівання|калатоўка
Палачка для расцірання рыскі ў пляму|растушка
Палачка для пляцення карунак|каклюшка
Палочковидная бактэрыя, якая ўтварае ўнутрыклеткавыя спрэчкі|бацыла
Палочковидная бактэрыя, у т. ч., напрыклад, якая выклікае слупняк, сібірскую язву|бацыла
Палочковидные бактэрыі|бацылы
Палка ці які-небудзь прадмет, якім змешваюць што-небудзь|мешалка
Паліятыў|паўмера
Паліто ці плашч з прагумаванай тканіны|макінтош
Пампа, стэп Ю. Амерыкі|пампасы
Памятнае збудаванне|помнік
Памятнае вялікае збудаванне|манумент
Помнік у выглядзе кантаванага каменнага слупа|абеліск
Помнік візантыйскага заканадаўства|василики
Помнік, збудаванне ў выглядзе кантаванага, які звужваецца дагары слупа|абеліск
Помнік, збудаванне ў гонар выбітнага чалавека ці падзеі|манумент
Помнік, слуп з завостранай пірамідальнай верхавінай|абеліск
Тата электрычнага злучэння|штеккер
Папараць|марсилея
Папараць|вужоўнік
Паталогоанатомическое даследаванне|выкрыццё
Патака, што атрымліваецца як адыход вытворчасці цукру з бурака|меласса
Паталогія гаворкі – запінкі, прыпынкі, паўтор адных і тых жа гукаў з-за сутаргавых скарачэнняў цягліц гартані|заіканне
Патлатая авечка-бландынка|меринос
Пацыентка радзільні|парадзіха
Літуючы, заладзіць, паправіць (сущ. ад глаг.)|запайка
Псеўданім артыста цырка, блазна М. Румянцава|аловак
Псеўданім С. Терпигорева|атава
Псеўданім рускага савецкага паэта М. А. Шейнкмана|Светлов
Псеўданім Пятрова С. Г.|Вандроўца
Псеўданім братоў Жамчужнікавых і А. К. Талстога|Прутков
Псеўданім дзеяча расійскага рэвалюцыйнага руху Л. Б. Розенфельда|Камянеўшы
Псеўданім прыгоннай акторкі Праскоўі Кавалёвай, сталай жонкай графа Шереметева|Жемчугова
Псеўданім латышскай паэткі Эльзы Розенберг|Аспазія
Псеўданім пасткі|пастка
Псеўданім пралескі|галантус
Псеўданім футбольнага брамніка|галкіпер
Псеўданім, сэнсавая аналогія з сапраўдным прозвішчам|метоним
Псеўданім, утвораны адкідваннем пачатку ці канца сапраўднага прозвішча|апоконим
Псеўданім, імя і прозвішча, зашыфраваныя лічбамі|цифроним
Псеўданім, пад якім уславіўся галівудскі акцёр Ч. Бучински|Бронсон
Псіхалагічнае захворванне|істэрыя
Психич. засмучэнне, пры якім хворы апантаны ўстойлівай дакучлівай ідэяй (напр., пераследы, рэўнасці, вынаходніцтва і т. д.) ці трызненнем|параноя
Псіхічная хвароба, якая характарызуецца ўстойлівым трызненнем|параноя
Псіхічнае захворванне|параноя
Псіхічны хворы, што пакутуе дакучлівымі вар'яцкімі ідэямі|параноік
Пскоўская вобл. (горад)|Пустошка
Пскоўская вобл. (горад)|Пыталово
Песенны антыпод монтажника-вышынніка|качагар
Песенны антыпод монтажника-вышынніка|цясляр
Песенны жанр у італьянцаў|вилотта
Песенны кумір 70-х гадоў, які патрапіў пад абцасік опернай спявачкі|Магомаев
Спеў, выкананае па чарзе двума хорамі ці салістам і палаца|антыфон
Песні, што спявалі на поўдні Расіі пры колядовании|щедровки
Песня А. Городницкого|атланты
Песня А. Пахмутавай|геолагі
Песня О. Газманава|эскадрон
Песня рэўнасці ў салаўя|пстрыканне
Песня В. Матецкого на словы М. Шаброва|лаванда
Песня ў выкананні Л. Утесова, першы савецкі кліп|параход
Песня з рэпертуара А. Пугачовай|паромшчык
Песня з рэпертуара С. Ратару|лаванда
Песня, пасля якой Алу Пугачову заўважылі|Арлекіна
Пяшчаная аса|аммофила
Персанаж аднайменнага да/фільма|Фантомас
Персанаж аднайменнай оперы М. П. Мусаргскага|Гадуноў
Персанаж оперы Вяселле Фігаро Моцарта|Антоніа
Персанаж оперы Снягурка Рымскага – Корсакова|Мизгирь
Персанаж оперы Руслан і Людміла Глінкі|Черномор
Персанаж оперы Верди “Дон Карлас”|Родриго
Персанаж рамана А. Дзюма|Рышэлье
Персанаж рамана Л. Талстога|Каренин
Персанаж рамана Л. Талстога|Нехлюдов
Персанаж рамана М. Салтыкова-Шчадрына|Головлев
Персанаж рамана ці п'есы, які выказвае пункт гледжання аўтара і што чытае натацыі іншым персанажам|рэзанёр
Персанаж рускай літаратуры – найболей яркі прыклад аскетызму|Рахметов
Персанаж Бібліі, цар Юдэі і Ізраілю|Саламон
Персанаж Горкага|Гардзеяў
Персанаж “Дванаццаці крэслаў” Ильфа і Пятрова, майстар па прымусах|Полесов
Персанаж “Залатой карэты” Л. Лявонава|Березкин
Персанаж бібліі|Мафусаіл
Персанаж у аднайменным рамане Гончарова|Абломаў
Персанаж вадэвіля А. Чэхава|Дашенька
Персанаж вадэвіля А. Чэхава|Жигалов
Персанаж вадэвіля А. Чэхава|Змеюкина
Персанаж вадэвіля А. Чэхава|Мазгавы
Персанаж грэцкай міфалогіі, вызвалены Гераклам|Праметэй
Персанаж з “12 крэслаў” І. Ильфа і Е. Пятрова|Петухова
Персанаж з “Драмы на паляванні” А. П. Чэхава|Урбенин
Персанаж з Залатога ключыка А. Талстога|Артемон
Персанаж з “Залатога цяля” Ильфа і Пятрова|Лоханкин
Персанаж вядомага рамана Дэфо|Рабінзон
Персанаж вядомай казкі|Папялушка
Персанаж іт. камедыі масак|бригелла
Персанаж італьянскай камедыі масак|арлекін
Персанаж камедыі “Гора ад розуму”|Чацкий
Персанаж камедыі Бомарше|Бартоло
Персанаж камедыі Бомарше|Дубльмен
Персанаж камедыі Бомарше|Керубино
Персанаж нар. казак|карліца
Персанаж павесці А. Пушкіна|Савельич
Персанаж павесці А. Пушкіна|Сільвіа
Персанаж твора “Сирано дэ Бержерак” (Ростан)|Раксана
Персанаж твора “Вайна і свет” (Л. Н. Талсты)|Курагин
Персанаж п'есы А. Астроўскага|Большов
Персанаж п'есы А. Астроўскага|Чебаков
Персанаж п'есы Вс. Іванова|Дутченко
Персанаж п'есы Вс. Іванова|Філонаў
Персанаж традиц. італьянскай камедыі. Характэрны гарнітур з каляровых трыкутнікаў, чорная паўмаска|арлекін
Персанаж трылогіі К. Федина|Рагозин
Персанаж франц. тэатра лялек|Гиньоль
Персанаж французскага рыцарскага рамана|Ізольда
Персанал, якая абслугоўвае цыркавую арэну падчас уяўлення|уніформа
Персаніфікацыя, увасабленне|алегорыя
Грудзі прыроды|улонне
Персідская дынастыя|Сасанид
Персідская дынастыя|Саффарид
Перасадка тронка, ныркі на іншую расліну|прышчэпка
Перасяленец, што пакінуў месца пражывання ў сувязі з ваеннымі дзеяннямі|уцякач
Перасяленне насельніцтва|міграцыя
Перасяленне, перасоўванне насельніцтва ў межах краіны ці паміж краінамі|міграцыя
Скрыжаванне прызавой дарожкі, грубіянскае парушэнне правіл выпрабаванняў каня|кроссинг
Пераказванне іншымі словамі, вершаў у прозе і наадварот, сціснуты ці палегчаны выклад|парафраз
Пераказванне чужых думак|парафраз
Перагляд ці адмена судовага рашэння вышэйстаячай інстанцыяй|касацыя
Перагляд чаго-небудзь з мэтай занясення карэнных змен|рэвізія
Перагляд, пераасэнсаванне якіх-небудзь ідэй, поглядаў і т. п.|рэвізія
Перапрацоўка нафты і цяжкіх нафтапрадуктаў, пры якой атрымліваюць бензін і інш. химич. прадукты|крэкінг
Перапрацоўка нафты ці яе фракцый для атрымання паліваў і хим. сыравіны|крэкінг
Перапынак у працы парламента|вакацыі
Перапынак у занятках, паседжаннях|вакацыі
Перапынак паміж аддзяленнямі канцэрту, цыркавога ўяўлення|антракт
Перапынак паміж урокамі ў школе|змена
Перапынак паміж навучальнымі заняткамі ў школьнікаў|вакацыі
Перапынак паміж заняткамі ў навучальных установах|вакацыі
Пераход ад светлага колеру да цёмнага|паўтон
Пераход ад больш высокіх формаў развіцця да найнізкіх, змена да горшага|рэгрэс
Пераход рэчыва з цвёрдага стану ў газападобнае|узгонка
Пераход вадкасці ў пару з адукацыяй у ёй бурбалак пары|кіпенне
Пераход да найнізкіх узроўняў развіцця, страта функцый і здольнасцяў, рух назад|рэгрэс
Пераходны перыяд ад каменнага да бронзавага веку (4–3-е тыс. да н. э.)|энеолит
Пераходзячы з вуха на вуха, ад пакалення да пакалення, аповяд пра мінуўшчыну, легенда|адданне
Перабудова, пераўтварэнне|рэарганізацыя
Завулак у цэнтры Масквы, назва сваё атрымалы ад сажалкі з вадаплаўнай птушкай (ХVII ст.)|Лебядзіны
Пераварот праз галаву|кулёк
Пераклад Бібліі на латинск. мова|вульгата
Пераклад у дзейны стан ці ўзмацненне апошняга|актывацыя
Пераклад грошай з аднаго банка ў іншай|трансфер
Перакладнік Бібліі на лацінскую мову|Еранім
Перакладнік пры дипломатич. прадставіць. краін Усходу|драгаман
Перавоз пасажыраў з кропкі А ў кропку З праз кропку Ў|транзіт
