Покрыва для торта|глазура
Покрыва на твар|паранджа
Які пакрывае пласт|абалонка
Пакрыццё пластом чаго-небудзь вадкага ці тоўстага|мазанье
Пакрыццё сцен ці столяў вестцы|пабел
Пакрыццё цынам металічных вырабаў|луджэнне
Пакрыццё для даху|чарапіца
Пакрыць белай фарбай запар (сущ. ад глаг.)|забелка
Купля ў вялікай колькасці ці оптам|закуп
Купля валюты на адным рынку і одноврем. продаж на іншым дзеля вымання прыбытку на розніцы курсаў|арбітраж
Купля замежнай валюты на адным валютным рынку з адначасовым продажам яе на іншым валютным рынку ў мэтах вымання прыбытку на розніцы ў валютных курсах|арбітраж
Купля тавараў ці акцый праз вызначаны тэрмін|ф'ючэрс
Паклон з прысяданнем|рэверанс
Паклон, якому навучаюць у пансіёне высакародных дзяўчын|кніксэн
Глыбокая пашана, любоў (устар.)|адорация
Прыхільнік рок-музыкі|рокер
Падлога поллитры|чекушка
Падлога. кампазітар і дырыжор, настаўнік Шопена|Эльснер
Падлога. кінарэжысёр|Занусси
Полая дэталь, у якой ходзіць поршань у рухавіках і помпах|цыліндр
Палявая торба для карт з акном з празрыстай плёнкі|планшэт
Палявое навучанне сабак|нацягванне
Палявая расліна, кветка|васілёк
Палявое ўмацаванне 18–19 ст., выступалае кутом у бок суперніка|рэдан
Палявое ўмацаванне|лажамент
Палявы вораг сямі былінных волатаў|сарацын
Палявы гарох, кармавое травы. расліна сем. бабовых|пелюшка
Палявы шпат, які ідзе на дэкаратыўныя патрэбы|лабрадор
Палёт хоккейн. шайбы праз неск. зон|пракід
Палёт матылька|пырханне
Палёт на планёры|лунанне
Паласа сушы паміж двума вадаёмамі|пярэсмык
Паласа ў лесе, вычышчаная ад дрэў|прасека
Паласа ўзбярэжжа Міжземнага мора, зона адпачынку і турызму міжнароднага значэння|Рыўера
Паласа пралёта для самалётаў|калідор
Паласатая суколка, кашуля|ніжняя кашуля
Палоска сушы, якая злучае два мацерыка|пярэсмык
Палоска на паверхні, праробленая чым-небудзь вострым|драпіна
Палоска тканіны, што падтрымлівае верхнюю частку адзежы|шляя
Паражніна ў горных пародах, пячора|каверна
Паражніна ў тканінах цела, якая ўзнікла з-за іх разбурэнні хваробай|каверна
Паражніна ўсярэдзіне адліўкі|каверна
Палова старога|старая
Палова лялечнага дэспата|Карабас
Палова пенснэ|манокль
Палаўчанка, сталая маці Яраслава Мудрага|Рагнеда
Пакаты спуск у хованку для ваеннай тэхнікі|апарэль
Становішча ветразяў па кірунку ветра, так, каб яны паласкалі|левентик
Становішча, становішча, акалічнасці|сітуацыя
