Памяшканне для захоўвання|камора
Памяшканне для выставы карцін|галерэя
Памяшканне для выраба скуры|кожевня
Памяшканне для дыскатэкі ў сутнасці там адбывалага|танцзала
Памяшканне для жывёл|заказнік
Памяшканне для жывёл|зімоўнік
Памяшканне для зімоўкі пчол|імшанік
Памяшканне для лабараторных жывёл|віварыюм
Памяшканне для канёў|стайня
Памяшканне для прагляду кінастужак|кіназала
Памяшканне для трэніровак спартоўцаў|спартзала
Памяшканне ці месца, адведзенае пад захоўванне скошанай і высушанай травы|вышкі
Памяшканне пад падлогай, склеп|падполле
Памяшканне пад падлогай|падполле
Памяшканне пры царкве для захоўвання начыння і адзежы|рызніца
Памяшканне, участак з абароненым грунтам для гадоўлі раслін|цяпліца
Памяшканне, абсталяванае для заняткаў, працы|кабінет
Памяшканне, у якім паводле загадкі сядзіць краса-дзеўчына морква|вязніца
Памяшканне, у якім, выключыўшы тэлевізар, вы выяўляеце, што ўвесь час слухалі тэлевізар суседа|кватэра
Памяшканне, дзе знаходзіцца кіпяцільнік|кубавая
Памяшканні па-за залай паседжання (у парламенце, на канферэнцыі)|кулуары
Абшарнік у Англіі|эсквайр
Памагаты суддзі ў спартовых гульнях|лайнсмен
Памагаты біскупа ў каталікоў|вікарый
Памагаты біскупа па кіраванні епархіяй|вікарый
Памагаты ў дрэнных, злачынных дзеяннях|памагаты
Памагаты дзяка, канцылярыст у ХVI–пач. ХVIII стст. у Маскоўскай Русі|пад'ячы
Памагаты машыніста паравоза|качагар
Памагаты прэтора ў Старажытным Рыме|асэсар
Памагаты, асістэнт якое робіць харакіры самурая|кайсяку
Дапамога дзяржавы пэўнаму твару|субсідыя
Дапамога, пераважна грашовая|дапаможнік
Разуменне, акругленае да бяссэнсіцы|ідыятызм
Паняцце логікі і тэорыі спазнання, што характарызуе значэнне, папярэдняе досведу і незалежнае ад яго|апрыёры
Паняцце тэрмадынамікі, якое тлумачыць, чаму чалавек як сістэма імкнецца да супакою|энтрапія
Папярочная сценка ці насып у акопе для абароны ад флангавага агню|траверс
Папярочная гарызантальная бэлька|траверсу
Папярочная пабудова ўсярэдзіне храма|вестверк
Папярочны памер|таўшчыня
Чыюк|розелла
Папулярная савецкая акторка па імі Рина|Зялёная
Папулярная савецкая акторка па імі Людміла|Гурченко
Папулярная расійская эстрадная спявачка па імі Людміла|Сенчина
