Прэстыжны лонданскі ўнівермаг|хэрродс
Пераемнік Рублева ў рускім іканапісе, каханы мастак цара Івана III, абразы якога ўпрыгожваюць Успенскі сабор Маскоўскага Крамля|дзіянісій
Пераўтварэнне атамных ядраў з прычыны іх узаемадзеяння з іншымі элементарнымі часціцамі|рэакцыя
Пераўтварэнне, змена, перабудова|рэформа
Пераўтваральнік электрычных сігналаў у рухі разца пры механічным запісе гуку|рэкордар
Пераважная ў Індыі рэлігія|індуізм
Перапыненне цяжарнасці з выманнем нежыццяздольнага плёну|выкідак
Перарывальнік-размеркавальнік запальвання ў электрагаспадарцы аўтамабільнага рухавіка|трамблер
Перарывістая лінія з асобных кропак ці рысачак|пункцір
Перабольшаная, захопленая хвала|дыфірамб
Перабольшана камічны малюнак (у літаратурным творы, на сцэне)|бурлеск
Перабольшанае меркаванне пра сваю асобу|эгатызм
Ператварэнне арганічных злучэнняў, што суправаджаецца іх дэструкцыяй|піроліз
Перавышэнне прыбыткаў над выдаткамі|прыбытак
Здраднік, адрачэнец|рэнегат
Здраднік|здраднік
Предс. Госуд. Рады Расіі ў 1827–34 гг.|Кочубей
Старшыня Ўладзікаўказскай рады, расстраляны белагвардзейцамі|Камалов
Прадстаўнікі духоўнай і свецкай шляхты ў сярэднявечнай Францыі|натаблі
Прадстаўнік арыстакратыі ў Старажытным Рыме|патрыцый
Прадстаўнік самай буйнай у Еўропе групы роднасных па паходжанні народаў|славянін
Прадстаўнік сябе ад іншых|дэпутат
Прадстаўнік ерэтычнага руху на Балканах у 10–14 стст.|багаміл
Прадстаўнік аднаго з паўночных народаў|эскімос
Прадстаўнік алімп. выгляду спорту|канаіст
Прадстаўнік радавой арыстакратыі ў інш. Рыме|патрыцый
Прадстаўнік улады (кин-дза-дза)|эцилопп
Прадстаўнік вышэйшай навуковай установы|акадэмік
Прадстаўнік дзяржавы ў Заходняй Азіі|кіпрыёт
Прадстаўнік каланіяльнай дзяржавы ў пратэктараце|рэзідэнт
Прадстаўнік класа павукападобных|арахнід
Прадстаўнік народа Азіі|іярданец
Прадстаўнік народа Еўропы|андоррец
Прадстаўнік народа Еўропы|басніец
Прадстаўнік народа Еўропы|германец
Прадстаўнік народа Еўропы|датчанін
Прадстаўнік народа Еўропы|ісландзец
Прадстаўнік народа Еўропы|іспанец
Прадстаўнік народа Еўропы|мальтыец
Прадстаўнік народа Еўропы|монегаск
Прадстаўнік народа Еўропы|нарвежац
Прадстаўнік народа Еўропы|славенец
Прадстаўнік народа Еўропы|валіец
Прадстаўнік народа Еўропы|француз
Прадстаўнік народа Еўропы|эльзасец
Прадстаўнік народа Расіі|абазінец
Прадстаўнік народа Расіі|алеўт
Прадстаўнік народа Расіі|балкарац
Прадстаўнік народа Расіі|селькуп
Прадстаўнік народа Расіі|татарын
Прадстаўнік народа Расіі|тофалар
Прадстаўнік народа Расіі|тувінец
Прадстаўнік народа блізкага замежжа|туркмен
Прадстаўнік народа Вялікабрытаніі, размаўлялага на валійскай мове|валіец
Прадстаўнік народа блізкага замежжа|армянін
Прадстаўнік народа блізкага замежжа|дунганін
Прадстаўнік народа блізкага замежжа|літовец
Прадстаўнік народа блізкага замежжа|украінец
Прадстаўнік народа блізкага замежжа|эстонец
Прадстаўнік народнасці ў Крыму і Расійскай Федэрацыі|крымчак
Прадстаўнік нацменшасцяў у дарэвалюцыйнай Расіі|чужынец
Прадстаўнік падтыпу членістаногіх|артропод
Прадстаўнік прывілеяванага саслоўя ў Старажытным Рыме|патрыцый
Прадстаўнік племя, які ўвайшоў у звяз гунаў|утургур
Прадстаўнік флоры|расліна
