Твор Казановы|мемуары
Твор Купера|святаяннік
Твор Купрына|леночка
Твор Купрына|суламифь
Твор Анарэ дэ Бальзака|пьеретта
Твор роўных сумножнікаў|ступень
Твор русск. портретн. жывапісу 17 стагоддзі|парсуна
Твор Ричардсона|кларисса
Твор Б. Шоў|кандида
Твор Бальзака|гамбара
Твор Бальзака|онорина
Твор Гамера|іліяда
Твор Гамера|адысея
Твор Лермантава|споведзь
Твор Фолкнера|асабняк
Твор Эсхіла|орестея
Твор беларускага пісьменніка Шамякина|крыніцы
Твор для ансамбля з 6 музыкаў|секстэт
Твор для хору, салістаў і аркестра|араторыя
Твор исскуства, якое можна павесіць на сцяну|карціна
Твор мастацтва з трох карцін|трыпціх
Твор з прозы Лермантава|каўказец
Твор з трох карцін, аб'яднаных адной ідэяй, сюжэтам|трыпціх
Твор на біблейскія тэмы, не адпаведнае офиц. рэлігійным дагматам і не прызнаванае царквой|апокрыф
Твор пісьменніка Сталь|дэльфіна
Здабытак ліка на самога сябе|квадрат
Твор, якое выкладае падзеі ў іх часавай паслядоўнасці|хроніка
Творы мастацтва, што маюць непераходзячую каштоўнасць|класіка
Творы мастацтва, над якімі час ужо не ўладна|класіка
Творы партрэтнага жывапісу канца ХVI–ХVII стст., якія захоўваюць прыёмы іканапісу|парсуна
Вытворчая група|брыгада
Вытворчыя адносіны ў інш. Рыме|каланат
Вытворчы калектыў|брыгада
Вытворца авацый на партсъездах|дэлегат
Вытворца халтуры, але не бракароб|шабашнік
Вырабляць глухі і моцны гук (сущ. ад глаг.)|бухканне
Вытворнае ад топленага малака|ражанка
Вытворнае бензойнай кіслаты, бясколерныя крышталі салодкага густу|сахарын
Вытворны дзеяслоў, які ўжываецца для ўзмацнення дзеяння|интенсив
Пракатная постаць для атрымання са сталёвых зліткаў, нарыхтовак квадратнага перасеку|блюмінг
Пракатная постаць|слябінг
Пракол сценкі паражніны цела з мэтай лячэння|пункцыя
Пракол тканіны, паражніны з лячэбнымі ці дыягнастычнымі мэтамі|пункцыя
Пракурорская віза, што дае законную сілу ордара на арышт|санкцыя
Пракладка, герметызавальная зазор|сальнік
Пракламацыя|улётка
Пралетарская кветка|гваздзік
Праліў, які злучае Адрыятычнае і Іянічнае моры|Отранто
Праліў у Даніі|Каттегат
Праліў у Даніі|Эресунн
Проливчик паміж азёрамі, сажалкамі|пратока
Прамежак паміж урокамі ў школе|змена
Прамежак паміж печчу і сцяною ў рускай хаце|запечак
Прамежак, на час якога спыняюцца дзеянні|перапынак
Прамежак, адлегласць|дыстанцыя
Прамежкавая нарыхтоўка, атрыманая каванай ці аб'ёмнай штампоўкай|пакоўка
Прамежкавы стан матылька|лялячка
Прамежкавы прадукт памолу|перадзір
Прамежкавы прадукт, што атрымліваецца пры плаўленні свінцовых руд|веркблей
Здабыча-хобі|рыбалка
Прамысловая рыба сем. трасковых|мерланг
Прамысловая далёкаўсходняя рыба сямейства ласосевых|гарбуша
Прамысловая лясная птушка|цецярук
Прамысловая марская рыба сямейства окунебразных|зубатка
Прамысловая марская рыба атрада окунеобразных|аполак
Прамысловая марская рыба|стаўрыда
Прамысловае судна|крабалоў
Прамысловае марское млекопитающее|кашалот
Прамысловы паляўнічы на звяроў|зверолов
Прамысловае прадпрыемства з машынным спосабам вытворчасці|фабрыка
Прамысловае прадпрыемства з ужываннем машын|фабрыка
Пранікненне ў арганізм хваробатворных мікраарганізмаў|інфекцыя
Пранырлівы тып|пралаза
Пропаведзь нацыянальнай выключнасці|шавінізм
Пропуск, але не ксива|прочырк
Насычэнне ці шмараванне воскам|ваксаванне
Протестантсткая секта|адвентизм
Прататып выявы Ніны Заречной, гераіні п'есы А. П. Чэхава|Мизинова
Прататып украінскіх нацыяналістаў канца цяперашняга стагоддзя, узяты з яго пачатку|Пятлюра
Супярэчнасць у законе|антыномія
Супярэчнасць паміж двума ўзаемавыключальнымі становішчамі, кожнае з якіх даказальна лагічным шляхам|антыномія
Супярэчнасць паміж двума становішчамі, аднолькава даказальнымі лагічным шляхам|антыномія
Противогаишное прылада|антирадар
Супрацьміннае патаўшчэнне корпуса карабля|блістар
Проціпастаўленне гульцом абароны нападу, хуткага тэмпу гульні – павольнаму|контригра
Супрацьлегласць зайздрасці і злосці|дабрыня
Супрацьлегласць прагрэсу|рэгрэс
Процітанкавыя загароды|надаўбні
Проціяддзе, якое ўжываецца пры атручваннях|антыдот
Супернік Рыма ў Пунічных войнах|Карфаген
Супернік у змаганні|супернік
Супернік у спрэчцы|апанент
Супернік уводзін драўлянага каня ў Трою|Лаакаон
Супернік, вораг|супастат
Супернікі Капулетти|Монтекки
Профес. хвароба ад удыхання угольн. пылі|антракоз
Прафесар Маскоўскага ўніверсітэта, заснавальнік і першы дырэктар Музея вытанчаных мастацтваў у Маскве|Цветаев
Прафесар злачыннага свету Англіі, галоўны супернік Шэрлака Холмса|Мориарти
Прафесіянал у сумніўнай сферы|скептык
Прафесіянал. захворванне прыбіральнікаў цукровага трыснёга|багассоз
Прафесійная ахвяра кесоннай хваробы|вадалаз
Прафесійная прытворшчыца|артыстка
Прафесійны занятак: выраб вырабаў ручным, саматужным спосабам|рамяство
Прафесійны бандыт, забойца, удзельнік рабаўніцкай хеўры|гангстар
Прафесійны барацьбіт з агнём (разг.)|пажарнік
Прафесійны прыхільнік Бахуса|вінароб
Прафесія працаўніка с/г|шаўкавод
Прафесія навукоўца па культуры народа, выяўленай у мове і літаратурнай творчасці|філолаг
Прафесія навуковай, якая вывучае расліны|батанік
Прафесія навукоўца, што вывучае марскіх жывёл|іхтыёлаг
Прафесія навукоўца|геафізік
Прафесія навукоўца|демограф
Прафесія навукоўца|індолаг
Прафесія навукоўца|педагог
Прафесія навукоўца|псіхолаг
Прафесія навукоўца|тапограф
Прафесія навукоўца|настаўнік
Прафесія навукоўца|этнограф
Прафесія навукоўца|мовазнавец
Прафесія Пинкертона да таго, як ён прысвяціў сябе вышуку|бондар
Прафесія П'ера Кардена|мадэльер
Прафесія лекара|акуліст
Прафесія лекара|анколаг
Прафесія лекара|педыятр
Прафесія лекара|псіхіятр
Прафесія лекара|тэрапеўт
Прафесія, падабраная Швондером Шарикову|жывадзёр
Прафесія-галаваломка|каскадзёр
Профилактич. медобслуживание на хаце (цяжарных, некаторых катэгорый хворых)|патранаж
Працэс стварэння стану рэчыва з інверсіяй населенасці|напампоўка
Працэс акіслення арганічных рэштак|гніенне
Працэс адлюстравання рэчаіснасці ва ўяўленнях, меркаваннях, паняццях|мысленне
Працэс расшчаплення вугляводаў у адсутнасці кіслароду пад дзеяннем ферментаў|гліколіз
Працэс развіцця адносін паміж арганізмамі і асяроддзем пасялення|экагенез
Працэс развіцця|эвалюцыя
Працэс вербальнага і невербальнага ўздзеяння на чалавека|выкліканне
Працэс дастаўкі грошай у банк|інкаса
Працэс заканамернай змены, пераходу з аднаго стану ў іншае, больш дасканалае|развіццё
Працэс і перыяд уладання манархічнай уладай|царства
Працэс друку па сваёй сутнасці|цісненне
Працэс паглынання кіслароду і вылучэнні вуглякіслага газу жывымі арганізмамі|дыханне
Працэс атрымання высакародных металаў высокай чысціні|афінаж
Працэс прасочвання вадкасцяў з клеткі ў навакольнае асяроддзе|экзосмас
Працэс, адукацыя, не ўласцівае арганізму ў норме|артэфакт
Працэс, у выніку якога дыямент ператвараецца ў дыямент|агранка
Працэс, якім суправаджаецца нераст рыб|нераст
Працэс, які пазбаўляе паштовую марку яе намінальнага кошту|гашэнне
Працэсы адбельвання, фарбаванні, друкаванні тканін|аздабленне
Працэдура з чыгунамі, проделываемая не багамі|абпал
Трывалая скура, што ідзе звычайна на выраб збруі|сырамяць
Трывалая ліна, трос, з дапамогай якога падцягваюць і мацуюць судна да прычала ці іншаму судну|швартов
Прашэнне, якое накіроўваецца ў найвышэйшую інстанцыю|малітва
Матэрыяльная праява ласкі, пяшчоты|пацалунак
Праява спрыту і ўчэпістасці|манера
