Прыкмета, прадвесце чаго-небудзь|прымета
Прызнанне самога сябе пераможаным. Аляксандр Скрябин|зайздрасць
Прызнанне ў сваіх грахах|споведзь
Прызнанне выбараў несапраўднымі і адмена іх з прычыны парушэння канстытуцыі ці выбарчага закона|касацыя
Прызнанне начальствам высокай якасці вашай працы|хвала
Прызнанне непрыдатным з-за заганы, шлюбу|бракоўка
Признаный майстар, адмысловец найвысокага класа|карыфей
Загад|загад
Прымацаванне клеем|клеенне
Прыгода, прыгода|авантура
Прыкладанне да выпіўкі|закуска
Прыкладанне да дэфіцыту (сав.)|нагрузка
Прынада для рыбы ці звера на вудзе, у капкане|прынада
Прынада, напрананая на рыбалоўны гаплік|прынада
Прынада, напрананая на рыбалоўны гаплік|асадка
Прымат, самая маленькая малпа|ігрульчыка
Прымат, вавёрчына малпа|саймири
Прымат, мартышкообразное|мандрыл
Прымат, мартышковая малпа|мангобей
Прымат, павіян|гамадрыл
Прымат, паўмалпа|долгопят
Прымат, понгид|гарыла
Прымат, цепкохвостая малпа|капуцын
Прымат, чалавекападобная малпа|шымпанзэ
Прымат|малпа
Прыматы (агульная назва, мн. ч.)|гамініды
Прымесны атам, захватыв. электрон, утворыць дзіркі ў паўправадніку|акцэптар
Прымешка іншых металаў да золата, срэбру для надання ім цвёрдасці|лігатура
Прыклад для пераймання|узор
Ужыванне медыцынскіх сродкаў для аднаўлення здароўя|лячэнне
Ўжыванне фізічнай сілы да каго-небудзь|гвалт
Ужыванне чаго-небудзь у жыцці|практыка
Прымета, па якой можна пазнаць, вызначыць што-небудзь|прыкмета
Прымітыўны|просты
Прыналежнасць старадаўняй рускай гульні|мястэчка
Прыналежнасць столяра|узровень
Прыналежнасць вучня|сшытак
Прыналежнасць вучня|падручнік
Прыналежнасць дэсантніка|парашут
Прыналежнасць жаночага гарнітура, паласа меха, носная ў якасці каўняра|гаржэтка
Прыналежнасць жаночай адзежы|крыналін
Прыналежнасць турыста, паляўнічага, рыбака|намёт
Прыналежнасць футбольнага суддзі|свісток
Прыналежнасць царкоўных шэсцяў – умацаванае на тронку палатно з малюнкам Хрыста, святых|харугва
Прыналежнасць, спадарожны чаму-небудзь прадмет|аксэсуар
Прычыняны ў ахвяру|ягня
Прымусовы вынятак грошай і маёмасці па рашэнні суда ці ўлад|канфіскацыя
Прымусовая праца сялян на абшарніка|паншчына
Прымусовая праца прыгонных сялян на абшарніцкай зямлі|паншчына
Прынц, прынцэса ў Іспаніі і Партугаліі|інфанта
Прынцып “не адкладай на заўтра” ў бухгалтарскай справе|ажур
Прынцып аднагалоснасці сталых чальцоў Рады Безапасности пры ААН|вета
Прынятае ў японскіх самураяў рытуальнае самагубства ўспорваннем жывата|харакіры
Заправа складанага складу|лютеница
Заправа да рускіх бліноў|смятана
