Однодворовое селішча ў Сібіры|засценак
Адназарадная вінтоўка на ўзбраенні расійскага войска ў 1868–91?|бярданка
Однозвучие, утворанае дзвюма ці больш галасамі|унісон
Адной з найвялікіх заслуг афінскага тырана Писистрата перад чалавецтвам было прызначэнне і фінансаванне нейкай рэдакцыйнай камісіі. Назавіце два выніку яе працы|Іліяда і Адысея
Однокон. безрессорн. воз|калёсы
Одноконный экіпаж у Англіі мінулага стагоддзя|кеб
Аднакратнае дзеянне; адзін (пра колькасць, пры падліку)|раз
Аднакратнае дзеянне|раз
Аднагадовая бабовая травяністая расліна, якое ідзе на корм скаціне|віка
Аднагадовая парасонавая расліна|аніс
Аднагадовая алейная расліна цёплых краін|кунжут
Аднагадовая агародная агароднінная расліна|салата
Аднагадовая агародная травяністая расліна з вузкім ядомым лісцем|шпінат
Аднагадовая агародная травяністая расліна сямейства парасонавых|кроп
Аднагадовая агародная травяністая расліна, заправа да ежы|кроп
Аднагадовая расліна сямейства гарбузовых|дыня
Аднагадовая садовая расліна|летнік
Аднагадовая пустазельная расліна сямейства травы|аўсюк
Аднагадовая травяністая расліна роду сорга, іншая назва якога – майло|дурра
Аднагадовая травяністая расліна з авальным насеннем, зняволенымі ў струкі|боб
Аднагадовая травяністая расліна сямейства бабовых, што ідзе на корм скаціне|віка
Аднагадовая травяністая расліна сямейства парасонавых, якое ўжываецца як заправа да ежы, у саленнях|кроп
Аднагадовая травяністая расліна сямейства крыжакветных, роднаснае капусце|рапс
Аднагадовая травяністая расліна сямейства мальвовых, лубяное валакно якога ўжываецца для выраба тэкстыльнай сыравіны|кенаф
Аднагадовая травяністая расліна|амарант
Аднагадовая кветка для афармлення бардзюраў|алиссум
Аднагадовая кармавая культура|чыну
Аднагадовая трава сем. гарбузовых|люффа
Аднагадовая трава, заправа|кинза
Одномачтовая працоўная ці навучальная карабельная шлюпка, кароткая і шырокая, якая мае ад адной да некалькіх пар вёслаў|ял
Одномачтовое ветразнае ўзбраенне і стаксель, а гэтак жа апорная яго яхта|шлюп
Одномачтовое ветразнае судна|куттер
Одномачтовое судна з адным ветразем|кэт
