Гарэзны гуляка (па Далю)|ера
Гарэзны хлапчук, малады хлопец|падшыванец
Гарэзны хлапчук|падшыванец
Ой, Янкаў, памру ад акрабатыка! Глядзі, як круціцца, ...|нахабнік
Аказанне дапамогі каму-або|паслуга
Апыняецца, ёю нават палі можна забіваць|баба
Апыняецца, з яе і сухім можна выйсці|вада
Апыняецца, не толькі бокс, амерыканскі футбол ці хакейны матч могуць скончыцца скандалам ці калатнінай. Прыклад таму – гульня Чычыкава з Ноздревым. А ў што яны гулялі? “у ...”|шашкі
Акаліна|нагар
Закамянелая думка|догма
Закамянелая смала найстаражытных іглічных дрэў, апрацоўваная для ўпрыгожванняў|бурштын
Акантоўка чаравіка|рант
Акапі па радавым імі|жыраф
Окатанные абломкі гор. парод|валун
Окатанные ракой ці прыбоем гладкія абломкі горных парод памерам 1–10 гл?|галька
Акіянічная вадаплаўная птушка, роднасная пелікану|фаэтон
Акіянічная птушка сямейства буравеснікаў|альбатрос
Акіянічная птушка сямейства буравеснікаў|дурачок
Акіянограф, вынаходнік акваланга|Кусто
Вокіс, нягашаная вапна|аксід
Акупацыя па сваёй сутнасці|захоп
Аклад на абразе|рыза
Акно ў корпусе ці надбудове судна для асвятлення і вентыляцыі памяшканняў?|ілюмінатар
Акно ў вуллі|ляток
Акно з сучаснасці ў будучыню|план
Окова|вуза
Кайданы шлюбу|сувязь
Каля Козельска ёсць сяло, жыхары якога ў 1238 году забяспечвалі татараў правіянтам. А як яно завецца?|Поганкино
Каля якога паўвострава была здабыта перамога над шведамі ў марской бітве 1714 г.?|Гангут
Каля яго селіцца кагалу|вадаём
Каля ста тон вадкага паветра прыйшлося перапрацаваць ангельцу Ўільяму Рамзаю, каб атрымаць гэты высакародны газ|неон
Околополюсное сузор'е Паўночнага паўшар'я, часткова размешчанае ў Млечным Шляху|Цэфей
Околополюсное сузор'е з. паўшар'і|Цмок
Околополюсное сузор'е з. паўшар'і|Цялё
Околополярное сузор'е паўночнага паўшар'я неба, якое агінае сузор'е Малой Мядзведзіцы?|Цмок
