Ён злавіў размаўлялы шчупака|Ямеля
Ён паклаў пачатак заваёве Сібіры Расіяй|Ярмак
Ён атрымлівае інфармацыю пра навакольны свет у першую чаргу праз нюх|воўк
Калі яе ўкласці ў яе ж, атрымаецца маляр|пэндзаль
Ён выкраў каралы ў Клары|Карл
Ён з'явіўся на святло 22 лютага 1974 гады і дагэтуль лічыцца лепшым у свеце. У яго тры мянушкі: Грак, Грабянец... Назавіце трэцяе, агульнае з найблізкімі сваякамі|сушка
Ён ператварае любую дарогу ў жалезную|рэйка
Ён перш быў гнаны горад. Што значыць гнаны?|месца спасылкі
Ён прывёў браневікі да Финл. вокз. для сустрэчы В. Леніна|Елин
Ён надае бляск нават не бліскучым ножкам, калі яны не голыя|люрекс
Ён прыдумаў “Віно з дзьмухаўцоў”?|Брэдбери
Ён прыдумаў траіх у лодцы, не лічачы сабакі|Джером
Ён ужываецца для кіравання машынай|руль
Ён спрабаваў паўтарыць тое, што зрабіў Аляксандр Македонскі, але загінуў у вулічным бою, а стаў вядомы дзякуючы сваёй бітве пры Аускуле ў 279 году да нашай эры. Як яго імя?|Пирр
Ён адыходзіць назад|рак
Ён паражае без прамашкі, лук яго з цукровага трыснёга, а стрэлы – кветкі. Назавіце знакаміты твор, у назву якога ўваходзіць яго імя|камасутра
Ён распавёў пра прыгоды бравага салдата Швачка падчас першай сусветнай вайны|Гашек
Ён рассыпаўся на 70 дарог (посл.)|гарох
Ён гумовы, рост – 5 метраў, умее лётаць, але лётаў толькі адзін раз. Як яго клічуць?|Миша
Ён сам сцвярджаў, што было тры навуковых адкрыцці, якія ўславілі яго імя. Гэта тэорыя раствораў, вывучэнне пругкасці газаў. Назавіце трэцяе|перыядычны закон
Ён сэрцам мілы быў невук, Яго песціла надзея, І свету новы ... і шум Яшчэ чаравалі юны розум. (А. Пушкін, “Яўген Онегин”)|бляск
Ён сказаў, што думка вымаўленая ёсць хлусня|Тютчев
Ён сказаў: “Ну, заяц, пачакай”|воўк
Ён здараецца ў горах|абвал
Ён супрацівіцца “ўдарам так, што жалеза абапал разлятаецца, а кавадла рэпаецца”. Што меў на ўвазе Пліній Старэйшы?|дыямент
Ён стаў піяністам, таму што піяністы, па яго словах, падабаліся дзяўчынам. Ён пачаў апранацца элегантна, зусім не так, як яго аднагодкі. А як яго далі мянушку за гэта сваякі?|Дюк
Ён лічыцца “каменем жыцця”|нефрыт
Ён згуляў фатальную ролю ў жыцці паэта|Дантес
Ён табе сябар, але праўда даражэй|Платон
Ён выкраў кларнет|Карл
Ён жадае быць, як мы, цыганам ... (імя героя)|Алеко
Ён часта бывае нечаканым (фатаграфічнае)|ракурс
Ён ішоў па беразе. Ішоў здалёку. Ішоў пад чырвоным сцягам камандзір палка|атрад
Ён, яна, яно|род
Ён, па меркаванні класіка, меней небяспечны, чым паслужлівы дурань|вораг
Ён – таксама муж|муж
Яна “вісела на шыі” і кідалася пад цягнік|Ганна
Яна 30 гадоў служыла мадэллю для выявы Мар'яны, знака Францыі|Брага
Яна белая і пухнатая|вата
Яна белая ў тых жа, у каго кроў блакітная|костка
Яна бывае “за” і “супраць”|акцыя
Яна бывае ў каленках|дрыготка
Яна бывае сланечнікавая, тахинная, арэхавая і арахісавая|халва
