Дадатны эфект ад чаго-небудзь|карысць
Паласа ўскапанай зямлі ў гародзе, на плантацыі|града
Паласа ўскапанай зямлі ў гародзе|градка
Паласа зямлі даўжынёй 80 і шырынёй 12 кіламетраў склала 5 % тэрыторыі нейкай дзяржавы, якая была адрынута для збудавання... Чаго?|Панамскага канала
Паласа зямлі, якую прымушаюць паважаць памежнікі і мытнікі|мяжа
Паласа зямлі, прызначаная для перасоўвання|дарога
Паласа матэрыі на адзежы, пришитая зборкамі|фальбона
Паласа матэрыі, пришитая зморшчынамі на сукенку|фальбона
Паласа па краі прадмета, якая адрозніваецца па прыкметах|аблямоўка
Паласа тканіны для банта|стужка
Паласа тканіны для абмоткі нагі пры абуванні ў лапці|ануча
Паласа тканіны, нерухома замацаваная ў верхняй частцы і што атачае партальную арку сцэны|арлекін
Паласа, ашалёўка па краі чаго-небудзь|аблямоўка
Паласа, прастора паміж якімі-небудзь межамі|зона
Паласаты пераход праз дарогу|зебра
Паласаты халцэдон|агат
Паласаты драпежнік|тыгр
Палоска валасоў ад скроні да рота?|бакенбарды
Палоска зямлі, якая пакідаецца пры пабудове акопа паміж ровам і брустверам, што перашкаджае абсыпанню зямлі ў роў|берма
Палоска кардона, якая ўкладаецца ў карэньчык кнігі знутры вокладкі|адстаўшы
Палоска скуры па краях абутку|рант
Палоска скуры, што злучае верх абутку з падэшвай|рант
Палоска марлі ці кавалак ваты, які ўкладаецца ў рану ці паражніна для прыпынку крывацёку, для асушвання|тампон
Палоска матэрыі, кот. абшываюць край жаночай адзежы|упован
Палоска тканіны, напрананая на шыю|шалік
Палоска тканіны, раскроеная пад кутом 45 градусаў да ніткі асновы|руш
Палоска, якой абклеены па краях у выглядзе рамкі малюнак|кант
Паласкун (млекопитающее)|янот
Паласкун і ракоед|янот
Паласкун родам з амерыканскіх лясоў|янот
Паражніны ў павярхоўных тоўшчах зямной кары?|пячоры
Паражніна ў клетцы, аднаклеткавым арганізме (биол.)?|вакуоля
Паражніна ў асобных частках жывёльнага арганізма, расліны|пазуха
Паражніна паміж органамі ў жывёлы|цэлым
Паражніна паміж сценкай цела і ўнутранымі органамі ў жывёл|цэлым
Паражніна паміж тканінамі ці органамі ў чалавека і жывёл|лакуна
Паражніна паміж сківіцамі, знадворку зачыненая вуснамі|рот
Палосы высокіх раслін (кукурузы і інш.), высеваемые на палях для абароны ад сухавеяў і захаванні вільгаці|кулісы
Палатно для пераўтварэння энергіі ветра ў энергію руху яхты|ветразь
Палатно з поўсці лам|альпако
Полуводное млекопитающее атрада грызуноў|бабёр
Полувоенные злучэнні Нацыянал-сацыялістычнай партыі ў 1921–45 гг. у Нямеччыне|СА
Напаўкаштоўны і вырабны камень?|агат
Напаўкаштоўны камень, які, як лічыцца, ратуе ад сурокаў, ядаў, дае даўгалецце і здароўя|агат
Напаўкаштоўны камень?|сердалік
Напаўкаштоўны камень?|нефрыт
Напаўкаштоўны камень?|онікс
Напаўкаштоўны камень?|жадеит
Напаўкаштоўны камень?|чароит
Напаўкаштоўны камень?|бурштын
Напаўкаштоўны камень|амазонит
Напаўкаштоўны камень|гагат
Напаўкаштоўны камень|морион
Напаўкаштоўны камень|пироп
Напаўкаштоўны камень|яспіс
Напаўкаштоўны вырабны камень, выкапнёвая прыродная зацвярдзелая смала|бурштын
Паўкафтан у каўказскіх народаў|бешмет
Паўкруглая (шматкутная) частка будынка з уласным перакрыццем|апсіда
Паўкруглае выманне ў бервяне для кладкі ў яго іншага бервяна|чара
Паўкруглая, якая выступае частка будынка, што мае ўласнае перакрыцце|апсіда
Паўкруглая, часам шматкутная, якая выступае частка будынка, што мае ўласнае перакрыцце|апсіда
Паўкруглы выступ будынка|апсіда
Паўкруглы ці кантаваны выступ у сцяне, звычайна зашклёны і праходзілы праз некалькі паверхаў?|эркер
Паўкруглы ці шматгранны выступ у сцяне, асветлены вокнамі і праходзілы праз некалькі паверхаў|эркер
Паўкруглы зашклёны выступ у сцяне, які праходзіць праз некалькі паверхаў?|эркер
Полукупол, службовец для перакрыцця паўцыліндрычных частак будынкаў|конха
Полукупол|конха
Паўхмызняк; дрэвы і хмызнякі|акантолимон
Паўхмызняк сямейства кизиловых|дерен
Полукустарниковое расліна сямейства розоцветных з салодкімі, звычайна чырвонымі, ягадамі, а таксама самі ягады яго|маліна
Полулегендарный заснавальнік і першы біскуп ірландскай хрысціянскай царквы|Патрык
Прыцемак, няпоўная цемра|змрок
Паўночны жыраф|акапі
Паўмалпа атрада прыматаў|лемур
Паўмалпа?|лемур
Паўмалпа|индри
Паўвостраў у Аўстраліі|Арнемленд
Паўвостраў у Азіі|Карэя
Паўвостраў у Адрыятычным моры|Истрия
Паўвостраў у Антарктыдзе|Антарктычны
Паўвостраў на паўднёвым захадзе Азіі|Аравійскі
Паўвостраў у Афрыцы|Самалі
Паўвостраў у Італіі|Апулия
Паўвостраў у Італіі|Истрия
Паўвостраў у Каспійскім моры|Бузачи
Паўвостраў у Паўночнай Амерыцы, прададзены Амерыцы Расіяй|Аляска
Паўвостраў у Фінляндыі|Ханко
Паўвостраў у Харватыі і Італіі|Истрия
Паўвостраў у Цэнтральнай Амерыцы|Юкатан
Паўвостраў і возера ў Аўстраліі|Эйр
Паўвостраў на Чорным моры; верш. В. Маякоўскага|Крым
Паўвостраў на Чорным моры|Крым
Паўвостраў на ўсходзе Афрыкі|Самалі
Паўвостраў на поўначы Архангельскай вобл.|Канин
Паўвостраў на поўначы Заходняй Сібіры|Ямал
Паўвостраў на поўначы Паўночнай Амерыкі|Бутия
Паўвостраў на паўночным усходзе Амерыкі і Канады?|Лабрадор
Паўвостраў на паўночным захадзе Балканскага паўвострава|Истрия
Паўвостраў на паўночным захадзе Паўночнай Амерыкі?|Аляска
Паўвостраў на поўдні о. Хансю|Кіі
Паўвостраў, некалі які належаў вялікай імперыі Майя|Юкатан
Паўвостраў, у якога адбывалася марская бітва ў 1807 г. паміж рускай і турэцкай эскадрамі|Афон
Паўвостраў-ліліпут|мыс
Паўправаднік (электроніка)|дыёд
Паўправадніковы вентыль|дыёд
Паўправадніковы прыбор|оптрон
Полупродукт металургічнай вытворчасці|блюм
Полупродукт металургічнай вытворчасці|сляб
Полупроем, паглыбленне ў сцяне|ніша
Напаўпразрыстая х/б тканіна|марля
Напаўпразрысты мінерал зялёнага, шаравата-белага ці белага колеру, вырабны камень|нефрыт
Паўсярэдні нападнік|інсайд
Полусуп-полукаша|кулеш
Полутуши маласольнай свініны і прадукты з яе – вараныя і вэнджаныя карэйкі, грудзінкі, вяндліна, кумпякі|бекон
Паўфабрыкат (ліст, труба) з алюмініевага сплава|альклед
Паўфабрыкат для падрыхтоўкі “фальшывага” мёда|патака
Паўфабрыкаты для кроення і швіва|тканіны
Полухолостяк|жаніх
Атрымальнік ліста|адрасат
Атрымальнік паштовага адпраўлення, тэлеграмы|адрасат
Атрыманне благород. металаў высокай чысціні|афінаванне
Атрыманне высакародных металаў высокай чысціні|афінаж
Атрыманне нарыхтовак з расплаўленых матэрыялаў|ліццё
Атрыманне металаў аднаўленнем іх вокіслаў алюмініем|алюмінатэрмія
Атрыманне пакуты з зерняў травы|памол
Атрыманне складаных рэчываў з прасцейшых (хим.)|сінтэз
Атрыманне складаных хімічных злучэнняў з прасцейшых|сінтэз
Атрыманне яйкаў ад матылькоў шаўкапрада|гренаж
Атрымаў першы патэнт на ровар у 1645 г. (4-колесн.)|Тесон
Атрымалася з рабра|Ева
Атрымаць шмат грошай|куш
Полчарки ці косушка па рускіх мерках|чарачка
Полчышча|арда
Полыя артбоеприпасы з разрыўным зарадам?|гранаты
Полы мяккі наканечнік, праз якое немаўля кормяць з бутэлькі|соска
Полы стрыжань (звычайна драўляны), на які апранаецца курыльная трубка|цыбук
Полы стрыжань курыльнай трубкі|цыбук
Поль Валеры казаў: “Пра чалавека нельга судзіць па тых людзях, з якімі ён сябруе. Не забывайце пра тое, якія бездакорныя сябры былі ў...” У каго? “у ...”|Юды
Карысць, карысць|толк
Карысць, перавага|выгада
Карыстач тэлефоннай сувязі|абанент
Польскі драматург|Мрожек
Польскі пісьменнік|Эдигей
Польск. произнош. прозвішчы скульптара (“Богамаці з немаўлём”)|Ствош
Польск. смычков. муз. прылада|генсле
Польск. хімік, разраб. метад аналізу – хроматополярографию|Кемула
Польская “жонка” маларослага карсіканца|Марыся
Польская спадарыня|пані
Польская дынастыя|Пяст
Польская зямельная мера|морг
Польская легкавушка|стары
Польская мадам|пані
Польская спявачка, выканаўца песні Пахмутавай “Надзея”|Герман
Польская пісьменніца|Ожешко
Польскі астраном, стваральнік геліяцэнтрычнай сістэмы свету?|Капернік
