Найпапулярны герой-баксёр Сталлоне|Рокки
Найпапулярны савецкі артыст эстрады па імі Аркадзь?|Райкін
Найпапулярны футбаліст кіеўскага “Дынама” 70-х гадоў|Биба
Папулярнае імя ў Вялікабрытаніі|Джон
Папулярная італьянская страва|піца
Папулярнае мацаванае віно часоў перабудовы|сахра
Папулярныя лекі ад спазмаў, уключаючы страўнікавыя, пры абжорстве|ношпа
Папулярная назва гипотетич. жывёлы ў оз. Лох-Несс|Несси
Папулярны аркестравы твор М. Равеля|балеро
Папулярныя франц. духі|кензо
Папулярны “сабачы тэлесерыял”|Лесси
Папулярны акцёр італьянскага кіно|Сорди
Папулярны акцёр тэатра і кіно, выхадзец з вядомай цыркавой дынастыі|Дуров
Папулярны акцёр тэатра і кіно, вядомы гледачу па фільмах “Вялікая змена”, “Ты ў мяне адна”|Збруев
Папулярны акцёр тэатра і кіно, згуляў ролю ў фільме “Нябёсы запаветныя”|Гафт
Папулярны амер. кінаакцёр і спартовец|Норрис
Папулярны амерыканскі акцёр па імі Майкл|Дуглас
Папулярны амерыканскі пісьменнік дэтэктыўнага жанру|Хэммет
Папулярны амерыканскі пісьменнік, аўтар “Час забіваць”|Гришем
Папулярны амерыканскі пісьменнік, аўтар “Камера”|Гришем
Папулярны амерыканскі пісьменнік, аўтар “Кліент”|Гришем
Папулярны ангел. квартэт|бітлз
Папулярны ангельскі акцёр, выканавец ролі Эркюля Пуаро?|Устинофф
Папулярны брытанскі акцёр: “9 месяцаў”, “4 вяселлі і адны пахаванні”|Грант
Папулярны ў 60–70 гг. амер. хуткі парны танец з кручэннем сцёгнамі|твіст
Папулярны ў Нямеччыне травяны лікёр “Данцыгская залатая ...”, утрымоўвае драбнюткія часціцы сусальнага золата|вада
Папулярны ў сяр. стагоддзі аракул у Ісландыі|руны
Папулярны кіроўны не меней папулярнай тэлеперадачы?|Пельш
Папулярны кіроўны тэлевізійнага ток-шоў “Мы”|Познер
Папулярны выгляд лёгкаатлетычных спаборніцтваў?|марафон
Папулярны ва ўсім свеце кактэйль?|дайкири
Папулярны ва ўсім свеце таматавы соус|кетчуп
Папулярны герой нямога кінематографа|Чарлі
Папулярны штотыднёвы часопіс|агеньчык
Папулярны італьянскі киносериал|спрут
Папулярны італьянскі шахматны майстар|Бенини
Папулярны каўказскі мясны прадукт сілкавання|шашлык
Папулярны камедыйны артыст нашага кіно|Фарада
Папулярны дужы напой|каньяк
Папулярны напой, з дапамогай якога тэлерэклама спрабуе праверыць быкоў на дальтанізм|фанта
Папулярны напой|піва
Папулярны айчынны артыст кіно па імі Георгій|Вицин
Папулярнае свята ў юдаізме|песах
Папулярны прыбалтыйскі тэлевядучы па імі Урмас|Отт
Папулярны кулямёт падчас Грамадзянскай вайны|Максім
Папулярны расійскі штотыднёвы часопіс|агеньчык
Папулярны расійскі клуб?|Спартак
Папулярны расійскі курорт на Чорным моры?|Сочы
Папулярны расійскі шахматыст|Аверкин
Папулярны рускі спявак|Козин
Папулярны сатырычны кіначасопіс у застойныя гады|кнот
Папулярны савецкі акцёр і рэжысёр фільма па імі Ралан|Быкаў
Папулярны савецкі акцёр па імі Барыс|Андрэеў
Папулярны савецкі акцёр па імі Міхась|Жаров
Папулярны савецкі акцёр, “Афоня”, “Джэнтльмены поспеху”|Лявонаў
Папулярны савецкі выканавец эстрадных песень|Козин
Папулярны савецкі спявак па імі Юры|Гуляев
Папулярны гатунак піва|лагер
Папулярны сярод нашых суайчыннікаў турэцкі курорт|Анталія
Папулярны сярод турыстаў музычная прылада|гітара
Папулярны тэлесерыял “... планета ад Сонца”|трэцяя
Папулярны ўзбекскі ВІА 70–80-х гадоў|ялла
Папулярны фільм жахаў пра дзіця сатаны|омен
Папулярны французскі акцёр па імі Луі|Фюнес
Папулярны французскі акцёр, імя Ален|Делон
Папулярны эстрадны спявак|Юльян
Папулярны югаслаўскі шахматыст|Парма
Спадарожны кампанент прыродных нафтавых газаў|метан
Спроба не катаванне, а ... не бяда (посл.)|попыт
Пара масавай уборкі яблыкаў, груш, зліўшы|восень
Пара на сметнік|хлам
Пара, калі дзяцел ласуецца кляновым і бярозавікам?|вясна
Пара|тэрмін
Параза баксёра, залічванае, калі, збіты моцным ударам, ён не змог падняцца на ногі за 10 секунд|накаўт
Параза ў тканінах цела ад вонкавага ўздзеяння|рана
Параза скуры ад уздзеяння вельмі высокай тэмпературы|апёк
Параза сядалішчнага нерва|ішыяс
Параза|фіяска
Здзіўленае чым-небудзь вострым месца|парэз
Парэз па сваёй сутнасці|рана
Сітаватая вулканічная горная парода|пемза
Сітаватая ці полупроницаемая перагародка (ці насыпны пласт, напр., пяску), выкарыстоўваны для ачысткі працякалай праз яго вадкасці ці газу|фільтр
Сітаватая ападкавая горная парода|апока
Сітаваты камень для чысткі|пемза
Парогі на рэках у Сібіры|падун
Парогі на рацэ|шивера
Парода англа-арабскіх канёў|гидран
Парода героя аповесці Г. Троепольского “Белы Бим Чорнае Вуха”|сетар
Парода галоўнай гераіні ў “Лэсси”?|коллі
Парода блакітней|турман
Парода грубошерстных мясосальных жирнохвостых авечак|балбас
Парода грубошерстных, жирнохвостых авечак|бозах
Парода дэкаратыўных канарак – вытанчаная маленькая птушачка з “ганарлівай” выправай і далікатным гладкім апярэннем|бордер
Парода дэкаратыўных росписных канарак з аднатонна-жоўтай афарбоўкай верха галавы і “лускаватым” астатнім апярэннем|лизард
Парода дрэва, выкарыстоўванага як будаўнічы матэрыял|мэм
Парода дрэва; крама ў Маскве|кедр
Парода дрэва|ільм
Парода дрэва|кедр
Парода дрэва|клён
Парода дрэва|явар
Парода дрэў|арэх
Парода кітоў|аднарог
Парода пакаёва-дэкаратыўных сабак|шпіц
Парода пакаёвых сабак|мопс
Парода пакаёвых сабак|пудзель
Парода кароў|айрширская
Парода кароў|шароле
Парода короткошерстной блакітнай коткі|амерыканская
Парода короткошерстной блакітнай коткі|архангельская
Парода котак|экзот
Парода трусаў|рэкс
Парода трусаў|фландр
Парода курэй выведзеная ў ЗША ў 19 павеку|брама
Парода курэй|гудан
Парода курэй|міні
Парода канёў верхавога тыпу англа-арабскага происхожд.|шания
Парода канёў, распаўсюджаная ў казакоў Приазовья|данчак
Парода канёў-цяжкавозаў|арден
Парода канёў; рака ў Варонежскай і Ліпецкай вобл.|біцюг
Парода канёў?|данская
Парода канёў|ахалтекинец
Парода канёў|ахалтэкінская
Парода канёў|біцюг
Парода канёў|рысак
Парода каханага сабакі спевака і кампазітара Юрыя Антонава|дог
Парода маленькага каня|поні
Парода дробных груш|азароль
Парода дробных тяжеловозных канёў, выведзена ў Бельгіі|ардены
Парода некрупных, але сакавітых і салодкіх яблыкаў|аркад
Парода авечак; тканіна для верхняй адзежы|шавіёт
Парода авечак|архаромеринос
Парода авечак|балбас
Парода авечак|шавіёт
Парода паляўнічых маларослых сабак|мордаш
Парода паляўнічых сабак?|лайка
Парода паляўнічых сабак|ганчак
Парода паляўнічых сабак|такса
Парода паляўнічых сабак|борзая
Парода полутонкорунных авечак|шавіёт
Парода свінняў|дюрок
Парода свінняў|лакомб
Парода свінняў|уэльс
Парода свінняў|эсэкс
Парода скаковых канёў|гунтер
Парода службовых і паляўнічых сабак|пінчар
Парода службовых сабак|коллі
Парода сабак (аўчарка)|кувас
Парода сабак вызначанага памеру, прыкладна ў полсобаки у вышыню і паўтары сабакі ў даўжыню (Леанард Левинсон)|такса
Парода сабак, ганчак|уиппет
Парода сабак, радзіма – Егіпет|слугги
Парода сабак|бриар
Парода сабак?|дог
Парода сабак?|лайка
Парода сабак?|такса
Парода сабак?|коллі
Парода сабак?|бультэр'ер
Парода сабак?|бульдог
Парода сабак|апсо
Парода сабак|афган
Парода сабак|басет
Парода сабак|бигль
Парода сабак|бракк
Парода сабак|бувье
Парода сабак|шныпар
Парода сабак|коккер
Парода сабак|мастыф
Парода сабак|пінчар
Парода сабак|салюки
Парода сабак|сетар
Парода сабак|скотч
Парода сабак|тэр'ер
Парода сабак|хин
Парода сабак|чувач
Парода сабак|шелти
Парода танкарунных авечак|шлёнка
Парода, якая асядае ў нашых арганізмах, ад якой кожнаму з нас нядрэнна было б пазбаўляцца|дзындра
Завадовы конь|рысак
Породообразующий мінерал|аўгіт
Породообразующий мінерал|алівін
Породообразующий мінерал|эпидот
Порожистый участак ракі|шивера
Парой адзіная прыкмета сучаснага мужчыны, па назіраннях сучасных жанчын|штаны
Загана задн. конечн. коні, патаўшчэнне ў скакательн. сустава|курба
Загана скакательного сустава каня|шпат
Парася-тэлезорка|Хрюша
Парослая лесам даўгаватае ўзвышша|релка
Поросячье выраз задавальнення|віск
Заганнае прыстасаванне|пуга
Парашковая сумесь аксідаў з алюмініем ці магніем, падпаленая без доступу паветра, развіваючы тэмпературу да 3000 град.|тэрміт
Порошкообразная выбуховая сумесь на аснове аміячнай салетры і нитросоединений|аманіт
Порошкообразная сумесь, якая дае пры гарэнні вельмі высокую тэмпературу|тэрміт
Порошкообразное рэчыва, выкарыстоўванае ў будаўніцтве|цэмент
Порошкообразный звязальны матэрыял, што ўваходзіць у склад бетону, будаўнічых раствораў|цэмент
Парашок з лісця индигоферы, ужываецца для афарбоўкі валасоў|басма
Парашок, выкарыстоўваны ў кулінарыі|какава
Персанаж оперы Гершвина|Бесс
Порт на Чорным моры|Туапсэ
Порт у Аўстраліі|Сіднэй
Порт у Алжыры|Аннаба
Порт у Алжыры|Арзев
