Патаемная прылада ў механізме|сакрэт
Патаканне жаданням|угода
Калатніна на татамі|дзюдо
Патоля ганарлівасці|ліслівасць
Пацямненне скуры пад уплывам сонечных прамянёў|загар
Патэнцыйная “катлета па-кіеўску”|паляндвіца
Патэнцыйная брынза|малако
Патэнцыйная ідэя|думка
Патэнцыйная каша?|крупы
Патэнцыйная курага|абрыкос
Патэнцыйны Пінокіа|палена
Патэнцыйны бант|стужка
Патэнцыйны воз|калёсы
Патэнцыйны раганосец|муж
Патэнцыйны капітан|юнга
Патэнцыйная самагонка|брага
Патэнцыйны студэнт|абітурыент
Страты, шкода, страта|страты
Страта ў вазе ці аб'ёме тавара|лекаж
Страта на курсе каштоўных папер пры іх продажы ніжэй намінальнага кошту|дамно
Страта права на сябе|віны
Страта ўласцівасцяў чаго-небудзь падчас эксплуатацыі|знос
Страта здольнасці аб'ядноўваць рухі|асінергія
Страта здольнасці твару да скарачэння|амимия
Страта здольнасці хадзіць|абазія
Страта здольнасці чытаць з-за паразы мозгу|алексія
Страта чаго-небудзь|страта
Страта, страта|страты
Страта, страты, шкода|страта
Пацеха, забаўка?|забава
Струмень у дэльце ракі|гарлавіна
Струмень паветра і падпаленых часціц, які ўтвараецца пры спальванні пылевидного, вадкага ці газападобнага паліва, а таксама наогул конусападобнае полымя|паходня
Струмень брыдкаслоўя|лаянка
Струмень паведамленняў у сеткі перадачы дадзеных, што вызначае загрузку сеткі, а таксама шлях, па якім ішло паведамленне ад карыстача да адрасата|трафік
Струмень элементарных часціц, разгоняемых у паскаральніку|пучок
Струмень, які зрыньваецца ўступамі|каскад
Патоўк ці частка яго, упрыгожаны. жывапісам ці рэльефам|плафон
Патоўк, накат, насцілка на судах|палуба
Столь, упрыгожаны жывапісам, лепкай ці мазаікай|плафон
Потолочная бэлька|трама
Потолочный свяцільня|люстра
Потым на крэсла яе саджае, // Заводзіць гаворка пра тое, пра гэта; // Праз хвіліны дзве потым // Ізноў з ёю ... ён працягвае. (А. Пушкін, “Яўген Онегин”)|вальс
Нашчадкі ад шлюбу белых і неграў (адказ у мн. ч.)|мулаты
Нашчадкі змяшаных шлюбаў белых і індзейцаў (іспанцаў у Лат. Амерыцы, рускіх і алеўтаў і інш.)|крэолы
Нашчадкі халіфа Алі і яго жонкі Фацімы|алиды
Нашчадак (антонім)|продак
Нашчадак Айены. Стварыў каралеўства ў Брытаніі|брутус
Нашчадак Девкалиона, выкрадзены Эос|кефал
Нашчадак дынаміта|аманал
Нашчадак карыта|ванна
