Выхадка штукара|трук
Харчовы набор, прыстасаваны да паходных умоў|паянняў
Даўгаватая шчыльная кладка сена ці саломы са звужэннем дагары для захоўвання пад голым небам|сцірта
Даўгаваты дарожны куфэрак|баўл
Даўгаватая ці круглая пшанічная перапечка|сайка
Даўгаватая пасудзіна з ацынкаванага жалеза ці выдзеўбаны з бервяна|карыта
Прадаўжальнік?|пераемнік
Працягнеце рускую прымаўку: дзе двое, там...|трэці лішні
Працягнеце шэраг лікаў: 2, 3, 5, 7, 11, 13|17
Працягласць дзейнасці ў якой-небудзь вобласці|стаж
Працягласць працоўнай дзейнасці|стаж
Падоўжны брус у возе, які злучае пярэднюю вось з задняй|трайня
Падоўжны брус у калёсах, што злучае пярэднюю вось з задняй|трайня
Падоўжны брус, які праходзіць унізе карпусы судна|кіль
Падоўжны выраз у рабры дошкі для шчыльнага злучэння|шпунт
Падоўжны выступ над акном, дзвярамі ўздоўж верхняй часткі сцяны|карніз
Падоўжная зала храма; часта падзяляецца на цэнтральны і бакавыя|неф
Падоўжны край дошкі|беражок
Падоўжны нахіл самалёта|тангаж
Падоўжны памер|даўжыня
Прадубляваная аб'ектыўнасць?|бінокль
Прадукт грубіянскага мліва збожжа, прыдатны толькі для скаціны|дзерць
Прадукт для вытворчасці піва і квасу|солад
Прадукт даення каровы|малако
Прадукт залоз унутранай сакрэцыі, які выдаткоўваецца непасрэдна ў кроў|гармон
Прадукт залозы арганізма; утоены чыннік; карабель кап. Грэючы|сакрэт
Прадукт залозы арганізма|сакрэт
Прадукт жывёлагадоўлі|мяса
Прадукт з унутраных органаў забойных жывёл|ливер
Прадукт з вантроб жывёлы|ливер
Прадукт з травы, які ўжываецца для выраба напояў, што ўжываюцца ў пажыўных месцах|гарэлка
Прадукт з нектару|мёд
Прадукт з печані, лёгкага, сэрцы, селязёнкі забойных жывёл|ливер
Прадукт з прарослых і смолотых зерняў хлебнай травы, які ўжываецца пры вырабе піва, квасу, спіртных напояў, дрожджаў|солад
Прадукт з пророщенных зерняў травы (ячменю, іржы і інш.), ужывальны ў вытворчасці піва, квасу і інш.|солад
Прадукт са спінной струны (хорды) буйных рыб|візіга
Прадукт козагадоўлі|пух
Прадукт механічнага злучэння якіх-небудзь рэчываў|сумесь
Прадукт мора|криль
Прадукт згалення веры|нуда
Прадукт перагонкі нафты, выкарыстоўваны як паліва|соляр
Прадукт перапрацоўкі цукровага бурака ці трыснёга|цукар
Прадукт перапрацоўкі футбольнага суддзі|мыла
Прадукт сілкавання (паўфабрыкат з пакуты)|цеста
Прадукт сілкавання – маленькі расцягай|бриош
Прадукт сілкавання жывёльнага паходжання|малако
Прадукт сілкавання і мясны, і кандытарскі|рулет
Прадукт сілкавання з тварагу|сырнік
Прадукт сілкавання, 1-е страва|бацвінне
Прадукт сілкавання, востры суп|харчо
Прадукт сілкавання, падобны на ватрушку|піца
Прадукт сілкавання, тварогавая страва|пудынг
Прадукт сілкавання, перапечка?|тост
Прадукт сілкавання|бяляш
Прадукт сілкавання|дзічына
Прадукт сілкавання|смажаніна
Прадукт сілкавання|зраза
Прадукт сілкавання|пакута
Прадукт сілкавання|мяса
Прадукт сілкавання|рыба
Прадукт сілкавання|хлеб
Прадукт сілкавання|чыпсы
Прадукт карыснай для чалавека дзейнасці тутавага шаўкапрада|кокан
Прадукт порченый дзёгцем|мёд
Прадукт далучэння вады да розных рэчываў|гідрат
Прадукт вытворчасці аўтамабільнай свечкі|іскра
Прадукт прарошчвання зерняў травы|солад
Прадукт птушкагадоўлі, якому ў гаворкі прэзідэнта Расіі Б. Н. Ельцына 16 студзеня 1992 года быў прысвечаны цэлы абзац|яйка
Прадукт пчалярства?|воск
Прадукт пчалярства|апилактоза
Прадукт раскладання|гнілата
Прадукт рыбінага кідання|ікра
Прадукт сакрэцыі, т. е. выпрацоўкі адмысловымі органамі – залозамі арганізма, напр., сліна, гармоны, малако (биол.)|сакрэт
Прадукт сельскай гаспадаркі|масла
Прадукт спальвання|попел
Прадукт творчасці масавіка ад культуры|задума
Прадукт працы для продажу|тавар
Прадукт працы, які з'яўляецца прадметам продажу ці абмену|тавар
Прадукт працы, гатовы выраб|праца
Прадукт, які правароніла гераіня крыловской байкі|сыр
Прадукт, аснова бізнэсу выбітнага ў мінулым футбаліста Пеле|кава
Прадукт, рэштка перагонкі нафты|мазут
Прадукт, ад якога кідаюцца вегетарыянцы|мяса
Прадукт, што атрымліваецца пры сухой перагонцы цвёрдых паліваў|дзёгаць
Прадукт, атрыманы ў выніку мліва зёлкавых раслін|пакута
Прадуктовая норма|паянняў
Прадуктовая сетка|авоська
Прадукты выветрывання горных парод, якія застаюцца на месцы|элювій
Прадукты сілкавання|ежа
Прадукты, прызначаныя для чалавечага спажывання|ежа
Прадукты, тавары, паслугі як аплатны сродак замест грошай|натура
Прадукцыя масавай культуры, разлічаная на прымітыўныя густы спажыўца, безгустоўшчына, бесцань|китч
