Харчовы прадукт, заменны цукрам|ксилит
Харчовы прадукт, выпекаемый з пакуты|хлеб
Харчовы прадукт, што атрымліваецца з глюкозы і які замяняе сабой цукар|сорбит
Харчовы прадукт, што атрымліваецца шляхам адмысловай перапрацоўкі малака|сыр
Харчовы прадукт|джэм
Пиявочных дзеў майстар (сказочн.)|Дуремар
Пласціна з рэльефным малюнкам|гравюра
Пласціна з надпісам ці малюнкам, якая паведамляе інфармацыяю пра ўстанову|шыльда
Пласціна з назвай установы|шыльда
Пласціна для атрымання паўтаральных малюнкаў|трафарэт
Пласцінка з шэрагам зуб'яў для расчесывания волас|грэбень
Пласцінка для вылічэння пляцаў на картах|палетка
Пласцінка, што прыводзіць у рух рычагі механізму музычнай прылады|клавіша
Пласцінкі з абпаленай гліны для пакрыцця даху|чарапіца
Пласціністы грыб|радоўка
Пласціністы грыб|свінуха
Плывучы аэрадром|авіяносец
Плывучая лабараторыя Ж. Кусто|Каліпса
Плыўнасць (антонім)|рэзкасць
Плакатная галіна|графіка
Палымяная крэолка, удава з двуя дзецьмі, абкруціўшы  маларослага карсіканца, аднойчы прачнулася імператрыцай Францыі|Жазэфіна
План збудавання|праект
План сцэнара|лібрэта
План выдаткаў на хуткае мерапрыемства|каштарыс
Планерыст на старадаўні лад|паритель
Планка для вычэрчвання прамых ліній, для вымярэння|лінейка
Планка для нашэння на грудзі ордэнаў, медаляў|калодка
Планка, якая зачыняе шчыліна паміж сцяной і падлогай|ліштва
Плата за літаратурную ці навуковую працу|ганарар
Плата за карыстанне ўзятымі ў пазыку грашыма|адсотак
Плата ці мыта за пераправу праз раку тавараў у карысць казны ці ўладальніка зямлі|перавоз
Плацёж наяўнымі грашыма|пагамент
Хустка для выцірання вуснаў пасля ежы|сурвэтка
Хустка, кот. пакрываюць галаву нявесты да вянка (Далеч)|гумулька
Платинотрон, які працуе ў рэжыме ўзмацнення|амплітрон
Сукенка, убор|адзенне
Адзежная шафа|шыфаньер
Плашч з непрамакальнай прагумаванай тканіны|макінтош
Плектор|медыятар
Племянны бык|бугай
Плёнка на метале, вынік узаемадзеяння з окр. асяроддзем|акаліна
Плецены выраб на баскетбольным шчыце|кошык
Плецены выраб, якое служыць ёмішчам|кошык
Плечавы рамень для нашэння халоднай зброі|партупея
Плечавы ці пасавы рамень для нашэння зброі|партупея
Плечы, верхняя частка спіны|гершкі
Плеяда, сястра маці Гермеса|электра
Плоская торба для нашэння геаграфічных і т. п. карт|планшэт
Плоскі сталовы посуд|талерка
Плоская крывая, разгортвальная ў іншую плоскую крывую|эвалюта
Плоская паласа з цвёрдага матэрыялу|пласціна
Плоская паласа з цвёрдага металу|пласціна
Плоская тонкая частка рэжучай прылады|палатно
Плоская частка вясла|лопасць
Плоскі круглы выраб з печанага цеста|аладка
Плоскодонная ветразная байда на Чорным моры|шаланда
Плоскодонное хуткаходнае судна|глісер
Плоскодонное несамоходное бяспалубнае судна для перавозкі грузаў, для прылады плывучых прыстаняў, наплаўных мастоў|плашкоўт
Плоская пасудзіна з вечкам, пляшка|біклага
Плоскі вертыкальны выступ на сцяне будынка без капітэлі і базы|лапатка
Плоскі выступ у сцяне|пілястра
Плоскі выступ на паверхні сцяны|пілястра
Плоская валізачка|дыпламат
Дрэнная, немасляная каша-размазня з сечкі|варгеня
Дрэнны, невуцкі лекар (пренебр.)|коновал
Плывун да Фларыды, нярэдка які робіцца кормам для акул|кубінец
Плён кавуна, дыні|тыквина
Плён агурка з няспелым насеннем|зеленец
Плён аліўкавага дрэва|масліна
Плён цытрусавага дрэва|мандарын
Плён паўднёвага дрэва|апельсін
