Плыт з лёгкага бярвення|салик
Шчыльная бліскучая разнавіднасць каменнага вугля, багатага бітумамі|гагат
Шчыльная папера для чарчэння тушшу і маляванні, изготовляемая з тряпичной масы?|ватман
Шчыльная глянцаватая баваўняная ці шаўковая тканіна|сацін
Шчыльная льняная ці х/б тканіна|цік
Шчыльная льняная тканіна|линон
Шчыльная маса рухомага лёду атмасфернага паходжання|ляднік
Шчыльная мяккая ваўняная тканіна для верхняй адзежы|рацін
Шчыльная вокладка для папер|тэчка
Шчыльная абмотка троса ніткай (напр., заладка канца для прадухілення распускання)|марка
Шчыльная напаўпразрыстая папера, зручная для перерисовывания арыгінала|калька
Шчыльная разнавіднасць сланцу|аспід
Шчыльная цёмная ваўняная ці баваўняная тканіна|камлот
Шчыльная тканіна для верхняй адзежы|драп
Шчыльная тканіна з ворсам на паверхні|рацін
Шчыльная тканіна з мяккім гладкім і густым ворсам|аксаміт
Шчыльная ўзорыстая шаўковая тканіна з якія пераплятаюцца залатымі, срэбнымі ніткамі|парча
Шчыльная хлопчато-папяровая тканіна ў рубчык|піцы
Шчыльная баваўняная ці льняная тканіна, звычайна паласатая, што ўжываецца для абіўкі чахлоў, тэнтаў|цік
Шчыльная баваўняная ці шаўковая тканіна з дробнымі рубчыкамі|рыпс
Шчыльная баваўняная тканіна|трыко
Шчыльная шаўковая ці ваўняная тканіна|фай
Шчыльная шаўковая мяккая тканіна з гладкай бліскучай асабовай паверхняй|атлас
Шчыльная шаўковая тканіна з хвалепадобнымі каляровымі пералівамі|муар
Шчыльная шаўковая тканіна з матавым фонам і бліскучым малюнкам|альпак
Шчыльная шаўковая тканіна|канаус
Шчыльная шерст. тканіна, употребл. на абіўку мэблі|баркан
Шчыльная шерст. тканіна|фетр
Шчыльная ваўняная “амерыканская” тканіна|бостан
Шчыльная ваўняная ці х/б тканіна, войлокообразная асабовая паверхня якой хавае перапляценне нітак|сукно
Шчыльная ваўняная тканіна з кароткім ворсам|бабёрык
Шчыльная ваўняная тканіна з кароткім ворсам|кастар
Шчыльная, дробназярністая разнавіднасць каламина|галмей
Плотницкая ступень ап'янення|дошка
Плотніцкая прылада для выдзёўбвання, сякера з перпендыкулярным да сякерышча лязом|цясло
Плотніцкая прылада?|гэбель
Плотніцкая прылада?|фуганак
Плотніцкая прылада|піла
Плотніцкая прылада|сякера
Цяслярная прылада|долата
Шчыльна якая зачыняецца пасудзіна для награвання пад падвышаным ціскам|аўтаклаў
Шчыльна абліпальныя штаны з цвёрдай баваўнянай тканіны|джынсы
Шчыльна скручаная трубачка з сухога тытунёвага лісця|цыгара
Шчыльная адукацыя са злучальнай тканіны, след на целе ад што зажыла раны|рубец
Шчыльная адукацыя з соляў і арганічных злучэнняў ва ўнутраных органах, пратоках|камень
Шчыльнае сукно з густым ворсам|кастар
Шчыльнасць у фізіцы|ро
Шчыльнасць струменя, які праходзіць праз кампутарную сетку|трафік
Шчыльны валены матэрыял з высакаякасных гатункаў поўсці|фетр
Шчыльны зялёны напаўпразрысты мінерал, напаўкаштоўны вырабны камень|нефрыт
Шчыльны крупчасты снег леднікоў|фірн
Шчыльны матэрыял са скачаных ваўняных ці мінеральных валокнаў, служыць для цеплаізаляцыі, пракладак і т. п.|лямец
Шчыльны крамнінны падстрэшак для абароны ад сонца, дажджачыся|тэнт
Шчыльны снег на ледніках|фірн
Шчыльны тоўсты матэрыял з валенай поўсці ці з сінтэтычных валокнаў|лямец
Шчыльны трыкатажны матэрыял|джэрсі
Шчыльны, крупнозернистый зляжалы снег|фірн
Шчыльны, плоскі пласт глебы, пароды|пласт
Дрэнная хата, халупа|халупа
Дрэнная карціна, халтура|мазаніна
Дрэнная адзнака (студенч.)|незад
Дрэнны, звычайна стары конь|кляча
Дрэнныя адносіны|нелады
Дрэнна загойвальны дэфект скуры, слізістай абалонкі і ляжалых пад імі тканін|язва
Дрэнна аформленая незадаволенасць|нараканне
Дрэнна вычышчаная гарэлка|сівуха
Дрэнны ганец і яшчэ горшы суддзя|гаворка
Дрэнны дзеяч мастацтва, якому вядомая частка цела замінае стаць добрым (фольк.)|танцор
Дрэнны канец, пагроза згубы ці буйных непрыемнасцяў (разг.)|хана
Дрэнны памагаты вока?|зуб
Плохонький хацінка, хацінка, халупа (разг.)|халупа
Пляцоўка ў верхняй частцы шчоглы для назірання|марс
Пляцоўка для “жальбы”|корт
Пляцоўка для бокса?|рынг
Пляцоўка для выступаў аратараў у інш. Рыме, якую ўпрыгожвалі насы захопленых варожых судоў|ростра
Пляцоўка для выступу артыстаў|сцэна
Пляцоўка для малацьбы сціснутага хлеба, ток|гумно
Пляцоўка для малацьбы хлеба|гумно
Пляцоўка для паласкання бялізны|кладка
Пляцоўка для разбіўкі чарцяжа судна ў натурал. памерах|плаз
Пляцоўка для гадоўлі і падтрыманні агню (усярэдзіне жылля)|агмень
Пляцоўка для спаборніцтваў па цяжкай атлетыцы|памост
Пляцоўка для спартовай зброевай стральбы|стэнд
Пляцоўка для спартовай стрэльбавай стральбы|стэнд
Пляцоўка для спартовай стендовой стрэльбы|стэнд
Пляцоўка для спуску судоў са стапеляў|сліп
Пляцоўка для фігурнага катання і хакей на ролік. каньках|ринк
Пляцоўка на лясах у сцяны будынка|кладка
Пляцоўка на пашу, дзе табун збіраецца ў кучу|тырло
Пляцоўка, засеяная травой|траўнік
Пляцоўка, на якой бліскае Штеффи Граф|корт
Пляцоўка, на якой спартоўцы марнуюць патроны на лятучыя талеркі|стэнд
Пляцоўка, на якой страляюць па сподачках|стэнд
Вулічная лаянка, дужае слоўца|мацюк
Пляц у Інш. Рыме, дзе засяроджвалася грамадскае жыццё горада|форум
Пляц для ваенных парадаў, аглядаў, страявых заняткаў?|пляц
Пляц для ваенных аглядаў|пляц
Пляц для народнага збору ў Старажытнай Грэцыі, сам збор|агора
Пляц для страявых заняткаў, парадаў, аглядаў|пляц
Пляц для страявых заняткаў?|пляц
Пляц і народны збор у древнегреч. гарадах|агора
Пляц, кірмаш ва Ўкраіне|майдан
Шэльма, ашуканец (просты., устар.)|арап
Шэльма, прайдзісвет (просты.)|выпальвання
Шэльма, прайдзісвет|шэльма
Шэльма, спадарожнік Одзіна і Гара ў сканд. міфах|локи
Плютарх быў глыбока перакананы, што светабудовай кіруе вышэйшы ... ?|розум
Плывучае дзеянне|плынь
Плэймейкер МЮ сярэдзіны 90х|Кантона
Плюшч, вінаград (агульнае)|ліяна
Пляжная койка|ляжак
Пляжник, які ў літаральным сэнсе на сонца хрэн паклаў|нудыст
Пляжнае ложа|тапчан
Пляжная сукенка, якое адбываецца з Афрыкі|бубу
Пляжнае пакрыццё|пясок
Пляжны ляжак|тапчан
Пляжны стэлаж|тапчан
Што скача чалавечак|танцор
Па В. Высоцкаму: “Іншы ж у завесу злазіў у «Англетере» – хто гэты іншы?”|Ясенін
Па В. Далю: “ваўняная, шаўковая ці папяровая рединка для жаночых убораў”|бареж
Па Далю – бачанне, здань|мара
Па Леніне, паняцце, раўнацэннае сацыялізму|улік
Па Плінію, карунд і дыямент, т. е. цвёрды мінерал|адамас
Па антычным міфе, дачка цара Аргоса Акрисия|Даная
Па біблейскіх прадказаннях – інш.-габрэйскі патрыярх, родапачынальнік габрэяў?|Аўраам
