Раман Б. Келлермана|тунэль
Раман Б. Палявога?|золата
Раман Б. Пруса; цацка|лялька
Раман Б. Пруса; кіраўнік у Старажытным Егіпце; карт. гульня|фараон
Раман Б. Пруса|лялька
Раман Б. Пруса|фараон
Раман Барбу (1957)|яма
Раман Барбюса|звёны
Раман Барбюса|агонь
Раман В. Набокава|дарунак
Раман В. Аджаева|вагон
Раман В. Набокава|Пнин
Раман Вересаева|сёстры
Раман Г. Абашидзе?|лашарела
Раман Г. Бакланова|сябры
Раман Г. М. Маркава|Сібір
Раман Г. Манна|бедныя
Раман Г. Манна|лидице
Раман Г. Сянкевіча (1884–1886)|патоп
Раман Г. Сянкевіча; карціна І. Айвазоўскага|патоп
Раман Ги дэ Мапасана|жыццё
Раман Гончарова пра пабітыя мары|абрыў
Раман Гришема|камера
Раман Гришэма|кліент
Раман Д. Димова|тытунь
Раман Д. Фурманава|мяцеж
Раман Д. Гранина|зубр
Раман Д. Григоровича|рыбакі
Раман Д. Киплинга; сав. гімнастка|Кім
Раман Д. Киплинга|Кім
Раман Д. Н. Мамчына-Сібірака|золата
Раман Д. Х. Чейза|Ева
Раман Джона Фаулза|чарвяк
Раман Дастаеўскага|нячысцікі
Раман Дастаеўскага|ідыёт
Раман Драйзера?|тытан
Раман Е. Вараб'ёва|вышыня
Раман Ж. Санд|Жак
Раман Ж. Санд|лелия
Раман Ж. Санд|мопра
Раман Ж. Санд|нанон
Раман Ж. Санд|орас
Раман Ж. Санд|ускок
Раман Жан-Палі Сартра (1938)|млоснасць
Раман Золю|здабыча
Раман Золю|зямля
Раман Золю|лурд
Раман Золю|мара
Раман І. Тургенева|дым
Раман І. Тургенева|Рудин
Раман І. Штемлера|архіў
Раман К. Сівых|даурия
Раман Калініна|цыган
Раман Коптяевой|удача
Раман Л. Фейхтвангера|поспех
Раман Л. М. Лявонава|злодзей
Раман Л. М. Лявонава|соть
Раман Л. Фейхтвангера|Сымона
Раман Лациса|бура
Раман Лугавога; капкан, пастка|цянёты
Раман Лугавога|цянёты
Раман М. Горкага|трое
Раман М. Алданова|вытокі
Раман М. Арцыбашева; перс. павесці “Вясновыя воды”; пісьменнік|Санин
Раман М. Арцыбашева|Санин
Раман М. Горкага|маці
Раман М. Соколова|іскры
Раман М. Шагинян|кик
Раман Мамчына-Сібірака|хлеб
Раман Н. Чарнышэўскага|пралог
Раман Н. Задорнова|хэда
Раман Н. Лескова|няма куды
Раман О. Ганчара|тронка
Раман О. Шапир|антыподы
Раман Ожешко|арганаўты
Раман Олеся Ганчара|сабор
Раман П. Загребельного|дзіва
Раман П. Загребельного|разгон
Раман П. Л. Проскурина|зыход
Раман П. Проскурина|лёс
Раман Панферова|брускі
Раман Р. Тагора; узвышша; аповесць Лескова|гара
Раман Р. Тагора|гара
Раман С. Лема|астранаўты
Раман Синклера|бостан
Раман Стендаля|арманс
Раман Т. Драйзера|геній
Раман Т. Драйзера|апора
Раман Т. Драйзера|стоік
Раман Тынянова|кюхля
Раман У. Голдинга|спічак
Раман У. Фолкнера|горад
Раман Ф. Купера|кратар
Раман Ф. Дастаеўскага; опера Вайнберга|ідыёт
Раман Ф. Кафки|замакрэў
Раман Ф. Купера|прэрыя
Раман Ч. Айтматова|плаха
Раман Ш. Бронте|вилетт
Раман Ш. Бронте|шерли
Раман Э. Папелячы|шумавінне
Раман Э. Папелячы|праца
Раман Э. Хэмінгуэя|фіеста
Раман Э. Папелячы|нана
Раман Эміля Золю|грошы
Раман Ю. Бондарава; верш. М. Светлова|двое
Раман Ю. Бондарава; фільм Алова|бярог
Раман Ю. Бондарава|бярог
Раман Ю. Бондарава|выбар
Раман Ю. Бондарава|двое
Раман Ю. І. Яновского|свет
Раман Ю. Крашевского|Ульяна
Раман Юльяна Сямёнава|важак
Раман Яна|Батый
Раман амерыканскага пісьменніка А. Хэйлі|аэрапорт
Раман амерыканскай пісьменніцы Мэры Тэрэзы Маккарти|аазіс
Раман дат. пісьменніка Гьеллерупа|минна
Раман дацкага пісьменніка Пугі Бекера|хата
Раман Стывена Кінга і фільм па ім|яно
Раман індыйскага пісьменніка М. Р. Ананда|кулі
Раман ірландца Дж. Джойса|Уліс
Раман лаўрэата Нобелеўскай прэміі Г. Сянкевіча|патоп
Раман майстра дэтэктываў Аркадзя Адамава|завеса
Раман пасля рэдагавання (жартоўнае)|нарыс
Раман румынскага пісьменніка Йоана Славича|мара
Раман савецкага пісьменніка Эренбурга|бура
Раман татарскага пісьменніка А. С. Файзи|стукай
Раман трылогіі іспанскага пісьменніка Хуана Гойтисоло|цырк
Раман французскага пісьменніка А. Стылю|абвал
Раман японскага пісьменніка Нацумэ Сосэки|затым
Раман, задуманы І. Ильфом і Е. Пятровым|падла
Раман-трылогія А. Караваевой|радзіма
Раманавы ў генеалагічным дрэве Рурыкавічаў|галіна
Романтич. шаўковая тканіна; французскі горад|флёр
Романтич. шаўковая тканіна|флёр
Рамантычная “лямпачка”|свечка
Рамантычная опера Генрыха Аўгуста Маршнера|вампір
Рамантычная ўвертура|пралог
Рамантычны кандэнсат?|раса
Рамантычная кветка, які ў Маскве са свечкаю не знойдзеш (толькі пакаёвую)|фіялка
Рамантычнае вандраванне?|ваяж
Рамантычны кандэнсат|раса
Раманы гэтага амерыканскага пісьменніка вельмі падабаюцца дзецям|твен
Рос. акцёр; сав. гідратэхнік|Бочкин
Рос. акцёр|Бочкин
Рос. акторка|Акулова
Рос. акторка|Кабо
Рос. акторка|Машная
Рос. бард|Кім
Рос. географ, прафесар (эканамічная геаграфія)|Витвер
Рос. вынаходнік (буквопеч. телегр. апп-т, сист. звукозап.)|Шорин
Рос. вынаходнік 1-х падводных лодак|Аляксандраўскі
Рос. вынаходнік ровара|Артамонаў
Рос. імператар|Пётр
Рос. кинореж. (“Дюба-дюба”, “Доминус”)|Хван
Рос. кинореж. (“Ты ў мяне адна”, 1993)|Астрахан
Рос. кінарэжысёр (“Шэрыя ваўкі, 1993)”|Гостев
Рос. кінарэжысёр|Полока
Рос. кінасцэнарыст, журналіст, крытык|Папава
Рос. кінасцэнарыст|Инин
Рос. блазан|Папоў
Рос. кампазітар, прафесар Моск. кансерваторыі|Ракаў
Рос. канструктар авіярухавікоў; падвесны ложачак|Калыска
Рос. канструктар авіярухавікоў|Калыска
Рос. касманаўт|Калери
Рос. лыжніца, алімпійская чэмпіёнка|Вяльбе
Рос. металург і металазнавец (1870–1946)|Байкаў
Рос. металург, аўтар прац па тэхналогіі рэд. мет.|Сажин
Рос. марскі порт, размешчаны ў 700 км ад мора|Игарка
Рос. пісьменнік-сатырык|Мишин
Рос. пісьменнік-гумарыст|Альтаў
Рос. плывун|Папоў
Рос. паэт|Кушнер
Рос. эстрадны спявак|Асін
Раскошная дача з вялікім садам|віла
Раскошная кватэра, памяшканне (адказ у мн. ч.)|апартаменты
Раскошна выдадзеная кніга, альбом|кипсек
Раскошнае памяшканне|апартаменты
Раскошны шалік са страусовых пёраў?|баа
Раскошны, вышэйшай катэгорыі якасці, лепшы па абслугоўванні (нумар у гасцініцы, атэлье, тавар і т. п.)|люкс
Раскоша, адмысловая вытанчанасць, незвычайнасць|вынаходства
Размалёўка дзяржаўных выдаткаў і прыбыткаў на вызначаны тэрмін|бюджэт
Размалёўка фарбамі па волкай тынкоўцы|фрэска
Рос. кампазітар з картачным прозвішчам|Квінт
Расійская авіякампанія, якая заклікае нас лётаць толькі сваімі самалётамі|аэрафлот
Расійская акадэмія (аббр.)|РАЕН
Расійская акторка па імі Ія|Саввина
Расійская домотканная кока-кола|квас
Расійская кіназорка, ледзь не сталая ахвярай мурэны ў Чырвоным моры?|Ярмольник
Расійская камедыя пра жыццё бойкага сантэхніка Борщова|Афоня
Расійская касмічная станцыя|свет
Расійская лыжніца, якая выступае за зборную Швецыі|Ордина
Расійская музычная прэмія?|авацыя
Расійская зброевая фірма|Расія
Расійская піяністка, якая сябравала з Барысам Пастарнакам|Юдина
Расійская поп-спявачка|Алсу
Расійская поп-група з навучальнай назвай|ліцэй
Расійская палярная станцыя ў Антарктыдзе|усход
Расійская рака са змяінай назвай|кобра
Расійская рэспубліка|адыгея
Расійская рок-група|Аліса
