Расійская тэлевізійная прэмія|тэфи
Расійская футбольная каманда вышэйшай лігі|шыннік
Расійская хакейная каманда|хімік
Расійская чэмпіёнка Алімпіяды-1998 у Нагана па біятлоне?|Куклева
Расійская эстрадная спявачка (псеўданім)|Анка
Расійская эстрадная спявачка па імі Анжаліка|Варум
Расійская эстрадная спявачка?|Сенчукова
Расійскія выспы на Далёкім усходзе?|Курилы
Расійскія хакеісты, браты, гульцы ў НХЛ|Бураксу
Расійскі “карункавы горад”, але не Волагда|Ялец
Расійскі аўтамабіль|газэль
Расійскі аўтамабіль|Ака
Расійскі адмірал (1943), Герай Савецкага Звяза (1945)|Юмашев
Расійскі акцёр (“Памылка рэзідэнта”)?|Жженов
Расійскі акцёр па імі Зіновій|Гердт
Расійскі акцёр тэатра ім. Маякоўскага|Ханаў
Расійскі акцёр, “Аперацыя Ы і іншыя прыгоды Шурыка”?|Смірноў
Расійскі акцёр, які зняўся ў фільмах “Пётр I”, “Пуцёўка ў жыццё” і інш.|Жаров
Расійскі акцёр-вахтанговец, у кіно – “Ціхі дон”, “Аляксандр Неўскі”|Абрыкосаў
Расійскі архітэктар|Росси
Расійскі барацьбіт, чэмпіён Алімпіяды ў Сіднэі ў 2000 году?|Саитов
Расійскі бачны эканаміст, палітычны дзеяч?|Гайдар
Расійскі вірусолаг, акадэмік РАН|Атабеков
Расійскі ваенны гісторык ХIХ ст., генерал-лейтэнант|Иванин
Расійскі ўсходазнавец (1891–1970)|Конрад
Расійскі гідрабіёлаг, акадэмік АН СССР (1939), Герай Савецкага Звяза (1938). Удзельнік экспедыцыі на “Сибирякове” (1932), “Челюскине” (1933–34), дрэйфуючай палярнай станцыі “СП-1”|Ширшов
Расійскі дзяржаўны дзеяч, прэзідэнт Інгушскай Рэспублікі (1993), генерал-маёр, Герай Савецкага Звяза. У 1985–87 служыў у Афганістане|Аушев
Расійскі дзяржаўны дзеяч|Лобов
Расійскі драматург (“Каляіна”, “Гледзіце, хто прыйшоў!”)|Арро
Расійскі драматург, аўтар п'есы “Вышэйшая мера”|Арро
Расійскі жывапісец (1754–1814)|Акімаў
Расійскі жывапісец (1831–94, “Пётр I дапытвае царэвіча Аляксея”)?|Ге
Расійскі жывапісец (1862–1930, “Прачкі”)|Архіпаў
Расійскі жывапісец, скульптар і графік (1889–1970)|Альтман
Расійскі землепраходзец, даў першыя звесткі пра Камчатку і Курыльскіх о-вах (ок. 1661–64–1711)|Атласаў
Расійскі ілюзіяніст|Акопян
Расійскі гісторык (1773–1841), аўтар “Апавяданні пра Расію”|Арцыбашев
Расійскі гісторык (1879–1962)|Волгин
Расійскі гісторык і эканаміст|Арбатов
Расійскі гістарычны дзеяч|Шатов
Расійскі знішчальнік|ла
Расійскі кінарэжысёр-баечнік|Роу
Расійская кінастужка з А. Шырвіндтам – жаночым лісліўцам – у галоўнай ролі|бабнік
Расійскі кліматолаг (1891–1972)|Алисов
Расійскі комік з фільма “Непапраўны лгун”|Вицин
Расійскі кампазітар (1787–1851, “Салавей”, “Жабрачка”)|Алябьев
Расійскі кампазітар і спявак|Лаза
Расійскі кампазітар, імя Ігар|Стромкі
Расійскі кампазітар, удзельнік Беляевского кружка|Лядов
Расійскі кампазітар|Глебаў
Расійскі канструктар артылерыйскіх гармат|Іванаў
Расійскі караблебудаўнік (1800–78)|Амосаў
Расійскі касманаўт, які здзейсніў тры палёту ў космас|Ваўкоў
Расійскі касманаўт, Герай Савецкага Звяза (1971, пасмяротна). Загінуў пры вяртанні на Зямлю|Пацаев
Расійскі касманаўт, лётчык-касманаўт СССР (1965), генерал-маёр авіяцыі (1975), двойчы Герай Савецкага Звяза (1965, 1975)|Лявонаў
Расійскі касманаўт, лётчык-касманаўт СССР (1965), палкоўнік, Герай Савецкага Звяза (1965)|Бяляеў
Расійскі касманаўт, лётчык-касманаўт СССР (1969), двойчы Герай Савецкага Звяза (1969, 1971 – пасмяротна)|Ваўкоў
Расійскі касманаўт, лётчык-касманаўт СССР (1974), палкоўнік|Артюхин
Расійскі касманаўт, лётчык-касманаўт СССР (1976)|Аксёнаў
Расійскі касманаўт, лётчык-касманаўт СССР (1983), палкоўнік, Герай Савецкага Звяза (1988)|Цітоў
Расійскі касманаўт, лётчык-касманаўт СССР (1984), Герай Савецкага Звяза (1984)|Атьков
Расійскі касманаўт, лётчык-касманаўт СССР (1985), палкоўнік, Герай Савецкага Звяза (1985)|Ваўкоў
Расійскі касманаўт, лётчык-касманаўт СССР (1991), палкоўнік|Арцебарский
Расійскі касманаўт, лётчык-касманаўт СССР (1991). Герой Савецкага Звяза (1988), заслужаны лётчык-выпрабавальнік СССР (1990)|Аубакиров
Расійскі касманаўт, лётчык-касманаўт СССР (1991). Герой Савецкага Звяза (1991)|Афанасьеў
Расійскі касманаўт, лётчык-касманаўт СССР|Аляксандраў
Расійскі касманаўт. Лётчык-касманаўт СССР (1964), доктар медыцынскіх навук, Герай Савецкага Звяза (1964)|Ягораў
Расійскі касманаўт. Лётчык-касманаўт СССР (1969), генерал-маёр авіяцыі (1977), Герай Савецкага Звяза (1969)|Шонин
Расійскі касманаўт. Лётчык-касманаўт СССР (1974), палкоўнік, кандыдат тэхнічных навук, Герай Савецкага Звяза (1974)|Демин
Расійскі касманаўт. Лётчык-касманаўт СССР (1976), палкоўнік, Герай Савецкага Звяза (1976)|Зудов
Расійскі касманаўт. Лётчык-касманаўт СССР (1979), палкоўнік, двойчы Герай Савецкага Звяза (1979, 1983)|Ляхаў
Расійскі касманаўт. Лётчык-касманаўт СССР (1980), палкоўнік, двойчы Герай Савецкага Звяза (1980, 1981)|Папоў
Расійскі касманаўт|Румін
Расійскі кутюрье, які зрабіў імідж шматлікім зоркам нашай эстрады|Звераў
Расійскі легкавы аўтамабіль|самара
Расійскі лётчык Кастусь Арцеулов першым у нашай краіне выканаў на самалёце наўмысны ...|лейцар
Расійскі лётчык знішчальнай авіяцыі, Герай Савецкага Звяза (1938), камбрыг (1939), Загінуў у авіяцыйнай катастрофе|Сяроў
Расійскі лётчык, заслужаны лётчык-выпрабавальнік СССР (1959), Герай Савецкага Звяза (1957)|Рыбко
Расійскі лётчык-выпрабавальнік СССР (1959), генерал-маёр-інжынер (1968), Герай Савецкага Звяза (1957)|Седов
Расійскі лётчык-касманаўт (1973), генерал-маёр авіяцыі (1978), двойчы Герай Савецкага Звяза (1973, 1975)|Климук
Расійскі лётчык. Заслужаны лётчык-выпрабавальнік СССР (1959), палкоўнік, Герай Савецкага Звяза (1957)|Галлай
Расійскі лётчык. Заслужаны лётчык-выпрабавальнік СССР (1959), палкоўнік, Герай Савецкага Звяза (1957)|Іванаў
