Руковод. цэхі на заводзе|майстар
Кіраўнік 2-го Земскага апалчэння ў 17 ст.|Мінін
Кіраўнік Вну|рэктар
Кіраўнік НКУС у 1934–1936 гг.|Ягада
Кіраўнік паўстання сялян тамбоўшчыны (1920–21 гг.)|Антонаў
Кіраўнік вышэйшай навучальнай установы|рэктар
Кіраўнік групы “На-на”|Алибасов
Кіраўнік групы “Пинк Флойд”|Гилмор
Кіраўнік народнага апалчэння ў 1612 г., народны герой|Мінін
Кіраўнік нац.-вызваленчай барацьбы кубінскага народа|Гомес
Кіраўнік апалчэння 1612 г. супраць наймітаў Лжэдзмітрыя|Мінін
Кіраўнік партызанскага руху ў ВОВАЎ|Асмолов
Кіраўнік сярэдняга звяна?|мэнэджар
Кіраўнік факультэта ў Вну?|дэкан
Кіраўнік французскай Сацыялістычнай партыі, заснавальнік газеты “Юманітэ” ў 1904 г.|Жорес
Кіраўнік хору|рэгент
Кіраўнік, настаўнік, выхавальнік|ментар
Кіраўнік, начальнік?|частка
Кіраўнік, начальнік, старэйшы па становішчы|частка
Кіраўніцтва для плавання ў вызначаным басейне, воднай прасторы|лоцыя
Кіраўніцтва прадпрыемства, арганізацыі|адміністрацыя
Кіраўніцтва, якое змяшчае апісанне водных басейнаў|лоцыя
Кіраўнічы надпіс на службовым дакуменце?|рэзалюцыя
Кіраўнічы рэдакцыйны артыкул у газеце, часопісе?|дыверсіфікаванне
Кіраўнічая роля?|гегемонія
Кіраўнічы персанал установы|адміністрацыя
Рукакрылае млекопитающее|крылан
Рукакрылае, кажан?|крылан
Рукакрылае, кажан|вампір
Рукакрылае, кажан|калонг
Рукапашная ў лётчыкаў, танкістаў|таран
Рукапашны бой караблёў|абардаж
Рукописн. тлумачальны слоўнік ці даведнік у Інш. Русі 13–18|азбукоўнік
Рукапісны часопіс А. Чэхава|заіка
Воплескі; п'еса Штэйна|апладысменты
Воплескі|апладысменты
Дзяржальня касы|окосье
Дзяржальня ползункового рэгулятара|рухавічок
Дзяржальня з ахоўным прыстасаваннем у халоднай зброі|эфес
Дзяржальня шаблі, шашкі|грыф
Дзяржальня халоднай зброі?|эфес
Дзяржальня халоднай зброі|грыф
Ручка шаблі, шашкі, шпагі|эфес
Ручка сахі, плуга|рогаль
Ручка халоднай зброі (шашкі, шаблі)|грыф
Рулявое вясло на лодцы|стерно
Рулетка|зеро
Рулеточный загребатель|круп'е
Рулонны дахавы матэрыял, кардон з насычэннем каменнавугальным дзёгцем|толь
Рулонны дахавы матэрыял?|руберойд
Рум. гімнастка (алімп. чемп. у 14 гадоў)|Дабры
Рум. горад у павеце Сучава|Вострая
Рум. мікрабіёлаг, заснавальнік серотерапии|Бабеш
Рум. пісьменнік, філосаф|Выгоды
Рум. пісьменнік|Агырбичану
Рум. пісьменнік|Аргези
Рум. пісьменнік|Барбу
Рум. пісьменнік|Бенюк
Рум. пісьменнік|Богза
Рум. паэт|Кошбук
Рум. паэтка|Бануш
Рум. хімік (1883–1955)|Спаку
Рум. мастак|Аман
Румынія (горад у Еўропе)|Ардуд
Румынія (горад у Еўропе)|Брашов
Румынія (горад у Еўропе)|Бузэу
Румынія (горад у Еўропе)|Яссы
Румынія, адм. ц. жудеца Арад (горад у Еўропе)|Арад
Румынія, адміністрацыйны цэнтр жудеца Телеорман (горад у Еўропе)|Александрыя
Румынск. хімік, тэорыі хим. тэхналогіі|Брату
