Рыба сем. ласосевых|чир
Рыба сем. марскіх карасёў отр. окунеобразных|боопс
Рыба сем. марскіх карасёў отр. окунеобразных|скап
Рыба сем. мраморниковых|кеке
Рыба сем. акунёвых|берш
Рыба сем. акунёвых|губач
Рыба сем. осетровых|бестер
Рыба сем. сельдевых|алоза
Рыба сем. сельдевых|шпроты
Рыба сем. ставридовых отр. окунеобразных|лихия
Рыба сем. трасковых|менек
Рыба сем. трасковых|пікша
Рыба сем. трасковых|сайда
Рыба сем. карповых|падуст
Рыба сямейства акул; аповяд К. Станюковича|нянька
Рыба сямейства акул|людаед
Рыба сямейства акул|мака
Рыба сямейства акул|нянька
Рыба сямейства анчоўсаў, якая ловіцца ў Чорным і Азоўскім морах|хамса
Рыба сямейства камбаловых|глосик
Рыба сямейства камбаловых|глосса
Рыба сямейства карповых, разводзяць у акварыумах|данио
Рыба сямейства карповых|гарчак
Рыба сямейства карповых|жэрах
Рыба сямейства кефаляў|лабач
Рыба сямейства ласосевых?|сёмга
Рыба сямейства ласосевых|ворчык
Рыба сямейства ласосевых|нерка
Рыба сямейства сельдевых|івасі
Рыба сямейства сельдевых|малака
Рыба сямейства сігаў, беларыбіца|нельма
Рыба сямейства трасковых|пікша
Рыба са змеепадобным целам|вугор
Рыба трапічных мораў атрада вугроў|мурэна
Рыба шереспер|жэрах
Рыба ясельного ўзросту?|маляўка
Рыба, балтыйская разнавіднасць селядца|салака
Рыба, інш. назва – анабас|паўзун
Рыба, якая жыве ў глеі|амія
Рыба, адлюстроўваная на дзяржаўных знаках Саламонавых выспаў|акула
Рыба, корм для сабак|опана
Рыба, якая да нас на талерку звычайна трапляе з кансервавага слоіка|сайра
Рыба, якая можа стукнуць электрычным токам|пахіл
Рыба, якую ў мінулым стагоддзі ў багацці лавілі ў Маскве-рацэ|ялец
Рыба, што завецца гэтак жа, як і суднавы трос|лін
Рыба, аб'ект спартовага рыбалоўства|ратан
Рыба, звычайная ежа чарнаморскага калкана|хамса
Рыба, якая ўславіла возера Байкал у асяроддзі гурманаў?|омуль
Рыба, якая разводзіцца ў сажалках?|стронга
Рыба, якая складаецца з дрэва і ноты|івасі
Рыба, цёзка ракі, у якой яна водзіцца|амур
Рыба, што з'яўлялася ў савецкія “рыбныя дні” існым пакараннем, якая цяпер стала ці ледзь не дэфіцытам|хек
Рыба-людаед?|акула
Рыба; ден. ед. Кыргызтана|сом
Рыба; жук|слоник
Рыба; адна з прафесій М. Твена|лоцман
Рыба; скульптура фантастич. пачвары|хімера
Рыба|брытва
Рыба|вомер
Рыба|змейка
Рыба|клыкач
Рыба|пуга
Рыба|лапата
Рыба|лоцман
Рыба|сквама
