Раўніна ў пустэльні|тар
Раўніна, якая ляжыць параўнальна высока над узроўнем мора і адлучаная ад суседняй мясцовасці стромкімі схіламі, уступамі|плато
Раўніна?|плата
Раўніна|дол
Раўнавага, ураўнаважванне?|баланс
Раўнавага; рэгулятар ходу ў гадзінах; бухг. справаздача|баланс
Раўнамернае чаргаванне якіх-небудзь элементаў|рытм
Раджа|Рао
Дзеля жанчын – хор менавіта з гэтай аперэты?|вясёлая ўдава
Дзеля яго цярэбяць макавую саломку|опіум
Радыкал асобы|воля
Радыкал, які складаецца з пяці атамаў вадароду і шасці атамаў вугляроду, рэштка бензолу|феніл
Радыкуліт|ішыяс
Радыёактыўны галаген, рэдкі метал|астат
Радыёактыўны інэртны высакародны газ|радон
Радыёактыўны інэртны газ?|радон
Радыёактыўны мінерал|тарыт
Радыёактыўны хим. элемент, метал|радый
Радыёактыўны хим. элемент, серабрыста-белы метал|уран
Радыёактыўны хим. элемент|астат
Радыёактыўны хим. элемент|радон
Радыёактыўны хим. элемент|фермій
Радыёактыўны хімічны элемент з групы актыноідаў з парадкавым нумарам 95?|амерыцый
Радыёактыўны хімічны элемент, метал|актыній
Радыёактыўны хімічны элемент?|францый
Радыёактыўны хімічны элемент?|курчатовій
Радыёактыўны хімічны элемент|астат
Радыёактыўны элемент, щелочноземельный метал|барый
Радыёактыўны элемент|ганий
Радыёактыўны элемент|дубній
Радыёактыўны элемент|кюрый
Радыёактыўны элемент|торый
Радыёлакатар|радар
Радыёлакацыйная ўсталёўка?|радар
Радыёлакацыйная прылада|радар
Радиообнаружение?|радар
Радыёперашкоды, якія ўзнікаюць ад прыродных разрадаў|атмосферики
Радыёпрымач з дадатнай зваротнай сувяззю для прыёму на слых тэлеграфных сігналаў па метадзе біццяў|аўтадын
Радиотерапевтическое прыстасаванне, што накладаецца на здзіўлены ўчастак скуры ці слізістай абалонкі|аплікатар
Радыётэхнічная прылада, якое прапускае ваганні з вызначанага інтэрвалу чашчынь|фільтр
Радиоустройство, што прапускае. ваганні опред. чашчынь|фільтр
Радыёэлектронны прыбор|дыёд
Радыстка, доблесная паплечніца Шцірліца|Кэт
Радзішчаў зваў іх светлымі, Карамзин – яснымі, Купрын – празрыстымі. Дастаеўскі зваў іх так, як завём іх мы. Як жа назваў іх Дастаеўскі?|белыя ночы
Вясёлкавыя колеры, бачныя пры пераламленні святла|спектр
Вясёлкавы ўдаў|абома
Які цешыцца вялікаму кавалку|рот
Раз, два, тры, чатыры, пяць – я ўжо іду шукаць – гульня|хованкі
Растваральнік нитрокрасок|ацэтон
Растваральнік, якім непажадана разводзіць пітны спірт, лепш – нитрокраску|ацэтон
Развядзенне для джыну|тонік
Разведзены вадой сок|морс
Разведзены адэкалон|ласьён
Разбиватель сэрцаў|амур
Бойкі мужычок|зух
Пабіты на прывале лагер|бівак
Разбойнік з вялікай марской дарогі|пірат
Разбойнік, апеты Некрасовым|Кудеяр
Разбойнік|бандыт
Разбор, разгляд чаго-небудзь|аналіз
Разборнае каркаснае жыллё качэўнікаў, намёт пірамідальнай формы|шацёр
Разброд у партыі па палітычных меркаваннях|раскол
Што ўсхадзілася рака з “Меднага вершніка”|Нява
Развал|распад
Разваліна будынка, збудаванні|руіна
Разваліна якога-небудзь збудавання|руіна
Разваліна населенага пункта|руіна
Разваліны якога-небудзь збудавання|руіны
Разваліны населенага пункта|руіны
Развед. орган Канариса|абвер
Гадоўля рыбы ў кантраляваных умовах|аквакультура
Выведкавыя працы па выяўленні чаго-небудзь|пошук
Выведнік нетраў|геолаг
Выведнік сярод ветразнікаў|корвет
Выведнік, капітан, Герай Савецкага Звяза (1944, пасмяротна). У органах дзяржбяспекі з 1938. У Вялікую Айчынную вайну 1941–45 начальнік выведвальна-дыверсійнай групы ў Мікалаеве. Пакараны фашыстамі|Лягин
Выведнік, капітан, Герай Савецкага Звяза (1965, пасмяротна). У органах дзяржбяспекі з 1938. Пакараны фашыстамі|Кудря
Выведнік; раман Ф. Купера|шпіён
Выведнік|шпіён
Выведвальная баявая аперацыя; марка кампутара?|пошук
Выведвальная баявая аперацыя|пошук
Разгорнутае паведамленне, выступ на вызначаную тэму, справаздача|даклад
Разгалінаванне дыхальнага горла, па якім паветра паступае ў лёгкае|бронха
Разгалінаванні дыхальнага горла, па якіх паветра паступае ў лёгкія|бронхі
Разгалінаваная частка дрэва з лістотай|крона
Разгалінаванае суквецце|пэндзаль
Развіццё кан'юнктуры ўсяго рынка да ўзроўня, калі “папахвае смажаным” (брок. жаргон)|прарыў
Развіццё наразной зброі і павелічэнне яго прыцэльнай далёкасці выклікала неабходнасць у рэформе ваеннага абмундзіравання. У чым яна выказалася?|зелянковы колер
Развіццё па сыходнай лініі?|інвалюцыя
Развіццё падзей у творы|фабула
Забаўляльная кніжка з малюначкамі?|комікс
Забаўляльная тэхнічная канструкцыя?|атракцыён
Забаўка ў месцах грамадскіх гуляў|атракцыён
Забаўка, у якім ведаў толк Леанід Брэжнеў|паляванне
Распусны баль|оргія
Развязнасць, бесцырымоннасць у звароце?|фамільярнасць
Разг. – локационные прыборы, напр., для вымярэння хуткасці аўтамабіляў|радар
Разгадайце наступную старадаўнюю шараду: Першы склад – з бутэлькі льецца, // Другі – з хмары да нас нясецца, // Цэлае можна адгадаць, // Калі на поўдні пашукаць|вінаград
Гутарка двух твараў|дыялог
Гутарка паміж дзвюма ці некалькімі тварамі|дыялог
Гутарка паміж двума тварамі|дыялог
Гутарка паміж двума людзьмі, абмен рэплікамі|дыялог
Гутарка на падвышаных тонах (па Далю)|оранка
Гутарка прадаўца з пакупніком|гандаль
Гутарка, абмен меркаваннямі|гутарка
Гутарковая назва аднаго з частак матэматыкі|аналітыка
Гутарковая назва задушлівага газу|чад
Гутарковая назва шуму, крыку|гвалт
Разгарачаны, ліхаманкавы стан, а таксама чырвань ад яго|жар
Разгульнае баляванне|оргія
Рассоўная палоўка рогля|ножка
Частка “Гжельской керамікі”?|фаянс
Распрануў анатоміі, які вывучае будынак суставаў|артрология
Частка антрапалогіі – вучэнне пра паходжанне чалавека|антрапагенез
Распрануў астраноміі, што займаецца вызначэннем дакладных становішчаў нябесных целаў і іх змен з часам|астраметрыя
Частка астраноміі|астрафатаграфія
Частка аэрамеханікі|аэрастатыка
Частка біялогіі пра багавінне|альгалогія
Частка біялогіі пра павукоў|арахналогія
Частка біялогіі, навука пра біялагічную прыроду|антрапалогія
Частка біялогіі, навука пра паразітаў?|паразіталогія
Частка біялогіі?|магнитобиология
Частка біялогіі|аутэкология
Частка батанікі, які вывучае багавінне|альгалогія
Частка гідрамеханікі|аэрамеханіка
Частка граматыкі|аспектология
Частка дантовой “Чароўнай камедыі”|пекла
Распранула заалогіі, што вывучае абцугоў частка біялогіі|акарология
Частка заалогіі, изучающ. павукападобных|арахналогія
Частка кнігі ці артыкулы, якім журналісты “абзываюць” прэзідэнта|частка
Частка кнігі, артыкулы; купал царквы|частка
Частка кнігі, артыкулы|частка
Частка лінгвістыкі|акцэнталогія
Частка матэматыкі, які вывучае найпростыя ўласцівасці лікаў|арыфметыка
Частка матэматыкі; першы этап машыннага перакладу|аналіз
Распрануў матэматыкі?|алгебра
Частка матэматыкі|аналіз
Распрануў матэматыкі|логіка
Частка медыцыны, изуч. пытанні цяжарнасці, родаў|акушэрства
Частка медыцыны, изучающ. аллергич. хваробы|алергалогія
Частка медыцыны, які вывучае пытанні стану слыху і яго парушэнняў|аўдыялогія
Частка медыцыны, што вывучае крывяносную і лімфатычную сістэмы?|ангіялогія
Частка медыцыны, якія вывучаюць сухоты лёгкіх і метады яго лячэння?|фтызіятрыя
Частка медыцыны, які распрацоўвае метады абязбольвання|анестэзіялогія
Частка медыцыны|анастезиология
Частка метэаралогіі, изучающ. солн., земн. атм. радыяцыю|актынаметрыя
Частка метэаралогіі, які вывучае працэсы, што адбываюцца ў трапасферы і стратасферы?|аэралогія
Частка механікі|аэрамеханіка
Частка навукі пра караблекіраванне|лоцыя
Частка нябеснай механікі|астрадынаміка
Частка ономасиологии, які вывучае ўласныя імёны людзей|антрапаніміка
Частка анамастыкі|антрапаніміка
Частка практычнай астраноміі, прысвечаны вызначэнню становішча і курсу карабля ці самалёта па нябесных свяцілах|астранавігацыя
Частка практычнай астрафізікі, што займаецца вызначэннем бляску астранамічных аб'ектаў|астрофотометрия
Частка суднакіравання – апісанне мораў, водных шляхоў і ўзбярэжжаў|лоцыя
Частка тэксту, рубрыка|графа
Частка ўралогіі|андрология
Частка фізікі, які вывучае з'явы і ўласцівасці святла|оптыка
Частка фізікі, навука пра рух газаў|аэрадынаміка
Частка фізікі?|акустыка
Частка фізікі|астрафізіка
Частка філасофіі, які вывучае быццё?|онталогія
Частка экалогіі, изучающ. уплыў разл. фактараў на арганізм|аутэкология
Частка юрыдычнага акту, дакумента|артыкул
Частка мовазнаўства?|граматыка
Частка мовазнаўства|акцэнталогія
Частка японскай складовай азбукі|кана
Частка, падпадзел твора|частка
Падзеліце круг напалову так, каб атрымаўся вадзяны знак кітайскіх марак 1885 гады|інь-янь
Разлад, бязладзіца|смута
Разлад, сварка|сварка
Раздражнёная фраза; вясёлы танец 16–17 стст.|бутада
Раздражнёная фраза|бутада
Разадзьмуты шкловыдзімальнікам бурбалка-нарыхтоўка (устар.)|дарэмшчына
Якія разлятаюцца кроплі вадкасці|пырскі
Разлінеены конік|зебра
Разлітая паўсюль допол. энергія, на якую чалавек жаліцца, не ўмеючы яе выкарыстоўваць|спякота
Розныя актывы (грашовыя сродкі, загваздкі, вэксалі і т. п.), за кошт якіх могуць быць выраблены плацяжы і згашаны абавязанні іх уладальнікаў|авуары
Розныя выразы твару|міміка
Розныя дадаткі да мясных і рыбных страў|гарнір
