Самы буйны ангельскі конь-цяжкавоз|Шайр
Самы буйны горад Швейцарыі|Цюрых
Самы буйны з Марианских выспаў|Гуам
Самы буйны з Філіпінскіх выспаў|Лусон
Самы буйны з наземных малюскаў|ахатина
Самы буйны з сучасных індзейскіх народаў Паўднёвай Амерыкі|кечуа
Самы лёгкі метал|літый
Самы лёгкі хим. элемент?|вадарод
Самы лёгкі сумленны заробак|рэнта
Самы гультаяваты персанаж рускіх казак|Ямеля
Самы лепшы адпачынак|сон
Самы маленькі інтэрвал у індыйскай музыцы|шрути
Самы мануфактурны з абласных цэнтраў Расіі?|Іванава
Самы павольны музычны тэмп?|ларго
Самы павольны тэмп у музыцы|ларго
Самы дробны калібр дробу|дунст
Самы дробны калібр паляўнічага дробу|дунст
Самы шматлікі па колькасці выглядаў атрад казурак|жукі
Самы надзейны цвік для бетоннай сценкі|дзюбель
Самы нявыхаваны сын Ноя (библейск.)|Хам
Самы далікатны драпежнік|ласка
Самы пільны з усіх вартавых|аргус
Самы нізкі па гучанні духавая медная прылада|туба
Самы небяспечны з забойцаў|маньяк
Самы першы вітамін|аксерофтол
Самы першы шыйны пазванок|атлант
Самы подлы і назойлівы звяз казурак|гнюс
Самы падыходны выбраннік для злога кахання|казёл
Самы падыходны матэрыял для “паляпшэння” рэчаіснасці|лак
Самы папулярны тып транспарта ў вялікіх гарадах|мятро
Самы папулярны киношпион|Бонд
Самы папулярны спосаб транспартавання людзей у свеце?|пешшу
Самы наведвальны выгляд спорту|футбол
Самы звыклы для страўса спосаб перасоўвання|бег
Самы прынцыповы супернік зборнай Шатландыі|Англія
Самае якое прыстане пустазелле|дзядоўнік
Самы прыцягальны расійскі аэрапорт|Адлер
Самая вясёлкавая кветка|касач
Самы разумны шлях да праўды|навука
Самы раннеспелый гатунак агуркоў|вір
Самы ранні перыяд мезозойской эры|трыяс
Самы распаўсюджаны аўтограф савецкіх турыстаў|Вася
Самы распаўсюджаны дакумент|квіток
Самы распаўсюджаны кактус?|апунцыя
Самы распаўсюджаны садова-паркавы атракцыён|арэлі
Самы паўночны ў свеце выспа|Одак
Самы паўночны паўвостраў Азіі|Таймыр
Найдужэйшы звер (поэтич.)|котка
Найдужэйшы акісляльнік?|фтор
Самы складаны этап узыходжання на горную вяршыню|спуск
Самы страшны мюзікл|норд-ост
Самы стройны і прыгожы мужчына ўсіх часоў і народаў старажытнагрэцкай нацыянальнасці|Апалон
Самы цвёрды мінерал у прыродзе|дыямент
Самы тоўсты мушкецёр|Портос
Самая традыцыйная крыніца святла|акно
Самы цяжкі плацінавы метал|осмій
Самы вытанчаны з мушкецёраў А. Дзюма|Арамис
Самы цэнтр Землі|ядро
Самы электраадмоўны элемент|фтор
Самы эмацыйны этап конкурсу прыгажосці|фінал
Самы паўднёвы мыс Афрыкі|Агульяс
Самы-самы з усіх агентаў|Бонд
Самым вялікім з іх з 1940 г. з'яўляецца генерал Шэрман, які важыць 6167 тон. Пра што ідзе гаворка?|секвоі
Найстаражытнейшымі на Зямлі сталіцамі лічацца тры гарады. Адзін з іх – Дзялі. Назавіце яшчэ два|Афіны і Рым
Сан-Паулу Емена|Аден
Санаторыя, хата адпачынку|курорт
Сані для язды на аленях; кабардинский эпас|нарты
Сані для язды на аленях|нарты
Сані для зімовага выгляду спорту|боб
Сані для перавозкі грузаў|простыя санкі
Сані для хуткаснага спуску?|боб
Санітарка ў дзіцячай лячэбнай установе|няня
Санкцыя за няўчаснае выкананне грашовых абавязанняў|пяня
Саноўнік, частка племя ў Афганістане, Іране|сардар
Санта-...|Клаўс
Сантэхнічны прыбор|унітаз
Бот на карце Еўропы|Італія
Бот, які дратуе Міжземнае мора|Італія
Боты народаў Сярэдняй Азіі|ичиги
Боты з высокімі мяккімі халявамі, подвязываемыми матузамі|бахілы
Боты з халявамі, зробленыя з грубіянскай скуры, звычайна некрашенной|осташи
Боты з мяккай падэшвай|ичиги
Боты, чаравікі, сандалі (агульная назва)|абутак
Боцікі з саф'яну|ичиги
Шавецкая касметыка?|гуталін
Шавецкая смала|вар
Шавецкая халява (устар.)|дарэмшчына
Сапун, клапан для выйсця газаў з картара рухавіка|суфлёр
Адрына ў Кіргізіі|кепе
Адрына для скошанай травы|сяннік
Адрына для сушкі снапоў і малацьбы|рыга
Адрына для сушкі снапоў хлеба і лёну|рыга
Адрына з печчу|рыга
Сарацыны, старажытнае племя, народ Азіі, Афрыкі|арабы
Саргасава мора адрозніваецца ад іншых мораў не тым, што ў яго ёсць, а тым, чаго ў яго няма. Чаго ж у яго няма?|берагоў
Сардэлька на чатырох лапах з сумнымі вачамі|басет
Сатана, злы дух|дэман
Сатырычная драма М. Е. Салтыкова-Шчадрына|цяні
Сатырычная кинокомедия Г. Данелия|Афоня
Сатырычная камедыя В. В. Капниста|данос
Сатырычная камедыя С. Міхалкова|ракі
Сатырычная паэма А. І. Полежаева|Сашка
Сатырычная п'еса А. Міхалкова|ананімка
Сатырычная п'еса В. Маякоўскага|блашчыца
Сатырычны раман Джона Фаулза, выкрывалы мараль “усёдазволенасці”|вяшчун
Саудаўская Аравія, порт (горад у Азіі)|Джидда
Сахалінская вобл. (горад)|Оха
Цукар, які атрымліваецца ў ЗША і Канадзе з соку клёну|агорн
Цукар, яйкі, дадаваныя ў цеста|заправа
Сахарын як хімічнае злучэнне|имид
Цукрысты прадукт?|патака
Цукровы пясок жоўтага колеру, невысокай якасці, атрымліваецца як прамежкавы прадукт пры вытворчасці цукру-рафінаду|бастр
Цукровы пясок нізкай якасці|бастр
Цукровы трыснёг|мачэтэ
Сахарская антылопа, жывы-ое сім. полорогих|доркас
Саша Чорны неяк назваў Пецярбург “рускім намёкам на ...”. На што?|Еўропу
Зб. група аднаклеткавых грыбоў з розных класаў|дрожджы
Зб. верш. А. Ахматавай|пацеркі
Зб. вершаў Казаковой|памятаю
Зберажэнні|банк
Збой у праграме (компьют.)|глюк
Збор грошай і прадукцыі ў сялян|чынш
Збор інфармацыі са слоў апытванага|апытанне
Збор першаснага матэрыялу ў сацыёлаг. і інш. даследаваннях|анкетаванне
Збор звестак шляхам атрымання адказаў на вызначаныя пытанні|анкета
Зборышча васьмі жывёльных, трох людзей і аднаго дакладнага прыбора|задыяк
Зборка і ўсталёўка машын, збудаванняў|мантаж
Зборка і ўсталёўка збудаванняў, канструкцый, машын|мантаж
Зборка збудаванняў, машын, канструкцый, усталёвак і т. п. з гатовых блокаў і дэталяў|мантаж
Зборная каманда якой краіны выйграла чэмпіянат свету па футболе ў 1998 г?|Францыя
Зборнае мацаванне ў тунэлі, падземным збудаванні|цюбінг
Складанка Киплинга|лиспет
Складанка законаў|збор
Складанка выманняў з кодэкса Юстыніяна|эклога
Складанка твораў Н. Гогаля|арабескі
Складанка рэпрадукцый, фатаграфій|альбом
Складанка звестак (даведкавага ці займальнага характару) з розных абласцей ведаў|альманах
Складанка змоўкла. М. Валошына|иверни
Складанка вершаў Аляксандраўскага|крокі
Складанка вершаў В. Высоцкага|нерв
Складанка вершаў аднаго паэта ў літаратуры Ўсходу|канапа
Складанка чылійскай паэткі Г. Містраль|ракіты
Складанка, збор рэпрадукцый, фатаграфій, выдадзеных у выглядзе кнігі|альбом
Зборнае месца розных ашуканцаў, вялікая дарога|майдан
Зборыстая ашалёўка з лёгкай тканіны|руш
Сбрасываемый з лятальных апаратаў прадмет з данясеннем|вымпел
Збруя, прыстасаванне для кіравання канём, валом, аленем, сабакам і іншымі жывёламі|збруя
Вясельная пасланка|свацця
Вясельная мыта на Русі|куніца
Вясельнае покрыва нявесты|вэлюм
Вясельнае ўпрыгожванне|кольца
Вясельны галаўны ўбор|вэлюм
Звараныя ў цукровым сіропе і падсушаныя кавалачкі пладоў|цукаты
Звараны ў цукровым сіропе і падсушаны плён ці частка яго|цукат
Сватаўство, вяселле герояў кнігі, як паняцце|абрад
Зверху каронка, знізу – павільён, паміж імі па вобадзе – рундист. Дэталі чаго пералічаны?|дыямента
Звесткі на які-небудзь твар|дасье
Звесткі пра чалавека (портяжн.)|мерка
Звесткі пра што-небудзь|веды
Звесткі пра ўмовы жыцця, а таксама пра пачатак і развіцці захворвання, паведамляныя хворым|анамнез
Свежы пласт які выпаў з вечара ці ўначы снягі|церуха
Бурачныя адыходы|прэс
Бурачны суп|бацвінне
Свёкар – цесцю|сват
Зіхаценне|бляск
Зіготкая частка нагі|пятка
Зіготкае месца ва ўцекача|пяткі
Зіготкая зброя, якім Индра, цар богаў у Індыйскай міфалогіі, пераможа Сонца|маланка
Свердзел, устаўляемае ў калаўрот|пёрка
Згорнутая ў рулон тканіна|кавалак
Згорнутая трубкай рукапіс|скрутак
Згорнуты трос, ліна?|бухта
Аднагодак, аднагодак|годок
Скрутак цыліндрычнай формы з суцэльнай стужкі|рол
Скрутак чагосьці вялікага і доўгага|рулон
Скрутак, кавалак мяккага, які ўбірае вільгаць матэрыялу|тампон
Скрутак|пакет
Згортванне чаго-небудзь трубкай, кольцам, шарам|скатка
Сверхбдительный вартавы|аргус
Сверхвысшее адукацыя|аспірантура
Звышгукавы аўтамабіль|балід
Звышчалавек для каго-небудзь|ідэал
Звышнатуральная істота ў рэлігіі?|бог
Звышнатуральная істота ў скандынаўскіх павер'ях|троль
