Светла-сіні колер, сінь|блакіт
Светлае ангельскае піва з ячменнага соладу, густое і дужае|эль
Светлая адукацыя на паверхні Сонцы, бачнае ў тэлескоп?|паходня
Светлае ззянне вакол які свеціцца ці асветленага прадмета|арэол
Светла-шэрая лясная глеба, бедная пажыўнымі рэчывамі|подзол
Светлыя кругі, дугі, слупы, плямы, назіраныя вакол ці зблізку дыскаў Сонца і Месяцы?|гало
Светлы мяккі слоистый мінерал, які ўжываецца ў тэхніку і медыцыне|тальк
Светлы, лёгкі сухі херас|фіна
Светлавое ці радиосигнальное прылада для арыентоўкі лётчыка|аэрамаяк
Светлавая з'ява ў атмасферы?|світанак
Светлавы пояс тэатральнай сцэны?|рампа
Светлавы сігнальны інфармацыйны шчыт|табло
Светлавы тон чаго-небудзь, афарбоўка|колер
Светлавы фон вакол малюнка крыніцы святла|арэол
Светлавы фон, афарбоўка; рус. біяхімік|колер
Светлавы фон, афарбоўка|колер
Святлоадчувальны матэрыял на эластычнай аснове|плёнка
Святлоадчувальны матэрыял?|кінастужка
Свецкая тусоўка, прыём|раўт
Свецкая тусоўка|багема
Свецкая пачцівасць, вытанчанасць|бонтон
Свецкае імя Облонского ў рамане “Ганна Карэніна”|Стыва
Свецкае грамадства|бамонд
Якая свеціцца, зіготкая часціца|іскра
Што свеціцца кольца вакол нябесных целаў|гало
Якія свецяцца папярочныя палосы ў газавым разрадзе (физ.)|страты
Які свеціцца ў цемры хімічны элемент|фосфар
Што свеціцца след кулі|траса
Свечка, якая папрацавала ў цемры, а не ў заднім праходзе|недагарак
Свечкі бываюць стеариновые, лоевыя, парафінавыя, спермацетовые. Але вось у наш час, з 1881 гады, галоўнай стала плацінавая свечка Виоля. А чаму? “таму што гэта ...”|эталон сілы святла
Свячны пастамент?|кандэлябр
Сведка (устар.)|видок
Сведка ў інш.-рускім праве|видок
Сведка на Русі|сведка
Сведка на вяселлі|шафер
Сведчанне на права бясплатнага ці палёгкавага праезду па чыг ці водных шляхам|літар
Сведчанне на права заняткі гандлем, здабычай|патэнт
Сведчанне пра канчатак вышэйшай ці сярэдняй навучальнай установы|дыплом
Сведчанне пра канчатак навучальнай установы|атэстат
Сведчанне пра адкрыццё ці пра канчатак вну|дыплом
Сведчанне таго, што студэнт не знайшоў агульнай мовы з экзаменатарам (разг.)|незад
Сведчанне, якім Аляксандр Папоў не змог бы ў адрозненне ад Маркони пацвердзіць факт вынаходства радыё|патэнт
Сведчанне, якое выдаецца за паспяховы выступ на конкурсе, фэсце|дыплом
Свідзіна, кіслы плён|кизил
Свіны еўнух|парсюк
Свіны прадукт сілкавання|бекон
Свінцова-цынкавае радовішча ў Іспаніі|Реосин
Люты вецер|ураган
Што звісае край даху ў хатах|страха
Свісток для подманивания звярэй і птушак|вабік
Свісток, дудачка для приманивания звярэй, птушак|вабік
Свісцячае ўдушша, захворванне канёў|рорер
Звіты пучок саломы ці сена для расцірання каня|паляць
Воля ў праяве чаго-небудзь|воля
Воля, шчасліва прадстаўленая ў чалавеку духу|геній
Воля; верш. М. Лермантава; раман Данилевского|воля
Воля|воля
Вольная ад друку палоска ў кнізе?|поле
Вольна канвертоўны элемент табліцы Мендзялеева|золата
Вольна якая навісае частка адзежы|напуск
Вольна адчужальная індывідуальна-сямейная зямельная ўласнасць у германскіх плямёнаў|аллод
Вольна ў борта, выгляд дамовы куплі-продажы з дастаўкай тавара водным шляхам, калі ў кошт уключана кошт дастаўкі тавара да борта судна|фас
Вольны час; аповяд А. Чэхава|вольны час
Вольны час|вольны час
Вольнае ваганне паверхні мора?|зыб
Вольнае ад працы час?|вольны час
Вольная прастора, якое пакідаецца перад пачаткам радка тэксту|водступ
Свободноплавающая асобіна палавога пакалення марскіх кишечнополостных|медуза
Вольныя паўнапраўныя жыхары ў феадальным горадзе Заходняй Еўропы. Саслоўе гараджан, якія займаюцца галоўным чынам рамяством і гандлем?|бюргеры
Вольны абаронца (чысцільшчык) у футболе|лібера
Вольны абаронца ў футболе, “які пазычыў” свая назва рэкламуемым памперсам|лібера
Вольны селянін-ваяр у Візантыі|акрит
Вольны селянін-супольнік на Сяўбу. Каўказе, з 16 ст. таксама прадстаўнік служылага саслоўя|уздень
Вольны ад лёду ўчастак Антарктыды|аазіс
Збор габрэйскага права, складзена ок. 2 ст.|мишна
Збор мусульманскіх прававых і рэлігійных нормаў|шарыят
Збор мусульманскіх рэлігійных, юрыдычных, побытавых правіл|шарыят
Збор становішчаў, якія маюць дагматычны характар|канон
Збор кіраваў арганізацыі|статут
Збор кіраваў гонару|кодэкс
Збор кіраваў, законаў, становішчаў|статут
